Optimal Found Or Timeout,Instances,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 843,Completion Time for Window 2 is 1613,Completion Time for Window 3 is 2527
Calls        ,TA41,[' 195.281s'], ,[' 32738905'],"[' 6015165  (Analyzed', ' 5837480)']","[' 12297    (Average', ' 474.71 Last', ' 28976)']",[' 2043.8  '],"[' 1085     (Average Length', ' 526.44 Splits', ' 0)']","[' 5837480  (Deleted', ' 5749060)']","[' 114      (Ratio', '   0.00%)']","[' 6634     (Ratio', '   0.11%)']","[' 5837480  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5837480  (Average', '  5.28 Max', ' 2067 Sum', ' 30828966)']","[' 5837235  (Average', '  5.26 Max', ' 2067 Sum', ' 30706004 Ratio', '  99.60%)']","[' 245      (Average', ' 501.89 Max', ' 696 Sum', ' 122962 Ratio', '   0.40%)']", ,[' 45293   '],[' 3561    '],[' 45723   '],[' 25377   '],"[' 76127    (Atom=Atom', ' 22414 Body=Body', ' 12831 Other', ' 40882)']",[' Yes'],"[' 4591     (Eliminated', '    0 Frozen', ' 4591)']","[' 1029     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.782689'],[' 0'], ,[' 141.804'],[' 0'],[' 3.46162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.24652e+07'],[' 6.37243e+07'],[' 0'],[' 1.40301e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA42,[' 195.859s'], ,[' 20925412'],"[' 6918628  (Analyzed', ' 6684264)']","[' 14518    (Average', ' 460.41 Last', ' 251674)']",[' 2103.6  '],"[' 1072     (Average Length', ' 509.24 Splits', ' 0)']","[' 6684264  (Deleted', ' 6568477)']","[' 79       (Ratio', '   0.00%)']","[' 3689     (Ratio', '   0.06%)']","[' 6684264  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6684264  (Average', '  2.82 Max', ' 2172 Sum', ' 18873692)']","[' 6684015  (Average', '  2.80 Max', ' 2172 Sum', ' 18748669 Ratio', '  99.34%)']","[' 249      (Average', ' 502.10 Max', ' 1297 Sum', ' 125023 Ratio', '   0.66%)']", ,[' 44920   '],[' 3458    '],[' 45301   '],[' 24905   '],"[' 74711    (Atom=Atom', ' 22045 Body=Body', ' 12728 Other', ' 39938)']",[' Yes'],"[' 4439     (Eliminated', '    0 Frozen', ' 4439)']","[' 639      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.780495'],[' 0'], ,[' 148.318'],[' 0'],[' 3.01071'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.68728e+07'],[' 3.59879e+07'],[' 0'],[' 1.55424e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA43,[' 193.281s'], ,[' 32925685'],"[' 5666242  (Analyzed', ' 5448829)']","[' 11440    (Average', ' 476.30 Last', ' 7880)']",[' 2100.8  '],"[' 1182     (Average Length', ' 570.82 Splits', ' 0)']","[' 5448829  (Deleted', ' 5356961)']","[' 139      (Ratio', '   0.00%)']","[' 6799     (Ratio', '   0.12%)']","[' 5448829  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5448829  (Average', '  5.66 Max', ' 2111 Sum', ' 30850055)']","[' 5448569  (Average', '  5.63 Max', ' 2111 Sum', ' 30697065 Ratio', '  99.50%)']","[' 260      (Average', ' 588.42 Max', ' 754 Sum', ' 152990 Ratio', '   0.50%)']", ,[' 45559   '],[' 3599    '],[' 46057   '],[' 25636   '],"[' 76904    (Atom=Atom', ' 22635 Body=Body', ' 12869 Other', ' 41400)']",[' Yes'],"[' 4697     (Eliminated', '    0 Frozen', ' 4697)']","[' 1141     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.837327'],[' 0'], ,[' 141.579'],[' 0'],[' 3.38579'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.18492e+07'],[' 6.51308e+07'],[' 0'],[' 1.40607e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA44,[' 196.547s'], ,[' 26668074'],"[' 6223784  (Analyzed', ' 6001749)']","[' 13307    (Average', ' 451.02 Last', ' 20871)']",[' 2119.4  '],"[' 1088     (Average Length', ' 522.03 Splits', ' 0)']","[' 6001749  (Deleted', ' 5912798)']","[' 96       (Ratio', '   0.00%)']","[' 6209     (Ratio', '   0.10%)']","[' 6001749  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6001749  (Average', '  4.10 Max', ' 2118 Sum', ' 24618228)']","[' 6001453  (Average', '  4.08 Max', ' 2118 Sum', ' 24476278 Ratio', '  99.42%)']","[' 296      (Average', ' 479.56 Max', ' 659 Sum', ' 141950 Ratio', '   0.58%)']", ,[' 45188   '],[' 3535    '],[' 45595   '],[' 25306   '],"[' 75914    (Atom=Atom', ' 22369 Body=Body', ' 12805 Other', ' 40740)']",[' Yes'],"[' 4542     (Eliminated', '    0 Frozen', ' 4542)']","[' 989      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.813253'],[' 0'], ,[' 148.196'],[' 0'],[' 3.31574'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.17325e+07'],[' 5.02127e+07'],[' 0'],[' 1.49008e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA45,[' 193.906s'], ,[' 38752508'],"[' 5679584  (Analyzed', ' 5458360)']","[' 11488    (Average', ' 475.14 Last', ' 8876)']",[' 2056.9  '],"[' 1198     (Average Length', ' 582.21 Splits', ' 0)']","[' 5458360  (Deleted', ' 5368629)']","[' 137      (Ratio', '   0.00%)']","[' 7681     (Ratio', '   0.14%)']","[' 5458360  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5458360  (Average', '  6.72 Max', ' 1971 Sum', ' 36660511)']","[' 5458119  (Average', '  6.69 Max', ' 1971 Sum', ' 36522703 Ratio', '  99.62%)']","[' 241      (Average', ' 571.82 Max', ' 792 Sum', ' 137808 Ratio', '   0.38%)']", ,[' 45200   '],[' 3511    '],[' 45726   '],[' 25198   '],"[' 75590    (Atom=Atom', ' 22285 Body=Body', ' 12781 Other', ' 40524)']",[' Yes'],"[' 4637     (Eliminated', '    0 Frozen', ' 4637)']","[' 1202     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.8344'],[' 0'], ,[' 137.587'],[' 0'],[' 3.56985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13301e+08'],[' 8.22899e+07'],[' 0'],[' 1.31575e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA46,[' 194.609s'], ,[' 30864216'],"[' 5537560  (Analyzed', ' 5347956)']","[' 11039    (Average', ' 484.46 Last', ' 17118)']",[' 2169.3  '],"[' 1088     (Average Length', ' 527.00 Splits', ' 0)']","[' 5347956  (Deleted', ' 5263572)']","[' 114      (Ratio', '   0.00%)']","[' 7337     (Ratio', '   0.14%)']","[' 5347956  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5347956  (Average', '  5.38 Max', ' 2111 Sum', ' 28794629)']","[' 5347656  (Average', '  5.36 Max', ' 2111 Sum', ' 28659919 Ratio', '  99.53%)']","[' 300      (Average', ' 449.03 Max', ' 609 Sum', ' 134710 Ratio', '   0.47%)']", ,[' 45397   '],[' 3593    '],[' 45822   '],[' 25518   '],"[' 76550    (Atom=Atom', ' 22523 Body=Body', ' 12863 Other', ' 41164)']",[' Yes'],"[' 4618     (Eliminated', '    0 Frozen', ' 4618)']","[' 1192     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.855169'],[' 0'], ,[' 145.051'],[' 0'],[' 3.36858'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.63792e+07'],[' 6.23649e+07'],[' 0'],[' 1.42428e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
CPU Time     ,TA47,[' 17729070'],"[' 4441577  (Analyzed', ' 4256173)']","[' 8608     (Average', ' 494.44 Last', ' 2495)']",[' 2172.6  '],"[' 1154     (Average Length', ' 551.01 Splits', ' 0)']","[' 4256173  (Deleted', ' 4197511)']","[' 67       (Ratio', '   0.00%)']","[' 3845     (Ratio', '   0.09%)']","[' 4256173  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4256173  (Average', '  3.67 Max', ' 2323 Sum', ' 15620121)']","[' 4255939  (Average', '  3.65 Max', ' 2323 Sum', ' 15522319 Ratio', '  99.37%)']","[' 234      (Average', ' 417.96 Max', ' 674 Sum', '  97802 Ratio', '   0.63%)']", ,[' 44989   '],[' 3481    '],[' 45451   '],[' 24870   '],"[' 74606    (Atom=Atom', ' 21987 Body=Body', ' 12751 Other', ' 39868)']",[' Yes'],"[' 4543     (Eliminated', '    0 Frozen', ' 4543)']","[' 526      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.826287'],[' 0'], ,[' 59.9674'],[' 0'],[' 1.70224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.82679e+07'],[' 3.29895e+07'],[' 0'],[' 4.94601e+09'],[' 0'],[' 0'], , , ,[' '],[' '],[' ']
Calls        ,TA48,[' 193.375s'], ,[' 24232937'],"[' 5873182  (Analyzed', ' 5613848)']","[' 12074    (Average', ' 464.95 Last', ' 5480)']",[' 2117.4  '],"[' 1207     (Average Length', ' 583.15 Splits', ' 0)']","[' 5613848  (Deleted', ' 5528835)']","[' 99       (Ratio', '   0.00%)']","[' 5464     (Ratio', '   0.10%)']","[' 5613848  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5613848  (Average', '  3.93 Max', ' 2022 Sum', ' 22058059)']","[' 5613561  (Average', '  3.90 Max', ' 2022 Sum', ' 21906460 Ratio', '  99.31%)']","[' 287      (Average', ' 528.22 Max', ' 758 Sum', ' 151599 Ratio', '   0.69%)']", ,[' 44990   '],[' 3446    '],[' 45508   '],[' 24904   '],"[' 74708    (Atom=Atom', ' 22056 Body=Body', ' 12716 Other', ' 39936)']",[' Yes'],"[' 4564     (Eliminated', '    0 Frozen', ' 4564)']","[' 874      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.871665'],[' 0'], ,[' 147.457'],[' 0'],[' 3.1213'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.64338e+07'],[' 4.58824e+07'],[' 0'],[' 1.50175e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA49,[' 192.500s'], ,[' 30913347'],"[' 5695934  (Analyzed', ' 5482008)']","[' 11553    (Average', ' 474.51 Last', ' 7852)']",[' 2099.2  '],"[' 1164     (Average Length', ' 560.68 Splits', ' 0)']","[' 5482008  (Deleted', ' 5396111)']","[' 130      (Ratio', '   0.00%)']","[' 7361     (Ratio', '   0.13%)']","[' 5482008  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5482008  (Average', '  5.26 Max', ' 1997 Sum', ' 28835844)']","[' 5481730  (Average', '  5.23 Max', ' 1997 Sum', ' 28692574 Ratio', '  99.50%)']","[' 278      (Average', ' 515.36 Max', ' 717 Sum', ' 143270 Ratio', '   0.50%)']", ,[' 45349   '],[' 3552    '],[' 45837   '],[' 25373   '],"[' 76115    (Atom=Atom', ' 22419 Body=Body', ' 12822 Other', ' 40874)']",[' Yes'],"[' 4640     (Eliminated', '    0 Frozen', ' 4640)']","[' 1242     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.836555'],[' 0'], ,[' 143.098'],[' 0'],[' 3.43619'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.57719e+07'],[' 6.18568e+07'],[' 0'],[' 1.375e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Time         ,TA50, ,[' 14154467'],"[' 3059518  (Analyzed', ' 2790575)']","[' 6982     (Average', ' 399.68 Last', ' 34458)']",[' 2067.6  '],"[' 1177     (Average Length', ' 570.96 Splits', ' 0)']","[' 2790575  (Deleted', ' 2727040)']","[' 73       (Ratio', '   0.00%)']","[' 4108     (Ratio', '   0.15%)']","[' 2790575  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2790575  (Average', '  4.37 Max', ' 2174 Sum', ' 12196716)']","[' 2790292  (Average', '  4.31 Max', ' 2174 Sum', ' 12014313 Ratio', '  98.50%)']","[' 283      (Average', ' 644.53 Max', ' 841 Sum', ' 182403 Ratio', '   1.50%)']", ,[' 45040   '],[' 3465    '],[' 45545   '],[' 25131   '],"[' 75389    (Atom=Atom', ' 22264 Body=Body', ' 12735 Other', ' 40390)']",[' Yes'],"[' 4570     (Eliminated', '    0 Frozen', ' 4570)']","[' 616      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.799713'],[' 0'], ,[' 114.529'],[' 0'],[' 2.09773'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.78339e+07'],[' 2.75384e+07'],[' 0'],[' 1.24993e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' ']
