Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1643'],[' 831'],"[' 16.936s (Solving', ' 13.93s 1st Model', ' 1.40s Unsat', ' 1.03s)']",[' 16.719s'], ,[' 2050405 '],"[' 144888   (Analyzed', ' 53308)']","[' 573      (Average', ' 93.03 Last', ' 83)']",[' 1755.1  '],"[' 831      (Average Length', ' 477.91 Splits', ' 0)']","[' 53308    (Deleted', ' 38211)']","[' 24       (Ratio', '   0.05%)']","[' 521      (Ratio', '   0.98%)']","[' 53308    (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 53308    (Average', ' 19.76 Max', ' 2575 Sum', ' 1053443)']","[' 52979    (Average', ' 17.03 Max', ' 2128 Sum', ' 907721 Ratio', '  86.17%)']","[' 329      (Average', ' 442.92 Max', ' 703 Sum', ' 145722 Ratio', '  13.83%)']", ,[' 78394   '],[' 2505    '],[' 73182   '],[' 23242   '],"[' 60599    (Atom=Atom', ' 18082 Body=Body', ' 10566 Other', ' 31951)']",[' Yes'],"[' 4057     (Eliminated', '    0 Frozen', ' 4057)']","[' 22       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.641699'],[' 0'], ,[' 2.14434'],[' 0'],[' 0.120093'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.26015e+06'],[' 3.42812e+06'],[' 0'],[' 9.76534e+07'],[' 0'],[' 0'],[' 524 '],[' 839 '],[' 1174 '],[' 1594 '],[' 1954 '],[' 2328 '],[' 2682 '],[' 3064 '],[' 3355 '],[' 0 '],[' 9 ']
Solving...,TA62, , , ,[' 1637'],[' 828'],"[' 21.656s (Solving', ' 18.58s 1st Model', ' 1.59s Unsat', ' 6.24s)']",[' 21.469s'], ,[' 2492985 '],"[' 378574   (Analyzed', ' 350913)']","[' 1238     (Average', ' 283.45 Last', ' 1418)']",[' 1762.6  '],"[' 828      (Average Length', ' 471.48 Splits', ' 0)']","[' 350913   (Deleted', ' 331778)']","[' 24       (Ratio', '   0.01%)']","[' 752      (Ratio', '   0.21%)']","[' 350913   (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 350913   (Average', '  4.37 Max', ' 2771 Sum', ' 1534185)']","[' 350598   (Average', '  3.99 Max', ' 2152 Sum', ' 1399305 Ratio', '  91.21%)']","[' 315      (Average', ' 428.19 Max', ' 705 Sum', ' 134880 Ratio', '   8.79%)']", ,[' 78770   '],[' 2534    '],[' 73494   '],[' 23408   '],"[' 61041    (Atom=Atom', ' 18189 Body=Body', ' 10650 Other', ' 32202)']",[' Yes'],"[' 4074     (Eliminated', '    0 Frozen', ' 4074)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.636607'],[' 0'], ,[' 5.37287'],[' 0'],[' 0.185109'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.3888e+06'],[' 3.90075e+06'],[' 0'],[' 2.94125e+08'],[' 0'],[' 0'],[' 515 '],[' 879 '],[' 1296 '],[' 1690 '],[' 2002 '],[' 2406 '],[' 2701 '],[' 3067 '],[' 3451 '],[' 0 '],[' 9 ']
Solving...,TA63, , , ,[' 1561'],[' 790'],"[' 16.044s (Solving', ' 12.83s 1st Model', ' 1.31s Unsat', ' 0.46s)']",[' 15.922s'], ,[' 1963738 '],"[' 96655    (Analyzed', ' 51183)']","[' 330      (Average', ' 155.10 Last', ' 908)']",[' 1744.3  '],"[' 790      (Average Length', ' 453.60 Splits', ' 0)']","[' 51183    (Deleted', ' 40071)']","[' 21       (Ratio', '   0.04%)']","[' 406      (Ratio', '   0.79%)']","[' 51183    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51183    (Average', ' 19.79 Max', ' 2785 Sum', ' 1012759)']","[' 50914    (Average', ' 17.77 Max', ' 2163 Sum', ' 909357 Ratio', '  89.79%)']","[' 269      (Average', ' 384.39 Max', ' 678 Sum', ' 103402 Ratio', '  10.21%)']", ,[' 78355   '],[' 2466    '],[' 73049   '],[' 23142   '],"[' 59863    (Atom=Atom', ' 17885 Body=Body', ' 10449 Other', ' 31529)']",[' Yes'],"[' 3966     (Eliminated', '    0 Frozen', ' 3966)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.614229'],[' 0'], ,[' 1.38426'],[' 0'],[' 0.111497'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.12237e+06'],[' 3.35988e+06'],[' 0'],[' 3.56978e+07'],[' 0'],[' 0'],[' 521 '],[' 878 '],[' 1197 '],[' 1549 '],[' 1906 '],[' 2187 '],[' 2508 '],[' 2876 '],[' 3263 '],[' 0 '],[' 9 ']
Solving...,TA64, , , ,[' 1441'],[' 730'],"[' 80.323s (Solving', ' 77.40s 1st Model', ' 1.34s Unsat', ' 0.35s)']",[' 79.859s'], ,[' 8686080 '],"[' 4850311  (Analyzed', ' 4834808)']","[' 9161     (Average', ' 527.76 Last', ' 2628)']",[' 1643.5  '],"[' 730      (Average Length', ' 430.87 Splits', ' 0)']","[' 4834808  (Deleted', ' 4775562)']","[' 21       (Ratio', '   0.00%)']","[' 814      (Ratio', '   0.02%)']","[' 4834808  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4834808  (Average', '  1.62 Max', ' 2532 Sum', ' 7820354)']","[' 4834388  (Average', '  1.58 Max', ' 1987 Sum', ' 7656348 Ratio', '  97.90%)']","[' 420      (Average', ' 390.49 Max', ' 641 Sum', ' 164006 Ratio', '   2.10%)']", ,[' 78343   '],[' 2517    '],[' 73073   '],[' 23152   '],"[' 60482    (Atom=Atom', ' 18027 Body=Body', ' 10601 Other', ' 31854)']",[' Yes'],"[' 3983     (Eliminated', '    0 Frozen', ' 3983)']","[' 93       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.574459'],[' 0'], ,[' 42.1508'],[' 0'],[' 1.17935'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23775e+07'],[' 1.06923e+07'],[' 0'],[' 2.78288e+09'],[' 0'],[' 0'],[' 515 '],[' 1010 '],[' 1294 '],[' 1583 '],[' 1915 '],[' 2183 '],[' 2604 '],[' 2914 '],[' 3187 '],[' 1 '],[' 8 ']
Solving...,TA65, , , ,[' 1603'],[' 811'],"[' 35.847s (Solving', ' 32.56s 1st Model', ' 1.68s Unsat', ' 18.53s)']",[' 35.766s'], ,[' 3053031 '],"[' 846649   (Analyzed', ' 793450)']","[' 2111     (Average', ' 375.86 Last', ' 330)']",[' 1689.6  '],"[' 811      (Average Length', ' 465.05 Splits', ' 0)']","[' 793450   (Deleted', ' 773620)']","[' 24       (Ratio', '   0.00%)']","[' 706      (Ratio', '   0.09%)']","[' 793450   (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 793450   (Average', '  2.69 Max', ' 2743 Sum', ' 2133585)']","[' 793150   (Average', '  2.52 Max', ' 2187 Sum', ' 2003300 Ratio', '  93.89%)']","[' 300      (Average', ' 434.28 Max', ' 698 Sum', ' 130285 Ratio', '   6.11%)']", ,[' 78680   '],[' 2512    '],[' 73383   '],[' 23365   '],"[' 60624    (Atom=Atom', ' 18090 Body=Body', ' 10587 Other', ' 31947)']",[' Yes'],"[' 4040     (Eliminated', '    0 Frozen', ' 4040)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.69053'],[' 0'], ,[' 14.2194'],[' 0'],[' 0.316572'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.01313e+06'],[' 4.53388e+06'],[' 0'],[' 7.84819e+08'],[' 0'],[' 0'],[' 501 '],[' 833 '],[' 1143 '],[' 1522 '],[' 1909 '],[' 2272 '],[' 2541 '],[' 2874 '],[' 3261 '],[' 0 '],[' 9 ']
Solving...,TA66, , , ,[' 1541'],[' 780'],"[' 17.426s (Solving', ' 14.23s 1st Model', ' 1.75s Unsat', ' 0.82s)']",[' 17.250s'], ,[' 2119324 '],"[' 94120    (Analyzed', ' 61234)']","[' 332      (Average', ' 184.44 Last', ' 95)']",[' 1721.2  '],"[' 780      (Average Length', ' 451.97 Splits', ' 0)']","[' 61234    (Deleted', ' 50346)']","[' 18       (Ratio', '   0.03%)']","[' 423      (Ratio', '   0.69%)']","[' 61234    (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 61234    (Average', ' 20.39 Max', ' 2502 Sum', ' 1248421)']","[' 60903    (Average', ' 18.07 Max', ' 2136 Sum', ' 1106209 Ratio', '  88.61%)']","[' 331      (Average', ' 429.64 Max', ' 670 Sum', ' 142212 Ratio', '  11.39%)']", ,[' 78499   '],[' 2529    '],[' 73270   '],[' 23253   '],"[' 60763    (Atom=Atom', ' 18120 Body=Body', ' 10637 Other', ' 32006)']",[' Yes'],"[' 4032     (Eliminated', '    0 Frozen', ' 4032)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.658573'],[' 0'], ,[' 1.65498'],[' 0'],[' 0.132268'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.22778e+06'],[' 3.47481e+06'],[' 0'],[' 3.76218e+07'],[' 0'],[' 0'],[' 504 '],[' 844 '],[' 1198 '],[' 1560 '],[' 2010 '],[' 2380 '],[' 2681 '],[' 3029 '],[' 3375 '],[' 0 '],[' 9 ']
Solving...,TA67, , , ,[' 1497'],[' 758'],"[' 37.298s (Solving', ' 34.29s 1st Model', ' 1.46s Unsat', ' 22.62s)']",[' 37.219s'], ,[' 4470305 '],"[' 1847642  (Analyzed', ' 1728943)']","[' 4170     (Average', ' 414.61 Last', ' 864)']",[' 1681.8  '],"[' 758      (Average Length', ' 440.50 Splits', ' 0)']","[' 1728943  (Deleted', ' 1690783)']","[' 25       (Ratio', '   0.00%)']","[' 1078     (Ratio', '   0.06%)']","[' 1728943  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1728943  (Average', '  2.06 Max', ' 2575 Sum', ' 3565169)']","[' 1728533  (Average', '  1.96 Max', ' 2262 Sum', ' 3385205 Ratio', '  94.95%)']","[' 410      (Average', ' 438.94 Max', ' 652 Sum', ' 179964 Ratio', '   5.05%)']", ,[' 78764   '],[' 2586    '],[' 73515   '],[' 23428   '],"[' 61587    (Atom=Atom', ' 18331 Body=Body', ' 10808 Other', ' 32448)']",[' Yes'],"[' 4071     (Eliminated', '    0 Frozen', ' 4071)']","[' 97       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.576901'],[' 0'], ,[' 14.6596'],[' 0'],[' 0.425602'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09462e+07'],[' 6.19407e+06'],[' 0'],[' 9.44545e+08'],[' 0'],[' 0'],[' 528 '],[' 967 '],[' 1343 '],[' 1774 '],[' 2043 '],[' 2478 '],[' 2798 '],[' 3125 '],[' 3381 '],[' 0 '],[' 9 ']
Solving...,TA68, , , ,[' 1533'],[' 776'],"[' 16.899s (Solving', ' 13.50s 1st Model', ' 1.53s Unsat', ' 0.08s)']",[' 16.750s'], ,[' 1969364 '],"[' 39939    (Analyzed', ' 10514)']","[' 159      (Average', ' 66.13 Last', ' 1108)']",[' 1796.1  '],"[' 776      (Average Length', ' 454.05 Splits', ' 0)']","[' 10514    (Deleted', ' 1607)']","[' 16       (Ratio', '   0.15%)']","[' 230      (Ratio', '   2.19%)']","[' 10514    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10514    (Average', ' 94.31 Max', ' 2756 Sum', ' 991591)']","[' 10277    (Average', ' 86.62 Max', ' 2169 Sum', ' 910754 Ratio', '  91.85%)']","[' 237      (Average', ' 341.08 Max', ' 639 Sum', '  80837 Ratio', '   8.15%)']", ,[' 78467   '],[' 2469    '],[' 73109   '],[' 23211   '],"[' 59851    (Atom=Atom', ' 17881 Body=Body', ' 10457 Other', ' 31513)']",[' Yes'],"[' 3971     (Eliminated', '    0 Frozen', ' 3971)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.660034'],[' 0'], ,[' 1.304'],[' 0'],[' 0.117283'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9907e+06'],[' 3.32551e+06'],[' 0'],[' 2.39458e+07'],[' 0'],[' 0'],[' 534 '],[' 778 '],[' 1101 '],[' 1495 '],[' 1792 '],[' 2122 '],[' 2507 '],[' 2809 '],[' 3228 '],[' 0 '],[' 9 ']
Solving...,TA69, , , ,[' 1571'],[' 795'],"[' 80.751s (Solving', ' 77.96s 1st Model', ' 1.22s Unsat', ' 0.09s)']",[' 80.625s'], ,[' 10053998'],"[' 5971236  (Analyzed', ' 5932387)']","[' 12475    (Average', ' 475.54 Last', ' 1129)']",[' 1667.5  '],"[' 795      (Average Length', ' 458.77 Splits', ' 0)']","[' 5932387  (Deleted', ' 5837838)']","[' 7        (Ratio', '   0.00%)']","[' 529      (Ratio', '   0.01%)']","[' 5932387  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5932387  (Average', '  1.52 Max', ' 2395 Sum', ' 9042987)']","[' 5932028  (Average', '  1.50 Max', ' 2111 Sum', ' 8894346 Ratio', '  98.36%)']","[' 359      (Average', ' 414.04 Max', ' 674 Sum', ' 148641 Ratio', '   1.64%)']", ,[' 78217   '],[' 2543    '],[' 73146   '],[' 23121   '],"[' 61024    (Atom=Atom', ' 18198 Body=Body', ' 10680 Other', ' 32146)']",[' Yes'],"[' 4061     (Eliminated', '    0 Frozen', ' 4061)']","[' 54       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.589596'],[' 0'], ,[' 35.298'],[' 0'],[' 1.49631'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58355e+07'],[' 1.12588e+07'],[' 0'],[' 1.85239e+09'],[' 0'],[' 0'],[' 739 '],[' 984 '],[' 1451 '],[' 1827 '],[' 2124 '],[' 2443 '],[' 2717 '],[' 3105 '],[' 3494 '],[' 1 '],[' 8 ']
Solving...,TA70, , , ,[' 1769'],[' 894'],"[' 19.507s (Solving', ' 16.28s 1st Model', ' 1.57s Unsat', ' 2.88s)']",[' 19.359s'], ,[' 2510434 '],"[' 305317   (Analyzed', ' 255234)']","[' 919      (Average', ' 277.73 Last', ' 132)']",[' 1756.8  '],"[' 894      (Average Length', ' 504.94 Splits', ' 0)']","[' 255234   (Deleted', ' 240375)']","[' 40       (Ratio', '   0.02%)']","[' 677      (Ratio', '   0.27%)']","[' 255234   (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 255234   (Average', '  6.13 Max', ' 2768 Sum', ' 1565598)']","[' 254761   (Average', '  5.27 Max', ' 2097 Sum', ' 1345133 Ratio', '  85.92%)']","[' 473      (Average', ' 466.10 Max', ' 755 Sum', ' 220465 Ratio', '  14.08%)']", ,[' 77933   '],[' 2591    '],[' 73120   '],[' 23061   '],"[' 62101    (Atom=Atom', ' 18489 Body=Body', ' 10824 Other', ' 32788)']",[' Yes'],"[' 4182     (Eliminated', '    0 Frozen', ' 4182)']","[' 31       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.669974'],[' 0'], ,[' 2.87259'],[' 0'],[' 0.164029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.38695e+06'],[' 4.11462e+06'],[' 0'],[' 1.0971e+08'],[' 0'],[' 0'],[' 626 '],[' 981 '],[' 1368 '],[' 1798 '],[' 2294 '],[' 2590 '],[' 2988 '],[' 3236 '],[' 3547 '],[' 0 '],[' 9 ']
