Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA41,[' 1687+'],[' 848'],"[' 619.508s (Solving', ' 616.65s 1st Model', ' 1.56s Unsat', ' 116.00s)']",[' 618.656s'], ,[' 27794355'],"[' 13777571 (Analyzed', ' 13672721)']","[' 26125    (Average', ' 523.36 Last', ' 21910)']",[' 1598.2  '],"[' 848      (Average Length', ' 407.78 Splits', ' 0)']","[' 13672721 (Deleted', ' 13431944)']","[' 35       (Ratio', '   0.00%)']","[' 2508     (Ratio', '   0.02%)']","[' 13672721 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13672721 (Average', '  1.94 Max', ' 1786 Sum', ' 26468844)']","[' 13672488 (Average', '  1.93 Max', ' 1786 Sum', ' 26365951 Ratio', '  99.61%)']","[' 233      (Average', ' 441.60 Max', ' 595 Sum', ' 102893 Ratio', '   0.39%)']", ,[' 43145   '],[' 2801    '],[' 43342   '],[' 23611   '],"[' 70829    (Atom=Atom', ' 21408 Body=Body', ' 12071 Other', ' 37350)']",[' Yes'],"[' 3598     (Eliminated', '    0 Frozen', ' 3598)']","[' 248      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.591457'],[' 0'], ,[' 521.301'],[' 0'],[' 8.58137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.69124e+07'],[' 5.2714e+07'],[' 0'],[' 6.24167e+10'],[' 0'],[' 0'],[' 658 '],[' 1283 '],[' 2026 '],[' 2803 '],[' 2 '],[' 2 ']
Solving...,TA42, ,[' 1569'],[' 789'],"[' 28.112s (Solving', ' 25.99s 1st Model', ' 1.11s Unsat', ' 20.89s)']",[' 27.953s'], ,[' 3530007 '],"[' 1309077  (Analyzed', ' 1180003)']","[' 3108     (Average', ' 379.67 Last', ' 466)']",[' 1575.2  '],"[' 789      (Average Length', ' 378.26 Splits', ' 0)']","[' 1180003  (Deleted', ' 1149297)']","[' 58       (Ratio', '   0.00%)']","[' 1137     (Ratio', '   0.10%)']","[' 1180003  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1180003  (Average', '  2.12 Max', ' 1822 Sum', ' 2495969)']","[' 1179817  (Average', '  2.06 Max', ' 1822 Sum', ' 2431556 Ratio', '  97.42%)']","[' 186      (Average', ' 346.31 Max', ' 560 Sum', '  64413 Ratio', '   2.58%)']", ,[' 42655   '],[' 2698    '],[' 42788   '],[' 23107   '],"[' 69317    (Atom=Atom', ' 21007 Body=Body', ' 11968 Other', ' 36342)']",[' Yes'],"[' 3431     (Eliminated', '    0 Frozen', ' 3431)']","[' 65       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.533142'],[' 0'], ,[' 16.3323'],[' 0'],[' 0.414861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26323e+07'],[' 9.11068e+06'],[' 0'],[' 1.69045e+09'],[' 0'],[' 0'],[' 803 '],[' 1319 '],[' 1991 '],[' 2695 '],[' 0 '],[' 4 ']
UNKNOWN,TA43,[' 1563+'],[' 786'],"[' 345.955s (Solving', ' 343.87s 1st Model', ' 1.34s Unsat', ' 91.70s)']",[' 344.984s'], ,[' 11946179'],"[' 5749236  (Analyzed', ' 5669880)']","[' 12616    (Average', ' 449.42 Last', ' 2350)']",[' 1491.4  '],"[' 786      (Average Length', ' 378.62 Splits', ' 0)']","[' 5669880  (Deleted', ' 5550539)']","[' 65       (Ratio', '   0.00%)']","[' 2128     (Ratio', '   0.04%)']","[' 5669880  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5669880  (Average', '  1.93 Max', ' 1713 Sum', ' 10953913)']","[' 5669592  (Average', '  1.92 Max', ' 1713 Sum', ' 10865471 Ratio', '  99.19%)']","[' 288      (Average', ' 307.09 Max', ' 551 Sum', '  88442 Ratio', '   0.81%)']", ,[' 42883   '],[' 2778    '],[' 43025   '],[' 23078   '],"[' 69230    (Atom=Atom', ' 20898 Body=Body', ' 12048 Other', ' 36284)']",[' Yes'],"[' 3520     (Eliminated', '    0 Frozen', ' 3520)']","[' 251      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.55002'],[' 0'], ,[' 304.169'],[' 0'],[' 4.6033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.72572e+07'],[' 2.1219e+07'],[' 0'],[' 4.34987e+10'],[' 0'],[' 0'],[' 631 '],[' 1171 '],[' 1827 '],[' 2504 '],[' 1 '],[' 3 ']
UNKNOWN,TA44,[' 1535+'],[' 772'],"[' 755.110s (Solving', ' 752.79s 1st Model', ' 1.58s Unsat', ' 2.80s)']",[' 754.656s'], ,[' 60489562'],"[' 32579839 (Analyzed', ' 32502175)']","[' 58552    (Average', ' 555.10 Last', ' 12588)']",[' 1509.0  '],"[' 772      (Average Length', ' 367.31 Splits', ' 0)']","[' 32502175 (Deleted', ' 32090458)']","[' 51       (Ratio', '   0.00%)']","[' 3044     (Ratio', '   0.01%)']","[' 32502175 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32502175 (Average', '  1.81 Max', ' 1729 Sum', ' 58763640)']","[' 32501944 (Average', '  1.81 Max', ' 1729 Sum', ' 58699863 Ratio', '  99.89%)']","[' 231      (Average', ' 276.09 Max', ' 523 Sum', '  63777 Ratio', '   0.11%)']", ,[' 42704   '],[' 2782    '],[' 42814   '],[' 23074   '],"[' 69218    (Atom=Atom', ' 20890 Body=Body', ' 12052 Other', ' 36276)']",[' Yes'],"[' 3492     (Eliminated', '    0 Frozen', ' 3492)']","[' 433      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.54342'],[' 0'], ,[' 535.998'],[' 0'],[' 10.6054'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78451e+08'],[' 9.64457e+07'],[' 0'],[' 5.51882e+10'],[' 0'],[' 0'],[' 712 '],[' 1527 '],[' 2212 '],[' 2777 '],[' 3 '],[' 1 ']
Solving...,TA45, ,[' 1893'],[' 951'],"[' 506.487s (Solving', ' 503.78s 1st Model', ' 2.25s Unsat', ' 1.06s)']",[' 505.875s'], ,[' 24129347'],"[' 13066367 (Analyzed', ' 12957730)']","[' 25709    (Average', ' 504.02 Last', ' 2265)']",[' 1635.0  '],"[' 951      (Average Length', ' 454.58 Splits', ' 0)']","[' 12957730 (Deleted', ' 12718500)']","[' 56       (Ratio', '   0.00%)']","[' 2057     (Ratio', '   0.02%)']","[' 12957730 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12957730 (Average', '  1.75 Max', ' 1661 Sum', ' 22694798)']","[' 12957401 (Average', '  1.74 Max', ' 1661 Sum', ' 22567759 Ratio', '  99.44%)']","[' 329      (Average', ' 386.14 Max', ' 1208 Sum', ' 127039 Ratio', '   0.56%)']", ,[' 43117   '],[' 2789    '],[' 43395   '],[' 23360   '],"[' 70076    (Atom=Atom', ' 21169 Body=Body', ' 12059 Other', ' 36848)']",[' Yes'],"[' 3667     (Eliminated', '    0 Frozen', ' 3667)']","[' 298      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.678383'],[' 0'], ,[' 413.793'],[' 0'],[' 6.74146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.61506e+07'],[' 4.35427e+07'],[' 0'],[' 4.58299e+10'],[' 0'],[' 0'],[' 595 '],[' 1347 '],[' 1928 '],[' 2513 '],[' 2 '],[' 2 ']
UNKNOWN,TA46,[' 1805+'],[' 907'],"[' 752.608s (Solving', ' 750.20s 1st Model', ' 2.17s Unsat', ' 0.09s)']",[' 752.016s'], ,[' 64346749'],"[' 30954824 (Analyzed', ' 30889858)']","[' 54171    (Average', ' 570.23 Last', ' 33128)']",[' 1546.0  '],"[' 907      (Average Length', ' 430.73 Splits', ' 0)']","[' 30889858 (Deleted', ' 30467047)']","[' 50       (Ratio', '   0.00%)']","[' 3918     (Ratio', '   0.01%)']","[' 30889858 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30889858 (Average', '  2.02 Max', ' 1638 Sum', ' 62536042)']","[' 30889567 (Average', '  2.02 Max', ' 1638 Sum', ' 62429727 Ratio', '  99.83%)']","[' 291      (Average', ' 365.34 Max', ' 580 Sum', ' 106315 Ratio', '   0.17%)']", ,[' 43138   '],[' 2825    '],[' 43376   '],[' 23356   '],"[' 70064    (Atom=Atom', ' 21129 Body=Body', ' 12095 Other', ' 36840)']",[' Yes'],"[' 3663     (Eliminated', '    0 Frozen', ' 3663)']","[' 574      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.649497'],[' 0'], ,[' 553.666'],[' 0'],[' 11.5573'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93888e+08'],[' 1.11485e+08'],[' 0'],[' 6.26006e+10'],[' 0'],[' 0'],[' 748 '],[' 1635 '],[' 2056 '],[' 2728 '],[' 3 '],[' 1 ']
Solving...,TA47, ,[' 1965'],[' 987'],"[' 458.384s (Solving', ' 455.79s 1st Model', ' 2.25s Unsat', ' 200.09s)']",[' 457.313s'], ,[' 38287874'],"[' 21760115 (Analyzed', ' 21657440)']","[' 38982    (Average', ' 555.58 Last', ' 51009)']",[' 1572.1  '],"[' 987      (Average Length', ' 471.61 Splits', ' 0)']","[' 21657440 (Deleted', ' 21329544)']","[' 57       (Ratio', '   0.00%)']","[' 2212     (Ratio', '   0.01%)']","[' 21657440 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21657440 (Average', '  1.70 Max', ' 1735 Sum', ' 36750887)']","[' 21657174 (Average', '  1.69 Max', ' 1735 Sum', ' 36645584 Ratio', '  99.71%)']","[' 266      (Average', ' 395.88 Max', ' 735 Sum', ' 105303 Ratio', '   0.29%)']", ,[' 43163   '],[' 2811    '],[' 43465   '],[' 23512   '],"[' 70532    (Atom=Atom', ' 21299 Body=Body', ' 12081 Other', ' 37152)']",[' Yes'],"[' 3713     (Eliminated', '    0 Frozen', ' 3713)']","[' 364      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.639608'],[' 0'], ,[' 299.85'],[' 0'],[' 6.95276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2033e+08'],[' 6.68928e+07'],[' 0'],[' 3.11025e+10'],[' 0'],[' 0'],[' 694 '],[' 1240 '],[' 1835 '],[' 2537 '],[' 1 '],[' 3 ']
Solving...,TA48, ,[' 1605'],[' 807'],"[' 258.283s (Solving', ' 256.03s 1st Model', ' 1.52s Unsat', ' 1.22s)']",[' 257.547s'], ,[' 34994411'],"[' 18131063 (Analyzed', ' 18060464)']","[' 31050    (Average', ' 581.66 Last', ' 1256)']",[' 1570.8  '],"[' 807      (Average Length', ' 384.34 Splits', ' 0)']","[' 18060464 (Deleted', ' 17819217)']","[' 48       (Ratio', '   0.00%)']","[' 1653     (Ratio', '   0.01%)']","[' 18060464 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18060464 (Average', '  1.86 Max', ' 1700 Sum', ' 33546047)']","[' 18060204 (Average', '  1.85 Max', ' 1700 Sum', ' 33470555 Ratio', '  99.77%)']","[' 260      (Average', ' 290.35 Max', ' 545 Sum', '  75492 Ratio', '   0.23%)']", ,[' 42674   '],[' 2738    '],[' 42823   '],[' 22923   '],"[' 68765    (Atom=Atom', ' 20783 Body=Body', ' 12008 Other', ' 35974)']",[' Yes'],"[' 3487     (Eliminated', '    0 Frozen', ' 3487)']","[' 289      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.589431'],[' 0'], ,[' 142.639'],[' 0'],[' 4.29516'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09226e+08'],[' 6.04622e+07'],[' 0'],[' 9.13982e+09'],[' 0'],[' 0'],[' 833 '],[' 1407 '],[' 1923 '],[' 2493 '],[' 1 '],[' 3 ']
UNKNOWN,TA49,[' 1747+'],[' 878'],"[' 556.506s (Solving', ' 553.97s 1st Model', ' 2.08s Unsat', ' 53.49s)']",[' 556.125s'], ,[' 29405490'],"[' 13256466 (Analyzed', ' 13151313)']","[' 25694    (Average', ' 511.84 Last', ' 58307)']",[' 1616.6  '],"[' 878      (Average Length', ' 423.19 Splits', ' 0)']","[' 13151313 (Deleted', ' 12924965)']","[' 47       (Ratio', '   0.00%)']","[' 2880     (Ratio', '   0.02%)']","[' 13151313 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13151313 (Average', '  2.13 Max', ' 1830 Sum', ' 28021013)']","[' 13151081 (Average', '  2.12 Max', ' 1830 Sum', ' 27931799 Ratio', '  99.68%)']","[' 232      (Average', ' 384.54 Max', ' 618 Sum', '  89214 Ratio', '   0.32%)']", ,[' 43417   '],[' 2858    '],[' 43644   '],[' 23744   '],"[' 71228    (Atom=Atom', ' 21484 Body=Body', ' 12128 Other', ' 37616)']",[' Yes'],"[' 3685     (Eliminated', '    0 Frozen', ' 3685)']","[' 287      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.611922'],[' 0'], ,[' 462.29'],[' 0'],[' 7.92973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.35836e+07'],[' 5.88861e+07'],[' 0'],[' 6.27745e+10'],[' 0'],[' 0'],[' 716 '],[' 1314 '],[' 1957 '],[' 2688 '],[' 2 '],[' 2 ']
UNKNOWN,TA50,[' 1623+'],[' 816'],"[' 554.778s (Solving', ' 552.65s 1st Model', ' 1.38s Unsat', ' 51.64s)']",[' 554.047s'], ,[' 25974971'],"[' 14094038 (Analyzed', ' 14013677)']","[' 26513    (Average', ' 528.56 Last', ' 50701)']",[' 1481.3  '],"[' 816      (Average Length', ' 396.02 Splits', ' 0)']","[' 14013677 (Deleted', ' 13789138)']","[' 44       (Ratio', '   0.00%)']","[' 2103     (Ratio', '   0.02%)']","[' 14013677 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14013677 (Average', '  1.77 Max', ' 1719 Sum', ' 24805800)']","[' 14013471 (Average', '  1.76 Max', ' 1719 Sum', ' 24717658 Ratio', '  99.64%)']","[' 206      (Average', ' 427.87 Max', ' 624 Sum', '  88142 Ratio', '   0.36%)']", ,[' 42647   '],[' 2731    '],[' 42815   '],[' 23177   '],"[' 69527    (Atom=Atom', ' 21044 Body=Body', ' 12001 Other', ' 36482)']",[' Yes'],"[' 3499     (Eliminated', '    0 Frozen', ' 3499)']","[' 246      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.527288'],[' 0'], ,[' 452.931'],[' 0'],[' 7.46971'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.16702e+07'],[' 4.67649e+07'],[' 0'],[' 5.69193e+10'],[' 0'],[' 0'],[' 560 '],[' 1240 '],[' 1838 '],[' 2591 '],[' 2 '],[' 2 ']
