Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 5287+'],[' 2646'],"[' 605.277s (Solving', ' 584.93s 1st Model', ' 503.94s Unsat', ' 0.00s)']",[' 601.203s'], ,[' 306830696'],"[' 1403638  (Analyzed', ' 1121843)']","[' 4757     (Average', ' 235.83 Last', ' 189616)']",[' 7500.7  '],"[' 2646     (Average Length', ' 1300.03 Splits', ' 0)']","[' 1121843  (Deleted', ' 1060706)']","[' 237      (Ratio', '   0.02%)']","[' 55597    (Ratio', '   4.96%)']","[' 1121843  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1121843  (Average', ' 258.95 Max', ' 8473 Sum', ' 290504711)']","[' 1121395  (Average', ' 258.46 Max', ' 8473 Sum', ' 289947535 Ratio', '  99.81%)']","[' 448      (Average', ' 1243.70 Max', ' 1246 Sum', ' 557176 Ratio', '   0.19%)']", ,[' 127134  '],[' 11938   '],[' 127421  '],[' 69187   '],"[' 233253   (Atom=Atom', ' 64055 Body=Body', ' 41886 Other', ' 127312)']",[' Yes'],"[' 14451    (Eliminated', '    0 Frozen', ' 14451)']","[' 5214     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.87036'],[' 0'], ,[' 177.096'],[' 0'],[' 19.987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.82223e+08'],[' 8.01507e+08'],[' 0'],[' 3.39538e+09'],[' 0'],[' 0'],[' 1685 '],[' 3306 '],[' 2 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 5649+'],[' 2827'],"[' 606.598s (Solving', ' 581.87s 1st Model', ' 405.15s Unsat', ' 0.00s)']",[' 603.859s'], ,[' 305346608'],"[' 1956837  (Analyzed', ' 1173763)']","[' 5207     (Average', ' 225.42 Last', ' 232102)']",[' 8230.6  '],"[' 2827     (Average Length', ' 1381.80 Splits', ' 0)']","[' 1173763  (Deleted', ' 1106274)']","[' 266      (Ratio', '   0.02%)']","[' 57222    (Ratio', '   4.88%)']","[' 1173763  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1173763  (Average', ' 243.16 Max', ' 9075 Sum', ' 285414044)']","[' 1173335  (Average', ' 242.74 Max', ' 8583 Sum', ' 284915424 Ratio', '  99.83%)']","[' 428      (Average', ' 1165.00 Max', ' 1165 Sum', ' 498620 Ratio', '   0.17%)']", ,[' 127548  '],[' 11973   '],[' 128006  '],[' 69476   '],"[' 234041   (Atom=Atom', ' 64252 Body=Body', ' 41903 Other', ' 127886)']",[' Yes'],"[' 14669    (Eliminated', '    0 Frozen', ' 14669)']","[' 5803     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.59636'],[' 0'], ,[' 176.223'],[' 0'],[' 19.8303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.57756e+08'],[' 7.78502e+08'],[' 0'],[' 3.8513e+09'],[' 0'],[' 0'],[' 1860 '],[' 3308 '],[' 2 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 5235+'],[' 2620'],"[' 605.035s (Solving', ' 584.33s 1st Model', ' 309.73s Unsat', ' 0.00s)']",[' 602.547s'], ,[' 317775504'],"[' 1808250  (Analyzed', ' 1278878)']","[' 4821     (Average', ' 265.27 Last', ' 123713)']",[' 7956.8  '],"[' 2620     (Average Length', ' 1281.70 Splits', ' 0)']","[' 1278878  (Deleted', ' 1214138)']","[' 253      (Ratio', '   0.02%)']","[' 54701    (Ratio', '   4.28%)']","[' 1278878  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1278878  (Average', ' 234.54 Max', ' 8365 Sum', ' 299947740)']","[' 1278490  (Average', ' 234.21 Max', ' 8363 Sum', ' 299531804 Ratio', '  99.86%)']","[' 388      (Average', ' 1072.00 Max', ' 1072 Sum', ' 415936 Ratio', '   0.14%)']", ,[' 126454  '],[' 11840   '],[' 126768  '],[' 68671   '],"[' 231851   (Atom=Atom', ' 63759 Body=Body', ' 41614 Other', ' 126478)']",[' Yes'],"[' 14348    (Eliminated', '    0 Frozen', ' 14348)']","[' 4625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.03507'],[' 0'], ,[' 178.245'],[' 0'],[' 20.4166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.96672e+08'],[' 8.12538e+08'],[' 0'],[' 3.74276e+09'],[' 0'],[' 0'],[' 1570 '],[' 3172 '],[' 2 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 5063+'],[' 2534'],"[' 604.780s (Solving', ' 587.08s 1st Model', ' 478.42s Unsat', ' 0.00s)']",[' 602.406s'], ,[' 336997261'],"[' 1491436  (Analyzed', ' 1194401)']","[' 4890     (Average', ' 244.25 Last', ' 198598)']",[' 7429.2  '],"[' 2534     (Average Length', ' 1242.61 Splits', ' 0)']","[' 1194401  (Deleted', ' 1125073)']","[' 214      (Ratio', '   0.02%)']","[' 60754    (Ratio', '   5.09%)']","[' 1194401  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1194401  (Average', ' 269.09 Max', ' 8185 Sum', ' 321398130)']","[' 1193928  (Average', ' 268.58 Max', ' 8185 Sum', ' 320795528 Ratio', '  99.81%)']","[' 473      (Average', ' 1274.00 Max', ' 1274 Sum', ' 602602 Ratio', '   0.19%)']", ,[' 127015  '],[' 11941   '],[' 127160  '],[' 69084   '],"[' 232965   (Atom=Atom', ' 63958 Body=Body', ' 41899 Other', ' 127108)']",[' Yes'],"[' 14340    (Eliminated', '    0 Frozen', ' 14340)']","[' 5774     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.55004'],[' 0'], ,[' 175.165'],[' 0'],[' 20.6822'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01273e+09'],[' 9.2386e+08'],[' 0'],[' 3.77742e+09'],[' 0'],[' 0'],[' 1679 '],[' 3197 '],[' 2 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 5473+'],[' 2739'],"[' 606.670s (Solving', ' 581.09s 1st Model', ' 456.37s Unsat', ' 0.00s)']",[' 599.875s'], ,[' 305565270'],"[' 1557637  (Analyzed', ' 1253933)']","[' 4962     (Average', ' 252.71 Last', ' 460397)']",[' 8096.2  '],"[' 2739     (Average Length', ' 1345.18 Splits', ' 0)']","[' 1253933  (Deleted', ' 1185860)']","[' 286      (Ratio', '   0.02%)']","[' 57123    (Ratio', '   4.56%)']","[' 1253933  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1253933  (Average', ' 228.88 Max', ' 8585 Sum', ' 287000642)']","[' 1253519  (Average', ' 228.54 Max', ' 8547 Sum', ' 286570082 Ratio', '  99.85%)']","[' 414      (Average', ' 1040.00 Max', ' 1040 Sum', ' 430560 Ratio', '   0.15%)']", ,[' 127746  '],[' 12016   '],[' 128099  '],[' 69640   '],"[' 234464   (Atom=Atom', ' 64317 Body=Body', ' 42053 Other', ' 128094)']",[' Yes'],"[' 14622    (Eliminated', '    0 Frozen', ' 14622)']","[' 5447     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.81574'],[' 0'], ,[' 174.789'],[' 0'],[' 19.8654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.75104e+08'],[' 7.93453e+08'],[' 0'],[' 3.5322e+09'],[' 0'],[' 0'],[' 1831 '],[' 3300 '],[' 2 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 5261+'],[' 2633'],"[' 605.786s (Solving', ' 584.28s 1st Model', ' 249.21s Unsat', ' 0.00s)']",[' 603.766s'], ,[' 318065822'],"[' 2201000  (Analyzed', ' 1921085)']","[' 5652     (Average', ' 339.89 Last', ' 40647)']",[' 8022.7  '],"[' 2633     (Average Length', ' 1293.56 Splits', ' 0)']","[' 1921085  (Deleted', ' 1855070)']","[' 314      (Ratio', '   0.02%)']","[' 54961    (Ratio', '   2.86%)']","[' 1921085  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1921085  (Average', ' 156.29 Max', ' 8355 Sum', ' 300238719)']","[' 1920686  (Average', ' 156.08 Max', ' 8355 Sum', ' 299846103 Ratio', '  99.87%)']","[' 399      (Average', ' 984.00 Max', ' 984 Sum', ' 392616 Ratio', '   0.13%)']", ,[' 126519  '],[' 11848   '],[' 126826  '],[' 68651   '],"[' 231697   (Atom=Atom', ' 63680 Body=Body', ' 41519 Other', ' 126498)']",[' Yes'],"[' 14353    (Eliminated', '    0 Frozen', ' 14353)']","[' 4999     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.10612'],[' 0'], ,[' 188.578'],[' 0'],[' 20.4936'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.70602e+08'],[' 7.84203e+08'],[' 0'],[' 4.3696e+09'],[' 0'],[' 0'],[' 1946 '],[' 3343 '],[' 2 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 5327+'],[' 2666'],"[' 605.862s (Solving', ' 583.70s 1st Model', ' 211.06s Unsat', ' 0.00s)']",[' 603.359s'], ,[' 319794091'],"[' 1659392  (Analyzed', ' 1463016)']","[' 4222     (Average', ' 346.52 Last', ' 84850)']",[' 8327.8  '],"[' 2666     (Average Length', ' 1314.22 Splits', ' 0)']","[' 1463016  (Deleted', ' 1390652)']","[' 317      (Ratio', '   0.02%)']","[' 57338    (Ratio', '   3.92%)']","[' 1463016  (Average Length', '   27.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1463016  (Average', ' 205.86 Max', ' 8536 Sum', ' 301169430)']","[' 1462549  (Average', ' 205.55 Max', ' 8536 Sum', ' 300722044 Ratio', '  99.85%)']","[' 467      (Average', ' 958.00 Max', ' 958 Sum', ' 447386 Ratio', '   0.15%)']", ,[' 127084  '],[' 11928   '],[' 127422  '],[' 69116   '],"[' 232930   (Atom=Atom', ' 63944 Body=Body', ' 41756 Other', ' 127230)']",[' Yes'],"[' 14492    (Eliminated', '    0 Frozen', ' 14492)']","[' 5416     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.23956'],[' 0'], ,[' 178.209'],[' 0'],[' 20.5025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.01044e+08'],[' 8.22772e+08'],[' 0'],[' 3.87942e+09'],[' 0'],[' 0'],[' 2035 '],[' 3493 '],[' 2 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 5171+'],[' 2588'],"[' 605.983s (Solving', ' 583.21s 1st Model', ' 455.74s Unsat', ' 0.00s)']",[' 602.484s'], ,[' 308623625'],"[' 1708764  (Analyzed', ' 1134346)']","[' 4761     (Average', ' 238.26 Last', ' 187616)']",[' 8027.6  '],"[' 2588     (Average Length', ' 1274.96 Splits', ' 0)']","[' 1134346  (Deleted', ' 1073876)']","[' 264      (Ratio', '   0.02%)']","[' 54188    (Ratio', '   4.78%)']","[' 1134346  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1134346  (Average', ' 256.39 Max', ' 8383 Sum', ' 290835174)']","[' 1133867  (Average', ' 255.96 Max', ' 8383 Sum', ' 290346594 Ratio', '  99.83%)']","[' 479      (Average', ' 1020.00 Max', ' 1020 Sum', ' 488580 Ratio', '   0.17%)']", ,[' 127007  '],[' 11929   '],[' 127261  '],[' 69071   '],"[' 233086   (Atom=Atom', ' 64043 Body=Body', ' 41935 Other', ' 127108)']",[' Yes'],"[' 14415    (Eliminated', '    0 Frozen', ' 14415)']","[' 5475     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.37299'],[' 0'], ,[' 176.592'],[' 0'],[' 20.5578'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.47208e+08'],[' 7.70088e+08'],[' 0'],[' 3.54676e+09'],[' 0'],[' 0'],[' 1770 '],[' 3452 '],[' 2 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 5209+'],[' 2607'],"[' 605.677s (Solving', ' 583.12s 1st Model', ' 405.77s Unsat', ' 0.00s)']",[' 599.281s'], ,[' 314570598'],"[' 1295474  (Analyzed', ' 1060608)']","[' 4440     (Average', ' 238.88 Last', ' 93391)']",[' 7946.0  '],"[' 2607     (Average Length', ' 1276.19 Splits', ' 0)']","[' 1060608  (Deleted', ' 995854)']","[' 247      (Ratio', '   0.02%)']","[' 56567    (Ratio', '   5.33%)']","[' 1060608  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1060608  (Average', ' 280.31 Max', ' 8343 Sum', ' 297301551)']","[' 1060115  (Average', ' 279.80 Max', ' 8343 Sum', ' 296761223 Ratio', '  99.82%)']","[' 493      (Average', ' 1096.00 Max', ' 1096 Sum', ' 540328 Ratio', '   0.18%)']", ,[' 126785  '],[' 11894   '],[' 127036  '],[' 68872   '],"[' 232410   (Atom=Atom', ' 63857 Body=Body', ' 41729 Other', ' 126824)']",[' Yes'],"[' 14373    (Eliminated', '    0 Frozen', ' 14373)']","[' 5202     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.34543'],[' 0'], ,[' 172.127'],[' 0'],[' 20.2546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.01955e+08'],[' 8.2318e+08'],[' 0'],[' 3.29738e+09'],[' 0'],[' 0'],[' 1617 '],[' 3286 '],[' 2 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 6119+'],[' 3062'],"[' 606.377s (Solving', ' 583.24s 1st Model', ' 457.49s Unsat', ' 0.00s)']",[' 604.922s'], ,[' 338246658'],"[' 1808836  (Analyzed', ' 1201644)']","[' 5262     (Average', ' 228.36 Last', ' 141232)']",[' 8077.6  '],"[' 3062     (Average Length', ' 1492.79 Splits', ' 0)']","[' 1201644  (Deleted', ' 1135712)']","[' 233      (Ratio', '   0.02%)']","[' 59301    (Ratio', '   4.93%)']","[' 1201644  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1201644  (Average', ' 264.47 Max', ' 9178 Sum', ' 317801539)']","[' 1201210  (Average', ' 263.99 Max', ' 8687 Sum', ' 317226489 Ratio', '  99.82%)']","[' 434      (Average', ' 1325.00 Max', ' 1325 Sum', ' 575050 Ratio', '   0.18%)']", ,[' 127468  '],[' 11927   '],[' 128109  '],[' 69538   '],"[' 234431   (Atom=Atom', ' 64485 Body=Body', ' 41898 Other', ' 128048)']",[' Yes'],"[' 14799    (Eliminated', '    0 Frozen', ' 14799)']","[' 5912     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.51777'],[' 0'], ,[' 172.22'],[' 0'],[' 20.3834'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01348e+09'],[' 9.2392e+08'],[' 0'],[' 3.93644e+09'],[' 0'],[' 0'],[' 1684 '],[' 3332 '],[' 2 '],[' 0 ']
