Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1117'],[' 568'],"[' 10.093s (Solving', ' 6.81s 1st Model', ' 0.83s Unsat', ' 1.42s)']",[' 9.984s'], ,[' 1152283 '],"[' 269021   (Analyzed', ' 121163)']","[' 884      (Average', ' 137.06 Last', ' 83)']",[' 1212.5  '],"[' 568      (Average Length', ' 274.29 Splits', ' 0)']","[' 121163   (Deleted', ' 108802)']","[' 56       (Ratio', '   0.05%)']","[' 478      (Ratio', '   0.39%)']","[' 121163   (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 121163   (Average', '  4.01 Max', ' 1425 Sum', ' 486125)']","[' 121092   (Average', '  3.94 Max', ' 1425 Sum', ' 477129 Ratio', '  98.15%)']","[' 71       (Average', ' 126.70 Max', ' 511 Sum', '   8996 Ratio', '   1.85%)']", ,[' 72887   '],[' 2620    '],[' 72680   '],[' 41378   '],"[' 124130   (Atom=Atom', ' 39506 Body=Body', ' 21695 Other', ' 62929)']",[' Yes'],"[' 3163     (Eliminated', '    0 Frozen', ' 3163)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.675145'],[' 0'], ,[' 3.23824'],[' 0'],[' 0.0848363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.41357e+06'],[' 7.66911e+06'],[' 0'],[' 2.31074e+08'],[' 0'],[' 0'],[' 609 '],[' 1070 '],[' 1370 '],[' 1813 '],[' 2268 '],[' 2694 '],[' 3060 '],[' 3352 '],[' 3597 '],[' 0 '],[' 9 ']
Solving...,TA52, , ,[' 1093'],[' 556'],"[' 11.522s (Solving', ' 7.93s 1st Model', ' 0.91s Unsat', ' 0.78s)']",[' 11.422s'], ,[' 1150139 '],"[' 367169   (Analyzed', ' 56576)']","[' 706      (Average', ' 80.14 Last', ' 423)']",[' 1246.4  '],"[' 556      (Average Length', ' 267.76 Splits', ' 0)']","[' 56576    (Deleted', ' 50571)']","[' 82       (Ratio', '   0.14%)']","[' 700      (Ratio', '   1.24%)']","[' 56576    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 56576    (Average', '  5.32 Max', ' 836 Sum', ' 301249)']","[' 56495    (Average', '  5.31 Max', ' 836 Sum', ' 300535 Ratio', '  99.76%)']","[' 81       (Average', '  8.81 Max', ' 114 Sum', '    714 Ratio', '   0.24%)']", ,[' 72942   '],[' 2627    '],[' 72723   '],[' 41251   '],"[' 123749   (Atom=Atom', ' 39372 Body=Body', ' 21702 Other', ' 62675)']",[' Yes'],"[' 3158     (Eliminated', '    0 Frozen', ' 3158)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.715727'],[' 0'], ,[' 4.87766'],[' 0'],[' 0.0843994'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.84447e+06'],[' 8.06102e+06'],[' 0'],[' 3.99395e+08'],[' 0'],[' 0'],[' 540 '],[' 932 '],[' 1339 '],[' 1888 '],[' 2309 '],[' 2692 '],[' 3085 '],[' 3406 '],[' 3670 '],[' 0 '],[' 9 ']
Solving...,TA53, , ,[' 1199'],[' 609'],"[' 70.319s (Solving', ' 67.22s 1st Model', ' 1.33s Unsat', ' 62.33s)']",[' 70.031s'], ,[' 8669080 '],"[' 5767210  (Analyzed', ' 5750069)']","[' 10499    (Average', ' 547.68 Last', ' 340)']",[' 1336.6  '],"[' 609      (Average Length', ' 291.09 Splits', ' 0)']","[' 5750069  (Deleted', ' 5670173)']","[' 94       (Ratio', '   0.00%)']","[' 886      (Ratio', '   0.02%)']","[' 5750069  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5750069  (Average', '  1.38 Max', ' 1753 Sum', ' 7917131)']","[' 5749942  (Average', '  1.38 Max', ' 1753 Sum', ' 7907440 Ratio', '  99.88%)']","[' 127      (Average', ' 76.31 Max', ' 414 Sum', '   9691 Ratio', '   0.12%)']", ,[' 72766   '],[' 2629    '],[' 72594   '],[' 41038   '],"[' 123110   (Atom=Atom', ' 39157 Body=Body', ' 21704 Other', ' 62249)']",[' Yes'],"[' 3207     (Eliminated', '    0 Frozen', ' 3207)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.797241'],[' 0'], ,[' 29.8546'],[' 0'],[' 1.0173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.05029e+07'],[' 1.75849e+07'],[' 0'],[' 1.80878e+09'],[' 0'],[' 0'],[' 523 '],[' 918 '],[' 1441 '],[' 1746 '],[' 2134 '],[' 2508 '],[' 2989 '],[' 3335 '],[' 3639 '],[' 0 '],[' 9 ']
Solving...,TA54, , ,[' 1323'],[' 671'],"[' 13.321s (Solving', ' 9.78s 1st Model', ' 1.26s Unsat', ' 0.10s)']",[' 13.156s'], ,[' 1376259 '],"[' 397691   (Analyzed', ' 7960)']","[' 532      (Average', ' 14.96 Last', ' 92)']",[' 1361.2  '],"[' 671      (Average Length', ' 319.58 Splits', ' 0)']","[' 7960     (Deleted', ' 0)']","[' 99       (Ratio', '   1.24%)']","[' 543      (Ratio', '   6.82%)']","[' 7960     (Average Length', '    6.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7960     (Average', ' 37.38 Max', ' 883 Sum', ' 297549)']","[' 7862     (Average', ' 37.32 Max', ' 883 Sum', ' 297039 Ratio', '  99.83%)']","[' 98       (Average', '  5.20 Max', ' 147 Sum', '    510 Ratio', '   0.17%)']", ,[' 73172   '],[' 2623    '],[' 73053   '],[' 41264   '],"[' 123788   (Atom=Atom', ' 39389 Body=Body', ' 21698 Other', ' 62701)']",[' Yes'],"[' 3254     (Eliminated', '    0 Frozen', ' 3254)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.918678'],[' 0'], ,[' 6.05044'],[' 0'],[' 0.098958'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15127e+07'],[' 1.06781e+07'],[' 0'],[' 4.75842e+08'],[' 0'],[' 0'],[' 535 '],[' 944 '],[' 1395 '],[' 1796 '],[' 2135 '],[' 2478 '],[' 2766 '],[' 3111 '],[' 3339 '],[' 0 '],[' 9 ']
Solving...,TA55, , ,[' 1275'],[' 647'],"[' 9.625s (Solving', ' 6.49s 1st Model', ' 1.22s Unsat', ' 0.65s)']",[' 9.484s'], ,[' 1271065 '],"[' 196198   (Analyzed', ' 57797)']","[' 622      (Average', ' 92.92 Last', ' 189)']",[' 1248.6  '],"[' 647      (Average Length', ' 311.30 Splits', ' 0)']","[' 57797    (Deleted', ' 43069)']","[' 92       (Ratio', '   0.16%)']","[' 706      (Ratio', '   1.22%)']","[' 57797    (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 57797    (Average', '  9.25 Max', ' 1743 Sum', ' 534563)']","[' 57699    (Average', '  9.20 Max', ' 1743 Sum', ' 531604 Ratio', '  99.45%)']","[' 98       (Average', ' 30.19 Max', ' 373 Sum', '   2959 Ratio', '   0.55%)']", ,[' 72466   '],[' 2603    '],[' 72330   '],[' 40984   '],"[' 122948   (Atom=Atom', ' 39129 Body=Body', ' 21678 Other', ' 62141)']",[' Yes'],"[' 3217     (Eliminated', '    0 Frozen', ' 3217)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.798033'],[' 0'], ,[' 2.80037'],[' 0'],[' 0.0852446'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.73464e+06'],[' 9.06178e+06'],[' 0'],[' 1.78189e+08'],[' 0'],[' 0'],[' 491 '],[' 855 '],[' 1267 '],[' 1681 '],[' 2138 '],[' 2542 '],[' 2921 '],[' 3239 '],[' 3485 '],[' 0 '],[' 9 ']
Solving...,TA56, , ,[' 1079'],[' 549'],"[' 11.037s (Solving', ' 7.92s 1st Model', ' 1.06s Unsat', ' 0.60s)']",[' 10.859s'], ,[' 1144861 '],"[' 370337   (Analyzed', ' 55711)']","[' 709      (Average', ' 78.58 Last', ' 352)']",[' 1284.8  '],"[' 549      (Average Length', ' 268.07 Splits', ' 0)']","[' 55711    (Deleted', ' 43467)']","[' 71       (Ratio', '   0.13%)']","[' 434      (Ratio', '   0.78%)']","[' 55711    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 55711    (Average', '  5.02 Max', ' 1038 Sum', ' 279685)']","[' 55642    (Average', '  5.02 Max', ' 1038 Sum', ' 279616 Ratio', '  99.98%)']","[' 69       (Average', '  1.00 Max', '   1 Sum', '     69 Ratio', '   0.02%)']", ,[' 72724   '],[' 2616    '],[' 72507   '],[' 41223   '],"[' 123665   (Atom=Atom', ' 39355 Body=Body', ' 21691 Other', ' 62619)']",[' Yes'],"[' 3149     (Eliminated', '    0 Frozen', ' 3149)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.747054'],[' 0'], ,[' 4.71391'],[' 0'],[' 0.0848019'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.12068e+06'],[' 8.33953e+06'],[' 0'],[' 3.67203e+08'],[' 0'],[' 0'],[' 634 '],[' 998 '],[' 1458 '],[' 1822 '],[' 2182 '],[' 2488 '],[' 2838 '],[' 3193 '],[' 3453 '],[' 0 '],[' 9 ']
Solving...,TA57, , ,[' 1189'],[' 604'],"[' 8.184s (Solving', ' 5.05s 1st Model', ' 1.48s Unsat', ' 0.29s)']",[' 8.203s'], ,[' 1197529 '],"[' 51904    (Analyzed', ' 18651)']","[' 190      (Average', ' 98.16 Last', ' 1006)']",[' 1255.5  '],"[' 604      (Average Length', ' 290.04 Splits', ' 0)']","[' 18651    (Deleted', ' 3830)']","[' 73       (Ratio', '   0.39%)']","[' 601      (Ratio', '   3.22%)']","[' 18651    (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18651    (Average', ' 32.00 Max', ' 1725 Sum', ' 596860)']","[' 18557    (Average', ' 31.59 Max', ' 1725 Sum', ' 589124 Ratio', '  98.70%)']","[' 94       (Average', ' 82.30 Max', ' 528 Sum', '   7736 Ratio', '   1.30%)']", ,[' 72708   '],[' 2616    '],[' 72534   '],[' 41010   '],"[' 123026   (Atom=Atom', ' 39142 Body=Body', ' 21691 Other', ' 62193)']",[' Yes'],"[' 3192     (Eliminated', '    0 Frozen', ' 3192)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.755599'],[' 0'], ,[' 1.95628'],[' 0'],[' 0.0755686'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.06977e+06'],[' 8.59458e+06'],[' 0'],[' 9.11044e+07'],[' 0'],[' 0'],[' 600 '],[' 1022 '],[' 1331 '],[' 1775 '],[' 2166 '],[' 2525 '],[' 2899 '],[' 3264 '],[' 3517 '],[' 0 '],[' 9 ']
Solving...,TA58, , ,[' 1153'],[' 586'],"[' 12.466s (Solving', ' 9.68s 1st Model', ' 1.13s Unsat', ' 2.39s)']",[' 12.359s'], ,[' 1203687 '],"[' 419587   (Analyzed', ' 66914)']","[' 749      (Average', ' 89.34 Last', ' 61)']",[' 1236.0  '],"[' 586      (Average Length', ' 284.41 Splits', ' 0)']","[' 66914    (Deleted', ' 55554)']","[' 68       (Ratio', '   0.10%)']","[' 682      (Ratio', '   1.02%)']","[' 66914    (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 66914    (Average', '  4.46 Max', ' 681 Sum', ' 298520)']","[' 66846    (Average', '  4.46 Max', ' 681 Sum', ' 298111 Ratio', '  99.86%)']","[' 68       (Average', '  6.01 Max', ' 342 Sum', '    409 Ratio', '   0.14%)']", ,[' 72915   '],[' 2629    '],[' 72729   '],[' 41147   '],"[' 123437   (Atom=Atom', ' 39266 Body=Body', ' 21704 Other', ' 62467)']",[' Yes'],"[' 3193     (Eliminated', '    0 Frozen', ' 3193)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.68641'],[' 0'], ,[' 6.23649'],[' 0'],[' 0.110156'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.09994e+06'],[' 8.2332e+06'],[' 0'],[' 6.09946e+08'],[' 0'],[' 0'],[' 464 '],[' 920 '],[' 1348 '],[' 1841 '],[' 2277 '],[' 2680 '],[' 3064 '],[' 3382 '],[' 3655 '],[' 0 '],[' 9 ']
Solving...,TA59, , ,[' 1221'],[' 620'],"[' 8.218s (Solving', ' 5.15s 1st Model', ' 1.38s Unsat', ' 0.15s)']",[' 8.141s'], ,[' 1202094 '],"[' 16393    (Analyzed', ' 8654)']","[' 56       (Average', ' 154.54 Last', ' 795)']",[' 1300.1  '],"[' 620      (Average Length', ' 294.94 Splits', ' 0)']","[' 8654     (Deleted', ' 0)']","[' 78       (Ratio', '   0.90%)']","[' 531      (Ratio', '   6.14%)']","[' 8654     (Average Length', '    6.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8654     (Average', ' 67.46 Max', ' 1771 Sum', ' 583800)']","[' 8568     (Average', ' 67.03 Max', ' 1771 Sum', ' 580092 Ratio', '  99.36%)']","[' 86       (Average', ' 43.12 Max', ' 524 Sum', '   3708 Ratio', '   0.64%)']", ,[' 72402   '],[' 2597    '],[' 72236   '],[' 40847   '],"[' 122537   (Atom=Atom', ' 38998 Body=Body', ' 21672 Other', ' 61867)']",[' Yes'],"[' 3181     (Eliminated', '    0 Frozen', ' 3181)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.79593'],[' 0'], ,[' 1.78249'],[' 0'],[' 0.0768368'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.61532e+06'],[' 9.19417e+06'],[' 0'],[' 7.14885e+07'],[' 0'],[' 0'],[' 493 '],[' 793 '],[' 1207 '],[' 1556 '],[' 1937 '],[' 2273 '],[' 2672 '],[' 2968 '],[' 3272 '],[' 0 '],[' 9 ']
Solving...,TA60, , ,[' 1225'],[' 622'],"[' 8.618s (Solving', ' 5.03s 1st Model', ' 1.40s Unsat', ' 0.51s)']",[' 8.500s'], ,[' 1204591 '],"[' 48616    (Analyzed', ' 26907)']","[' 223      (Average', ' 120.66 Last', ' 364)']",[' 1309.4  '],"[' 622      (Average Length', ' 300.95 Splits', ' 0)']","[' 26907    (Deleted', ' 19931)']","[' 87       (Ratio', '   0.32%)']","[' 708      (Ratio', '   2.63%)']","[' 26907    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26907    (Average', ' 20.97 Max', ' 1779 Sum', ' 564148)']","[' 26819    (Average', ' 20.96 Max', ' 1779 Sum', ' 563917 Ratio', '  99.96%)']","[' 88       (Average', '  2.63 Max', '  66 Sum', '    231 Ratio', '   0.04%)']", ,[' 73041   '],[' 2636    '],[' 72887   '],[' 41378   '],"[' 124130   (Atom=Atom', ' 39490 Body=Body', ' 21711 Other', ' 62929)']",[' Yes'],"[' 3232     (Eliminated', '    0 Frozen', ' 3232)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.816691'],[' 0'], ,[' 2.0356'],[' 0'],[' 0.0791154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.7168e+06'],[' 9.23014e+06'],[' 0'],[' 9.70263e+07'],[' 0'],[' 0'],[' 534 '],[' 928 '],[' 1362 '],[' 1768 '],[' 2211 '],[' 2686 '],[' 3050 '],[' 3399 '],[' 3648 '],[' 0 '],[' 9 ']
