Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 5543+'],[' 2782'],"[' 609.745s (Solving', ' 576.85s 1st Model', ' 35.62s Unsat', ' 0.00s)']",[' 604.219s'], ,[' 69384453'],"[' 11034644 (Analyzed', ' 10853651)']","[' 23781    (Average', ' 456.40 Last', ' 65091)']",[' 6032.4  '],"[' 2782     (Average Length', ' 1427.92 Splits', ' 0)']","[' 10853651 (Deleted', ' 10693513)']","[' 193      (Ratio', '   0.00%)']","[' 10997    (Ratio', '   0.10%)']","[' 10853651 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10853651 (Average', '  5.40 Max', ' 8818 Sum', ' 58649269)']","[' 10851604 (Average', '  5.16 Max', ' 8818 Sum', ' 55998217 Ratio', '  95.48%)']","[' 2047     (Average', ' 1295.09 Max', ' 2210 Sum', ' 2651052 Ratio', '   4.52%)']", ,[' 278442  '],[' 11295   '],[' 257489  '],[' 93949   '],"[' 227822   (Atom=Atom', ' 64793 Body=Body', ' 42248 Other', ' 120781)']",[' Yes'],"[' 15385    (Eliminated', '    0 Frozen', ' 15385)']","[' 2087     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.66228'],[' 0'], ,[' 341.511'],[' 0'],[' 9.73634'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30674e+08'],[' 9.55117e+07'],[' 0'],[' 1.67375e+10'],[' 0'],[' 0'],[' 917 '],[' 1688 '],[' 2232 '],[' 2745 '],[' 3320 '],[' 3842 '],[' 4330 '],[' 4916 '],[' 5496 '],[' 5890 '],[' 10 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 4949+'],[' 2485'],"[' 608.707s (Solving', ' 580.07s 1st Model', ' 29.42s Unsat', ' 0.00s)']",[' 602.719s'], ,[' 62116377'],"[' 12118137 (Analyzed', ' 11913975)']","[' 26690    (Average', ' 446.38 Last', ' 34107)']",[' 5922.0  '],"[' 2485     (Average Length', ' 1298.46 Splits', ' 0)']","[' 11913975 (Deleted', ' 11729080)']","[' 218      (Ratio', '   0.00%)']","[' 8536     (Ratio', '   0.07%)']","[' 11913975 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11913975 (Average', '  4.39 Max', ' 8742 Sum', ' 52341477)']","[' 11911946 (Average', '  4.20 Max', ' 8742 Sum', ' 49991724 Ratio', '  95.51%)']","[' 2029     (Average', ' 1158.08 Max', ' 1985 Sum', ' 2349753 Ratio', '   4.49%)']", ,[' 277555  '],[' 11130   '],[' 256021  '],[' 93051   '],"[' 225221   (Atom=Atom', ' 64071 Body=Body', ' 41938 Other', ' 119212)']",[' Yes'],"[' 15059    (Eliminated', '    0 Frozen', ' 15059)']","[' 1688     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.79618'],[' 0'], ,[' 358.66'],[' 0'],[' 9.19291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12068e+08'],[' 7.84241e+07'],[' 0'],[' 1.72897e+10'],[' 0'],[' 0'],[' 805 '],[' 1316 '],[' 1871 '],[' 2393 '],[' 2906 '],[' 3415 '],[' 4055 '],[' 4553 '],[' 5077 '],[' 5480 '],[' 10 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 4833+'],[' 2427'],"[' 609.174s (Solving', ' 579.50s 1st Model', ' 34.92s Unsat', ' 0.00s)']",[' 604.688s'], ,[' 62402224'],"[' 11702755 (Analyzed', ' 11555347)']","[' 25722    (Average', ' 449.24 Last', ' 161895)']",[' 6220.9  '],"[' 2427     (Average Length', ' 1279.32 Splits', ' 0)']","[' 11555347 (Deleted', ' 11405479)']","[' 144      (Ratio', '   0.00%)']","[' 8256     (Ratio', '   0.07%)']","[' 11555347 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11555347 (Average', '  4.50 Max', ' 8640 Sum', ' 52033132)']","[' 11553474 (Average', '  4.31 Max', ' 8640 Sum', ' 49844910 Ratio', '  95.79%)']","[' 1873     (Average', ' 1168.30 Max', ' 1948 Sum', ' 2188222 Ratio', '   4.21%)']", ,[' 278509  '],[' 11262   '],[' 257005  '],[' 93890   '],"[' 225899   (Atom=Atom', ' 64240 Body=Body', ' 42086 Other', ' 119573)']",[' Yes'],"[' 15045    (Eliminated', '    0 Frozen', ' 15045)']","[' 1414     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.10554'],[' 0'], ,[' 355.122'],[' 0'],[' 9.20812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17378e+08'],[' 8.2198e+07'],[' 0'],[' 1.7292e+10'],[' 0'],[' 0'],[' 1051 '],[' 1632 '],[' 2208 '],[' 2680 '],[' 3180 '],[' 3778 '],[' 4315 '],[' 4910 '],[' 5363 '],[' 5815 '],[' 10 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 4793+'],[' 2407'],"[' 609.069s (Solving', ' 579.71s 1st Model', ' 31.44s Unsat', ' 0.00s)']",[' 601.016s'], ,[' 56440495'],"[' 11535648 (Analyzed', ' 11302178)']","[' 25546    (Average', ' 442.42 Last', ' 28981)']",[' 6036.7  '],"[' 2407     (Average Length', ' 1264.18 Splits', ' 0)']","[' 11302178 (Deleted', ' 11112176)']","[' 195      (Ratio', '   0.00%)']","[' 6397     (Ratio', '   0.06%)']","[' 11302178 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11302178 (Average', '  4.12 Max', ' 8575 Sum', ' 46617693)']","[' 11300238 (Average', '  3.92 Max', ' 8575 Sum', ' 44352392 Ratio', '  95.14%)']","[' 1940     (Average', ' 1167.68 Max', ' 1977 Sum', ' 2265301 Ratio', '   4.86%)']", ,[' 279513  '],[' 11212   '],[' 257524  '],[' 94473   '],"[' 225447   (Atom=Atom', ' 64117 Body=Body', ' 42034 Other', ' 119296)']",[' Yes'],"[' 15046    (Eliminated', '    0 Frozen', ' 15046)']","[' 1217     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.94123'],[' 0'], ,[' 356.55'],[' 0'],[' 8.82904'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02951e+08'],[' 7.16591e+07'],[' 0'],[' 1.63951e+10'],[' 0'],[' 0'],[' 882 '],[' 1411 '],[' 1906 '],[' 2424 '],[' 3005 '],[' 3474 '],[' 4253 '],[' 4667 '],[' 5223 '],[' 5615 '],[' 10 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 5293+'],[' 2657'],"[' 609.778s (Solving', ' 577.17s 1st Model', ' 41.92s Unsat', ' 0.00s)']",[' 598.719s'], ,[' 77112737'],"[' 9705526  (Analyzed', ' 9522328)']","[' 20942    (Average', ' 454.70 Last', ' 41669)']",[' 5378.3  '],"[' 2657     (Average Length', ' 1361.39 Splits', ' 0)']","[' 9522328  (Deleted', ' 9367589)']","[' 206      (Ratio', '   0.00%)']","[' 15116    (Ratio', '   0.16%)']","[' 9522328  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9522328  (Average', '  7.21 Max', ' 8744 Sum', ' 68617755)']","[' 9520303  (Average', '  6.92 Max', ' 8744 Sum', ' 65893622 Ratio', '  96.03%)']","[' 2025     (Average', ' 1345.25 Max', ' 5032 Sum', ' 2724133 Ratio', '   3.97%)']", ,[' 277953  '],[' 11273   '],[' 256869  '],[' 93509   '],"[' 227635   (Atom=Atom', ' 64717 Body=Body', ' 42315 Other', ' 120603)']",[' Yes'],"[' 15298    (Eliminated', '    0 Frozen', ' 15298)']","[' 2987     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.55068'],[' 0'], ,[' 328.905'],[' 0'],[' 10.4181'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54729e+08'],[' 1.15836e+08'],[' 0'],[' 1.5541e+10'],[' 0'],[' 0'],[' 871 '],[' 1430 '],[' 1923 '],[' 2645 '],[' 3122 '],[' 3687 '],[' 4265 '],[' 4794 '],[' 5233 '],[' 5682 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 5119+'],[' 2570'],"[' 609.911s (Solving', ' 577.50s 1st Model', ' 33.69s Unsat', ' 0.00s)']",[' 601.313s'], ,[' 63838653'],"[' 12302633 (Analyzed', ' 12127548)']","[' 26879    (Average', ' 451.19 Last', ' 29150)']",[' 5713.0  '],"[' 2570     (Average Length', ' 1324.71 Splits', ' 0)']","[' 12127548 (Deleted', ' 11942298)']","[' 260      (Ratio', '   0.00%)']","[' 8286     (Ratio', '   0.07%)']","[' 12127548 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12127548 (Average', '  4.48 Max', ' 8776 Sum', ' 54372555)']","[' 12125505 (Average', '  4.29 Max', ' 8776 Sum', ' 51981498 Ratio', '  95.60%)']","[' 2043     (Average', ' 1170.37 Max', ' 2026 Sum', ' 2391057 Ratio', '   4.40%)']", ,[' 279137  '],[' 11124   '],[' 257134  '],[' 94171   '],"[' 224125   (Atom=Atom', ' 63791 Body=Body', ' 41665 Other', ' 118669)']",[' Yes'],"[' 15030    (Eliminated', '    0 Frozen', ' 15030)']","[' 1575     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.42998'],[' 0'], ,[' 340.178'],[' 0'],[' 9.34662'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1494e+08'],[' 7.96478e+07'],[' 0'],[' 1.60582e+10'],[' 0'],[' 0'],[' 821 '],[' 1424 '],[' 1942 '],[' 2437 '],[' 2973 '],[' 3532 '],[' 4092 '],[' 4605 '],[' 5146 '],[' 5587 '],[' 10 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 4859+'],[' 2440'],"[' 608.374s (Solving', ' 581.62s 1st Model', ' 30.23s Unsat', ' 0.00s)']",[' 601.125s'], ,[' 63095241'],"[' 13404498 (Analyzed', ' 13220901)']","[' 28695    (Average', ' 460.74 Last', ' 161030)']",[' 6368.2  '],"[' 2440     (Average Length', ' 1289.43 Splits', ' 0)']","[' 13220901 (Deleted', ' 13026853)']","[' 132      (Ratio', '   0.00%)']","[' 6515     (Ratio', '   0.05%)']","[' 13220901 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13220901 (Average', '  3.90 Max', ' 10108 Sum', ' 51598750)']","[' 13219492 (Average', '  3.79 Max', ' 10108 Sum', ' 50058696 Ratio', '  97.02%)']","[' 1409     (Average', ' 1093.01 Max', ' 2019 Sum', ' 1540054 Ratio', '   2.98%)']", ,[' 278267  '],[' 11140   '],[' 256674  '],[' 93478   '],"[' 224699   (Atom=Atom', ' 63908 Body=Body', ' 41834 Other', ' 118957)']",[' Yes'],"[' 15024    (Eliminated', '    0 Frozen', ' 15024)']","[' 1053     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.47401'],[' 0'], ,[' 363.477'],[' 0'],[' 8.77924'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14064e+08'],[' 7.70877e+07'],[' 0'],[' 1.85008e+10'],[' 0'],[' 0'],[' 840 '],[' 1577 '],[' 2132 '],[' 2531 '],[' 3071 '],[' 3633 '],[' 4161 '],[' 4758 '],[' 5315 '],[' 5752 '],[' 10 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 4839+'],[' 2430'],"[' 608.475s (Solving', ' 581.34s 1st Model', ' 28.56s Unsat', ' 0.00s)']",[' 602.891s'], ,[' 64054745'],"[' 11754838 (Analyzed', ' 11577282)']","[' 26380    (Average', ' 438.87 Last', ' 11962)']",[' 5771.2  '],"[' 2430     (Average Length', ' 1257.97 Splits', ' 0)']","[' 11577282 (Deleted', ' 11408879)']","[' 172      (Ratio', '   0.00%)']","[' 8418     (Ratio', '   0.07%)']","[' 11577282 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11577282 (Average', '  4.70 Max', ' 9188 Sum', ' 54390774)']","[' 11575652 (Average', '  4.53 Max', ' 8596 Sum', ' 52449198 Ratio', '  96.43%)']","[' 1630     (Average', ' 1191.15 Max', ' 1955 Sum', ' 1941576 Ratio', '   3.57%)']", ,[' 278392  '],[' 11208   '],[' 256818  '],[' 93849   '],"[' 225369   (Atom=Atom', ' 64070 Body=Body', ' 42001 Other', ' 119298)']",[' Yes'],"[' 14970    (Eliminated', '    0 Frozen', ' 14970)']","[' 1400     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.38378'],[' 0'], ,[' 362.77'],[' 0'],[' 9.73217'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15429e+08'],[' 8.1035e+07'],[' 0'],[' 1.83536e+10'],[' 0'],[' 0'],[' 898 '],[' 1463 '],[' 2110 '],[' 2525 '],[' 3162 '],[' 3712 '],[' 4250 '],[' 4707 '],[' 5231 '],[' 5689 '],[' 10 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 5433+'],[' 2727'],"[' 562.569s (Solving', ' 535.16s 1st Model', ' 27.60s Unsat', ' 1.42s)']",[' 560.891s'], ,[' 70521656'],"[' 11858994 (Analyzed', ' 11618852)']","[' 25436    (Average', ' 456.79 Last', ' 25350)']",[' 5791.1  '],"[' 2727     (Average Length', ' 1392.98 Splits', ' 0)']","[' 11618852 (Deleted', ' 11446817)']","[' 246      (Ratio', '   0.00%)']","[' 10655    (Ratio', '   0.09%)']","[' 11618852 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11618852 (Average', '  5.21 Max', ' 9239 Sum', ' 60556671)']","[' 11616737 (Average', '  4.98 Max', ' 9239 Sum', ' 57827775 Ratio', '  95.49%)']","[' 2115     (Average', ' 1290.26 Max', ' 2166 Sum', ' 2728896 Ratio', '   4.51%)']", ,[' 279823  '],[' 11289   '],[' 258206  '],[' 94646   '],"[' 228206   (Atom=Atom', ' 64890 Body=Body', ' 42384 Other', ' 120932)']",[' Yes'],"[' 15394    (Eliminated', '    0 Frozen', ' 15394)']","[' 1936     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.51218'],[' 0'], ,[' 331.955'],[' 0'],[' 9.05491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29527e+08'],[' 9.35381e+07'],[' 0'],[' 1.87229e+10'],[' 0'],[' 0'],[' 837 '],[' 1358 '],[' 1853 '],[' 2400 '],[' 2966 '],[' 3657 '],[' 4048 '],[' 4627 '],[' 5151 '],[' 5593 '],[' 9 '],[' 1 ']
Solving...,TA80, , ,[' 1'],[' 5003+'],[' 2512'],"[' 569.821s (Solving', ' 545.25s 1st Model', ' 26.41s Unsat', ' 1.75s)']",[' 568.156s'], ,[' 70854598'],"[' 12721000 (Analyzed', ' 12552481)']","[' 26941    (Average', ' 465.92 Last', ' 29036)']",[' 5935.1  '],"[' 2512     (Average Length', ' 1311.15 Splits', ' 0)']","[' 12552481 (Deleted', ' 12385330)']","[' 202      (Ratio', '   0.00%)']","[' 10265    (Ratio', '   0.08%)']","[' 12552481 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12552481 (Average', '  4.83 Max', ' 9445 Sum', ' 60576968)']","[' 12550785 (Average', '  4.67 Max', ' 9445 Sum', ' 58606506 Ratio', '  96.75%)']","[' 1696     (Average', ' 1161.83 Max', ' 2048 Sum', ' 1970462 Ratio', '   3.25%)']", ,[' 279098  '],[' 11277   '],[' 257464  '],[' 94036   '],"[' 227755   (Atom=Atom', ' 64713 Body=Body', ' 42410 Other', ' 120632)']",[' Yes'],"[' 15223    (Eliminated', '    0 Frozen', ' 15223)']","[' 1703     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.98286'],[' 0'], ,[' 345.453'],[' 0'],[' 9.18301'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43811e+08'],[' 9.99869e+07'],[' 0'],[' 1.99461e+10'],[' 0'],[' 0'],[' 786 '],[' 1372 '],[' 2110 '],[' 2582 '],[' 3059 '],[' 3546 '],[' 4041 '],[' 4568 '],[' 5131 '],[' 5505 '],[' 9 '],[' 1 ']
