Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 8217+'],[' 4115'],"[' 627.760s (Solving', ' 547.57s 1st Model', ' 113.84s Unsat', ' 0.00s)']",[' 618.484s'], ,[' 190770605'],"[' 4106303  (Analyzed', ' 3752910)']","[' 8781     (Average', ' 427.39 Last', ' 3975)']",[' 11184.2 '],"[' 4116     (Average Length', ' 2181.41 Splits', ' 0)']","[' 3752910  (Deleted', ' 3674303)']","[' 805      (Ratio', '   0.02%)']","[' 23247    (Ratio', '   0.62%)']","[' 3752910  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3752910  (Average', ' 42.45 Max', ' 15523 Sum', ' 159329085)']","[' 3749373  (Average', ' 40.79 Max', ' 15523 Sum', ' 153089199 Ratio', '  96.08%)']","[' 3537     (Average', ' 1764.17 Max', ' 3231 Sum', ' 6239886 Ratio', '   3.92%)']", ,[' 381185  '],[' 22588   '],[' 349666  '],[' 174965  '],"[' 413766   (Atom=Atom', ' 114030 Body=Body', ' 80819 Other', ' 218917)']",[' Yes'],"[' 27115    (Eliminated', '    0 Frozen', ' 27115)']","[' 4573     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6954'],[' 0'], ,[' 180.977'],[' 0'],[' 14.7684'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.92746e+08'],[' 2.59012e+08'],[' 0'],[' 6.12681e+09'],[' 0'],[' 0'],[' 1148 '],[' 2554 '],[' 3061 '],[' 3680 '],[' 4949 '],[' 5905 '],[' 8496 '],[' 7 '],[' 0 ']
Solving...,TA72, , , , ,[' 8315+'],[' 4163'],"[' 633.751s (Solving', ' 539.64s 1st Model', ' 139.53s Unsat', ' 0.00s)']",[' 606.391s'], ,[' 146411340'],"[' 4397248  (Analyzed', ' 3949212)']","[' 9577     (Average', ' 412.36 Last', ' 12285)']",[' 11609.1 '],"[' 4164     (Average Length', ' 2216.50 Splits', ' 0)']","[' 3949212  (Deleted', ' 3873290)']","[' 715      (Ratio', '   0.02%)']","[' 11861    (Ratio', '   0.30%)']","[' 3949212  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3949212  (Average', ' 28.38 Max', ' 16323 Sum', ' 112081322)']","[' 3946081  (Average', ' 27.01 Max', ' 16323 Sum', ' 106657011 Ratio', '  95.16%)']","[' 3131     (Average', ' 1732.45 Max', ' 3279 Sum', ' 5424311 Ratio', '   4.84%)']", ,[' 374930  '],[' 21898   '],[' 344016  '],[' 169740  '],"[' 408136   (Atom=Atom', ' 112584 Body=Body', ' 79549 Other', ' 216003)']",[' Yes'],"[' 26913    (Eliminated', '    0 Frozen', ' 26913)']","[' 2217     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.6438'],[' 0'], ,[' 147.666'],[' 0'],[' 12.7392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10022e+08'],[' 1.84709e+08'],[' 0'],[' 3.73332e+09'],[' 0'],[' 0'],[' 957 '],[' 1986 '],[' 2670 '],[' 3483 '],[' 4445 '],[' 5991 '],[' 8183 '],[' 7 '],[' 0 ']
Solving...,TA73, , , , ,[' 9573+'],[' 4794'],"[' 623.819s (Solving', ' 546.38s 1st Model', ' 108.45s Unsat', ' 0.00s)']",[' 619.219s'], ,[' 205163148'],"[' 4683832  (Analyzed', ' 4296233)']","[' 10354    (Average', ' 414.93 Last', ' 7536)']",[' 12315.2 '],"[' 4795     (Average Length', ' 2464.41 Splits', ' 0)']","[' 4296233  (Deleted', ' 4219036)']","[' 743      (Ratio', '   0.02%)']","[' 16323    (Ratio', '   0.38%)']","[' 4296233  (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4296233  (Average', ' 38.10 Max', ' 16159 Sum', ' 163682403)']","[' 4292887  (Average', ' 36.61 Max', ' 16159 Sum', ' 157275591 Ratio', '  96.09%)']","[' 3346     (Average', ' 1914.77 Max', ' 3604 Sum', ' 6406812 Ratio', '   3.91%)']", ,[' 375888  '],[' 21909   '],[' 345308  '],[' 170688  '],"[' 411419   (Atom=Atom', ' 113630 Body=Body', ' 79990 Other', ' 217799)']",[' Yes'],"[' 27304    (Eliminated', '    0 Frozen', ' 27304)']","[' 2998     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1579'],[' 0'], ,[' 176.338'],[' 0'],[' 14.3682'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.89769e+08'],[' 2.57366e+08'],[' 0'],[' 6.26367e+09'],[' 0'],[' 0'],[' 1319 '],[' 2317 '],[' 3048 '],[' 3897 '],[' 4527 '],[' 5617 '],[' 6857 '],[' 7 '],[' 0 ']
Solving...,TA74, , , , ,[' 10089+'],[' 5052'],"[' 622.754s (Solving', ' 547.64s 1st Model', ' 110.75s Unsat', ' 0.00s)']",[' 619.875s'], ,[' 221780810'],"[' 5338628  (Analyzed', ' 4787771)']","[' 11488    (Average', ' 416.76 Last', ' 13668)']",[' 10979.0 '],"[' 5053     (Average Length', ' 2533.72 Splits', ' 0)']","[' 4787771  (Deleted', ' 4683503)']","[' 869      (Ratio', '   0.02%)']","[' 27830    (Ratio', '   0.58%)']","[' 4787771  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4787771  (Average', ' 38.93 Max', ' 14526 Sum', ' 186374043)']","[' 4784024  (Average', ' 37.24 Max', ' 14526 Sum', ' 178308051 Ratio', '  95.67%)']","[' 3747     (Average', ' 2152.65 Max', ' 3668 Sum', ' 8065992 Ratio', '   4.33%)']", ,[' 373210  '],[' 21464   '],[' 342505  '],[' 168446  '],"[' 407555   (Atom=Atom', ' 112665 Body=Body', ' 78997 Other', ' 215893)']",[' Yes'],"[' 27155    (Eliminated', '    0 Frozen', ' 27155)']","[' 5537     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8818'],[' 0'], ,[' 170.903'],[' 0'],[' 14.5058'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65068e+08'],[' 3.21749e+08'],[' 0'],[' 6.12734e+09'],[' 0'],[' 0'],[' 997 '],[' 1884 '],[' 2678 '],[' 3551 '],[' 4651 '],[' 5097 '],[' 6516 '],[' 7 '],[' 0 ']
Solving...,TA75, , , , ,[' 9127+'],[' 4571'],"[' 621.249s (Solving', ' 552.91s 1st Model', ' 98.22s Unsat', ' 0.00s)']",[' 618.500s'], ,[' 237092327'],"[' 5532500  (Analyzed', ' 5098507)']","[' 11729    (Average', ' 434.69 Last', ' 4250)']",[' 11044.9 '],"[' 4572     (Average Length', ' 2360.94 Splits', ' 0)']","[' 5098507  (Deleted', ' 5004910)']","[' 893      (Ratio', '   0.02%)']","[' 27896    (Ratio', '   0.55%)']","[' 5098507  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5098507  (Average', ' 40.06 Max', ' 14818 Sum', ' 204237777)']","[' 5094625  (Average', ' 38.56 Max', ' 14818 Sum', ' 196621336 Ratio', '  96.27%)']","[' 3882     (Average', ' 1961.99 Max', ' 3417 Sum', ' 7616441 Ratio', '   3.73%)']", ,[' 378289  '],[' 22177   '],[' 347056  '],[' 172573  '],"[' 413721   (Atom=Atom', ' 114178 Body=Body', ' 80658 Other', ' 218885)']",[' Yes'],"[' 27326    (Eliminated', '    0 Frozen', ' 27326)']","[' 5540     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4958'],[' 0'], ,[' 193.209'],[' 0'],[' 15.5255'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65253e+08'],[' 3.21625e+08'],[' 0'],[' 7.9461e+09'],[' 0'],[' 0'],[' 1175 '],[' 1999 '],[' 3029 '],[' 3604 '],[' 4399 '],[' 5519 '],[' 6659 '],[' 7 '],[' 0 ']
Solving...,TA76, , , , ,[' 10301+'],[' 5157'],"[' 626.011s (Solving', ' 546.70s 1st Model', ' 113.00s Unsat', ' 0.00s)']",[' 622.984s'], ,[' 214123318'],"[' 5505177  (Analyzed', ' 4972823)']","[' 11980    (Average', ' 415.09 Last', ' 3170)']",[' 11583.1 '],"[' 5158     (Average Length', ' 2583.96 Splits', ' 0)']","[' 4972823  (Deleted', ' 4871906)']","[' 772      (Ratio', '   0.02%)']","[' 23957    (Ratio', '   0.48%)']","[' 4972823  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4972823  (Average', ' 34.79 Max', ' 15598 Sum', ' 173016935)']","[' 4969705  (Average', ' 33.56 Max', ' 15598 Sum', ' 166889236 Ratio', '  96.46%)']","[' 3118     (Average', ' 1965.27 Max', ' 3791 Sum', ' 6127699 Ratio', '   3.54%)']", ,[' 373919  '],[' 21557   '],[' 343391  '],[' 169134  '],"[' 409422   (Atom=Atom', ' 113152 Body=Body', ' 79381 Other', ' 216889)']",[' Yes'],"[' 27277    (Eliminated', '    0 Frozen', ' 27277)']","[' 4399     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.441'],[' 0'], ,[' 172.597'],[' 0'],[' 14.114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.37925e+08'],[' 2.97005e+08'],[' 0'],[' 6.70368e+09'],[' 0'],[' 0'],[' 1151 '],[' 2012 '],[' 2777 '],[' 3438 '],[' 4304 '],[' 5264 '],[' 6150 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 9409+'],[' 4711'],"[' 624.402s (Solving', ' 550.31s 1st Model', ' 110.39s Unsat', ' 0.00s)']",[' 621.391s'], ,[' 228293112'],"[' 6033445  (Analyzed', ' 5657661)']","[' 13331    (Average', ' 424.40 Last', ' 11433)']",[' 11700.9 '],"[' 4712     (Average Length', ' 2407.71 Splits', ' 0)']","[' 5657661  (Deleted', ' 5559852)']","[' 828      (Ratio', '   0.01%)']","[' 22500    (Ratio', '   0.40%)']","[' 5657661  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5657661  (Average', ' 33.54 Max', ' 15532 Sum', ' 189749985)']","[' 5654308  (Average', ' 32.48 Max', ' 15532 Sum', ' 183777268 Ratio', '  96.85%)']","[' 3353     (Average', ' 1781.31 Max', ' 3546 Sum', ' 5972717 Ratio', '   3.15%)']", ,[' 372688  '],[' 21498   '],[' 342174  '],[' 167908  '],"[' 406611   (Atom=Atom', ' 112353 Body=Body', ' 79020 Other', ' 215238)']",[' Yes'],"[' 26965    (Eliminated', '    0 Frozen', ' 26965)']","[' 4233     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4853'],[' 0'], ,[' 189.265'],[' 0'],[' 15.0096'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39102e+08'],[' 2.98064e+08'],[' 0'],[' 7.80908e+09'],[' 0'],[' 0'],[' 1227 '],[' 1927 '],[' 2916 '],[' 3714 '],[' 4393 '],[' 5493 '],[' 6270 '],[' 7 '],[' 0 ']
Solving...,TA78, , , , ,[' 9497+'],[' 4755'],"[' 624.047s (Solving', ' 551.50s 1st Model', ' 107.59s Unsat', ' 0.00s)']",[' 619.969s'], ,[' 212236226'],"[' 7166622  (Analyzed', ' 6693343)']","[' 15105    (Average', ' 443.12 Last', ' 103176)']",[' 11877.7 '],"[' 4756     (Average Length', ' 2443.92 Splits', ' 0)']","[' 6693343  (Deleted', ' 6578791)']","[' 837      (Ratio', '   0.01%)']","[' 17909    (Ratio', '   0.27%)']","[' 6693343  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6693343  (Average', ' 25.77 Max', ' 16171 Sum', ' 172462904)']","[' 6690167  (Average', ' 24.89 Max', ' 16171 Sum', ' 166567542 Ratio', '  96.58%)']","[' 3176     (Average', ' 1856.22 Max', ' 3597 Sum', ' 5895362 Ratio', '   3.42%)']", ,[' 372766  '],[' 21546   '],[' 342367  '],[' 167873  '],"[' 406324   (Atom=Atom', ' 112217 Body=Body', ' 78877 Other', ' 215230)']",[' Yes'],"[' 26981    (Eliminated', '    0 Frozen', ' 26981)']","[' 2951     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.025'],[' 0'], ,[' 197.095'],[' 0'],[' 14.4653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.04731e+08'],[' 2.658e+08'],[' 0'],[' 8.677e+09'],[' 0'],[' 0'],[' 1110 '],[' 1965 '],[' 2826 '],[' 3500 '],[' 4539 '],[' 5417 '],[' 6205 '],[' 7 '],[' 0 ']
Solving...,TA79, , , , ,[' 9651+'],[' 4832'],"[' 624.717s (Solving', ' 549.19s 1st Model', ' 113.84s Unsat', ' 0.00s)']",[' 622.188s'], ,[' 224349644'],"[' 5124919  (Analyzed', ' 4778193)']","[' 11495    (Average', ' 415.68 Last', ' 6743)']",[' 10842.7 '],"[' 4833     (Average Length', ' 2492.27 Splits', ' 0)']","[' 4778193  (Deleted', ' 4677325)']","[' 901      (Ratio', '   0.02%)']","[' 31954    (Ratio', '   0.67%)']","[' 4778193  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4778193  (Average', ' 39.78 Max', ' 14358 Sum', ' 190074723)']","[' 4774689  (Average', ' 38.37 Max', ' 14358 Sum', ' 183356088 Ratio', '  96.47%)']","[' 3504     (Average', ' 1917.42 Max', ' 3740 Sum', ' 6718635 Ratio', '   3.53%)']", ,[' 375540  '],[' 21718   '],[' 344746  '],[' 170376  '],"[' 408273   (Atom=Atom', ' 112777 Body=Body', ' 79324 Other', ' 216172)']",[' Yes'],"[' 27229    (Eliminated', '    0 Frozen', ' 27229)']","[' 5752     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.328'],[' 0'], ,[' 173.194'],[' 0'],[' 14.689'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.85157e+08'],[' 3.39581e+08'],[' 0'],[' 6.37742e+09'],[' 0'],[' 0'],[' 976 '],[' 1888 '],[' 2680 '],[' 3599 '],[' 4339 '],[' 6951 '],[' 6185 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 9231+'],[' 4622'],"[' 621.350s (Solving', ' 550.56s 1st Model', ' 105.19s Unsat', ' 0.00s)']",[' 617.734s'], ,[' 220597804'],"[' 5757807  (Analyzed', ' 5314936)']","[' 12336    (Average', ' 430.85 Last', ' 15717)']",[' 11913.6 '],"[' 4622     (Average Length', ' 2387.18 Splits', ' 0)']","[' 5314936  (Deleted', ' 5219483)']","[' 794      (Ratio', '   0.01%)']","[' 21985    (Ratio', '   0.41%)']","[' 5314936  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5314936  (Average', ' 34.23 Max', ' 15755 Sum', ' 181941914)']","[' 5311498  (Average', ' 33.07 Max', ' 15755 Sum', ' 175771555 Ratio', '  96.61%)']","[' 3438     (Average', ' 1794.75 Max', ' 3456 Sum', ' 6170359 Ratio', '   3.39%)']", ,[' 373901  '],[' 21758   '],[' 343261  '],[' 168775  '],"[' 410010   (Atom=Atom', ' 113139 Body=Body', ' 79663 Other', ' 217208)']",[' Yes'],"[' 27170    (Eliminated', '    0 Frozen', ' 27170)']","[' 4028     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2088'],[' 0'], ,[' 199.837'],[' 0'],[' 14.8316'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.29745e+08'],[' 2.89507e+08'],[' 0'],[' 8.69488e+09'],[' 0'],[' 0'],[' 1264 '],[' 2160 '],[' 2872 '],[' 3672 '],[' 4508 '],[' 5358 '],[' 6530 '],[' 7 '],[' 0 ']
