Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,swv11, , ,[' 1'],[' 2677+'],[' 1341'],"[' 402.008s (Solving', ' 393.28s 1st Model', ' 262.34s Unsat', ' 0.00s)']",[' 400.953s'], ,[' 229996832'],"[' 1227367  (Analyzed', ' 807326)']","[' 3313     (Average', ' 243.68 Last', ' 93535)']",[' 6292.8  '],"[' 1341     (Average Length', ' 663.03 Splits', ' 0)']","[' 807326   (Deleted', ' 723964)']","[' 443      (Ratio', '   0.05%)']","[' 72992    (Ratio', '   9.04%)']","[' 807326   (Average Length', '   35.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 807326   (Average', ' 275.28 Max', ' 6965 Sum', ' 222238374)']","[' 806720   (Average', ' 274.81 Max', ' 6965 Sum', ' 221861456 Ratio', '  99.83%)']","[' 606      (Average', ' 621.98 Max', ' 4206 Sum', ' 376918 Ratio', '   0.17%)']", ,[' 75288   '],[' 11413   '],[' 75775   '],[' 56485   '],"[' 169451   (Atom=Atom', ' 45873 Body=Body', ' 23810 Other', ' 99768)']",[' Yes'],"[' 12400    (Eliminated', '    0 Frozen', ' 12400)']","[' 6988     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52267'],[' 0'], ,[' 123.894'],[' 0'],[' 13.4341'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.60532e+08'],[' 8.16628e+08'],[' 0'],[' 4.04427e+09'],[' 0'],[' 0'],[' 2386 '],[' 4498 ']
Solving...,swv12, , ,[' 1'],[' 2091+'],[' 1048'],"[' 351.360s (Solving', ' 344.98s 1st Model', ' 213.80s Unsat', ' 0.00s)']",[' 350.375s'], ,[' 206482161'],"[' 1444335  (Analyzed', ' 799845)']","[' 3142     (Average', ' 254.57 Last', ' 105579)']",[' 6391.3  '],"[' 1048     (Average Length', ' 518.48 Splits', ' 0)']","[' 799845   (Deleted', ' 724286)']","[' 356      (Ratio', '   0.04%)']","[' 64609    (Ratio', '   8.08%)']","[' 799845   (Average Length', '   37.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 799845   (Average', ' 249.80 Max', ' 7207 Sum', ' 199805185)']","[' 799168   (Average', ' 249.39 Max', ' 6827 Sum', ' 199472125 Ratio', '  99.83%)']","[' 677      (Average', ' 491.96 Max', ' 981 Sum', ' 333060 Ratio', '   0.17%)']", ,[' 74532   '],[' 11385   '],[' 74512   '],[' 55241   '],"[' 165719   (Atom=Atom', ' 44890 Body=Body', ' 23549 Other', ' 97280)']",[' Yes'],"[' 11865    (Eliminated', '    0 Frozen', ' 11865)']","[' 4897     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19424'],[' 0'], ,[' 114.259'],[' 0'],[' 12.0397'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.1693e+08'],[' 6.75254e+08'],[' 0'],[' 4.47895e+09'],[' 0'],[' 0'],[' 2652 '],[' 4935 ']
Solving...,swv13, , ,[' 1'],[' 2349+'],[' 1177'],"[' 495.424s (Solving', ' 487.72s 1st Model', ' 359.68s Unsat', ' 0.00s)']",[' 494.125s'], ,[' 242030222'],"[' 1551102  (Analyzed', ' 1356641)']","[' 4689     (Average', ' 289.32 Last', ' 131400)']",[' 6364.0  '],"[' 1177     (Average Length', ' 582.56 Splits', ' 0)']","[' 1356641  (Deleted', ' 1268035)']","[' 644      (Ratio', '   0.05%)']","[' 74629    (Ratio', '   5.50%)']","[' 1356641  (Average Length', '   37.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1356641  (Average', ' 173.28 Max', ' 7249 Sum', ' 235084749)']","[' 1355991  (Average', ' 173.06 Max', ' 6972 Sum', ' 234782426 Ratio', '  99.87%)']","[' 650      (Average', ' 465.11 Max', ' 1078 Sum', ' 302323 Ratio', '   0.13%)']", ,[' 74282   '],[' 11145   '],[' 74523   '],[' 55065   '],"[' 165191   (Atom=Atom', ' 44817 Body=Body', ' 23446 Other', ' 96928)']",[' Yes'],"[' 11886    (Eliminated', '    0 Frozen', ' 11886)']","[' 5209     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39389'],[' 0'], ,[' 174.725'],[' 0'],[' 14.9032'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.61141e+08'],[' 9.03695e+08'],[' 0'],[' 8.1409e+09'],[' 0'],[' 0'],[' 2727 '],[' 4935 ']
Solving...,swv14, , ,[' 1'],[' 2343+'],[' 1174'],"[' 404.500s (Solving', ' 397.23s 1st Model', ' 270.10s Unsat', ' 0.00s)']",[' 403.672s'], ,[' 228655934'],"[' 975877   (Analyzed', ' 883710)']","[' 2959     (Average', ' 298.65 Last', ' 99499)']",[' 5986.5  '],"[' 1174     (Average Length', ' 576.17 Splits', ' 0)']","[' 883710   (Deleted', ' 793751)']","[' 455      (Ratio', '   0.05%)']","[' 74731    (Ratio', '   8.46%)']","[' 883710   (Average Length', '   36.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 883710   (Average', ' 251.67 Max', ' 6974 Sum', ' 222401573)']","[' 883127   (Average', ' 251.28 Max', ' 6741 Sum', ' 222055072 Ratio', '  99.84%)']","[' 583      (Average', ' 594.34 Max', ' 1002 Sum', ' 346501 Ratio', '   0.16%)']", ,[' 74634   '],[' 11326   '],[' 74720   '],[' 55122   '],"[' 165362   (Atom=Atom', ' 44834 Body=Body', ' 23486 Other', ' 97042)']",[' Yes'],"[' 11912    (Eliminated', '    0 Frozen', ' 11912)']","[' 7247     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29837'],[' 0'], ,[' 125.076'],[' 0'],[' 13.5578'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.65316e+08'],[' 8.19375e+08'],[' 0'],[' 4.15698e+09'],[' 0'],[' 0'],[' 2423 '],[' 4667 ']
Solving...,swv15, , ,[' 1'],[' 2369+'],[' 1187'],"[' 372.454s (Solving', ' 364.82s 1st Model', ' 236.59s Unsat', ' 0.00s)']",[' 371.578s'], ,[' 217529760'],"[' 1004973  (Analyzed', ' 822615)']","[' 3357     (Average', ' 245.04 Last', ' 59113)']",[' 6154.2  '],"[' 1187     (Average Length', ' 585.45 Splits', ' 0)']","[' 822615   (Deleted', ' 744210)']","[' 516      (Ratio', '   0.06%)']","[' 68067    (Ratio', '   8.27%)']","[' 822615   (Average Length', '   36.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 822615   (Average', ' 256.38 Max', ' 6877 Sum', ' 210902932)']","[' 821981   (Average', ' 255.97 Max', ' 6706 Sum', ' 210561545 Ratio', '  99.84%)']","[' 634      (Average', ' 538.47 Max', ' 1086 Sum', ' 341387 Ratio', '   0.16%)']", ,[' 74715   '],[' 11201   '],[' 75166   '],[' 56028   '],"[' 168080   (Atom=Atom', ' 45517 Body=Body', ' 23709 Other', ' 98854)']",[' Yes'],"[' 12152    (Eliminated', '    0 Frozen', ' 12152)']","[' 7947     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39388'],[' 0'], ,[' 117.756'],[' 0'],[' 12.6891'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.79348e+08'],[' 7.38164e+08'],[' 0'],[' 3.97268e+09'],[' 0'],[' 0'],[' 2531 '],[' 4547 ']
Solving...,swv16, , ,[' 1'],[' 2371+'],[' 1188'],"[' 254.364s (Solving', ' 248.91s 1st Model', ' 121.61s Unsat', ' 0.00s)']",[' 253.594s'], ,[' 126123236'],"[' 1630411  (Analyzed', ' 1504507)']","[' 4036     (Average', ' 372.77 Last', ' 272621)']",[' 4268.6  '],"[' 1188     (Average Length', ' 586.81 Splits', ' 0)']","[' 1504507  (Deleted', ' 1449029)']","[' 569      (Ratio', '   0.04%)']","[' 38822    (Ratio', '   2.58%)']","[' 1504507  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1504507  (Average', ' 80.86 Max', ' 4739 Sum', ' 121654380)']","[' 1504137  (Average', ' 80.72 Max', ' 4739 Sum', ' 121438909 Ratio', '  99.82%)']","[' 370      (Average', ' 582.35 Max', ' 1143 Sum', ' 215471 Ratio', '   0.18%)']", ,[' 59091   '],[' 7469    '],[' 59260   '],[' 39926   '],"[' 119774   (Atom=Atom', ' 33428 Body=Body', ' 19696 Other', ' 66650)']",[' Yes'],"[' 8138     (Eliminated', '    0 Frozen', ' 8138)']","[' 3277     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15204'],[' 0'], ,[' 111.119'],[' 0'],[' 7.76276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.28524e+08'],[' 3.85511e+08'],[' 0'],[' 5.86567e+09'],[' 0'],[' 0'],[' 1641 '],[' 2921 ']
Solving...,swv17, , ,[' 1'],[' 2155+'],[' 1080'],"[' 182.483s (Solving', ' 177.27s 1st Model', ' 50.35s Unsat', ' 0.00s)']",[' 182.094s'], ,[' 102881742'],"[' 1406093  (Analyzed', ' 1217307)']","[' 3487     (Average', ' 349.10 Last', ' 92333)']",[' 4391.0  '],"[' 1080     (Average Length', ' 534.21 Splits', ' 0)']","[' 1217307  (Deleted', ' 1164308)']","[' 501      (Ratio', '   0.04%)']","[' 35053    (Ratio', '   2.88%)']","[' 1217307  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1217307  (Average', ' 80.99 Max', ' 4938 Sum', ' 98586434)']","[' 1216910  (Average', ' 80.83 Max', ' 4583 Sum', ' 98390623 Ratio', '  99.80%)']","[' 397      (Average', ' 493.23 Max', ' 1010 Sum', ' 195811 Ratio', '   0.20%)']", ,[' 59193   '],[' 7538    '],[' 59336   '],[' 40327   '],"[' 120977   (Atom=Atom', ' 33692 Body=Body', ' 19833 Other', ' 67452)']",[' Yes'],"[' 8181     (Eliminated', '    0 Frozen', ' 8181)']","[' 3325     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0758'],[' 0'], ,[' 79.8465'],[' 0'],[' 6.0502'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88748e+08'],[' 2.56825e+08'],[' 0'],[' 4.07291e+09'],[' 0'],[' 0'],[' 1759 '],[' 3107 ']
Solving...,swv18, , ,[' 1'],[' 2393+'],[' 1199'],"[' 281.138s (Solving', ' 275.13s 1st Model', ' 143.96s Unsat', ' 0.00s)']",[' 280.359s'], ,[' 134891100'],"[' 1592733  (Analyzed', ' 1143001)']","[' 4035     (Average', ' 283.27 Last', ' 70395)']",[' 4297.5  '],"[' 1199     (Average Length', ' 587.50 Splits', ' 0)']","[' 1143001  (Deleted', ' 1085374)']","[' 633      (Ratio', '   0.06%)']","[' 42106    (Ratio', '   3.68%)']","[' 1143001  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1143001  (Average', ' 113.76 Max', ' 4771 Sum', ' 130022918)']","[' 1142608  (Average', ' 113.56 Max', ' 4771 Sum', ' 129803637 Ratio', '  99.83%)']","[' 393      (Average', ' 557.97 Max', ' 1140 Sum', ' 219281 Ratio', '   0.17%)']", ,[' 59255   '],[' 7572    '],[' 59467   '],[' 40489   '],"[' 121463   (Atom=Atom', ' 33847 Body=Body', ' 19840 Other', ' 67776)']",[' Yes'],"[' 8284     (Eliminated', '    0 Frozen', ' 8284)']","[' 3752     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.227'],[' 0'], ,[' 116.038'],[' 0'],[' 8.43115'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.98258e+08'],[' 4.51109e+08'],[' 0'],[' 5.84358e+09'],[' 0'],[' 0'],[' 1651 '],[' 2818 ']
Solving...,swv19, , ,[' 1'],[' 2363+'],[' 1184'],"[' 186.369s (Solving', ' 180.91s 1st Model', ' 52.19s Unsat', ' 0.00s)']",[' 185.656s'], ,[' 105484704'],"[' 1145189  (Analyzed', ' 879839)']","[' 2924     (Average', ' 300.90 Last', ' 75862)']",[' 4189.3  '],"[' 1184     (Average Length', ' 583.12 Splits', ' 0)']","[' 879839   (Deleted', ' 828965)']","[' 518      (Ratio', '   0.06%)']","[' 34526    (Ratio', '   3.92%)']","[' 879839   (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 879839   (Average', ' 114.85 Max', ' 4928 Sum', ' 101048305)']","[' 879482   (Average', ' 114.59 Max', ' 4666 Sum', ' 100821081 Ratio', '  99.78%)']","[' 357      (Average', ' 636.48 Max', ' 2278 Sum', ' 227224 Ratio', '   0.22%)']", ,[' 59418   '],[' 7509    '],[' 59629   '],[' 40241   '],"[' 120719   (Atom=Atom', ' 33652 Body=Body', ' 19787 Other', ' 67280)']",[' Yes'],"[' 8220     (Eliminated', '    0 Frozen', ' 8220)']","[' 3859     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.119'],[' 0'], ,[' 75.7624'],[' 0'],[' 6.19723'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.12288e+08'],[' 2.822e+08'],[' 0'],[' 3.57505e+09'],[' 0'],[' 0'],[' 1704 '],[' 3130 ']
Solving...,swv20, , ,[' 1'],[' 2227+'],[' 1116'],"[' 155.775s (Solving', ' 150.74s 1st Model', ' 24.17s Unsat', ' 0.00s)']",[' 155.078s'], ,[' 94683558'],"[' 882587   (Analyzed', ' 744898)']","[' 2329     (Average', ' 319.84 Last', ' 10694)']",[' 4109.6  '],"[' 1116     (Average Length', ' 550.70 Splits', ' 0)']","[' 744898   (Deleted', ' 700363)']","[' 354      (Ratio', '   0.05%)']","[' 31945    (Ratio', '   4.29%)']","[' 744898   (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 744898   (Average', ' 121.79 Max', ' 4735 Sum', ' 90722830)']","[' 744501   (Average', ' 121.47 Max', ' 4680 Sum', ' 90483942 Ratio', '  99.74%)']","[' 397      (Average', ' 601.73 Max', ' 3638 Sum', ' 238888 Ratio', '   0.26%)']", ,[' 58202   '],[' 7471    '],[' 58332   '],[' 39945   '],"[' 119831   (Atom=Atom', ' 33416 Body=Body', ' 19727 Other', ' 66688)']",[' Yes'],"[' 8101     (Eliminated', '    0 Frozen', ' 8101)']","[' 3682     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03628'],[' 0'], ,[' 60.7915'],[' 0'],[' 5.48626'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.67996e+08'],[' 2.42456e+08'],[' 0'],[' 2.7332e+09'],[' 0'],[' 0'],[' 1508 '],[' 3004 ']
