Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 3893+'],[' 1950'],"[' 1002.495s (Solving', ' 993.40s 1st Model', ' 91.66s Unsat', ' 0.00s)']",[' 1000.078s'], ,[' 200547463'],"[' 6975152  (Analyzed', ' 6505252)']","[' 14353    (Average', ' 453.23 Last', ' 127017)']",[' 3527.4  '],"[' 1950     (Average Length', ' 1022.25 Splits', ' 0)']","[' 23900674 (Deleted', ' 23653683)']","[' 313      (Ratio', '   0.00%)']","[' 30883    (Ratio', '   0.13%)']","[' 6505252  (Average Length', '   17.9 Ratio', '  27.22%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17395422 (Average Length', '   15.8 Ratio', '  72.78%) ']","[' 6505252  (Average', '  1.97 Max', ' 2314 Sum', ' 12818367)']","[' 6505252  (Average', '  1.97 Max', ' 2314 Sum', ' 12818367 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92186   '],[' 5938    '],[' 86084   '],[' 39017   '],"[' 114774   (Atom=Atom', ' 29961 Body=Body', ' 19844 Other', ' 64969)']",[' Yes'],"[' 7951     (Eliminated', '    0 Frozen', ' 7951)']","[' 5321     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91044'],[' 0'], ,[' 567.208'],[' 0'],[' 23.1732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.4559e+08'],[' 5.20508e+08'],[' 0'],[' 3.79087e+10'],[' 0'],[' 0'],[' 1115 '],[' 2108 '],[' 2993 '],[' 3 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 3535+'],[' 1771'],"[' 1002.303s (Solving', ' 993.79s 1st Model', ' 77.13s Unsat', ' 0.00s)']",[' 1000.422s'], ,[' 250423788'],"[' 5897464  (Analyzed', ' 5455309)']","[' 11917    (Average', ' 457.78 Last', ' 39212)']",[' 3558.5  '],"[' 1771     (Average Length', ' 938.83 Splits', ' 0)']","[' 21733703 (Deleted', ' 21492270)']","[' 384      (Ratio', '   0.00%)']","[' 35556    (Ratio', '   0.16%)']","[' 5455309  (Average Length', '   19.9 Ratio', '  25.10%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16278394 (Average Length', '   16.6 Ratio', '  74.90%) ']","[' 5455309  (Average', '  2.49 Max', ' 2764 Sum', ' 13593837)']","[' 5455309  (Average', '  2.49 Max', ' 2764 Sum', ' 13593837 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92419   '],[' 5991    '],[' 86171   '],[' 39075   '],"[' 115057   (Atom=Atom', ' 29994 Body=Body', ' 20003 Other', ' 65060)']",[' Yes'],"[' 7863     (Eliminated', '    0 Frozen', ' 7863)']","[' 4882     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.81661'],[' 0'], ,[' 516.521'],[' 0'],[' 24.2114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.74434e+08'],[' 7.1878e+08'],[' 0'],[' 2.96601e+10'],[' 0'],[' 0'],[' 1193 '],[' 2074 '],[' 2985 '],[' 3 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 3623+'],[' 1815'],"[' 1002.439s (Solving', ' 993.74s 1st Model', ' 359.69s Unsat', ' 0.00s)']",[' 999.188s'], ,[' 232944948'],"[' 6422753  (Analyzed', ' 6003235)']","[' 14335    (Average', ' 418.78 Last', ' 282298)']",[' 3611.1  '],"[' 1815     (Average Length', ' 954.22 Splits', ' 0)']","[' 22518799 (Deleted', ' 22213647)']","[' 319      (Ratio', '   0.00%)']","[' 32230    (Ratio', '   0.14%)']","[' 6003235  (Average Length', '   16.6 Ratio', '  26.66%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16515564 (Average Length', '   13.8 Ratio', '  73.34%) ']","[' 6003235  (Average', '  2.23 Max', ' 2488 Sum', ' 13402278)']","[' 6003235  (Average', '  2.23 Max', ' 2488 Sum', ' 13402278 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92738   '],[' 6023    '],[' 86517   '],[' 39274   '],"[' 115637   (Atom=Atom', ' 30166 Body=Body', ' 20099 Other', ' 65372)']",[' Yes'],"[' 7934     (Eliminated', '    0 Frozen', ' 7934)']","[' 4477     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.84715'],[' 0'], ,[' 542.932'],[' 0'],[' 24.2037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.86183e+08'],[' 6.3945e+08'],[' 0'],[' 3.18885e+10'],[' 0'],[' 0'],[' 1069 '],[' 1989 '],[' 2907 '],[' 3 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 3475+'],[' 1741'],"[' 1002.313s (Solving', ' 993.88s 1st Model', ' 158.99s Unsat', ' 0.00s)']",[' 999.703s'], ,[' 247155176'],"[' 6639489  (Analyzed', ' 6216757)']","[' 14432    (Average', ' 430.76 Last', ' 121720)']",[' 3520.0  '],"[' 1741     (Average Length', ' 923.68 Splits', ' 0)']","[' 24261343 (Deleted', ' 23986183)']","[' 348      (Ratio', '   0.00%)']","[' 35840    (Ratio', '   0.15%)']","[' 6216757  (Average Length', '   17.6 Ratio', '  25.62%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18044586 (Average Length', '   14.9 Ratio', '  74.38%) ']","[' 6216757  (Average', '  2.30 Max', ' 2649 Sum', ' 14290706)']","[' 6216757  (Average', '  2.30 Max', ' 2649 Sum', ' 14290706 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92252   '],[' 6008    '],[' 85937   '],[' 39112   '],"[' 115185   (Atom=Atom', ' 30032 Body=Body', ' 20054 Other', ' 65099)']",[' Yes'],"[' 7838     (Eliminated', '    0 Frozen', ' 7838)']","[' 5063     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82581'],[' 0'], ,[' 536.696'],[' 0'],[' 25.2036'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.03729e+08'],[' 6.53781e+08'],[' 0'],[' 3.23273e+10'],[' 0'],[' 0'],[' 1134 '],[' 2041 '],[' 2922 '],[' 3 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 3639+'],[' 1823'],"[' 1002.457s (Solving', ' 993.57s 1st Model', ' 261.28s Unsat', ' 0.00s)']",[' 998.969s'], ,[' 265204251'],"[' 5113655  (Analyzed', ' 4715523)']","[' 11210    (Average', ' 420.65 Last', ' 73399)']",[' 3516.9  '],"[' 1823     (Average Length', ' 947.84 Splits', ' 0)']","[' 19304113 (Deleted', ' 19063024)']","[' 513      (Ratio', '   0.00%)']","[' 36598    (Ratio', '   0.19%)']","[' 4715523  (Average Length', '   18.8 Ratio', '  24.43%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14588590 (Average Length', '   15.2 Ratio', '  75.57%) ']","[' 4715523  (Average', '  2.71 Max', ' 2514 Sum', ' 12801452)']","[' 4715523  (Average', '  2.71 Max', ' 2514 Sum', ' 12801452 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92485   '],[' 5996    '],[' 86293   '],[' 39144   '],"[' 115295   (Atom=Atom', ' 30066 Body=Body', ' 20018 Other', ' 65211)']",[' Yes'],"[' 7924     (Eliminated', '    0 Frozen', ' 7924)']","[' 4880     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.89044'],[' 0'], ,[' 499.926'],[' 0'],[' 25.2358'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.58876e+08'],[' 7.98832e+08'],[' 0'],[' 2.67238e+10'],[' 0'],[' 0'],[' 1054 '],[' 2074 '],[' 3005 '],[' 3 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 3287+'],[' 1647'],"[' 1002.225s (Solving', ' 994.01s 1st Model', ' 298.65s Unsat', ' 0.00s)']",[' 999.063s'], ,[' 223548293'],"[' 6604103  (Analyzed', ' 6189218)']","[' 13734    (Average', ' 450.65 Last', ' 134647)']",[' 3537.2  '],"[' 1647     (Average Length', ' 869.81 Splits', ' 0)']","[' 23654534 (Deleted', ' 23400670)']","[' 319      (Ratio', '   0.00%)']","[' 32563    (Ratio', '   0.14%)']","[' 6189218  (Average Length', '   19.1 Ratio', '  26.17%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17465316 (Average Length', '   16.4 Ratio', '  73.83%) ']","[' 6189218  (Average', '  2.23 Max', ' 2812 Sum', ' 13813860)']","[' 6189218  (Average', '  2.23 Max', ' 2812 Sum', ' 13813860 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 91987   '],[' 5966    '],[' 85589   '],[' 38840   '],"[' 114301   (Atom=Atom', ' 29770 Body=Body', ' 19928 Other', ' 64603)']",[' Yes'],"[' 7699     (Eliminated', '    0 Frozen', ' 7699)']","[' 4329     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77432'],[' 0'], ,[' 551.328'],[' 0'],[' 23.7443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.97417e+08'],[' 5.63531e+08'],[' 0'],[' 3.20898e+10'],[' 0'],[' 0'],[' 1193 '],[' 2231 '],[' 3145 '],[' 3 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 3569+'],[' 1788'],"[' 1002.568s (Solving', ' 993.60s 1st Model', ' 181.70s Unsat', ' 0.00s)']",[' 998.703s'], ,[' 246919851'],"[' 5367857  (Analyzed', ' 5028198)']","[' 10393    (Average', ' 483.81 Last', ' 98527)']",[' 3572.2  '],"[' 1788     (Average Length', ' 933.74 Splits', ' 0)']","[' 20250499 (Deleted', ' 20035261)']","[' 389      (Ratio', '   0.00%)']","[' 32790    (Ratio', '   0.16%)']","[' 5028198  (Average Length', '   20.0 Ratio', '  24.83%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15222301 (Average Length', '   16.2 Ratio', '  75.17%) ']","[' 5028198  (Average', '  2.64 Max', ' 2825 Sum', ' 13269486)']","[' 5028198  (Average', '  2.64 Max', ' 2825 Sum', ' 13269486 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92360   '],[' 5988    '],[' 86111   '],[' 39090   '],"[' 115038   (Atom=Atom', ' 29999 Body=Body', ' 19994 Other', ' 65045)']",[' Yes'],"[' 7873     (Eliminated', '    0 Frozen', ' 7873)']","[' 4542     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88976'],[' 0'], ,[' 511.209'],[' 0'],[' 24.3341'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38463e+08'],[' 6.8503e+08'],[' 0'],[' 2.81688e+10'],[' 0'],[' 0'],[' 1264 '],[' 2223 '],[' 3133 '],[' 3 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 3493+'],[' 1750'],"[' 1002.436s (Solving', ' 993.84s 1st Model', ' 36.60s Unsat', ' 0.00s)']",[' 998.875s'], ,[' 214492491'],"[' 6298127  (Analyzed', ' 5877547)']","[' 12351    (Average', ' 475.88 Last', ' 14139)']",[' 3527.3  '],"[' 1750     (Average Length', ' 918.37 Splits', ' 0)']","[' 20908689 (Deleted', ' 20632629)']","[' 345      (Ratio', '   0.00%)']","[' 33356    (Ratio', '   0.16%)']","[' 5877547  (Average Length', '   19.0 Ratio', '  28.11%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15031142 (Average Length', '   16.3 Ratio', '  71.89%) ']","[' 5877547  (Average', '  2.17 Max', ' 2553 Sum', ' 12736971)']","[' 5877547  (Average', '  2.17 Max', ' 2553 Sum', ' 12736971 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92445   '],[' 6004    '],[' 86126   '],[' 39166   '],"[' 115216   (Atom=Atom', ' 30025 Body=Body', ' 20042 Other', ' 65149)']",[' Yes'],"[' 7847     (Eliminated', '    0 Frozen', ' 7847)']","[' 4689     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.86384'],[' 0'], ,[' 539.982'],[' 0'],[' 23.3059'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.04543e+08'],[' 5.73384e+08'],[' 0'],[' 3.1201e+10'],[' 0'],[' 0'],[' 1180 '],[' 2273 '],[' 3201 '],[' 3 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 3459+'],[' 1733'],"[' 1002.405s (Solving', ' 994.06s 1st Model', ' 289.11s Unsat', ' 0.00s)']",[' 997.313s'], ,[' 221527689'],"[' 5485440  (Analyzed', ' 5089137)']","[' 11029    (Average', ' 461.43 Last', ' 354789)']",[' 3469.8  '],"[' 1733     (Average Length', ' 901.46 Splits', ' 0)']","[' 19989603 (Deleted', ' 19756468)']","[' 319      (Ratio', '   0.00%)']","[' 33412    (Ratio', '   0.17%)']","[' 5089137  (Average Length', '   18.5 Ratio', '  25.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14900466 (Average Length', '   15.3 Ratio', '  74.54%) ']","[' 5089137  (Average', '  2.45 Max', ' 2985 Sum', ' 12463209)']","[' 5089137  (Average', '  2.45 Max', ' 2985 Sum', ' 12463209 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92338   '],[' 5982    '],[' 86010   '],[' 38993   '],"[' 114823   (Atom=Atom', ' 29920 Body=Body', ' 19976 Other', ' 64927)']",[' Yes'],"[' 7767     (Eliminated', '    0 Frozen', ' 7767)']","[' 4968     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77046'],[' 0'], ,[' 527.009'],[' 0'],[' 24.0814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.04612e+08'],[' 6.65211e+08'],[' 0'],[' 2.78617e+10'],[' 0'],[' 0'],[' 1019 '],[' 2022 '],[' 2963 '],[' 3 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 4129+'],[' 2068'],"[' 1003.044s (Solving', ' 992.54s 1st Model', ' 165.71s Unsat', ' 0.00s)']",[' 998.266s'], ,[' 241727075'],"[' 4438907  (Analyzed', ' 4014469)']","[' 10288    (Average', ' 390.21 Last', ' 83214)']",[' 3587.6  '],"[' 2068     (Average Length', ' 1070.58 Splits', ' 0)']","[' 15649811 (Deleted', ' 15422191)']","[' 352      (Ratio', '   0.00%)']","[' 33217    (Ratio', '   0.21%)']","[' 4014469  (Average Length', '   16.4 Ratio', '  25.65%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11635342 (Average Length', '   13.5 Ratio', '  74.35%) ']","[' 4014469  (Average', '  2.74 Max', ' 2460 Sum', ' 10984970)']","[' 4014469  (Average', '  2.74 Max', ' 2460 Sum', ' 10984970 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92563   '],[' 5954    '],[' 86562   '],[' 39222   '],"[' 115386   (Atom=Atom', ' 30143 Body=Body', ' 19892 Other', ' 65351)']",[' Yes'],"[' 8066     (Eliminated', '    0 Frozen', ' 8066)']","[' 5279     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2249'],[' 0'], ,[' 523.844'],[' 0'],[' 24.884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38724e+08'],[' 6.994e+08'],[' 0'],[' 2.74182e+10'],[' 0'],[' 0'],[' 1022 '],[' 1991 '],[' 2905 '],[' 3 '],[' 0 ']
