Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 
Solving...,TA71, ,[' 1'],[' 13379+'],[' 6693'],"[' 1463.295s (Solving', ' 1255.46s 1st Model', ' 886.25s Unsat', ' 0.00s)']",[' 1454.469s'], ,[' 790227605'],"[' 1389122  (Analyzed', ' 405772)']","[' 5333     (Average', ' 76.09 Last', ' 97551)']",[' 25213.5 '],"[' 6693     (Average Length', ' 3149.57 Splits', ' 0)']","[' 405772   (Deleted', ' 352649)']","[' 1885     (Ratio', '   0.46%)']","[' 38091    (Ratio', '   9.39%)']","[' 405772   (Average Length', '   53.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 405772   (Average', ' 1602.96 Max', ' 31947 Sum', ' 650435104)']","[' 402816   (Average', ' 1580.89 Max', ' 31947 Sum', ' 641482703 Ratio', '  98.62%)']","[' 2956     (Average', ' 3028.55 Max', ' 5961 Sum', ' 8952401 Ratio', '   1.38%)']", ,[' 433810  '],[' 50919   '],[' 429694  '],[' 302399  '],"[' 907193   (Atom=Atom', ' 261554 Body=Body', ' 143743 Other', ' 501896)']",[' Yes'],"[' 48803    (Eliminated', '    0 Frozen', ' 48803)']","[' 4856     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 34.8742'],[' 0'], ,[' 523.596'],[' 0'],[' 64.5326'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70388e+09'],[' 1.62508e+09'],[' 0'],[' 1.08616e+10'],[' 0'],[' 0'],[' 2712 '],[' 5086 '],[' 7150 ']
Solving...,TA72, ,[' 1'],[' 11581+'],[' 5794'],"[' 2200.973s (Solving', ' 2010.74s 1st Model', ' 1626.22s Unsat', ' 0.00s)']",[' 2189.297s'], ,[' 1154883008'],"[' 2087371  (Analyzed', ' 827203)']","[' 6541     (Average', ' 126.46 Last', ' 31991)']",[' 26682.6 '],"[' 5794     (Average Length', ' 2872.32 Splits', ' 0)']","[' 827203   (Deleted', ' 747411)']","[' 948      (Ratio', '   0.11%)']","[' 64294    (Ratio', '   7.77%)']","[' 827203   (Average Length', '   54.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 827203   (Average', ' 1230.51 Max', ' 32756 Sum', ' 1017879025)']","[' 825937   (Average', ' 1227.52 Max', ' 32756 Sum', ' 1015404545 Ratio', '  99.76%)']","[' 1266     (Average', ' 1954.57 Max', ' 2094 Sum', ' 2474480 Ratio', '   0.24%)']", ,[' 423251  '],[' 50286   '],[' 417129  '],[' 294401  '],"[' 883199   (Atom=Atom', ' 255955 Body=Body', ' 141344 Other', ' 485900)']",[' Yes'],"[' 46132    (Eliminated', '    0 Frozen', ' 46132)']","[' 5211     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 33.2817'],[' 0'], ,[' 880.305'],[' 0'],[' 99.1863'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74279e+09'],[' 2.61877e+09'],[' 0'],[' 2.46111e+10'],[' 0'],[' 0'],[' 2235 '],[' 17672 '],[' 13338 ']
Solving...,TA73, ,[' 1'],[' 7651+'],[' 3829'],"[' 781.083s (Solving', ' 673.47s 1st Model', ' 403.85s Unsat', ' 0.00s)']",[' 777.563s'], ,[' 456800849'],"[' 611588   (Analyzed', ' 352008)']","[' 2598     (Average', ' 135.49 Last', ' 41295)']",[' 24063.6 '],"[' 3829     (Average Length', ' 1913.01 Splits', ' 0)']","[' 352008   (Deleted', ' 318671)']","[' 663      (Ratio', '   0.19%)']","[' 22771    (Ratio', '   6.47%)']","[' 352008   (Average Length', '   64.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 352008   (Average', ' 1063.83 Max', ' 33744 Sum', ' 374475569)']","[' 350550   (Average', ' 1055.93 Max', ' 33744 Sum', ' 371696968 Ratio', '  99.26%)']","[' 1458     (Average', ' 1905.76 Max', ' 1963 Sum', ' 2778601 Ratio', '   0.74%)']", ,[' 425406  '],[' 50719   '],[' 417027  '],[' 292461  '],"[' 877379   (Atom=Atom', ' 254080 Body=Body', ' 141279 Other', ' 482020)']",[' Yes'],"[' 44204    (Eliminated', '    0 Frozen', ' 44204)']","[' 3033     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.8336'],[' 0'], ,[' 290.434'],[' 0'],[' 34.1233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.29056e+08'],[' 8.87148e+08'],[' 0'],[' 7.34564e+09'],[' 0'],[' 0'],[' 2542 '],[' 18043 '],[' 20054 ']
Solving...,TA74, ,[' 1'],[' 9583+'],[' 4795'],"[' 992.196s (Solving', ' 857.85s 1st Model', ' 560.56s Unsat', ' 0.00s)']",[' 987.156s'], ,[' 557609229'],"[' 844478   (Analyzed', ' 459873)']","[' 3578     (Average', ' 128.53 Last', ' 88180)']",[' 24611.8 '],"[' 4795     (Average Length', ' 2390.87 Splits', ' 0)']","[' 459873   (Deleted', ' 423731)']","[' 788      (Ratio', '   0.17%)']","[' 23101    (Ratio', '   5.02%)']","[' 459873   (Average Length', '   59.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 459873   (Average', ' 988.60 Max', ' 33466 Sum', ' 454632262)']","[' 458081   (Average', ' 979.88 Max', ' 33466 Sum', ' 450620430 Ratio', '  99.12%)']","[' 1792     (Average', ' 2238.75 Max', ' 2443 Sum', ' 4011832 Ratio', '   0.88%)']", ,[' 421179  '],[' 50249   '],[' 413682  '],[' 290184  '],"[' 870548   (Atom=Atom', ' 252290 Body=Body', ' 140792 Other', ' 477466)']",[' Yes'],"[' 44673    (Eliminated', '    0 Frozen', ' 44673)']","[' 2367     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.389'],[' 0'], ,[' 397.681'],[' 0'],[' 42.3276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14815e+09'],[' 1.09937e+09'],[' 0'],[' 1.21113e+10'],[' 0'],[' 0'],[' 2182 '],[' 14857 '],[' 16571 ']
Solving...,TA75, ,[' 1'],[' 13077+'],[' 6542'],"[' 1988.354s (Solving', ' 1777.43s 1st Model', ' 1391.22s Unsat', ' 0.00s)']",[' 1978.344s'], ,[' 1102148098'],"[' 1571842  (Analyzed', ' 622580)']","[' 5963     (Average', ' 104.41 Last', ' 12893)']",[' 27569.4 '],"[' 6542     (Average Length', ' 3254.23 Splits', ' 0)']","[' 622580   (Deleted', ' 558862)']","[' 1160     (Ratio', '   0.19%)']","[' 51570    (Ratio', '   8.28%)']","[' 622580   (Average Length', '   54.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 622580   (Average', ' 1518.70 Max', ' 33748 Sum', ' 945513103)']","[' 621077   (Average', ' 1512.92 Max', ' 33748 Sum', ' 941914095 Ratio', '  99.62%)']","[' 1503     (Average', ' 2394.55 Max', ' 6112 Sum', ' 3599008 Ratio', '   0.38%)']", ,[' 428067  '],[' 50961   '],[' 422391  '],[' 296833  '],"[' 890495   (Atom=Atom', ' 257963 Body=Body', ' 141768 Other', ' 490764)']",[' Yes'],"[' 47278    (Eliminated', '    0 Frozen', ' 47278)']","[' 3621     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 35.7165'],[' 0'], ,[' 782.725'],[' 0'],[' 90.5203'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.48362e+09'],[' 2.37796e+09'],[' 0'],[' 2.10996e+10'],[' 0'],[' 0'],[' 2340 '],[' 17197 '],[' 13585 ']
Solving...,TA76, ,[' 1'],[' 9215+'],[' 4611'],"[' 1135.336s (Solving', ' 994.19s 1st Model', ' 694.82s Unsat', ' 0.00s)']",[' 1126.969s'], ,[' 634547745'],"[' 836013   (Analyzed', ' 450168)']","[' 3676     (Average', ' 122.46 Last', ' 25580)']",[' 24620.4 '],"[' 4611     (Average Length', ' 2303.95 Splits', ' 0)']","[' 450168   (Deleted', ' 403222)']","[' 567      (Ratio', '   0.13%)']","[' 32093    (Ratio', '   7.13%)']","[' 450168   (Average Length', '   60.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 450168   (Average', ' 1186.72 Max', ' 33104 Sum', ' 534225278)']","[' 448751   (Average', ' 1179.94 Max', ' 33104 Sum', ' 531170464 Ratio', '  99.43%)']","[' 1417     (Average', ' 2155.83 Max', ' 2219 Sum', ' 3054814 Ratio', '   0.57%)']", ,[' 422586  '],[' 50530   '],[' 414765  '],[' 291952  '],"[' 875852   (Atom=Atom', ' 253848 Body=Body', ' 141002 Other', ' 481002)']",[' Yes'],"[' 44709    (Eliminated', '    0 Frozen', ' 44709)']","[' 3704     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.9206'],[' 0'], ,[' 428.541'],[' 0'],[' 51.975'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32769e+09'],[' 1.26866e+09'],[' 0'],[' 1.00407e+10'],[' 0'],[' 0'],[' 2361 '],[' 17342 '],[' 18744 ']
Solving...,TA77, ,[' 1'],[' 14367+'],[' 7187'],"[' 1566.185s (Solving', ' 1359.80s 1st Model', ' 984.60s Unsat', ' 0.00s)']",[' 1554.844s'], ,[' 848352846'],"[' 1680015  (Analyzed', ' 445514)']","[' 5799     (Average', ' 76.83 Last', ' 95627)']",[' 24471.2 '],"[' 7187     (Average Length', ' 3341.20 Splits', ' 0)']","[' 445514   (Deleted', ' 387956)']","[' 2480     (Ratio', '   0.56%)']","[' 39693    (Ratio', '   8.91%)']","[' 445514   (Average Length', '   42.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 445514   (Average', ' 1585.14 Max', ' 31986 Sum', ' 706201207)']","[' 442388   (Average', ' 1560.33 Max', ' 31986 Sum', ' 695149059 Ratio', '  98.43%)']","[' 3126     (Average', ' 3535.56 Max', ' 6210 Sum', ' 11052148 Ratio', '   1.57%)']", ,[' 433403  '],[' 50248   '],[' 430449  '],[' 303429  '],"[' 910283   (Atom=Atom', ' 262342 Body=Body', ' 143985 Other', ' 503956)']",[' Yes'],"[' 49294    (Eliminated', '    0 Frozen', ' 49294)']","[' 5866     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 34.3684'],[' 0'], ,[' 576.123'],[' 0'],[' 70.4008'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83269e+09'],[' 1.74888e+09'],[' 0'],[' 1.21548e+10'],[' 0'],[' 0'],[' 2332 '],[' 4485 '],[' 6622 ']
Solving...,TA78, ,[' 1'],[' 7987+'],[' 3997'],"[' 804.508s (Solving', ' 697.75s 1st Model', ' 428.23s Unsat', ' 0.00s)']",[' 797.078s'], ,[' 470041072'],"[' 693026   (Analyzed', ' 379136)']","[' 2975     (Average', ' 127.44 Last', ' 36105)']",[' 22760.0 '],"[' 3997     (Average Length', ' 1997.11 Splits', ' 0)']","[' 379136   (Deleted', ' 341032)']","[' 488      (Ratio', '   0.13%)']","[' 24780    (Ratio', '   6.54%)']","[' 379136   (Average Length', '   62.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 379136   (Average', ' 1027.87 Max', ' 33323 Sum', ' 389702461)']","[' 377750   (Average', ' 1019.92 Max', ' 33323 Sum', ' 386688343 Ratio', '  99.23%)']","[' 1386     (Average', ' 2174.69 Max', ' 2240 Sum', ' 3014118 Ratio', '   0.77%)']", ,[' 421328  '],[' 50425   '],[' 413190  '],[' 291607  '],"[' 874817   (Atom=Atom', ' 253348 Body=Body', ' 141157 Other', ' 480312)']",[' Yes'],"[' 44250    (Eliminated', '    0 Frozen', ' 44250)']","[' 3586     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.5612'],[' 0'], ,[' 297.905'],[' 0'],[' 35.0044'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.46177e+08'],[' 9.01126e+08'],[' 0'],[' 7.40014e+09'],[' 0'],[' 0'],[' 2291 '],[' 17451 '],[' 19592 ']
Solving...,TA79, ,[' 1'],[' 5345+'],[' 2676'],"[' 365.272s (Solving', ' 323.74s 1st Model', ' 169.75s Unsat', ' 0.00s)']",[' 362.844s'], ,[' 218698674'],"[' 555046   (Analyzed', ' 327333)']","[' 2271     (Average', ' 144.14 Last', ' 18824)']",[' 12595.1 '],"[' 2675     (Average Length', ' 1336.96 Splits', ' 0)']","[' 327333   (Deleted', ' 299028)']","[' 649      (Ratio', '   0.20%)']","[' 16979    (Ratio', '   5.19%)']","[' 327333   (Average Length', '   64.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 327333   (Average', ' 587.42 Max', ' 33532 Sum', ' 192283070)']","[' 325779   (Average', ' 575.20 Max', ' 33532 Sum', ' 188281932 Ratio', '  97.92%)']","[' 1554     (Average', ' 2574.73 Max', ' 2654 Sum', ' 4001138 Ratio', '   2.08%)']", ,[' 420340  '],[' 50396   '],[' 411146  '],[' 291092  '],"[' 873272   (Atom=Atom', ' 252629 Body=Body', ' 141361 Other', ' 479282)']",[' Yes'],"[' 43133    (Eliminated', '    0 Frozen', ' 43133)']","[' 3053     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.70588'],[' 0'], ,[' 143.851'],[' 0'],[' 14.1608'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.9957e+08'],[' 2.75051e+08'],[' 0'],[' 5.12041e+09'],[' 0'],[' 0'],[' 2238 '],[' 17083 '],[' 33531 ']
Solving...,TA80, ,[' 1'],[' 8805+'],[' 4406'],"[' 917.794s (Solving', ' 782.31s 1st Model', ' 490.75s Unsat', ' 0.00s)']",[' 912.234s'], ,[' 533521610'],"[' 719414   (Analyzed', ' 351558)']","[' 3113     (Average', ' 112.93 Last', ' 18323)']",[' 25857.0 '],"[' 4406     (Average Length', ' 2201.38 Splits', ' 0)']","[' 351558   (Deleted', ' 317217)']","[' 613      (Ratio', '   0.17%)']","[' 23215    (Ratio', '   6.60%)']","[' 351558   (Average Length', '   67.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 351558   (Average', ' 1229.21 Max', ' 33922 Sum', ' 432139632)']","[' 349852   (Average', ' 1219.95 Max', ' 33922 Sum', ' 428881454 Ratio', '  99.25%)']","[' 1706     (Average', ' 1909.83 Max', ' 1950 Sum', ' 3258178 Ratio', '   0.75%)']", ,[' 423312  '],[' 50612   '],[' 415847  '],[' 292639  '],"[' 877913   (Atom=Atom', ' 254047 Body=Body', ' 141490 Other', ' 482376)']",[' Yes'],"[' 44992    (Eliminated', '    0 Frozen', ' 44992)']","[' 2746     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.8876'],[' 0'], ,[' 343.108'],[' 0'],[' 41.1456'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10634e+09'],[' 1.06021e+09'],[' 0'],[' 8.41222e+09'],[' 0'],[' 0'],[' 2341 '],[' 18067 '],[' 19293 ']
