Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 10517+'],[' 5264'],"[' 628.272s (Solving', ' 548.29s 1st Model', ' 181.47s Unsat', ' 0.00s)']",[' 625.625s'], ,[' 240767512'],"[' 4596760  (Analyzed', ' 4221548)']","[' 9983     (Average', ' 422.87 Last', ' 75938)']",[' 10501.9 '],"[' 5265     (Average Length', ' 2600.63 Splits', ' 0)']","[' 4221548  (Deleted', ' 4111384)']","[' 544      (Ratio', '   0.01%)']","[' 38044    (Ratio', '   0.90%)']","[' 4221548  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4221548  (Average', ' 48.02 Max', ' 14365 Sum', ' 202731106)']","[' 4219334  (Average', ' 47.03 Max', ' 14365 Sum', ' 198545605 Ratio', '  97.94%)']","[' 2214     (Average', ' 1890.47 Max', ' 3834 Sum', ' 4185501 Ratio', '   2.06%)']", ,[' 372018  '],[' 21441   '],[' 342137  '],[' 168020  '],"[' 405889   (Atom=Atom', ' 112270 Body=Body', ' 78582 Other', ' 215037)']",[' Yes'],"[' 27079    (Eliminated', '    0 Frozen', ' 27079)']","[' 6541     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2193'],[' 0'], ,[' 147.438'],[' 0'],[' 14.4436'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.49443e+08'],[' 3.95562e+08'],[' 0'],[' 4.86603e+09'],[' 0'],[' 0'],[' 1187 '],[' 2110 '],[' 2850 '],[' 3686 '],[' 4479 '],[' 5273 '],[' 6227 '],[' 7 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 11353+'],[' 5683'],"[' 623.552s (Solving', ' 545.94s 1st Model', ' 164.15s Unsat', ' 0.00s)']",[' 620.813s'], ,[' 241692646'],"[' 3666526  (Analyzed', ' 3248436)']","[' 8400     (Average', ' 386.72 Last', ' 27767)']",[' 9982.6  '],"[' 5683     (Average Length', ' 2739.15 Splits', ' 0)']","[' 3248436  (Deleted', ' 3150533)']","[' 630      (Ratio', '   0.02%)']","[' 39516    (Ratio', '   1.22%)']","[' 3248436  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3248436  (Average', ' 63.50 Max', ' 13474 Sum', ' 206288245)']","[' 3245634  (Average', ' 61.53 Max', ' 13474 Sum', ' 199863183 Ratio', '  96.89%)']","[' 2802     (Average', ' 2293.03 Max', ' 4172 Sum', ' 6425062 Ratio', '   3.11%)']", ,[' 372197  '],[' 21197   '],[' 342065  '],[' 168040  '],"[' 404059   (Atom=Atom', ' 111916 Body=Body', ' 77932 Other', ' 214211)']",[' Yes'],"[' 27135    (Eliminated', '    0 Frozen', ' 27135)']","[' 7117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5997'],[' 0'], ,[' 134.489'],[' 0'],[' 14.3333'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7093e+08'],[' 4.13418e+08'],[' 0'],[' 4.10549e+09'],[' 0'],[' 0'],[' 1006 '],[' 1819 '],[' 2560 '],[' 3272 '],[' 4102 '],[' 5270 '],[' 5619 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 10027+'],[' 5021'],"[' 622.650s (Solving', ' 550.52s 1st Model', ' 185.55s Unsat', ' 0.00s)']",[' 620.984s'], ,[' 246995087'],"[' 4666319  (Analyzed', ' 4398627)']","[' 10625    (Average', ' 413.99 Last', ' 71332)']",[' 10464.6 '],"[' 5022     (Average Length', ' 2531.79 Splits', ' 0)']","[' 4398627  (Deleted', ' 4291659)']","[' 637      (Ratio', '   0.01%)']","[' 38854    (Ratio', '   0.88%)']","[' 4398627  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4398627  (Average', ' 48.27 Max', ' 13788 Sum', ' 212337339)']","[' 4395918  (Average', ' 46.97 Max', ' 13788 Sum', ' 206613887 Ratio', '  97.30%)']","[' 2709     (Average', ' 2112.75 Max', ' 3733 Sum', ' 5723452 Ratio', '   2.70%)']", ,[' 373641  '],[' 21559   '],[' 343338  '],[' 169344  '],"[' 403626   (Atom=Atom', ' 111633 Body=Body', ' 78276 Other', ' 213717)']",[' Yes'],"[' 26844    (Eliminated', '    0 Frozen', ' 26844)']","[' 5814     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5101'],[' 0'], ,[' 161.847'],[' 0'],[' 14.9787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38058e+08'],[' 3.83225e+08'],[' 0'],[' 5.75572e+09'],[' 0'],[' 0'],[' 1246 '],[' 2121 '],[' 2811 '],[' 3652 '],[' 4435 '],[' 5270 '],[' 5933 '],[' 7 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 10375+'],[' 5195'],"[' 619.938s (Solving', ' 549.62s 1st Model', ' 168.96s Unsat', ' 0.00s)']",[' 617.156s'], ,[' 245057570'],"[' 4521650  (Analyzed', ' 4080217)']","[' 10204    (Average', ' 399.86 Last', ' 44802)']",[' 9746.2  '],"[' 5195     (Average Length', ' 2533.30 Splits', ' 0)']","[' 4080217  (Deleted', ' 3957988)']","[' 732      (Ratio', '   0.02%)']","[' 42105    (Ratio', '   1.03%)']","[' 4080217  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4080217  (Average', ' 52.33 Max', ' 12838 Sum', ' 213528244)']","[' 4077112  (Average', ' 50.70 Max', ' 12838 Sum', ' 206870064 Ratio', '  96.88%)']","[' 3105     (Average', ' 2144.34 Max', ' 3778 Sum', ' 6658180 Ratio', '   3.12%)']", ,[' 371689  '],[' 21265   '],[' 341372  '],[' 167530  '],"[' 403169   (Atom=Atom', ' 111578 Body=Body', ' 78044 Other', ' 213547)']",[' Yes'],"[' 26841    (Eliminated', '    0 Frozen', ' 26841)']","[' 7927     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8105'],[' 0'], ,[' 146.215'],[' 0'],[' 14.8811'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.78787e+08'],[' 4.21102e+08'],[' 0'],[' 4.65917e+09'],[' 0'],[' 0'],[' 1107 '],[' 1823 '],[' 2584 '],[' 3452 '],[' 4248 '],[' 4979 '],[' 5750 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 10775+'],[' 5394'],"[' 626.039s (Solving', ' 548.19s 1st Model', ' 180.26s Unsat', ' 0.00s)']",[' 624.578s'], ,[' 240407097'],"[' 3769674  (Analyzed', ' 3316672)']","[' 8446     (Average', ' 392.69 Last', ' 40010)']",[' 10158.4 '],"[' 5395     (Average Length', ' 2658.62 Splits', ' 0)']","[' 3316672  (Deleted', ' 3218858)']","[' 536      (Ratio', '   0.02%)']","[' 42321    (Ratio', '   1.28%)']","[' 3316672  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3316672  (Average', ' 61.30 Max', ' 13957 Sum', ' 203301924)']","[' 3314590  (Average', ' 60.08 Max', ' 13957 Sum', ' 199268535 Ratio', '  98.02%)']","[' 2082     (Average', ' 1937.27 Max', ' 3954 Sum', ' 4033389 Ratio', '   1.98%)']", ,[' 373489  '],[' 21503   '],[' 343333  '],[' 168989  '],"[' 406233   (Atom=Atom', ' 112376 Body=Body', ' 78529 Other', ' 215328)']",[' Yes'],"[' 27165    (Eliminated', '    0 Frozen', ' 27165)']","[' 6701     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.012'],[' 0'], ,[' 136.449'],[' 0'],[' 14.2987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7579e+08'],[' 4.19528e+08'],[' 0'],[' 4.28622e+09'],[' 0'],[' 0'],[' 1157 '],[' 1986 '],[' 2743 '],[' 3510 '],[' 4312 '],[' 5190 '],[' 6029 '],[' 7 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 10859+'],[' 5436'],"[' 622.553s (Solving', ' 546.95s 1st Model', ' 211.07s Unsat', ' 0.00s)']",[' 620.266s'], ,[' 242796670'],"[' 3898451  (Analyzed', ' 3551176)']","[' 9196     (Average', ' 386.17 Last', ' 79246)']",[' 9905.9  '],"[' 5436     (Average Length', ' 2662.67 Splits', ' 0)']","[' 3551176  (Deleted', ' 3451629)']","[' 668      (Ratio', '   0.02%)']","[' 41409    (Ratio', '   1.17%)']","[' 3551176  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3551176  (Average', ' 58.82 Max', ' 13083 Sum', ' 208896083)']","[' 3548363  (Average', ' 57.12 Max', ' 13083 Sum', ' 202829362 Ratio', '  97.10%)']","[' 2813     (Average', ' 2156.67 Max', ' 3945 Sum', ' 6066721 Ratio', '   2.90%)']", ,[' 373611  '],[' 21340   '],[' 343086  '],[' 169130  '],"[' 403325   (Atom=Atom', ' 111635 Body=Body', ' 77971 Other', ' 213719)']",[' Yes'],"[' 27061    (Eliminated', '    0 Frozen', ' 27061)']","[' 7686     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2226'],[' 0'], ,[' 137.001'],[' 0'],[' 14.2646'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7995e+08'],[' 4.2131e+08'],[' 0'],[' 4.0754e+09'],[' 0'],[' 0'],[' 1032 '],[' 1847 '],[' 2599 '],[' 3375 '],[' 4181 '],[' 5077 '],[' 6650 '],[' 7 '],[' 0 ']
Solving...,TA77, , , ,[' 11111+'],[' 5562'],"[' 625.101s (Solving', ' 546.91s 1st Model', ' 218.90s Unsat', ' 0.00s)']",[' 622.469s'], ,[' 241645484'],"[' 5137924  (Analyzed', ' 4303217)']","[' 10928    (Average', ' 393.78 Last', ' 61456)']",[' 10408.0 '],"[' 5563     (Average Length', ' 2687.98 Splits', ' 0)']","[' 4303217  (Deleted', ' 4209577)']","[' 518      (Ratio', '   0.01%)']","[' 35848    (Ratio', '   0.83%)']","[' 4303217  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4303217  (Average', ' 47.33 Max', ' 13844 Sum', ' 203666792)']","[' 4300596  (Average', ' 45.92 Max', ' 13844 Sum', ' 197614490 Ratio', '  97.03%)']","[' 2621     (Average', ' 2309.16 Max', ' 4030 Sum', ' 6052302 Ratio', '   2.97%)']", ,[' 371695  '],[' 21209   '],[' 341607  '],[' 167635  '],"[' 404185   (Atom=Atom', ' 111914 Body=Body', ' 78012 Other', ' 214259)']",[' Yes'],"[' 27113    (Eliminated', '    0 Frozen', ' 27113)']","[' 6181     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4662'],[' 0'], ,[' 145.298'],[' 0'],[' 14.1713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38924e+08'],[' 3.86063e+08'],[' 0'],[' 4.71445e+09'],[' 0'],[' 0'],[' 1216 '],[' 1804 '],[' 2569 '],[' 3472 '],[' 4246 '],[' 5234 '],[' 6022 '],[' 7 '],[' 0 ']
Solving...,TA78, , , ,[' 10523+'],[' 5269'],"[' 623.127s (Solving', ' 548.81s 1st Model', ' 139.39s Unsat', ' 0.00s)']",[' 620.828s'], ,[' 240644073'],"[' 4292385  (Analyzed', ' 3882628)']","[' 8736     (Average', ' 444.44 Last', ' 65205)']",[' 10102.8 '],"[' 5270     (Average Length', ' 2614.26 Splits', ' 0)']","[' 3882628  (Deleted', ' 3781330)']","[' 693      (Ratio', '   0.02%)']","[' 40985    (Ratio', '   1.06%)']","[' 3882628  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3882628  (Average', ' 53.52 Max', ' 13220 Sum', ' 207793599)']","[' 3879495  (Average', ' 51.65 Max', ' 13220 Sum', ' 200543338 Ratio', '  96.51%)']","[' 3133     (Average', ' 2314.16 Max', ' 3873 Sum', ' 7250261 Ratio', '   3.49%)']", ,[' 372628  '],[' 21426   '],[' 342588  '],[' 168458  '],"[' 403813   (Atom=Atom', ' 111727 Body=Body', ' 78116 Other', ' 213970)']",[' Yes'],"[' 26977    (Eliminated', '    0 Frozen', ' 26977)']","[' 7255     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.9418'],[' 0'], ,[' 153.064'],[' 0'],[' 14.5469'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.4849e+08'],[' 3.93818e+08'],[' 0'],[' 5.39274e+09'],[' 0'],[' 0'],[' 1194 '],[' 2009 '],[' 2801 '],[' 3543 '],[' 4447 '],[' 5110 '],[' 5936 '],[' 7 '],[' 0 ']
Solving...,TA79, , , ,[' 11223+'],[' 5619'],"[' 623.713s (Solving', ' 546.53s 1st Model', ' 216.07s Unsat', ' 0.00s)']",[' 619.813s'], ,[' 249901644'],"[' 3547276  (Analyzed', ' 2943765)']","[' 7834     (Average', ' 375.77 Last', ' 32605)']",[' 9712.0  '],"[' 5620     (Average Length', ' 2723.18 Splits', ' 0)']","[' 2943765  (Deleted', ' 2845168)']","[' 688      (Ratio', '   0.02%)']","[' 43215    (Ratio', '   1.47%)']","[' 2943765  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2943765  (Average', ' 73.59 Max', ' 13102 Sum', ' 216629954)']","[' 2940817  (Average', ' 71.24 Max', ' 13102 Sum', ' 209721376 Ratio', '  96.81%)']","[' 2948     (Average', ' 2343.48 Max', ' 4137 Sum', ' 6908578 Ratio', '   3.19%)']", ,[' 372527  '],[' 21253   '],[' 342444  '],[' 168006  '],"[' 406445   (Atom=Atom', ' 112482 Body=Body', ' 78457 Other', ' 215506)']",[' Yes'],"[' 27351    (Eliminated', '    0 Frozen', ' 27351)']","[' 7999     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4057'],[' 0'], ,[' 129.902'],[' 0'],[' 14.52'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.03336e+08'],[' 4.44417e+08'],[' 0'],[' 3.7552e+09'],[' 0'],[' 0'],[' 1051 '],[' 1803 '],[' 2565 '],[' 3382 '],[' 4149 '],[' 5167 '],[' 5881 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 10879+'],[' 5447'],"[' 623.808s (Solving', ' 546.93s 1st Model', ' 177.60s Unsat', ' 0.00s)']",[' 621.516s'], ,[' 234610222'],"[' 3928975  (Analyzed', ' 3470691)']","[' 9308     (Average', ' 372.87 Last', ' 104558)']",[' 10542.1 '],"[' 5448     (Average Length', ' 2684.81 Splits', ' 0)']","[' 3470691  (Deleted', ' 3374779)']","[' 673      (Ratio', '   0.02%)']","[' 36972    (Ratio', '   1.07%)']","[' 3470691  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3470691  (Average', ' 57.03 Max', ' 13919 Sum', ' 197917728)']","[' 3467758  (Average', ' 55.06 Max', ' 13919 Sum', ' 191085124 Ratio', '  96.55%)']","[' 2933     (Average', ' 2329.56 Max', ' 3968 Sum', ' 6832604 Ratio', '   3.45%)']", ,[' 375730  '],[' 21708   '],[' 345241  '],[' 171116  '],"[' 407068   (Atom=Atom', ' 112593 Body=Body', ' 78731 Other', ' 215744)']",[' Yes'],"[' 27259    (Eliminated', '    0 Frozen', ' 27259)']","[' 6339     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3748'],[' 0'], ,[' 150.798'],[' 0'],[' 14.2247'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.34721e+08'],[' 3.81769e+08'],[' 0'],[' 4.79421e+09'],[' 0'],[' 0'],[' 1047 '],[' 2000 '],[' 2762 '],[' 3370 '],[' 4211 '],[' 4919 '],[' 6485 '],[' 7 '],[' 0 ']
