Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA76, ,[' 1'],[' 4791+'],[' 2403'],"[' 688.201s (Solving', ' 645.65s 1st Model', ' 44.95s Unsat', ' 0.00s)']",[' 685.422s'], ,[' 91510740'],"[' 7220683  (Analyzed', ' 6852793)']","[' 14393    (Average', ' 476.12 Last', ' 11682)']",[' 7514.3  '],"[' 2403     (Average Length', ' 1129.62 Splits', ' 0)']","[' 6852793  (Deleted', ' 6750259)']","[' 26       (Ratio', '   0.00%)']","[' 10658    (Ratio', '   0.16%)']","[' 6852793  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6852793  (Average', ' 11.31 Max', ' 10346 Sum', ' 77534383)']","[' 6850569  (Average', ' 11.01 Max', ' 10346 Sum', ' 75435705 Ratio', '  97.29%)']","[' 2224     (Average', ' 943.65 Max', ' 1822 Sum', ' 2098678 Ratio', '   2.71%)']", ,[' 373742  '],[' 16002   '],[' 373950  '],[' 216924  '],"[' 650768   (Atom=Atom', ' 202920 Body=Body', ' 116902 Other', ' 330946)']",[' Yes'],"[' 18210    (Eliminated', '    0 Frozen', ' 18210)']","[' 2151     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.6215'],[' 0'], ,[' 546.512'],[' 0'],[' 10.0271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.68493e+08'],[' 3.39396e+08'],[' 0'],[' 6.59836e+10'],[' 0'],[' 0'],1151,2290,3253,4086,5152,6267,7274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA77, ,[' 1'],[' 4477+'],[' 2246'],"[' 688.100s (Solving', ' 650.95s 1st Model', ' 45.03s Unsat', ' 0.00s)']",[' 686.547s'], ,[' 92169721'],"[' 7812294  (Analyzed', ' 7292167)']","[' 14764    (Average', ' 493.92 Last', ' 195271)']",[' 7647.3  '],"[' 2246     (Average Length', ' 1054.56 Splits', ' 0)']","[' 7292167  (Deleted', ' 7187760)']","[' 19       (Ratio', '   0.00%)']","[' 9514     (Ratio', '   0.13%)']","[' 7292167  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7292167  (Average', ' 10.73 Max', ' 11199 Sum', ' 78277055)']","[' 7290465  (Average', ' 10.49 Max', ' 11199 Sum', ' 76465177 Ratio', '  97.69%)']","[' 1702     (Average', ' 1064.56 Max', ' 1805 Sum', ' 1811878 Ratio', '   2.31%)']", ,[' 374581  '],[' 16035   '],[' 374656  '],[' 221252  '],"[' 663752   (Atom=Atom', ' 207215 Body=Body', ' 116935 Other', ' 339602)']",[' Yes'],"[' 18110    (Eliminated', '    0 Frozen', ' 18110)']","[' 1689     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.58155'],[' 0'], ,[' 550.33'],[' 0'],[' 10.0332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.51462e+08'],[' 3.22963e+08'],[' 0'],[' 6.82975e+10'],[' 0'],[' 0'],1227,2194,3265,4287,5288,6355,7464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA78, ,[' 1'],[' 4481+'],[' 2248'],"[' 689.039s (Solving', ' 647.75s 1st Model', ' 41.84s Unsat', ' 0.00s)']",[' 687.094s'], ,[' 80768710'],"[' 8104295  (Analyzed', ' 7583175)']","[' 15222    (Average', ' 498.17 Last', ' 42377)']",[' 7594.0  '],"[' 2248     (Average Length', ' 1072.07 Splits', ' 0)']","[' 7583175  (Deleted', ' 7469105)']","[' 23       (Ratio', '   0.00%)']","[' 8772     (Ratio', '   0.12%)']","[' 7583175  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7583175  (Average', '  8.87 Max', ' 10820 Sum', ' 67270847)']","[' 7580933  (Average', '  8.60 Max', ' 10820 Sum', ' 65252297 Ratio', '  97.00%)']","[' 2242     (Average', ' 900.33 Max', ' 1747 Sum', ' 2018550 Ratio', '   3.00%)']", ,[' 373540  '],[' 16160   '],[' 373667  '],[' 218215  '],"[' 654641   (Atom=Atom', ' 204053 Body=Body', ' 117060 Other', ' 333528)']",[' Yes'],"[' 18287    (Eliminated', '    0 Frozen', ' 18287)']","[' 1709     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.31421'],[' 0'], ,[' 544.786'],[' 0'],[' 9.75548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.35238e+08'],[' 3.06758e+08'],[' 0'],[' 6.28079e+10'],[' 0'],[' 0'],1110,2162,3214,4293,5332,6567,7691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA79, ,[' 1'],[' 4763+'],[' 2389'],"[' 689.278s (Solving', ' 648.89s 1st Model', ' 36.23s Unsat', ' 0.00s)']",[' 687.000s'], ,[' 77092081'],"[' 6832400  (Analyzed', ' 6367964)']","[' 13775    (Average', ' 462.28 Last', ' 13381)']",[' 6939.4  '],"[' 2389     (Average Length', ' 1119.60 Splits', ' 0)']","[' 6367964  (Deleted', ' 6266103)']","[' 31       (Ratio', '   0.00%)']","[' 9984     (Ratio', '   0.16%)']","[' 6367964  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6367964  (Average', ' 10.17 Max', ' 10498 Sum', ' 64780054)']","[' 6365692  (Average', '  9.80 Max', ' 10498 Sum', ' 62380132 Ratio', '  96.30%)']","[' 2272     (Average', ' 1056.30 Max', ' 1899 Sum', ' 2399922 Ratio', '   3.70%)']", ,[' 373276  '],[' 16007   '],[' 373495  '],[' 216755  '],"[' 650261   (Atom=Atom', ' 202746 Body=Body', ' 116907 Other', ' 330608)']",[' Yes'],"[' 18226    (Eliminated', '    0 Frozen', ' 18226)']","[' 1882     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.02096'],[' 0'], ,[' 551.73'],[' 0'],[' 9.52794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09184e+08'],[' 2.82816e+08'],[' 0'],[' 6.4294e+10'],[' 0'],[' 0'],976,1909,2926,3866,4948,6024,7019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA80, ,[' 1'],[' 3913+'],[' 1964'],"[' 688.118s (Solving', ' 652.44s 1st Model', ' 41.46s Unsat', ' 0.00s)']",[' 686.531s'], ,[' 98194100'],"[' 7164715  (Analyzed', ' 6727090)']","[' 14052    (Average', ' 478.73 Last', ' 48995)']",[' 7837.7  '],"[' 1964     (Average Length', ' 944.72 Splits', ' 0)']","[' 6727090  (Deleted', ' 6628251)']","[' 24       (Ratio', '   0.00%)']","[' 11741    (Ratio', '   0.17%)']","[' 6727090  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6727090  (Average', ' 12.73 Max', ' 10987 Sum', ' 85614970)']","[' 6724892  (Average', ' 12.46 Max', ' 10987 Sum', ' 83820268 Ratio', '  97.90%)']","[' 2198     (Average', ' 816.52 Max', ' 1414 Sum', ' 1794702 Ratio', '   2.10%)']", ,[' 376803  '],[' 16476   '],[' 376680  '],[' 222019  '],"[' 666053   (Atom=Atom', ' 207541 Body=Body', ' 117376 Other', ' 341136)']",[' Yes'],"[' 18353    (Eliminated', '    0 Frozen', ' 18353)']","[' 2317     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.3289'],[' 0'], ,[' 552.403'],[' 0'],[' 10.0849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.60855e+08'],[' 3.29736e+08'],[' 0'],[' 6.66033e+10'],[' 0'],[' 0'],1264,2298,3469,4536,5756,6913,7893
