Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA61, , ,[' 1'],[' 6669+'],[' 3337'],"[' 1037.382s (Solving', ' 1010.76s 1st Model', ' 850.31s Unsat', ' 0.00s)']",[' 1035.734s'], ,[' 573144313'],"[' 3034576  (Analyzed', ' 2458170)']","[' 8904     (Average', ' 276.07 Last', ' 189277)']",[' 9062.8  '],"[' 3337     (Average Length', ' 1633.14 Splits', ' 0)']","[' 2458170  (Deleted', ' 2373621)']","[' 758      (Ratio', '   0.03%)']","[' 65902    (Ratio', '   2.68%)']","[' 2458170  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2458170  (Average', ' 223.10 Max', ' 10468 Sum', ' 548412961)']","[' 2457578  (Average', ' 222.67 Max', ' 10066 Sum', ' 547359140 Ratio', '  99.81%)']","[' 592      (Average', ' 1780.10 Max', ' 3116 Sum', ' 1053821 Ratio', '   0.19%)']", ,[' 119593  '],[' 14997   '],[' 120913  '],[' 81406   '],"[' 244214   (Atom=Atom', ' 68249 Body=Body', ' 39605 Other', ' 136360)']",[' Yes'],"[' 17317    (Eliminated', '    0 Frozen', ' 17317)']","[' 6361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.71027'],[' 0'], ,[' 407.258'],[' 0'],[' 35.018'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.85566e+09'],[' 1.66808e+09'],[' 0'],[' 1.80247e+10'],[' 0'],[' 0'],[' 1831 '],[' 3519 ']
Solving...,TA62, , ,[' 1'],[' 7505+'],[' 3755'],"[' 757.377s (Solving', ' 727.11s 1st Model', ' 567.52s Unsat', ' 0.00s)']",[' 755.969s'], ,[' 453415709'],"[' 1845792  (Analyzed', ' 1476942)']","[' 6499     (Average', ' 227.26 Last', ' 143218)']",[' 9254.0  '],"[' 3755     (Average Length', ' 1822.89 Splits', ' 0)']","[' 1476942  (Deleted', ' 1404191)']","[' 538      (Ratio', '   0.04%)']","[' 58893    (Ratio', '   3.99%)']","[' 1476942  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1476942  (Average', ' 288.50 Max', ' 11040 Sum', ' 426091498)']","[' 1476345  (Average', ' 287.66 Max', ' 10523 Sum', ' 424859112 Ratio', '  99.71%)']","[' 597      (Average', ' 2064.30 Max', ' 3368 Sum', ' 1232386 Ratio', '   0.29%)']", ,[' 121095  '],[' 15176   '],[' 122717  '],[' 82557   '],"[' 247667   (Atom=Atom', ' 69205 Body=Body', ' 39800 Other', ' 138662)']",[' Yes'],"[' 17798    (Eliminated', '    0 Frozen', ' 17798)']","[' 6824     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.46684'],[' 0'], ,[' 269.047'],[' 0'],[' 26.7536'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39182e+09'],[' 1.2638e+09'],[' 0'],[' 9.94587e+09'],[' 0'],[' 0'],[' 1809 '],[' 3587 ']
Solving...,TA63, , ,[' 1'],[' 6585+'],[' 3295'],"[' 1146.311s (Solving', ' 1121.11s 1st Model', ' 962.31s Unsat', ' 0.00s)']",[' 1144.328s'], ,[' 580207567'],"[' 2934896  (Analyzed', ' 2343911)']","[' 8659     (Average', ' 270.69 Last', ' 156959)']",[' 8862.6  '],"[' 3295     (Average Length', ' 1608.89 Splits', ' 0)']","[' 2343911  (Deleted', ' 2259472)']","[' 735      (Ratio', '   0.03%)']","[' 62610    (Ratio', '   2.67%)']","[' 2343911  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2343911  (Average', ' 237.39 Max', ' 10946 Sum', ' 556415163)']","[' 2343317  (Average', ' 236.91 Max', ' 10518 Sum', ' 555286702 Ratio', '  99.80%)']","[' 594      (Average', ' 1899.77 Max', ' 3053 Sum', ' 1128461 Ratio', '   0.20%)']", ,[' 119299  '],[' 14947   '],[' 120340  '],[' 80638   '],"[' 241910   (Atom=Atom', ' 67703 Body=Body', ' 39383 Other', ' 134824)']",[' Yes'],"[' 16988    (Eliminated', '    0 Frozen', ' 16988)']","[' 5889     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.50244'],[' 0'], ,[' 483.28'],[' 0'],[' 36.6489'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00461e+09'],[' 1.8154e+09'],[' 0'],[' 2.35268e+10'],[' 0'],[' 0'],[' 1678 '],[' 3253 ']
Solving...,TA64, , ,[' 1'],[' 5891+'],[' 2948'],"[' 846.493s (Solving', ' 819.70s 1st Model', ' 661.46s Unsat', ' 0.00s)']",[' 841.703s'], ,[' 444894445'],"[' 1956381  (Analyzed', ' 1529072)']","[' 6661     (Average', ' 229.56 Last', ' 88407)']",[' 9111.1  '],"[' 2948     (Average Length', ' 1442.26 Splits', ' 0)']","[' 1529072  (Deleted', ' 1458359)']","[' 639      (Ratio', '   0.04%)']","[' 58540    (Ratio', '   3.83%)']","[' 1529072  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1529072  (Average', ' 276.25 Max', ' 10556 Sum', ' 422404045)']","[' 1528483  (Average', ' 275.70 Max', ' 10556 Sum', ' 421571144 Ratio', '  99.80%)']","[' 589      (Average', ' 1414.09 Max', ' 2775 Sum', ' 832901 Ratio', '   0.20%)']", ,[' 119639  '],[' 15071   '],[' 120605  '],[' 81310   '],"[' 243926   (Atom=Atom', ' 68068 Body=Body', ' 39690 Other', ' 136168)']",[' Yes'],"[' 17037    (Eliminated', '    0 Frozen', ' 17037)']","[' 6545     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.79601'],[' 0'], ,[' 320.704'],[' 0'],[' 29.2365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35497e+09'],[' 1.22796e+09'],[' 0'],[' 1.18543e+10'],[' 0'],[' 0'],[' 1768 '],[' 3340 ']
Solving...,TA65, , ,[' 1'],[' 7269+'],[' 3637'],"[' 814.933s (Solving', ' 784.73s 1st Model', ' 625.26s Unsat', ' 0.00s)']",[' 813.141s'], ,[' 457850882'],"[' 1954794  (Analyzed', ' 1594302)']","[' 6316     (Average', ' 252.42 Last', ' 148679)']",[' 9133.5  '],"[' 3637     (Average Length', ' 1774.64 Splits', ' 0)']","[' 1594302  (Deleted', ' 1520520)']","[' 522      (Ratio', '   0.03%)']","[' 60241    (Ratio', '   3.78%)']","[' 1594302  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1594302  (Average', ' 270.78 Max', ' 11574 Sum', ' 431701268)']","[' 1593648  (Average', ' 269.99 Max', ' 11574 Sum', ' 430453240 Ratio', '  99.71%)']","[' 654      (Average', ' 1908.30 Max', ' 3368 Sum', ' 1248028 Ratio', '   0.29%)']", ,[' 120358  '],[' 15082   '],[' 121794  '],[' 81724   '],"[' 245168   (Atom=Atom', ' 68589 Body=Body', ' 39583 Other', ' 136996)']",[' Yes'],"[' 17518    (Eliminated', '    0 Frozen', ' 17518)']","[' 7551     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.45148'],[' 0'], ,[' 282.521'],[' 0'],[' 28.1893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48385e+09'],[' 1.34926e+09'],[' 0'],[' 9.29043e+09'],[' 0'],[' 0'],[' 1695 '],[' 3455 ']
Solving...,TA66, , ,[' 1'],[' 6663+'],[' 3334'],"[' 1047.734s (Solving', ' 1020.13s 1st Model', ' 856.79s Unsat', ' 0.00s)']",[' 1045.547s'], ,[' 538589962'],"[' 2701895  (Analyzed', ' 2040657)']","[' 7670     (Average', ' 266.06 Last', ' 107751)']",[' 8983.6  '],"[' 3334     (Average Length', ' 1637.12 Splits', ' 0)']","[' 2040657  (Deleted', ' 1960411)']","[' 651      (Ratio', '   0.03%)']","[' 67507    (Ratio', '   3.31%)']","[' 2040657  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2040657  (Average', ' 251.94 Max', ' 10416 Sum', ' 514125107)']","[' 2040043  (Average', ' 251.40 Max', ' 10221 Sum', ' 513021846 Ratio', '  99.79%)']","[' 614      (Average', ' 1796.84 Max', ' 3137 Sum', ' 1103261 Ratio', '   0.21%)']", ,[' 120339  '],[' 15156   '],[' 121608  '],[' 81959   '],"[' 245873   (Atom=Atom', ' 68668 Body=Body', ' 39739 Other', ' 137466)']",[' Yes'],"[' 17425    (Eliminated', '    0 Frozen', ' 17425)']","[' 8361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.86274'],[' 0'], ,[' 375.346'],[' 0'],[' 34.3755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88712e+09'],[' 1.71738e+09'],[' 0'],[' 1.35583e+10'],[' 0'],[' 0'],[' 1710 '],[' 3497 ']
Solving...,TA67, , ,[' 1'],[' 7453+'],[' 3729'],"[' 1192.506s (Solving', ' 1160.07s 1st Model', ' 984.22s Unsat', ' 0.00s)']",[' 1189.484s'], ,[' 599370175'],"[' 3320686  (Analyzed', ' 2207237)']","[' 9053     (Average', ' 243.81 Last', ' 139124)']",[' 9374.8  '],"[' 3729     (Average Length', ' 1825.37 Splits', ' 0)']","[' 2207237  (Deleted', ' 2122278)']","[' 765      (Ratio', '   0.03%)']","[' 70623    (Ratio', '   3.20%)']","[' 2207237  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2207237  (Average', ' 258.58 Max', ' 10752 Sum', ' 570743988)']","[' 2206606  (Average', ' 258.08 Max', ' 10069 Sum', ' 569636739 Ratio', '  99.81%)']","[' 631      (Average', ' 1754.75 Max', ' 3435 Sum', ' 1107249 Ratio', '   0.19%)']", ,[' 120114  '],[' 15015   '],[' 121702  '],[' 81653   '],"[' 244955   (Atom=Atom', ' 68545 Body=Body', ' 39556 Other', ' 136854)']",[' Yes'],"[' 17603    (Eliminated', '    0 Frozen', ' 17603)']","[' 7063     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.83721'],[' 0'], ,[' 453.696'],[' 0'],[' 38.2219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11335e+09'],[' 1.92584e+09'],[' 0'],[' 1.90765e+10'],[' 0'],[' 0'],[' 1817 '],[' 3501 ']
Solving...,TA68, , ,[' 1'],[' 6245+'],[' 3125'],"[' 817.942s (Solving', ' 791.13s 1st Model', ' 632.85s Unsat', ' 0.00s)']",[' 815.875s'], ,[' 463982292'],"[' 2017562  (Analyzed', ' 1590778)']","[' 6507     (Average', ' 244.47 Last', ' 103298)']",[' 9156.0  '],"[' 3125     (Average Length', ' 1531.03 Splits', ' 0)']","[' 1590778  (Deleted', ' 1516044)']","[' 589      (Ratio', '   0.04%)']","[' 59821    (Ratio', '   3.76%)']","[' 1590778  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1590778  (Average', ' 276.84 Max', ' 10098 Sum', ' 440392736)']","[' 1590124  (Average', ' 276.24 Max', ' 9920 Sum', ' 439431435 Ratio', '  99.78%)']","[' 654      (Average', ' 1469.88 Max', ' 2922 Sum', ' 961301 Ratio', '   0.22%)']", ,[' 119792  '],[' 15049   '],[' 120863  '],[' 81169   '],"[' 243503   (Atom=Atom', ' 68043 Body=Body', ' 39574 Other', ' 135886)']",[' Yes'],"[' 17120    (Eliminated', '    0 Frozen', ' 17120)']","[' 6854     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.90571'],[' 0'], ,[' 308.345'],[' 0'],[' 28.4447'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44802e+09'],[' 1.31594e+09'],[' 0'],[' 1.21552e+10'],[' 0'],[' 0'],[' 1807 '],[' 3438 ']
Solving...,TA69, , ,[' 1'],[' 6369+'],[' 3187'],"[' 856.770s (Solving', ' 828.73s 1st Model', ' 665.03s Unsat', ' 0.00s)']",[' 855.000s'], ,[' 472405863'],"[' 2293433  (Analyzed', ' 1524812)']","[' 6665     (Average', ' 228.78 Last', ' 90370)']",[' 9474.2  '],"[' 3187     (Average Length', ' 1559.79 Splits', ' 0)']","[' 1524812  (Deleted', ' 1451883)']","[' 673      (Ratio', '   0.04%)']","[' 60695    (Ratio', '   3.98%)']","[' 1524812  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1524812  (Average', ' 293.21 Max', ' 10179 Sum', ' 447084840)']","[' 1524147  (Average', ' 292.56 Max', ' 9926 Sum', ' 446100854 Ratio', '  99.78%)']","[' 665      (Average', ' 1479.68 Max', ' 8011 Sum', ' 983986 Ratio', '   0.22%)']", ,[' 120405  '],[' 15124   '],[' 121656  '],[' 81991   '],"[' 245969   (Atom=Atom', ' 68631 Body=Body', ' 39808 Other', ' 137530)']",[' Yes'],"[' 17375    (Eliminated', '    0 Frozen', ' 17375)']","[' 5789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.90945'],[' 0'], ,[' 341.249'],[' 0'],[' 29.006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47428e+09'],[' 1.34655e+09'],[' 0'],[' 1.5118e+10'],[' 0'],[' 0'],[' 1979 '],[' 3671 ']
Solving...,TA70, , ,[' 1'],[' 7215+'],[' 3610'],"[' 575.949s (Solving', ' 542.39s 1st Model', ' 375.54s Unsat', ' 0.00s)']",[' 574.406s'], ,[' 358732076'],"[' 1487311  (Analyzed', ' 1030055)']","[' 5061     (Average', ' 203.53 Last', ' 154935)']",[' 9591.2  '],"[' 3610     (Average Length', ' 1768.68 Splits', ' 0)']","[' 1030055  (Deleted', ' 965642)']","[' 528      (Ratio', '   0.05%)']","[' 52166    (Ratio', '   5.06%)']","[' 1030055  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1030055  (Average', ' 321.47 Max', ' 10802 Sum', ' 331126733)']","[' 1029354  (Average', ' 320.23 Max', ' 9825 Sum', ' 329850009 Ratio', '  99.61%)']","[' 701      (Average', ' 1821.29 Max', ' 3349 Sum', ' 1276724 Ratio', '   0.39%)']", ,[' 121001  '],[' 15171   '],[' 122573  '],[' 82424   '],"[' 247268   (Atom=Atom', ' 69080 Body=Body', ' 39792 Other', ' 138396)']",[' Yes'],"[' 17743    (Eliminated', '    0 Frozen', ' 17743)']","[' 5205     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.28532'],[' 0'], ,[' 214.754'],[' 0'],[' 20.738'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.3766e+08'],[' 8.50983e+08'],[' 0'],[' 8.66427e+09'],[' 0'],[' 0'],[' 1975 '],[' 3849 ']
