Optimal Found Or Timeout,Instances,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1132,Completion Time for Window 2 is 1886,Completion Time for Window 3 is 2972,Completion Time for Window 4 is 4047
Time         ,TA51, ,[' 35841035'],"[' 6305815  (Analyzed', ' 6046479)']","[' 12539    (Average', ' 482.21 Last', ' 22723)']",[' 2560.3  '],"[' 1129     (Average Length', ' 540.94 Splits', ' 0)']","[' 6046479  (Deleted', ' 5964528)']","[' 29       (Ratio', '   0.00%)']","[' 8704     (Ratio', '   0.14%)']","[' 6046479  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6046479  (Average', '  5.53 Max', ' 3157 Sum', ' 33407691)']","[' 6045763  (Average', '  5.45 Max', ' 3157 Sum', ' 32979978 Ratio', '  98.72%)']","[' 716      (Average', ' 597.36 Max', ' 859 Sum', ' 427713 Ratio', '   1.28%)']", ,[' 82684   '],[' 5402    '],[' 82989   '],[' 46952   '],"[' 140852   (Atom=Atom', ' 42298 Body=Body', ' 24477 Other', ' 74077)']",[' Yes'],"[' 6457     (Eliminated', '    0 Frozen', ' 6457)']","[' 1370     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13388'],[' 0'], ,[' 203.602'],[' 0'],[' 4.22161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.33585e+07'],[' 7.20786e+07'],[' 0'],[' 2.34572e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA52, ,[' 30923978'],"[' 5973854  (Analyzed', ' 5814336)']","[' 11885    (Average', ' 489.22 Last', ' 46116)']",[' 2639.5  '],"[' 1117     (Average Length', ' 526.65 Splits', ' 0)']","[' 5814336  (Deleted', ' 5739531)']","[' 38       (Ratio', '   0.00%)']","[' 8334     (Ratio', '   0.14%)']","[' 5814336  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5814336  (Average', '  4.90 Max', ' 3199 Sum', ' 28484512)']","[' 5813648  (Average', '  4.83 Max', ' 3199 Sum', ' 28105994 Ratio', '  98.67%)']","[' 688      (Average', ' 550.17 Max', ' 771 Sum', ' 378518 Ratio', '   1.33%)']", ,[' 83000   '],[' 5410    '],[' 83271   '],[' 47366   '],"[' 142094   (Atom=Atom', ' 42704 Body=Body', ' 24485 Other', ' 74905)']",[' Yes'],"[' 6431     (Eliminated', '    0 Frozen', ' 6431)']","[' 1604     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33765'],[' 0'], ,[' 205.937'],[' 0'],[' 3.88671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.58157e+07'],[' 6.40845e+07'],[' 0'],[' 2.40655e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA53, ,[' 27823384'],"[' 7241693  (Analyzed', ' 6980484)']","[' 14531    (Average', ' 480.39 Last', ' 48464)']",[' 2728.6  '],"[' 1072     (Average Length', ' 505.07 Splits', ' 0)']","[' 6980484  (Deleted', ' 6879644)']","[' 17       (Ratio', '   0.00%)']","[' 5732     (Ratio', '   0.08%)']","[' 6980484  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6980484  (Average', '  3.61 Max', ' 3324 Sum', ' 25188970)']","[' 6979906  (Average', '  3.57 Max', ' 3324 Sum', ' 24898736 Ratio', '  98.85%)']","[' 578      (Average', ' 502.13 Max', ' 727 Sum', ' 290234 Ratio', '   1.15%)']", ,[' 81663   '],[' 5219    '],[' 81902   '],[' 46316   '],"[' 138944   (Atom=Atom', ' 41845 Body=Body', ' 24294 Other', ' 72805)']",[' Yes'],"[' 6208     (Eliminated', '    0 Frozen', ' 6208)']","[' 942      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15661'],[' 0'], ,[' 204.309'],[' 0'],[' 3.86426'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.50556e+07'],[' 5.45918e+07'],[' 0'],[' 2.35764e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA54, ,[' 30367672'],"[' 6165688  (Analyzed', ' 5916467)']","[' 11719    (Average', ' 504.86 Last', ' 3679)']",[' 2787.8  '],"[' 1043     (Average Length', ' 502.56 Splits', ' 0)']","[' 5916467  (Deleted', ' 5833238)']","[' 13       (Ratio', '   0.00%)']","[' 7052     (Ratio', '   0.12%)']","[' 5916467  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5916467  (Average', '  4.69 Max', ' 3346 Sum', ' 27768129)']","[' 5915779  (Average', '  4.64 Max', ' 3346 Sum', ' 27432429 Ratio', '  98.79%)']","[' 688      (Average', ' 487.94 Max', ' 745 Sum', ' 335700 Ratio', '   1.21%)']", ,[' 82722   '],[' 5424    '],[' 82946   '],[' 47360   '],"[' 142076   (Atom=Atom', ' 42684 Body=Body', ' 24499 Other', ' 74893)']",[' Yes'],"[' 6398     (Eliminated', '    0 Frozen', ' 6398)']","[' 1270     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1418'],[' 0'], ,[' 207.119'],[' 0'],[' 3.79463'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.86212e+07'],[' 5.92762e+07'],[' 0'],[' 2.42013e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA55, ,[' 36278288'],"[' 6787051  (Analyzed', ' 6670702)']","[' 13016    (Average', ' 512.50 Last', ' 210135)']",[' 2438.5  '],"[' 1038     (Average Length', ' 500.29 Splits', ' 0)']","[' 6670702  (Deleted', ' 6583391)']","[' 63       (Ratio', '   0.00%)']","[' 9363     (Ratio', '   0.14%)']","[' 6670702  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6670702  (Average', '  5.12 Max', ' 3033 Sum', ' 34177920)']","[' 6670059  (Average', '  5.07 Max', ' 3033 Sum', ' 33836247 Ratio', '  99.00%)']","[' 643      (Average', ' 531.37 Max', ' 790 Sum', ' 341673 Ratio', '   1.00%)']", ,[' 82143   '],[' 5335    '],[' 82367   '],[' 46352   '],"[' 139052   (Atom=Atom', ' 41765 Body=Body', ' 24410 Other', ' 72877)']",[' Yes'],"[' 6309     (Eliminated', '    0 Frozen', ' 6309)']","[' 1777     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08073'],[' 0'], ,[' 197.633'],[' 0'],[' 3.911'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00816e+08'],[' 7.52681e+07'],[' 0'],[' 2.27647e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA56, ,[' 30127509'],"[' 6088933  (Analyzed', ' 5934161)']","[' 11975    (Average', ' 495.55 Last', ' 7713)']",[' 2737.2  '],"[' 936      (Average Length', ' 456.87 Splits', ' 0)']","[' 5934161  (Deleted', ' 5856703)']","[' 15       (Ratio', '   0.00%)']","[' 6890     (Ratio', '   0.12%)']","[' 5934161  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5934161  (Average', '  4.68 Max', ' 3435 Sum', ' 27763692)']","[' 5933594  (Average', '  4.64 Max', ' 3435 Sum', ' 27551754 Ratio', '  99.24%)']","[' 567      (Average', ' 373.79 Max', ' 654 Sum', ' 211938 Ratio', '   0.76%)']", ,[' 82024   '],[' 5315    '],[' 82176   '],[' 46370   '],"[' 139106   (Atom=Atom', ' 41803 Body=Body', ' 24390 Other', ' 72913)']",[' Yes'],"[' 6217     (Eliminated', '    0 Frozen', ' 6217)']","[' 1072     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0509'],[' 0'], ,[' 206.474'],[' 0'],[' 3.80407'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.82365e+07'],[' 5.95943e+07'],[' 0'],[' 2.30443e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA57, ,[' 29662120'],"[' 6379231  (Analyzed', ' 6210254)']","[' 13008    (Average', ' 477.42 Last', ' 12109)']",[' 2616.3  '],"[' 879      (Average Length', ' 423.54 Splits', ' 0)']","[' 6210254  (Deleted', ' 6123640)']","[' 34       (Ratio', '   0.00%)']","[' 6917     (Ratio', '   0.11%)']","[' 6210254  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6210254  (Average', '  4.43 Max', ' 3145 Sum', ' 27532613)']","[' 6209485  (Average', '  4.39 Max', ' 3145 Sum', ' 27254314 Ratio', '  98.99%)']","[' 769      (Average', ' 361.90 Max', ' 602 Sum', ' 278299 Ratio', '   1.01%)']", ,[' 81824   '],[' 5309    '],[' 81908   '],[' 46019   '],"[' 138053   (Atom=Atom', ' 41458 Body=Body', ' 24384 Other', ' 72211)']",[' Yes'],"[' 6143     (Eliminated', '    0 Frozen', ' 6143)']","[' 1197     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01555'],[' 0'], ,[' 205.536'],[' 0'],[' 3.8187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.64703e+07'],[' 5.67421e+07'],[' 0'],[' 2.38258e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA58, ,[' 31316972'],"[' 6433628  (Analyzed', ' 6215843)']","[' 13123    (Average', ' 473.66 Last', ' 20634)']",[' 2636.7  '],"[' 1119     (Average Length', ' 540.81 Splits', ' 0)']","[' 6215843  (Deleted', ' 6129789)']","[' 30       (Ratio', '   0.00%)']","[' 8197     (Ratio', '   0.13%)']","[' 6215843  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6215843  (Average', '  4.64 Max', ' 3030 Sum', ' 28847470)']","[' 6215143  (Average', '  4.58 Max', ' 3030 Sum', ' 28460786 Ratio', '  98.66%)']","[' 700      (Average', ' 552.41 Max', ' 820 Sum', ' 386684 Ratio', '   1.34%)']", ,[' 82486   '],[' 5324    '],[' 82793   '],[' 46696   '],"[' 140084   (Atom=Atom', ' 42120 Body=Body', ' 24399 Other', ' 73565)']",[' Yes'],"[' 6381     (Eliminated', '    0 Frozen', ' 6381)']","[' 1627     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21305'],[' 0'], ,[' 204.463'],[' 0'],[' 3.91398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.45858e+07'],[' 6.31466e+07'],[' 0'],[' 2.32114e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA59, ,[' 33843270'],"[' 7041974  (Analyzed', ' 6858982)']","[' 13823    (Average', ' 496.20 Last', ' 91578)']",[' 2733.2  '],"[' 977      (Average Length', ' 475.03 Splits', ' 0)']","[' 6858982  (Deleted', ' 6763251)']","[' 31       (Ratio', '   0.00%)']","[' 7659     (Ratio', '   0.11%)']","[' 6858982  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6858982  (Average', '  4.59 Max', ' 3112 Sum', ' 31495783)']","[' 6858114  (Average', '  4.54 Max', ' 3112 Sum', ' 31133619 Ratio', '  98.85%)']","[' 868      (Average', ' 417.24 Max', ' 635 Sum', ' 362164 Ratio', '   1.15%)']", ,[' 82029   '],[' 5365    '],[' 82216   '],[' 46397   '],"[' 139187   (Atom=Atom', ' 41780 Body=Body', ' 24440 Other', ' 72967)']",[' Yes'],"[' 6302     (Eliminated', '    0 Frozen', ' 6302)']","[' 1109     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1743'],[' 0'], ,[' 201.418'],[' 0'],[' 3.8505'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.8518e+07'],[' 6.69592e+07'],[' 0'],[' 2.35138e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA60, ,[' 42558278'],"[' 5872815  (Analyzed', ' 5714517)']","[' 12075    (Average', ' 473.25 Last', ' 43002)']",[' 2515.9  '],"[' 1227     (Average Length', ' 582.07 Splits', ' 0)']","[' 5714517  (Deleted', ' 5625322)']","[' 65       (Ratio', '   0.00%)']","[' 13240    (Ratio', '   0.23%)']","[' 5714517  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5714517  (Average', '  7.01 Max', ' 2721 Sum', ' 40067298)']","[' 5713947  (Average', '  6.95 Max', ' 2721 Sum', ' 39740144 Ratio', '  99.18%)']","[' 570      (Average', ' 573.95 Max', ' 829 Sum', ' 327154 Ratio', '   0.82%)']", ,[' 82373   '],[' 5308    '],[' 82764   '],[' 46892   '],"[' 140672   (Atom=Atom', ' 42332 Body=Body', ' 24383 Other', ' 73957)']",[' Yes'],"[' 6449     (Eliminated', '    0 Frozen', ' 6449)']","[' 2467     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.36425'],[' 0'], ,[' 202.864'],[' 0'],[' 4.43446'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19794e+08'],[' 9.38745e+07'],[' 0'],[' 2.27983e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
