Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , , ,[' 8703+'],[' 4353'],"[' 1053.731s (Solving', ' 931.12s 1st Model', ' 312.42s Unsat', ' 0.00s)']",[' 1048.531s'], ,[' 349498885'],"[' 10463552 (Analyzed', ' 45914)']","[' 3329     (Average', ' 13.79 Last', ' 2687)']",[' 28831.5 '],"[' 4354     (Average Length', ' 2175.32 Splits', ' 0)']","[' 45914    (Deleted', ' 33066)']","[' 24       (Ratio', '   0.05%)']","[' 4967     (Ratio', '  10.82%)']","[' 45914    (Average Length', '   55.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45914    (Average', ' 5060.15 Max', ' 48986 Sum', ' 232331519)']","[' 43489    (Average', ' 4855.32 Max', ' 45108 Sum', ' 222927369 Ratio', '  95.95%)']","[' 2425     (Average', ' 3878.00 Max', ' 3878 Sum', ' 9404150 Ratio', '   4.05%)']", ,[' 556619  '],[' 49444   '],[' 536219  '],[' 257591  '],"[' 928309   (Atom=Atom', ' 260700 Body=Body', ' 153372 Other', ' 514237)']",[' Yes'],"[' 53765    (Eliminated', '    0 Frozen', ' 53765)']","[' 714      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4515'],[' 0'], ,[' 472.423'],[' 0'],[' 21.265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.88757e+08'],[' 3.59469e+08'],[' 0'],[' 3.12636e+10'],[' 0'],[' 0'],[' 5220 '],[' 25416 '],[' 2 '],[' 0 ']
Solving...,TA72, , , , , ,[' 8553+'],[' 4278'],"[' 1059.191s (Solving', ' 932.60s 1st Model', ' 320.64s Unsat', ' 0.00s)']",[' 1053.469s'], ,[' 358787469'],"[' 10307071 (Analyzed', ' 67336)']","[' 3312     (Average', ' 20.33 Last', ' 2083)']",[' 28568.3 '],"[' 4279     (Average Length', ' 2138.75 Splits', ' 0)']","[' 67336    (Deleted', ' 49203)']","[' 32       (Ratio', '   0.05%)']","[' 7463     (Ratio', '  11.08%)']","[' 67336    (Average Length', '   57.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 67336    (Average', ' 3614.82 Max', ' 46039 Sum', ' 243407805)']","[' 65207    (Average', ' 3494.55 Max', ' 42235 Sum', ' 235309089 Ratio', '  96.67%)']","[' 2129     (Average', ' 3804.00 Max', ' 3804 Sum', ' 8098716 Ratio', '   3.33%)']", ,[' 554542  '],[' 49136   '],[' 534240  '],[' 255976  '],"[' 923771   (Atom=Atom', ' 259701 Body=Body', ' 152448 Other', ' 511622)']",[' Yes'],"[' 53401    (Eliminated', '    0 Frozen', ' 53401)']","[' 713      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.9669'],[' 0'], ,[' 478.178'],[' 0'],[' 21.2729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.05218e+08'],[' 3.73845e+08'],[' 0'],[' 3.07497e+10'],[' 0'],[' 0'],[' 8168 '],[' 26459 '],[' 2 '],[' 0 ']
Solving...,TA73, , , , , ,[' 8711+'],[' 4358'],"[' 1044.358s (Solving', ' 932.96s 1st Model', ' 310.15s Unsat', ' 0.00s)']",[' 1038.984s'], ,[' 361527504'],"[' 10768926 (Analyzed', ' 51836)']","[' 2946     (Average', ' 17.60 Last', ' 1931)']",[' 28861.0 '],"[' 4359     (Average Length', ' 2177.61 Splits', ' 0)']","[' 51836    (Deleted', ' 32746)']","[' 27       (Ratio', '   0.05%)']","[' 6216     (Ratio', '  11.99%)']","[' 51836    (Average Length', '   53.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51836    (Average', ' 4660.58 Max', ' 46708 Sum', ' 241585916)']","[' 49964    (Average', ' 4521.36 Max', ' 42853 Sum', ' 234369356 Ratio', '  97.01%)']","[' 1872     (Average', ' 3855.00 Max', ' 3855 Sum', ' 7216560 Ratio', '   2.99%)']", ,[' 555622  '],[' 49290   '],[' 535291  '],[' 256825  '],"[' 926165   (Atom=Atom', ' 260242 Body=Body', ' 152910 Other', ' 513013)']",[' Yes'],"[' 53603    (Eliminated', '    0 Frozen', ' 53603)']","[' 608      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.8733'],[' 0'], ,[' 482.85'],[' 0'],[' 20.9966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.05607e+08'],[' 3.74364e+08'],[' 0'],[' 3.18633e+10'],[' 0'],[' 0'],[' 4188 '],[' 25105 '],[' 2 '],[' 0 ']
Solving...,TA74, , , , , ,[' 8403+'],[' 4204'],"[' 1041.467s (Solving', ' 934.17s 1st Model', ' 300.84s Unsat', ' 0.00s)']",[' 1037.734s'], ,[' 353276791'],"[' 12003209 (Analyzed', ' 58926)']","[' 3484     (Average', ' 16.91 Last', ' 2423)']",[' 29001.0 '],"[' 4205     (Average Length', ' 2100.67 Splits', ' 0)']","[' 58926    (Deleted', ' 44828)']","[' 33       (Ratio', '   0.06%)']","[' 7176     (Ratio', '  12.18%)']","[' 58926    (Average Length', '   51.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 58926    (Average', ' 3969.26 Max', ' 43309 Sum', ' 233892687)']","[' 57339    (Average', ' 3870.53 Max', ' 39643 Sum', ' 228074745 Ratio', '  97.51%)']","[' 1587     (Average', ' 3666.00 Max', ' 3666 Sum', ' 5817942 Ratio', '   2.49%)']", ,[' 554740  '],[' 49178   '],[' 534323  '],[' 256111  '],"[' 924135   (Atom=Atom', ' 259752 Body=Body', ' 152574 Other', ' 511809)']",[' Yes'],"[' 53349    (Eliminated', '    0 Frozen', ' 53349)']","[' 903      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.7551'],[' 0'], ,[' 491.664'],[' 0'],[' 20.8314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.00463e+08'],[' 3.67618e+08'],[' 0'],[' 3.50108e+10'],[' 0'],[' 0'],[' 3961 '],[' 24528 '],[' 2 '],[' 0 ']
Solving...,TA75, , , , , ,[' 8843+'],[' 4424'],"[' 1046.162s (Solving', ' 932.62s 1st Model', ' 312.55s Unsat', ' 0.00s)']",[' 1041.703s'], ,[' 362852821'],"[' 11300968 (Analyzed', ' 62131)']","[' 3638     (Average', ' 17.08 Last', ' 1291)']",[' 28745.1 '],"[' 4425     (Average Length', ' 2210.27 Splits', ' 0)']","[' 62131    (Deleted', ' 40142)']","[' 59       (Ratio', '   0.09%)']","[' 6899     (Ratio', '  11.10%)']","[' 62131    (Average Length', '   61.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 62131    (Average', ' 3903.22 Max', ' 43269 Sum', ' 242511013)']","[' 59976    (Average', ' 3767.46 Max', ' 39355 Sum', ' 234076343 Ratio', '  96.52%)']","[' 2155     (Average', ' 3914.00 Max', ' 3914 Sum', ' 8434670 Ratio', '   3.48%)']", ,[' 555792  '],[' 49306   '],[' 535526  '],[' 256971  '],"[' 926586   (Atom=Atom', ' 260356 Body=Body', ' 152958 Other', ' 513272)']",[' Yes'],"[' 53692    (Eliminated', '    0 Frozen', ' 53692)']","[' 883      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.8472'],[' 0'], ,[' 480.188'],[' 0'],[' 21.1534'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.0962e+08'],[' 3.78249e+08'],[' 0'],[' 3.29707e+10'],[' 0'],[' 0'],[' 6653 '],[' 24836 '],[' 2 '],[' 0 ']
Solving...,TA76, , , , , ,[' 8647+'],[' 4325'],"[' 1055.098s (Solving', ' 931.35s 1st Model', ' 303.83s Unsat', ' 0.00s)']",[' 1050.156s'], ,[' 350541308'],"[' 11357545 (Analyzed', ' 62779)']","[' 3325     (Average', ' 18.88 Last', ' 4141)']",[' 28819.8 '],"[' 4326     (Average Length', ' 2161.13 Splits', ' 0)']","[' 62779    (Deleted', ' 43694)']","[' 32       (Ratio', '   0.05%)']","[' 7393     (Ratio', '  11.78%)']","[' 62779    (Average Length', '   57.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 62779    (Average', ' 3674.36 Max', ' 48018 Sum', ' 230672434)']","[' 60957    (Average', ' 3564.07 Max', ' 44218 Sum', ' 223748834 Ratio', '  97.00%)']","[' 1822     (Average', ' 3800.00 Max', ' 3800 Sum', ' 6923600 Ratio', '   3.00%)']", ,[' 554602  '],[' 49138   '],[' 534317  '],[' 256033  '],"[' 923941   (Atom=Atom', ' 259754 Body=Body', ' 152454 Other', ' 511733)']",[' Yes'],"[' 53421    (Eliminated', '    0 Frozen', ' 53421)']","[' 665      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5137'],[' 0'], ,[' 477.246'],[' 0'],[' 20.5053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.98028e+08'],[' 3.6587e+08'],[' 0'],[' 3.33403e+10'],[' 0'],[' 0'],[' 6880 '],[' 25134 '],[' 2 '],[' 0 ']
Solving...,TA77, , , , , ,[' 8655+'],[' 4329'],"[' 1055.325s (Solving', ' 932.45s 1st Model', ' 305.20s Unsat', ' 0.00s)']",[' 1051.109s'], ,[' 354401264'],"[' 11280919 (Analyzed', ' 61628)']","[' 3370     (Average', ' 18.29 Last', ' 2252)']",[' 28704.8 '],"[' 4330     (Average Length', ' 2164.03 Splits', ' 0)']","[' 61628    (Deleted', ' 35195)']","[' 27       (Ratio', '   0.04%)']","[' 6948     (Ratio', '  11.27%)']","[' 61628    (Average Length', '   55.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 61628    (Average', ' 3807.93 Max', ' 36932 Sum', ' 234674913)']","[' 59912    (Average', ' 3701.48 Max', ' 33109 Sum', ' 228114645 Ratio', '  97.20%)']","[' 1716     (Average', ' 3823.00 Max', ' 3823 Sum', ' 6560268 Ratio', '   2.80%)']", ,[' 554645  '],[' 49144   '],[' 534388  '],[' 256067  '],"[' 924037   (Atom=Atom', ' 259776 Body=Body', ' 152472 Other', ' 511789)']",[' Yes'],"[' 53458    (Eliminated', '    0 Frozen', ' 53458)']","[' 575      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.0737'],[' 0'], ,[' 480.115'],[' 0'],[' 20.7402'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.00425e+08'],[' 3.68405e+08'],[' 0'],[' 3.34199e+10'],[' 0'],[' 0'],[' 4569 '],[' 26551 '],[' 2 '],[' 0 ']
Solving...,TA78, , , , , ,[' 8683+'],[' 4344'],"[' 1042.937s (Solving', ' 931.65s 1st Model', ' 302.89s Unsat', ' 0.00s)']",[' 1038.875s'], ,[' 355344233'],"[' 12024748 (Analyzed', ' 50205)']","[' 3358     (Average', ' 14.95 Last', ' 2536)']",[' 29008.9 '],"[' 4345     (Average Length', ' 2170.97 Splits', ' 0)']","[' 50205    (Deleted', ' 34794)']","[' 41       (Ratio', '   0.08%)']","[' 6022     (Ratio', '  11.99%)']","[' 50205    (Average Length', '   53.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 50205    (Average', ' 4652.03 Max', ' 43401 Sum', ' 233554938)']","[' 48393    (Average', ' 4514.51 Max', ' 39591 Sum', ' 226651218 Ratio', '  97.04%)']","[' 1812     (Average', ' 3810.00 Max', ' 3810 Sum', ' 6903720 Ratio', '   2.96%)']", ,[' 555478  '],[' 49270   '],[' 535159  '],[' 256711  '],"[' 925843   (Atom=Atom', ' 260168 Body=Body', ' 152850 Other', ' 512825)']",[' Yes'],"[' 53585    (Eliminated', '    0 Frozen', ' 53585)']","[' 658      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.2383'],[' 0'], ,[' 477.182'],[' 0'],[' 21.0714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.99655e+08'],[' 3.67667e+08'],[' 0'],[' 3.45915e+10'],[' 0'],[' 0'],[' 4385 '],[' 24883 '],[' 2 '],[' 0 ']
Solving...,TA79, , , , , ,[' 8883+'],[' 4443'],"[' 1056.885s (Solving', ' 930.57s 1st Model', ' 289.80s Unsat', ' 0.00s)']",[' 1051.844s'], ,[' 343462493'],"[' 11570807 (Analyzed', ' 54625)']","[' 3267     (Average', ' 16.72 Last', ' 1089)']",[' 29054.3 '],"[' 4444     (Average Length', ' 2219.57 Splits', ' 0)']","[' 54625    (Deleted', ' 24111)']","[' 40       (Ratio', '   0.07%)']","[' 6686     (Ratio', '  12.24%)']","[' 54625    (Average Length', '   56.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 54625    (Average', ' 4002.71 Max', ' 43991 Sum', ' 218647979)']","[' 53062    (Average', ' 3890.83 Max', ' 40081 Sum', ' 212536649 Ratio', '  97.20%)']","[' 1563     (Average', ' 3910.00 Max', ' 3910 Sum', ' 6111330 Ratio', '   2.80%)']", ,[' 556449  '],[' 49404   '],[' 536155  '],[' 257481  '],"[' 928018   (Atom=Atom', ' 260670 Body=Body', ' 153252 Other', ' 514096)']",[' Yes'],"[' 53811    (Eliminated', '    0 Frozen', ' 53811)']","[' 577      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5511'],[' 0'], ,[' 481.392'],[' 0'],[' 19.9798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.88966e+08'],[' 3.57661e+08'],[' 0'],[' 3.38594e+10'],[' 0'],[' 0'],[' 6440 '],[' 25948 '],[' 2 '],[' 0 ']
Solving...,TA80, , , , , ,[' 7659+'],[' 3832'],"[' 1039.624s (Solving', ' 936.95s 1st Model', ' 345.19s Unsat', ' 0.00s)']",[' 1034.344s'], ,[' 397573440'],"[' 11862738 (Analyzed', ' 67225)']","[' 3132     (Average', ' 21.46 Last', ' 15464)']",[' 29355.9 '],"[' 3833     (Average Length', ' 1914.08 Splits', ' 0)']","[' 67225    (Deleted', ' 54948)']","[' 37       (Ratio', '   0.06%)']","[' 8505     (Ratio', '  12.65%)']","[' 67225    (Average Length', '   50.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 67225    (Average', ' 4316.87 Max', ' 44766 Sum', ' 290201604)']","[' 64194    (Average', ' 4170.65 Max', ' 41523 Sum', ' 280372071 Ratio', '  96.61%)']","[' 3031     (Average', ' 3243.00 Max', ' 3243 Sum', ' 9829533 Ratio', '   3.39%)']", ,[' 555369  '],[' 49332   '],[' 534503  '],[' 256509  '],"[' 925175   (Atom=Atom', ' 259842 Body=Body', ' 153036 Other', ' 512297)']",[' Yes'],"[' 53131    (Eliminated', '    0 Frozen', ' 53131)']","[' 1530     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.9278'],[' 0'], ,[' 475.023'],[' 0'],[' 24.0339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.51375e+08'],[' 4.15816e+08'],[' 0'],[' 3.13958e+10'],[' 0'],[' 0'],[' 3768 '],[' 24352 '],[' 2 '],[' 0 ']
