Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
Solving...,TA41, , ,[' 643'],[' 330'],"[' 6.857s (Solving', ' 5.74s 1st Model', ' 0.36s Unsat', ' 3.92s)']",[' 6.891s'], ,[' 528737  '],"[' 75552    (Analyzed', ' 71807)']","[' 290      (Average', ' 247.61 Last', ' 124)']",[' 790.3   '],"[' 330      (Average Length', ' 157.63 Splits', ' 0)']","[' 71807    (Deleted', ' 64363)']","[' 66       (Ratio', '   0.09%)']","[' 700      (Ratio', '   0.97%)']","[' 71807    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71807    (Average', '  4.49 Max', ' 1058 Sum', ' 322328)']","[' 71721    (Average', '  4.45 Max', ' 1058 Sum', ' 319591 Ratio', '  99.15%)']","[' 86       (Average', ' 31.83 Max', ' 274 Sum', '   2737 Ratio', '   0.85%)']", ,[' 40070   '],[' 1748    '],[' 39783   '],[' 21502   '],"[' 64502    (Atom=Atom', ' 20352 Body=Body', ' 11018 Other', ' 33132)']",[' Yes'],"[' 2061     (Eliminated', '    0 Frozen', ' 2061)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.274403'],[' 0'], ,[' 3.89912'],[' 0'],[' 0.0859052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.44107e+06'],[' 3.11837e+06'],[' 0'],[' 5.68603e+08'],[' 0'],[' 0'],[' 390 '],[' 675 '],[' 1012 '],[' 1287 '],[' 1774 '],[' 2073 '],[' 2429 '],[' 2853 ']
Solving...,TA42, , ,[' 517'],[' 267'],"[' 2.583s (Solving', ' 1.75s 1st Model', ' 0.27s Unsat', ' 0.30s)']",[' 2.578s'], ,[' 273825  '],"[' 10179    (Analyzed', ' 7811)']","[' 62       (Average', ' 125.98 Last', ' 145)']",[' 706.0   '],"[' 267      (Average Length', ' 125.55 Splits', ' 0)']","[' 7811     (Deleted', ' 2192)']","[' 52       (Ratio', '   0.67%)']","[' 304      (Ratio', '   3.89%)']","[' 7811     (Average Length', '    6.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7811     (Average', ' 15.65 Max', ' 947 Sum', ' 122207)']","[' 7741     (Average', ' 15.51 Max', ' 947 Sum', ' 121156 Ratio', '  99.14%)']","[' 70       (Average', ' 15.01 Max', ' 207 Sum', '   1051 Ratio', '   0.86%)']", ,[' 38436   '],[' 1636    '],[' 38087   '],[' 19999   '],"[' 59993    (Atom=Atom', ' 18961 Body=Body', ' 10906 Other', ' 30126)']",[' Yes'],"[' 1887     (Eliminated', '    0 Frozen', ' 1887)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.23787'],[' 0'], ,[' 0.629137'],[' 0'],[' 0.0209633'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36091e+06'],[' 2.2085e+06'],[' 0'],[' 4.93293e+07'],[' 0'],[' 0'],[' 535 '],[' 803 '],[' 1096 '],[' 1399 '],[' 1775 '],[' 2149 '],[' 2523 '],[' 2897 ']
Solving...,TA43, , ,[' 503'],[' 260'],"[' 13.062s (Solving', ' 12.20s 1st Model', ' 0.20s Unsat', ' 3.37s)']",[' 12.984s'], ,[' 668828  '],"[' 343877   (Analyzed', ' 342128)']","[' 1055     (Average', ' 324.29 Last', ' 2437)']",[' 597.9   '],"[' 260      (Average Length', ' 124.60 Splits', ' 0)']","[' 342128   (Deleted', ' 330729)']","[' 55       (Ratio', '   0.02%)']","[' 659      (Ratio', '   0.19%)']","[' 342128   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 342128   (Average', '  1.59 Max', ' 949 Sum', ' 544276)']","[' 342021   (Average', '  1.57 Max', ' 949 Sum', ' 538520 Ratio', '  98.94%)']","[' 107      (Average', ' 53.79 Max', ' 222 Sum', '   5756 Ratio', '   1.06%)']", ,[' 39022   '],[' 1659    '],[' 38669   '],[' 20201   '],"[' 60599    (Atom=Atom', ' 19140 Body=Body', ' 10929 Other', ' 30530)']",[' Yes'],"[' 1906     (Eliminated', '    0 Frozen', ' 1906)']","[' 46       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.201224'],[' 0'], ,[' 9.24598'],[' 0'],[' 0.164766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09611e+06'],[' 2.19351e+06'],[' 0'],[' 1.38417e+09'],[' 0'],[' 0'],[' 371 '],[' 721 '],[' 961 '],[' 1266 '],[' 1804 '],[' 2054 '],[' 2568 '],[' 2905 ']
Solving...,TA44, , ,[' 521'],[' 269'],"[' 10.284s (Solving', ' 9.37s 1st Model', ' 0.20s Unsat', ' 0.12s)']",[' 10.094s'], ,[' 661063  '],"[' 276440   (Analyzed', ' 273731)']","[' 819      (Average', ' 334.23 Last', ' 59)']",[' 729.4   '],"[' 269      (Average Length', ' 126.73 Splits', ' 0)']","[' 273731   (Deleted', ' 262247)']","[' 75       (Ratio', '   0.03%)']","[' 481      (Ratio', '   0.18%)']","[' 273731   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 273731   (Average', '  1.80 Max', ' 933 Sum', ' 492738)']","[' 273628   (Average', '  1.80 Max', ' 933 Sum', ' 491369 Ratio', '  99.72%)']","[' 103      (Average', ' 13.29 Max', ' 132 Sum', '   1369 Ratio', '   0.28%)']", ,[' 39173   '],[' 1653    '],[' 38827   '],[' 20484   '],"[' 61448    (Atom=Atom', ' 19429 Body=Body', ' 10923 Other', ' 31096)']",[' Yes'],"[' 1907     (Eliminated', '    0 Frozen', ' 1907)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.238382'],[' 0'], ,[' 6.68531'],[' 0'],[' 0.157619'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.59089e+06'],[' 2.80594e+06'],[' 0'],[' 8.20165e+08'],[' 0'],[' 0'],[' 437 '],[' 712 '],[' 1073 '],[' 1545 '],[' 1910 '],[' 2309 '],[' 2586 '],[' 2924 ']
Solving...,TA45, , ,[' 563'],[' 290'],"[' 2.672s (Solving', ' 1.75s 1st Model', ' 0.40s Unsat', ' 0.06s)']",[' 2.594s'], ,[' 292997  '],"[' 9008     (Analyzed', ' 4663)']","[' 41       (Average', ' 113.73 Last', ' 227)']",[' 726.4   '],"[' 290      (Average Length', ' 138.53 Splits', ' 0)']","[' 4663     (Deleted', ' 0)']","[' 78       (Ratio', '   1.67%)']","[' 326      (Ratio', '   6.99%)']","[' 4663     (Average Length', '    5.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4663     (Average', ' 26.41 Max', ' 958 Sum', ' 123146)']","[' 4555     (Average', ' 26.31 Max', ' 958 Sum', ' 122678 Ratio', '  99.62%)']","[' 108      (Average', '  4.33 Max', '  13 Sum', '    468 Ratio', '   0.38%)']", ,[' 38988   '],[' 1686    '],[' 38664   '],[' 20610   '],"[' 61826    (Atom=Atom', ' 19522 Body=Body', ' 10956 Other', ' 31348)']",[' Yes'],"[' 1962     (Eliminated', '    0 Frozen', ' 1962)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.251596'],[' 0'], ,[' 0.467956'],[' 0'],[' 0.0192776'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5488e+06'],[' 2.39181e+06'],[' 0'],[' 1.71306e+07'],[' 0'],[' 0'],[' 424 '],[' 640 '],[' 1037 '],[' 1420 '],[' 1727 '],[' 2084 '],[' 2443 '],[' 2711 ']
Solving...,TA46, , ,[' 559'],[' 288'],"[' 18.619s (Solving', ' 17.54s 1st Model', ' 0.36s Unsat', ' 0.03s)']",[' 18.578s'], ,[' 1924244 '],"[' 1089288  (Analyzed', ' 1050243)']","[' 2951     (Average', ' 355.89 Last', ' 12280)']",[' 774.7   '],"[' 288      (Average Length', ' 138.05 Splits', ' 0)']","[' 1050243  (Deleted', ' 1028474)']","[' 46       (Ratio', '   0.00%)']","[' 712      (Ratio', '   0.07%)']","[' 1050243  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1050243  (Average', '  1.59 Max', ' 1033 Sum', ' 1670744)']","[' 1050184  (Average', '  1.59 Max', ' 1033 Sum', ' 1668836 Ratio', '  99.89%)']","[' 59       (Average', ' 32.34 Max', ' 240 Sum', '   1908 Ratio', '   0.11%)']", ,[' 40039   '],[' 1759    '],[' 39715   '],[' 21771   '],"[' 65309    (Atom=Atom', ' 20610 Body=Body', ' 11029 Other', ' 33670)']",[' Yes'],"[' 2035     (Eliminated', '    0 Frozen', ' 2035)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.256696'],[' 0'], ,[' 10.6767'],[' 0'],[' 0.299932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.23143e+06'],[' 4.57636e+06'],[' 0'],[' 1.06962e+09'],[' 0'],[' 0'],[' 581 '],[' 822 '],[' 1196 '],[' 1769 '],[' 2057 '],[' 2313 '],[' 2686 '],[' 3113 ']
Solving...,TA47, , ,[' 543'],[' 280'],"[' 10.952s (Solving', ' 10.01s 1st Model', ' 0.36s Unsat', ' 0.69s)']",[' 10.859s'], ,[' 546847  '],"[' 157715   (Analyzed', ' 154820)']","[' 573      (Average', ' 270.19 Last', ' 365)']",[' 761.3   '],"[' 280      (Average Length', ' 134.24 Splits', ' 0)']","[' 154820   (Deleted', ' 146273)']","[' 64       (Ratio', '   0.04%)']","[' 693      (Ratio', '   0.45%)']","[' 154820   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 154820   (Average', '  2.42 Max', ' 943 Sum', ' 374207)']","[' 154707   (Average', '  2.38 Max', ' 943 Sum', ' 367816 Ratio', '  98.29%)']","[' 113      (Average', ' 56.56 Max', ' 220 Sum', '   6391 Ratio', '   1.71%)']", ,[' 39215   '],[' 1721    '],[' 38883   '],[' 20719   '],"[' 62153    (Atom=Atom', ' 19596 Body=Body', ' 10991 Other', ' 31566)']",[' Yes'],"[' 1989     (Eliminated', '    0 Frozen', ' 1989)']","[' 54       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.257799'],[' 0'], ,[' 7.69856'],[' 0'],[' 0.153054'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38157e+06'],[' 2.86819e+06'],[' 0'],[' 1.20852e+09'],[' 0'],[' 0'],[' 420 '],[' 793 '],[' 1171 '],[' 1547 '],[' 1905 '],[' 2279 '],[' 2775 '],[' 3217 ']
Solving...,TA48, , ,[' 529'],[' 273'],"[' 10.558s (Solving', ' 9.60s 1st Model', ' 0.29s Unsat', ' 0.21s)']",[' 10.484s'], ,[' 1047303 '],"[' 575874   (Analyzed', ' 570197)']","[' 1420     (Average', ' 401.55 Last', ' 285)']",[' 754.0   '],"[' 273      (Average Length', ' 130.89 Splits', ' 0)']","[' 570197   (Deleted', ' 549995)']","[' 36       (Ratio', '   0.01%)']","[' 550      (Ratio', '   0.10%)']","[' 570197   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 570197   (Average', '  1.52 Max', ' 958 Sum', ' 865716)']","[' 570133   (Average', '  1.51 Max', ' 958 Sum', ' 863677 Ratio', '  99.76%)']","[' 64       (Average', ' 31.86 Max', ' 134 Sum', '   2039 Ratio', '   0.24%)']", ,[' 38692   '],[' 1674    '],[' 38353   '],[' 20589   '],"[' 61763    (Atom=Atom', ' 19513 Body=Body', ' 10944 Other', ' 31306)']",[' Yes'],"[' 1935     (Eliminated', '    0 Frozen', ' 1935)']","[' 31       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.247077'],[' 0'], ,[' 5.46057'],[' 0'],[' 0.156257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.67581e+06'],[' 3.26859e+06'],[' 0'],[' 4.98794e+08'],[' 0'],[' 0'],[' 465 '],[' 877 '],[' 1084 '],[' 1451 '],[' 1764 '],[' 2032 '],[' 2418 '],[' 2792 ']
Solving...,TA49, , ,[' 473'],[' 245'],"[' 2.599s (Solving', ' 1.64s 1st Model', ' 0.35s Unsat', ' 0.19s)']",[' 2.609s'], ,[' 294323  '],"[' 14853    (Analyzed', ' 11528)']","[' 79       (Average', ' 145.92 Last', ' 192)']",[' 791.2   '],"[' 245      (Average Length', ' 117.66 Splits', ' 0)']","[' 11528    (Deleted', ' 4348)']","[' 72       (Ratio', '   0.62%)']","[' 413      (Ratio', '   3.58%)']","[' 11528    (Average Length', '    6.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11528    (Average', ' 11.40 Max', ' 1012 Sum', ' 131432)']","[' 11440    (Average', ' 11.38 Max', ' 1012 Sum', ' 131200 Ratio', '  99.82%)']","[' 88       (Average', '  2.64 Max', '  10 Sum', '    232 Ratio', '   0.18%)']", ,[' 39523   '],[' 1697    '],[' 39157   '],[' 20808   '],"[' 62420    (Atom=Atom', ' 19709 Body=Body', ' 10967 Other', ' 31744)']",[' Yes'],"[' 1931     (Eliminated', '    0 Frozen', ' 1931)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.242674'],[' 0'], ,[' 0.559575'],[' 0'],[' 0.0209731'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57087e+06'],[' 2.41077e+06'],[' 0'],[' 2.74927e+07'],[' 0'],[' 0'],[' 452 '],[' 813 '],[' 1201 '],[' 1504 '],[' 1931 '],[' 2337 '],[' 2659 '],[' 2991 ']
Solving...,TA50, , ,[' 453'],[' 235'],"[' 2.664s (Solving', ' 1.91s 1st Model', ' 0.24s Unsat', ' 0.55s)']",[' 2.563s'], ,[' 244076  '],"[' 21172    (Analyzed', ' 16859)']","[' 113      (Average', ' 149.19 Last', ' 673)']",[' 670.9   '],"[' 235      (Average Length', ' 109.16 Splits', ' 0)']","[' 16859    (Deleted', ' 10690)']","[' 61       (Ratio', '   0.36%)']","[' 439      (Ratio', '   2.60%)']","[' 16859    (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16859    (Average', '  6.68 Max', ' 978 Sum', ' 112655)']","[' 16777    (Average', '  6.63 Max', ' 978 Sum', ' 111856 Ratio', '  99.29%)']","[' 82       (Average', '  9.74 Max', '  68 Sum', '    799 Ratio', '   0.71%)']", ,[' 38625   '],[' 1652    '],[' 38243   '],[' 20331   '],"[' 60989    (Atom=Atom', ' 19277 Body=Body', ' 10922 Other', ' 30790)']",[' Yes'],"[' 1870     (Eliminated', '    0 Frozen', ' 1870)']","[' 26       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.203451'],[' 0'], ,[' 0.761549'],[' 0'],[' 0.0224366'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91618e+06'],[' 1.75979e+06'],[' 0'],[' 7.85873e+07'],[' 0'],[' 0'],[' 434 '],[' 781 '],[' 1093 '],[' 1486 '],[' 1813 '],[' 2126 '],[' 2455 '],[' 3018 ']
