Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 4799+'],[' 2403'],"[' 602.880s (Solving', ' 589.21s 1st Model', ' 35.17s Unsat', ' 0.00s)']",[' 600.703s'], ,[' 274768724'],"[' 8163324  (Analyzed', ' 7242658)']","[' 15796    (Average', ' 458.51 Last', ' 35765)']",[' 4981.2  '],"[' 2403     (Average Length', ' 1269.20 Splits', ' 0)']","[' 7242658  (Deleted', ' 7146366)']","[' 293      (Ratio', '   0.00%)']","[' 37062    (Ratio', '   0.51%)']","[' 7242658  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7242658  (Average', ' 36.60 Max', ' 4774 Sum', ' 265094816)']","[' 7242021  (Average', ' 36.48 Max', ' 4774 Sum', ' 264222581 Ratio', '  99.67%)']","[' 637      (Average', ' 1369.29 Max', ' 1619 Sum', ' 872235 Ratio', '   0.33%)']", ,[' 123618  '],[' 8045    '],[' 115188  '],[' 52477   '],"[' 154480   (Atom=Atom', ' 40273 Body=Body', ' 26847 Other', ' 87360)']",[' Yes'],"[' 10541    (Eliminated', '    0 Frozen', ' 10541)']","[' 5475     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.01256'],[' 0'], ,[' 295.952'],[' 0'],[' 18.5531'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.0359e+08'],[' 5.89345e+08'],[' 0'],[' 1.5341e+10'],[' 0'],[' 0'],[' 1360 '],[' 2446 '],[' 3507 '],[' 3 '],[' 0 ']
Solving...,TA62, , , ,[' 1'],[' 4897+'],[' 2452'],"[' 603.408s (Solving', ' 589.31s 1st Model', ' 26.95s Unsat', ' 0.00s)']",[' 600.875s'], ,[' 272998158'],"[' 7625036  (Analyzed', ' 6718756)']","[' 13930    (Average', ' 482.32 Last', ' 41513)']",[' 5049.8  '],"[' 2452     (Average Length', ' 1286.74 Splits', ' 0)']","[' 6718756  (Deleted', ' 6617064)']","[' 374      (Ratio', '   0.01%)']","[' 41298    (Ratio', '   0.61%)']","[' 6718756  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6718756  (Average', ' 39.17 Max', ' 4761 Sum', ' 263204236)']","[' 6718006  (Average', ' 39.02 Max', ' 4761 Sum', ' 262176071 Ratio', '  99.61%)']","[' 750      (Average', ' 1370.89 Max', ' 1610 Sum', ' 1028165 Ratio', '   0.39%)']", ,[' 124773  '],[' 8202    '],[' 116315  '],[' 53309   '],"[' 156999   (Atom=Atom', ' 40950 Body=Body', ' 27318 Other', ' 88731)']",[' Yes'],"[' 10752    (Eliminated', '    0 Frozen', ' 10752)']","[' 5714     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.00642'],[' 0'], ,[' 295.764'],[' 0'],[' 18.3102'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.92804e+08'],[' 5.85704e+08'],[' 0'],[' 1.60997e+10'],[' 0'],[' 0'],[' 1508 '],[' 2752 '],[' 3765 '],[' 3 '],[' 0 ']
Solving...,TA63, , , ,[' 1'],[' 4583+'],[' 2295'],"[' 603.123s (Solving', ' 590.16s 1st Model', ' 164.01s Unsat', ' 0.00s)']",[' 600.125s'], ,[' 281983932'],"[' 6138580  (Analyzed', ' 5535481)']","[' 12740    (Average', ' 434.50 Last', ' 336807)']",[' 4905.5  '],"[' 2295     (Average Length', ' 1197.17 Splits', ' 0)']","[' 5535481  (Deleted', ' 5459714)']","[' 297      (Ratio', '   0.01%)']","[' 36167    (Ratio', '   0.65%)']","[' 5535481  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5535481  (Average', ' 49.37 Max', ' 4954 Sum', ' 273291951)']","[' 5534847  (Average', ' 49.22 Max', ' 4954 Sum', ' 272437834 Ratio', '  99.69%)']","[' 634      (Average', ' 1347.19 Max', ' 1473 Sum', ' 854117 Ratio', '   0.31%)']", ,[' 124550  '],[' 8179    '],[' 116010  '],[' 53046   '],"[' 156356   (Atom=Atom', ' 40701 Body=Body', ' 27249 Other', ' 88406)']",[' Yes'],"[' 10616    (Eliminated', '    0 Frozen', ' 10616)']","[' 5275     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.82817'],[' 0'], ,[' 288.995'],[' 0'],[' 18.7861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.72144e+08'],[' 6.56026e+08'],[' 0'],[' 1.4678e+10'],[' 0'],[' 0'],[' 1172 '],[' 2395 '],[' 3315 '],[' 3 '],[' 0 ']
Solving...,TA64, , , ,[' 1'],[' 4781+'],[' 2394'],"[' 603.494s (Solving', ' 589.89s 1st Model', ' 45.72s Unsat', ' 0.00s)']",[' 599.281s'], ,[' 262602742'],"[' 7883926  (Analyzed', ' 7013427)']","[' 14938    (Average', ' 469.50 Last', ' 50841)']",[' 5022.0  '],"[' 2394     (Average Length', ' 1258.37 Splits', ' 0)']","[' 7013427  (Deleted', ' 6916553)']","[' 312      (Ratio', '   0.00%)']","[' 35285    (Ratio', '   0.50%)']","[' 7013427  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7013427  (Average', ' 36.09 Max', ' 4953 Sum', ' 253140588)']","[' 7012740  (Average', ' 35.96 Max', ' 4953 Sum', ' 252199574 Ratio', '  99.63%)']","[' 687      (Average', ' 1369.74 Max', ' 2320 Sum', ' 941014 Ratio', '   0.37%)']", ,[' 123716  '],[' 8080    '],[' 115264  '],[' 52622   '],"[' 155027   (Atom=Atom', ' 40404 Body=Body', ' 26952 Other', ' 87671)']",[' Yes'],"[' 10573    (Eliminated', '    0 Frozen', ' 10573)']","[' 5463     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.91023'],[' 0'], ,[' 308.446'],[' 0'],[' 18.0735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.53578e+08'],[' 5.45686e+08'],[' 0'],[' 1.60646e+10'],[' 0'],[' 0'],[' 1335 '],[' 2488 '],[' 3392 '],[' 3 '],[' 0 ']
Solving...,TA65, , , ,[' 1'],[' 4955+'],[' 2481'],"[' 603.378s (Solving', ' 589.62s 1st Model', ' 69.71s Unsat', ' 0.00s)']",[' 600.313s'], ,[' 255468190'],"[' 6626129  (Analyzed', ' 5871555)']","[' 12844    (Average', ' 457.14 Last', ' 81411)']",[' 4889.8  '],"[' 2481     (Average Length', ' 1307.24 Splits', ' 0)']","[' 5871555  (Deleted', ' 5784691)']","[' 287      (Ratio', '   0.00%)']","[' 37686    (Ratio', '   0.64%)']","[' 5871555  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5871555  (Average', ' 41.95 Max', ' 4679 Sum', ' 246291376)']","[' 5870903  (Average', ' 41.78 Max', ' 4679 Sum', ' 245330312 Ratio', '  99.61%)']","[' 652      (Average', ' 1474.02 Max', ' 1730 Sum', ' 961064 Ratio', '   0.39%)']", ,[' 124720  '],[' 8205    '],[' 116354  '],[' 53253   '],"[' 157200   (Atom=Atom', ' 40991 Body=Body', ' 27327 Other', ' 88882)']",[' Yes'],"[' 10791    (Eliminated', '    0 Frozen', ' 10791)']","[' 5963     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.99414'],[' 0'], ,[' 295.359'],[' 0'],[' 18.1958'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.29943e+08'],[' 6.21654e+08'],[' 0'],[' 1.51143e+10'],[' 0'],[' 0'],[' 1257 '],[' 2323 '],[' 3494 '],[' 3 '],[' 0 ']
Solving...,TA66, , , ,[' 1'],[' 4901+'],[' 2454'],"[' 603.556s (Solving', ' 589.47s 1st Model', ' 131.26s Unsat', ' 0.00s)']",[' 600.219s'], ,[' 284702239'],"[' 6127837  (Analyzed', ' 5233185)']","[' 12077    (Average', ' 433.32 Last', ' 309222)']",[' 4996.7  '],"[' 2454     (Average Length', ' 1289.28 Splits', ' 0)']","[' 5233185  (Deleted', ' 5150725)']","[' 326      (Ratio', '   0.01%)']","[' 38836    (Ratio', '   0.74%)']","[' 5233185  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5233185  (Average', ' 52.60 Max', ' 4902 Sum', ' 275272746)']","[' 5232500  (Average', ' 52.42 Max', ' 4902 Sum', ' 274313359 Ratio', '  99.65%)']","[' 685      (Average', ' 1400.56 Max', ' 1619 Sum', ' 959387 Ratio', '   0.35%)']", ,[' 124797  '],[' 8212    '],[' 116390  '],[' 53302   '],"[' 157244   (Atom=Atom', ' 40992 Body=Body', ' 27348 Other', ' 88904)']",[' Yes'],"[' 10781    (Eliminated', '    0 Frozen', ' 10781)']","[' 5713     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03256'],[' 0'], ,[' 274.013'],[' 0'],[' 18.6872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.0286e+08'],[' 6.82301e+08'],[' 0'],[' 1.34571e+10'],[' 0'],[' 0'],[' 1280 '],[' 2444 '],[' 3415 '],[' 3 '],[' 0 ']
Solving...,TA67, , , ,[' 1'],[' 4555+'],[' 2281'],"[' 603.372s (Solving', ' 589.90s 1st Model', ' 28.35s Unsat', ' 0.00s)']",[' 600.250s'], ,[' 261573187'],"[' 6961244  (Analyzed', ' 6316878)']","[' 13597    (Average', ' 464.58 Last', ' 35792)']",[' 4946.2  '],"[' 2281     (Average Length', ' 1193.93 Splits', ' 0)']","[' 6316878  (Deleted', ' 6227684)']","[' 334      (Ratio', '   0.01%)']","[' 36446    (Ratio', '   0.58%)']","[' 6316878  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6316878  (Average', ' 40.02 Max', ' 4789 Sum', ' 252812960)']","[' 6316159  (Average', ' 39.88 Max', ' 4789 Sum', ' 251924977 Ratio', '  99.65%)']","[' 719      (Average', ' 1235.03 Max', ' 1388 Sum', ' 887983 Ratio', '   0.35%)']", ,[' 124120  '],[' 8144    '],[' 115632  '],[' 52733   '],"[' 155676   (Atom=Atom', ' 40547 Body=Body', ' 27144 Other', ' 87985)']",[' Yes'],"[' 10564    (Eliminated', '    0 Frozen', ' 10564)']","[' 5937     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.89962'],[' 0'], ,[' 305.66'],[' 0'],[' 18.0551'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.86834e+08'],[' 5.8292e+08'],[' 0'],[' 1.64757e+10'],[' 0'],[' 0'],[' 1342 '],[' 2692 '],[' 3708 '],[' 3 '],[' 0 ']
Solving...,TA68, , , ,[' 1'],[' 4531+'],[' 2269'],"[' 603.247s (Solving', ' 590.33s 1st Model', ' 35.11s Unsat', ' 0.00s)']",[' 599.859s'], ,[' 276482345'],"[' 8246370  (Analyzed', ' 7584190)']","[' 15646    (Average', ' 484.74 Last', ' 30023)']",[' 4905.5  '],"[' 2269     (Average Length', ' 1191.88 Splits', ' 0)']","[' 7584190  (Deleted', ' 7482199)']","[' 289      (Ratio', '   0.00%)']","[' 35555    (Ratio', '   0.47%)']","[' 7584190  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7584190  (Average', ' 35.31 Max', ' 4938 Sum', ' 267803540)']","[' 7583510  (Average', ' 35.19 Max', ' 4938 Sum', ' 266925303 Ratio', '  99.67%)']","[' 680      (Average', ' 1291.53 Max', ' 1444 Sum', ' 878237 Ratio', '   0.33%)']", ,[' 123494  '],[' 8048    '],[' 114989  '],[' 52313   '],"[' 154124   (Atom=Atom', ' 40151 Body=Body', ' 26856 Other', ' 87117)']",[' Yes'],"[' 10445    (Eliminated', '    0 Frozen', ' 10445)']","[' 5145     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.78498'],[' 0'], ,[' 300.302'],[' 0'],[' 18.6691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.94221e+08'],[' 5.78315e+08'],[' 0'],[' 1.51526e+10'],[' 0'],[' 0'],[' 1209 '],[' 2248 '],[' 3299 '],[' 3 '],[' 0 ']
Solving...,TA69, , , ,[' 1'],[' 4901+'],[' 2454'],"[' 603.523s (Solving', ' 589.09s 1st Model', ' 22.59s Unsat', ' 0.00s)']",[' 599.766s'], ,[' 271160059'],"[' 6479447  (Analyzed', ' 5622014)']","[' 10588    (Average', ' 530.98 Last', ' 5314)']",[' 5077.8  '],"[' 2454     (Average Length', ' 1269.00 Splits', ' 0)']","[' 5622014  (Deleted', ' 5537620)']","[' 285      (Ratio', '   0.01%)']","[' 41884    (Ratio', '   0.74%)']","[' 5622014  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5622014  (Average', ' 46.51 Max', ' 4843 Sum', ' 261456840)']","[' 5621322  (Average', ' 46.34 Max', ' 4842 Sum', ' 260543233 Ratio', '  99.65%)']","[' 692      (Average', ' 1320.24 Max', ' 2770 Sum', ' 913607 Ratio', '   0.35%)']", ,[' 124719  '],[' 8223    '],[' 116230  '],[' 53358   '],"[' 157407   (Atom=Atom', ' 41036 Body=Body', ' 27381 Other', ' 88990)']",[' Yes'],"[' 10734    (Eliminated', '    0 Frozen', ' 10734)']","[' 6401     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.10244'],[' 0'], ,[' 285.166'],[' 0'],[' 18.3573'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.32861e+08'],[' 6.25254e+08'],[' 0'],[' 1.44909e+10'],[' 0'],[' 0'],[' 1442 '],[' 2615 '],[' 3742 '],[' 3 '],[' 0 ']
Solving...,TA70, , , ,[' 1'],[' 4915+'],[' 2461'],"[' 603.418s (Solving', ' 589.36s 1st Model', ' 61.38s Unsat', ' 0.00s)']",[' 599.266s'], ,[' 274878543'],"[' 5908495  (Analyzed', ' 5270133)']","[' 11590    (Average', ' 454.71 Last', ' 60472)']",[' 4965.1  '],"[' 2461     (Average Length', ' 1279.46 Splits', ' 0)']","[' 5270133  (Deleted', ' 5189254)']","[' 291      (Ratio', '   0.01%)']","[' 40132    (Ratio', '   0.76%)']","[' 5270133  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5270133  (Average', ' 50.41 Max', ' 4922 Sum', ' 265678945)']","[' 5269475  (Average', ' 50.24 Max', ' 4922 Sum', ' 264775021 Ratio', '  99.66%)']","[' 658      (Average', ' 1373.74 Max', ' 1567 Sum', ' 903924 Ratio', '   0.34%)']", ,[' 125112  '],[' 8227    '],[' 116697  '],[' 53423   '],"[' 157480   (Atom=Atom', ' 41059 Body=Body', ' 27393 Other', ' 89028)']",[' Yes'],"[' 10800    (Eliminated', '    0 Frozen', ' 10800)']","[' 6070     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03833'],[' 0'], ,[' 281.543'],[' 0'],[' 18.4748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.70113e+08'],[' 6.57913e+08'],[' 0'],[' 1.39922e+10'],[' 0'],[' 0'],[' 1196 '],[' 2505 '],[' 3792 '],[' 3 '],[' 0 ']
