Optimal Found Or Timeout,Instances,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1053,Completion Time for Window 2 is 2107,Completion Time for Window 3 is 3129,Completion Time for Window 4 is 4153
Time         ,TA61, ,[' 50778173'],"[' 4691311  (Analyzed', ' 4384300)']","[' 9592     (Average', ' 457.08 Last', ' 15238)']",[' 3647.1  '],"[' 1678     (Average Length', ' 795.05 Splits', ' 0)']","[' 4384300  (Deleted', ' 4315171)']","[' 91       (Ratio', '   0.00%)']","[' 13392    (Ratio', '   0.31%)']","[' 4384300  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4384300  (Average', ' 10.50 Max', ' 4257 Sum', ' 46022006)']","[' 4383544  (Average', ' 10.36 Max', ' 4257 Sum', ' 45437129 Ratio', '  98.73%)']","[' 756      (Average', ' 773.65 Max', ' 1154 Sum', ' 584877 Ratio', '   1.27%)']", ,[' 109628  '],[' 7106    '],[' 110171  '],[' 62744   '],"[' 188228   (Atom=Atom', ' 56636 Body=Body', ' 32556 Other', ' 99036)']",[' Yes'],"[' 8649     (Eliminated', '    0 Frozen', ' 8649)']","[' 2235     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45736'],[' 0'], ,[' 209.315'],[' 0'],[' 4.81194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4675e+08'],[' 1.22626e+08'],[' 0'],[' 2.2147e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA62, ,[' 67809138'],"[' 3825165  (Analyzed', ' 3508253)']","[' 8336     (Average', ' 420.86 Last', ' 8546)']",[' 3598.3  '],"[' 1881     (Average Length', ' 881.73 Splits', ' 0)']","[' 3508253  (Deleted', ' 3440302)']","[' 114      (Ratio', '   0.00%)']","[' 18833    (Ratio', '   0.54%)']","[' 3508253  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3508253  (Average', ' 17.93 Max', ' 3822 Sum', ' 62907943)']","[' 3507383  (Average', ' 17.72 Max', ' 3822 Sum', ' 62151761 Ratio', '  98.80%)']","[' 870      (Average', ' 869.17 Max', ' 1201 Sum', ' 756182 Ratio', '   1.20%)']", ,[' 110664  '],[' 7179    '],[' 111352  '],[' 63560   '],"[' 190676   (Atom=Atom', ' 57379 Body=Body', ' 32629 Other', ' 100668)']",[' Yes'],"[' 8867     (Eliminated', '    0 Frozen', ' 8867)']","[' 3086     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.84293'],[' 0'], ,[' 207.312'],[' 0'],[' 5.62017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01482e+08'],[' 1.69561e+08'],[' 0'],[' 2.13488e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA63, ,[' 45841018'],"[' 5312915  (Analyzed', ' 4905351)']","[' 10914    (Average', ' 449.45 Last', ' 96812)']",[' 3595.5  '],"[' 1796     (Average Length', ' 837.09 Splits', ' 0)']","[' 4905351  (Deleted', ' 4828197)']","[' 70       (Ratio', '   0.00%)']","[' 11714    (Ratio', '   0.24%)']","[' 4905351  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4905351  (Average', '  8.32 Max', ' 4048 Sum', ' 40816107)']","[' 4904627  (Average', '  8.19 Max', ' 4048 Sum', ' 40191915 Ratio', '  98.47%)']","[' 724      (Average', ' 862.14 Max', ' 1224 Sum', ' 624192 Ratio', '   1.53%)']", ,[' 109493  '],[' 7096    '],[' 110101  '],[' 62812   '],"[' 188432   (Atom=Atom', ' 56714 Body=Body', ' 32546 Other', ' 99172)']",[' Yes'],"[' 8704     (Eliminated', '    0 Frozen', ' 8704)']","[' 2194     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.52345'],[' 0'], ,[' 220.814'],[' 0'],[' 4.79857'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28313e+08'],[' 1.04705e+08'],[' 0'],[' 2.41858e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA64, ,[' 51209100'],"[' 5029375  (Analyzed', ' 4622942)']","[' 9999     (Average', ' 462.34 Last', ' 38218)']",[' 3811.1  '],"[' 1696     (Average Length', ' 795.64 Splits', ' 0)']","[' 4622942  (Deleted', ' 4553398)']","[' 59       (Ratio', '   0.00%)']","[' 12335    (Ratio', '   0.27%)']","[' 4622942  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4622942  (Average', '  9.95 Max', ' 4243 Sum', ' 45997586)']","[' 4622181  (Average', '  9.83 Max', ' 4243 Sum', ' 45438638 Ratio', '  98.78%)']","[' 761      (Average', ' 734.49 Max', ' 1070 Sum', ' 558948 Ratio', '   1.22%)']", ,[' 109680  '],[' 7066    '],[' 110213  '],[' 62780   '],"[' 188336   (Atom=Atom', ' 56712 Body=Body', ' 32516 Other', ' 99108)']",[' Yes'],"[' 8599     (Eliminated', '    0 Frozen', ' 8599)']","[' 1984     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.56505'],[' 0'], ,[' 226.751'],[' 0'],[' 5.0119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44623e+08'],[' 1.20632e+08'],[' 0'],[' 2.47848e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA65, ,[' 45582270'],"[' 5333059  (Analyzed', ' 4917833)']","[' 11027    (Average', ' 445.98 Last', ' 13159)']",[' 3542.3  '],"[' 1691     (Average Length', ' 797.12 Splits', ' 0)']","[' 4917833  (Deleted', ' 4832978)']","[' 62       (Ratio', '   0.00%)']","[' 11081    (Ratio', '   0.23%)']","[' 4917833  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4917833  (Average', '  8.31 Max', ' 4078 Sum', ' 40854502)']","[' 4917091  (Average', '  8.19 Max', ' 4078 Sum', ' 40280522 Ratio', '  98.60%)']","[' 742      (Average', ' 773.56 Max', ' 1199 Sum', ' 573980 Ratio', '   1.40%)']", ,[' 109488  '],[' 7042    '],[' 110019  '],[' 62225   '],"[' 186671   (Atom=Atom', ' 56181 Body=Body', ' 32492 Other', ' 97998)']",[' Yes'],"[' 8573     (Eliminated', '    0 Frozen', ' 8573)']","[' 1856     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.32999'],[' 0'], ,[' 212.207'],[' 0'],[' 4.67382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26853e+08'],[' 1.05215e+08'],[' 0'],[' 2.22007e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA66, ,[' 52945624'],"[' 4458319  (Analyzed', ' 4104993)']","[' 8295     (Average', ' 494.88 Last', ' 221248)']",[' 3510.1  '],"[' 1633     (Average Length', ' 772.26 Splits', ' 0)']","[' 4104993  (Deleted', ' 4034211)']","[' 92       (Ratio', '   0.00%)']","[' 15685    (Ratio', '   0.38%)']","[' 4104993  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4104993  (Average', ' 11.83 Max', ' 3892 Sum', ' 48542167)']","[' 4104102  (Average', ' 11.66 Max', ' 3892 Sum', ' 47858791 Ratio', '  98.59%)']","[' 891      (Average', ' 766.98 Max', ' 1093 Sum', ' 683376 Ratio', '   1.41%)']", ,[' 110052  '],[' 7211    '],[' 110539  '],[' 62900   '],"[' 188696   (Atom=Atom', ' 56687 Body=Body', ' 32661 Other', ' 99348)']",[' Yes'],"[' 8698     (Eliminated', '    0 Frozen', ' 8698)']","[' 2794     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.36856'],[' 0'], ,[' 205.388'],[' 0'],[' 4.7757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47922e+08'],[' 1.22303e+08'],[' 0'],[' 2.26069e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA67, ,[' 41038481'],"[' 4635484  (Analyzed', ' 4293593)']","[' 9326     (Average', ' 460.39 Last', ' 8393)']",[' 3518.0  '],"[' 1499     (Average Length', ' 711.59 Splits', ' 0)']","[' 4293593  (Deleted', ' 4232254)']","[' 56       (Ratio', '   0.00%)']","[' 10741    (Ratio', '   0.25%)']","[' 4293593  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4293593  (Average', '  8.59 Max', ' 4151 Sum', ' 36869561)']","[' 4292697  (Average', '  8.44 Max', ' 4151 Sum', ' 36226576 Ratio', '  98.26%)']","[' 896      (Average', ' 717.62 Max', ' 1008 Sum', ' 642985 Ratio', '   1.74%)']", ,[' 109508  '],[' 7160    '],[' 109875  '],[' 62713   '],"[' 188135   (Atom=Atom', ' 56551 Body=Body', ' 32610 Other', ' 98974)']",[' Yes'],"[' 8527     (Eliminated', '    0 Frozen', ' 8527)']","[' 2032     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15537'],[' 0'], ,[' 211.815'],[' 0'],[' 4.32469'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12805e+08'],[' 9.19198e+07'],[' 0'],[' 2.33576e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA68, ,[' 32466834'],"[' 5962646  (Analyzed', ' 5550355)']","[' 12000    (Average', ' 462.53 Last', ' 23792)']",[' 3862.9  '],"[' 1561     (Average Length', ' 748.11 Splits', ' 0)']","[' 5550355  (Deleted', ' 5470638)']","[' 16       (Ratio', '   0.00%)']","[' 5590     (Ratio', '   0.10%)']","[' 5550355  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5550355  (Average', '  4.96 Max', ' 4564 Sum', ' 27514778)']","[' 5549465  (Average', '  4.86 Max', ' 4564 Sum', ' 26952658 Ratio', '  97.96%)']","[' 890      (Average', ' 631.60 Max', ' 1060 Sum', ' 562120 Ratio', '   2.04%)']", ,[' 108945  '],[' 7003    '],[' 109393  '],[' 61648   '],"[' 184940   (Atom=Atom', ' 55643 Body=Body', ' 32453 Other', ' 96844)']",[' Yes'],"[' 8451     (Eliminated', '    0 Frozen', ' 8451)']","[' 949      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.3128'],[' 0'], ,[' 215.867'],[' 0'],[' 3.93846'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42845e+07'],[' 7.58609e+07'],[' 0'],[' 2.36591e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA69, ,[' 41038418'],"[' 4967024  (Analyzed', ' 4551664)']","[' 10390    (Average', ' 438.08 Last', ' 7185)']",[' 3792.2  '],"[' 1617     (Average Length', ' 756.90 Splits', ' 0)']","[' 4551664  (Deleted', ' 4483868)']","[' 34       (Ratio', '   0.00%)']","[' 8878     (Ratio', '   0.20%)']","[' 4551664  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4551664  (Average', '  7.91 Max', ' 4480 Sum', ' 36019186)']","[' 4550849  (Average', '  7.79 Max', ' 4480 Sum', ' 35465096 Ratio', '  98.46%)']","[' 815      (Average', ' 679.87 Max', ' 1054 Sum', ' 554090 Ratio', '   1.54%)']", ,[' 109736  '],[' 7146    '],[' 110196  '],[' 62661   '],"[' 187979   (Atom=Atom', ' 56513 Body=Body', ' 32596 Other', ' 98870)']",[' Yes'],"[' 8606     (Eliminated', '    0 Frozen', ' 8606)']","[' 1466     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38774'],[' 0'], ,[' 214.213'],[' 0'],[' 4.40537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15116e+08'],[' 9.5476e+07'],[' 0'],[' 2.30898e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA70, ,[' 44066991'],"[' 4441347  (Analyzed', ' 4176800)']","[' 9269     (Average', ' 450.62 Last', ' 13581)']",[' 3535.1  '],"[' 1718     (Average Length', ' 821.05 Splits', ' 0)']","[' 4176800  (Deleted', ' 4102855)']","[' 61       (Ratio', '   0.00%)']","[' 10983    (Ratio', '   0.26%)']","[' 4176800  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4176800  (Average', '  9.47 Max', ' 4118 Sum', ' 39566390)']","[' 4175990  (Average', '  9.32 Max', ' 4118 Sum', ' 38908376 Ratio', '  98.34%)']","[' 810      (Average', ' 812.36 Max', ' 1202 Sum', ' 658014 Ratio', '   1.66%)']", ,[' 109675  '],[' 7056    '],[' 110262  '],[' 62188   '],"[' 186560   (Atom=Atom', ' 56130 Body=Body', ' 32506 Other', ' 97924)']",[' Yes'],"[' 8643     (Eliminated', '    0 Frozen', ' 8643)']","[' 2280     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.48468'],[' 0'], ,[' 211.88'],[' 0'],[' 4.47503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28512e+08'],[' 1.04943e+08'],[' 0'],[' 2.26997e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
