Optimal Found Or Timeout,Instances,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TA76,[' 4637'],"[' 618.401s (Solving', ' 549.33s 1st Model', ' 274.74s Unsat', ' 0.00s)']",[' 616.797s'], ,[' 310405617'],"[' 2428084  (Analyzed', ' 354608)']","[' 3301     (Average', ' 107.42 Last', ' 63908)']",[' 12755.7 '],"[' 4637     (Average Length', ' 2358.47 Splits', ' 0)']","[' 354608   (Deleted', ' 298085)']","[' 61       (Ratio', '   0.02%)']","[' 36533    (Ratio', '  10.30%)']","[' 354608   (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 354608   (Average', ' 755.12 Max', ' 17769 Sum', ' 267770300)']","[' 351439   (Average', ' 732.88 Max', ' 15950 Sum', ' 259885475 Ratio', '  97.06%)']","[' 3169     (Average', ' 2488.11 Max', ' 3034 Sum', ' 7884825 Ratio', '   2.94%)']", ,[' 392587  '],[' 24251   '],[' 354758  '],[' 159934  '],"[' 436316   (Atom=Atom', ' 114154 Body=Body', ' 78313 Other', ' 243849)']",[' Yes'],"[' 29227    (Eliminated', '    0 Frozen', ' 29227)']","[' 7646     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5683'],[' 0'], ,[' 132.49'],[' 0'],[' 16.4905'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.25105e+08'],[' 4.79281e+08'],[' 0'],[' 3.92681e+09'],[' 0'],[' 0'],[' 1605 '],[' 3194 '],[' 4591 '],[' 6615 '],[' 4 '],[' 0 ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA77,[' 4498'],"[' 622.961s (Solving', ' 551.54s 1st Model', ' 292.27s Unsat', ' 0.00s)']",[' 621.047s'], ,[' 318084177'],"[' 2762084  (Analyzed', ' 349098)']","[' 3380     (Average', ' 103.28 Last', ' 42561)']",[' 12801.7 '],"[' 4499     (Average Length', ' 2302.73 Splits', ' 0)']","[' 349098   (Deleted', ' 293980)']","[' 58       (Ratio', '   0.02%)']","[' 36132    (Ratio', '  10.35%)']","[' 349098   (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 349098   (Average', ' 790.91 Max', ' 16106 Sum', ' 276106562)']","[' 346003   (Average', ' 768.62 Max', ' 16106 Sum', ' 268324677 Ratio', '  97.18%)']","[' 3095     (Average', ' 2514.34 Max', ' 2971 Sum', ' 7781885 Ratio', '   2.82%)']", ,[' 392589  '],[' 24221   '],[' 354539  '],[' 159785  '],"[' 435432   (Atom=Atom', ' 113894 Body=Body', ' 78223 Other', ' 243315)']",[' Yes'],"[' 29106    (Eliminated', '    0 Frozen', ' 29106)']","[' 7220     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1313'],[' 0'], ,[' 137.668'],[' 0'],[' 16.9438'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.32412e+08'],[' 4.86145e+08'],[' 0'],[' 4.31556e+09'],[' 0'],[' 0'],[' 1539 '],[' 3042 '],[' 4553 '],[' 6063 '],[' 4 '],[' 0 ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA78,[' 4625'],"[' 623.240s (Solving', ' 548.41s 1st Model', ' 280.96s Unsat', ' 0.00s)']",[' 621.688s'], ,[' 308501426'],"[' 2930916  (Analyzed', ' 324962)']","[' 3315     (Average', ' 98.03 Last', ' 52381)']",[' 13249.2 '],"[' 4626     (Average Length', ' 2376.82 Splits', ' 0)']","[' 324962   (Deleted', ' 272642)']","[' 70       (Ratio', '   0.02%)']","[' 34761    (Ratio', '  10.70%)']","[' 324962   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 324962   (Average', ' 811.40 Max', ' 17219 Sum', ' 263672908)']","[' 321840   (Average', ' 786.11 Max', ' 17219 Sum', ' 255455054 Ratio', '  96.88%)']","[' 3122     (Average', ' 2632.24 Max', ' 3016 Sum', ' 8217854 Ratio', '   3.12%)']", ,[' 393269  '],[' 24408   '],[' 355652  '],[' 160432  '],"[' 438600   (Atom=Atom', ' 114769 Body=Body', ' 78784 Other', ' 245047)']",[' Yes'],"[' 29473    (Eliminated', '    0 Frozen', ' 29473)']","[' 5822     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8109'],[' 0'], ,[' 136.298'],[' 0'],[' 16.5921'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.0537e+08'],[' 4.61605e+08'],[' 0'],[' 4.66095e+09'],[' 0'],[' 0'],[' 1630 '],[' 3165 '],[' 4597 '],[' 7221 '],[' 4 '],[' 0 ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA79,[' 4760'],"[' 623.689s (Solving', ' 546.42s 1st Model', ' 235.42s Unsat', ' 0.00s)']",[' 621.797s'], ,[' 301383797'],"[' 2861499  (Analyzed', ' 314813)']","[' 3319     (Average', ' 94.85 Last', ' 41191)']",[' 13225.4 '],"[' 4761     (Average Length', ' 2458.80 Splits', ' 0)']","[' 314813   (Deleted', ' 262419)']","[' 46       (Ratio', '   0.01%)']","[' 33308    (Ratio', '  10.58%)']","[' 314813   (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 314813   (Average', ' 811.52 Max', ' 16899 Sum', ' 255475638)']","[' 311546   (Average', ' 785.94 Max', ' 16538 Sum', ' 247424135 Ratio', '  96.85%)']","[' 3267     (Average', ' 2464.49 Max', ' 3221 Sum', ' 8051503 Ratio', '   3.15%)']", ,[' 394085  '],[' 24429   '],[' 356436  '],[' 160794  '],"[' 439289   (Atom=Atom', ' 114988 Body=Body', ' 78847 Other', ' 245454)']",[' Yes'],"[' 29600    (Eliminated', '    0 Frozen', ' 29600)']","[' 7061     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3765'],[' 0'], ,[' 133.557'],[' 0'],[' 16.1797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.98316e+08'],[' 4.55161e+08'],[' 0'],[' 4.47421e+09'],[' 0'],[' 0'],[' 1645 '],[' 3058 '],[' 4550 '],[' 6291 '],[' 4 '],[' 0 ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TA80,[' 4702'],"[' 619.692s (Solving', ' 547.72s 1st Model', ' 265.97s Unsat', ' 0.00s)']",[' 617.578s'], ,[' 310184984'],"[' 2467731  (Analyzed', ' 335895)']","[' 3325     (Average', ' 101.02 Last', ' 39552)']",[' 12942.8 '],"[' 4702     (Average Length', ' 2407.08 Splits', ' 0)']","[' 335895   (Deleted', ' 279917)']","[' 62       (Ratio', '   0.02%)']","[' 35502    (Ratio', '  10.57%)']","[' 335895   (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 335895   (Average', ' 797.69 Max', ' 15985 Sum', ' 267941520)']","[' 332175   (Average', ' 769.05 Max', ' 15985 Sum', ' 258320825 Ratio', '  96.41%)']","[' 3720     (Average', ' 2586.21 Max', ' 3162 Sum', ' 9620695 Ratio', '   3.59%)']", ,[' 393420  '],[' 24622   '],[' 356109  '],[' 160990  '],"[' 442097   (Atom=Atom', ' 115703 Body=Body', ' 79426 Other', ' 246968)']",[' Yes'],"[' 29682    (Eliminated', '    0 Frozen', ' 29682)']","[' 7403     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8061'],[' 0'], ,[' 131.896'],[' 0'],[' 16.7128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.12773e+08'],[' 4.68688e+08'],[' 0'],[' 3.99706e+09'],[' 0'],[' 0'],[' 1632 '],[' 3161 '],[' 4656 '],[' 6108 '],[' 4 '],[' 0 ']
