Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 
Solving...,swv11, ,[' 1'],[' 961+'],[' 486'],"[' 310.769s (Solving', ' 308.15s 1st Model', ' 2.52s Unsat', ' 0.00s)']",[' 310.031s'], ,[' 39679382'],"[' 9846679  (Analyzed', ' 9781568)']","[' 18249    (Average', ' 536.01 Last', ' 3207)']",[' 2095.5  '],"[' 486      (Average Length', ' 238.94 Splits', ' 0)']","[' 9781568  (Deleted', ' 9664721)']","[' 10       (Ratio', '   0.00%)']","[' 9237     (Ratio', '   0.09%)']","[' 9781568  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9781568  (Average', '  3.92 Max', ' 2661 Sum', ' 38303251)']","[' 9780865  (Average', '  3.90 Max', ' 2661 Sum', ' 38183314 Ratio', '  99.69%)']","[' 703      (Average', ' 170.61 Max', ' 316 Sum', ' 119937 Ratio', '   0.31%)']", ,[' 70439   '],[' 4546    '],[' 70417   '],[' 38883   '],"[' 116645   (Atom=Atom', ' 34835 Body=Body', ' 17246 Other', ' 64564)']",[' Yes'],"[' 5024     (Eliminated', '    0 Frozen', ' 5024)']","[' 1320     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.544776'],[' 0'], ,[' 247.567'],[' 0'],[' 4.30183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.68985e+07'],[' 6.83783e+07'],[' 0'],[' 3.69e+10'],[' 0'],[' 0'],[' 1259 '],[' 2145 '],[' 3051 '],[' 4042 '],[' 5201 ']
Solving...,swv12, ,[' 1'],[' 873+'],[' 442'],"[' 310.664s (Solving', ' 308.21s 1st Model', ' 2.75s Unsat', ' 0.00s)']",[' 309.281s'], ,[' 44575128'],"[' 8455035  (Analyzed', ' 8415309)']","[' 16660    (Average', ' 505.12 Last', ' 3567)']",[' 1903.2  '],"[' 442      (Average Length', ' 218.45 Splits', ' 0)']","[' 8415309  (Deleted', ' 8316263)']","[' 32       (Ratio', '   0.00%)']","[' 13278    (Ratio', '   0.16%)']","[' 8415309  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8415309  (Average', '  5.15 Max', ' 2645 Sum', ' 43367787)']","[' 8414733  (Average', '  5.14 Max', ' 2645 Sum', ' 43266247 Ratio', '  99.77%)']","[' 576      (Average', ' 176.28 Max', ' 312 Sum', ' 101540 Ratio', '   0.23%)']", ,[' 71044   '],[' 4603    '],[' 70980   '],[' 39292   '],"[' 117872   (Atom=Atom', ' 35187 Body=Body', ' 17303 Other', ' 65382)']",[' Yes'],"[' 5039     (Eliminated', '    0 Frozen', ' 5039)']","[' 1622     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.485448'],[' 0'], ,[' 243.015'],[' 0'],[' 4.63685'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2648e+08'],[' 9.88785e+07'],[' 0'],[' 3.39618e+10'],[' 0'],[' 0'],[' 1175 '],[' 2533 '],[' 3118 '],[' 4190 '],[' 5323 ']
Solving...,swv13, ,[' 1'],[' 797+'],[' 404'],"[' 310.593s (Solving', ' 308.32s 1st Model', ' 2.55s Unsat', ' 0.00s)']",[' 309.750s'], ,[' 49454757'],"[' 9032624  (Analyzed', ' 9006764)']","[' 17949    (Average', ' 501.80 Last', ' 35578)']",[' 2060.2  '],"[' 404      (Average Length', ' 198.12 Splits', ' 0)']","[' 9006764  (Deleted', ' 8905159)']","[' 25       (Ratio', '   0.00%)']","[' 12365    (Ratio', '   0.14%)']","[' 9006764  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9006764  (Average', '  5.35 Max', ' 2667 Sum', ' 48190701)']","[' 9006084  (Average', '  5.34 Max', ' 2667 Sum', ' 48088829 Ratio', '  99.79%)']","[' 680      (Average', ' 149.81 Max', ' 263 Sum', ' 101872 Ratio', '   0.21%)']", ,[' 70667   '],[' 4648    '],[' 70563   '],[' 38989   '],"[' 116963   (Atom=Atom', ' 34839 Body=Body', ' 17348 Other', ' 64776)']",[' Yes'],"[' 5044     (Eliminated', '    0 Frozen', ' 5044)']","[' 1606     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.460085'],[' 0'], ,[' 246.395'],[' 0'],[' 4.66742'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26607e+08'],[' 9.88453e+07'],[' 0'],[' 3.82649e+10'],[' 0'],[' 0'],[' 1281 '],[' 2646 '],[' 3354 '],[' 4441 '],[' 5995 ']
Solving...,swv14, ,[' 1'],[' 879+'],[' 445'],"[' 310.651s (Solving', ' 308.31s 1st Model', ' 2.68s Unsat', ' 0.00s)']",[' 309.547s'], ,[' 49165211'],"[' 9806181  (Analyzed', ' 9770899)']","[' 17985    (Average', ' 543.28 Last', ' 107284)']",[' 2115.6  '],"[' 445      (Average Length', ' 219.67 Splits', ' 0)']","[' 9770899  (Deleted', ' 9661022)']","[' 37       (Ratio', '   0.00%)']","[' 12252    (Ratio', '   0.13%)']","[' 9770899  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9770899  (Average', '  4.89 Max', ' 2701 Sum', ' 47819915)']","[' 9770281  (Average', '  4.88 Max', ' 2701 Sum', ' 47718833 Ratio', '  99.79%)']","[' 618      (Average', ' 163.56 Max', ' 294 Sum', ' 101082 Ratio', '   0.21%)']", ,[' 70525   '],[' 4613    '],[' 70464   '],[' 39383   '],"[' 118145   (Atom=Atom', ' 35268 Body=Body', ' 17313 Other', ' 65564)']",[' Yes'],"[' 5052     (Eliminated', '    0 Frozen', ' 5052)']","[' 1393     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.491608'],[' 0'], ,[' 245.802'],[' 0'],[' 4.82846'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25782e+08'],[' 9.52913e+07'],[' 0'],[' 3.74474e+10'],[' 0'],[' 0'],[' 1261 '],[' 2484 '],[' 3227 '],[' 4313 '],[' 5504 ']
Solving...,swv15, ,[' 1'],[' 849+'],[' 430'],"[' 310.516s (Solving', ' 308.26s 1st Model', ' 2.23s Unsat', ' 0.00s)']",[' 309.828s'], ,[' 44790480'],"[' 8882722  (Analyzed', ' 8848582)']","[' 17864    (Average', ' 495.33 Last', ' 6237)']",[' 1959.6  '],"[' 430      (Average Length', ' 211.56 Splits', ' 0)']","[' 8848582  (Deleted', ' 8741483)']","[' 17       (Ratio', '   0.00%)']","[' 13989    (Ratio', '   0.16%)']","[' 8848582  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8848582  (Average', '  4.92 Max', ' 2525 Sum', ' 43557954)']","[' 8847885  (Average', '  4.91 Max', ' 2525 Sum', ' 43432584 Ratio', '  99.71%)']","[' 697      (Average', ' 179.87 Max', ' 275 Sum', ' 125370 Ratio', '   0.29%)']", ,[' 71622   '],[' 4715    '],[' 71545   '],[' 40128   '],"[' 120380   (Atom=Atom', ' 35911 Body=Body', ' 17415 Other', ' 67054)']",[' Yes'],"[' 5138     (Eliminated', '    0 Frozen', ' 5138)']","[' 2302     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.4733'],[' 0'], ,[' 246.336'],[' 0'],[' 4.66687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26182e+08'],[' 9.76474e+07'],[' 0'],[' 3.81704e+10'],[' 0'],[' 0'],[' 1407 '],[' 2631 '],[' 3369 '],[' 4538 '],[' 5832 ']
Solving...,swv16, ,[' 1'],[' 787+'],[' 399'],"[' 310.495s (Solving', ' 308.87s 1st Model', ' 1.32s Unsat', ' 0.00s)']",[' 309.859s'], ,[' 20118785'],"[' 12864779 (Analyzed', ' 12837574)']","[' 26472    (Average', ' 484.95 Last', ' 39773)']",[' 1596.7  '],"[' 399      (Average Length', ' 195.49 Splits', ' 0)']","[' 12837574 (Deleted', ' 12658535)']","[' 3        (Ratio', '   0.00%)']","[' 2176     (Ratio', '   0.02%)']","[' 12837574 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12837574 (Average', '  1.49 Max', ' 1958 Sum', ' 19150841)']","[' 12837349 (Average', '  1.49 Max', ' 1958 Sum', ' 19122856 Ratio', '  99.85%)']","[' 225      (Average', ' 124.38 Max', ' 266 Sum', '  27985 Ratio', '   0.15%)']", ,[' 52067   '],[' 2874    '],[' 51957   '],[' 29456   '],"[' 88364    (Atom=Atom', ' 27080 Body=Body', ' 15574 Other', ' 45710)']",[' Yes'],"[' 3264     (Eliminated', '    0 Frozen', ' 3264)']","[' 247      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.373304'],[' 0'], ,[' 241.694'],[' 0'],[' 4.43787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.46119e+07'],[' 2.43134e+07'],[' 0'],[' 3.47381e+10'],[' 0'],[' 0'],[' 896 '],[' 1591 '],[' 2143 '],[' 2735 '],[' 3281 ']
Solving...,swv17, ,[' 1'],[' 675+'],[' 343'],"[' 276.486s (Solving', ' 275.10s 1st Model', ' 0.92s Unsat', ' 27.56s)']",[' 276.063s'], ,[' 19270680'],"[' 11322332 (Analyzed', ' 11297545)']","[' 22446    (Average', ' 503.32 Last', ' 61698)']",[' 1493.0  '],"[' 343      (Average Length', ' 168.22 Splits', ' 0)']","[' 11297545 (Deleted', ' 11147635)']","[' 25       (Ratio', '   0.00%)']","[' 2422     (Ratio', '   0.02%)']","[' 11297545 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11297545 (Average', '  1.63 Max', ' 1982 Sum', ' 18445690)']","[' 11297352 (Average', '  1.63 Max', ' 1982 Sum', ' 18422577 Ratio', '  99.87%)']","[' 193      (Average', ' 119.76 Max', ' 240 Sum', '  23113 Ratio', '   0.13%)']", ,[' 52173   '],[' 2864    '],[' 52008   '],[' 29450   '],"[' 88346    (Atom=Atom', ' 27084 Body=Body', ' 15564 Other', ' 45698)']",[' Yes'],"[' 3199     (Eliminated', '    0 Frozen', ' 3199)']","[' 323      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.308708'],[' 0'], ,[' 216.006'],[' 0'],[' 4.02005'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.31346e+07'],[' 2.72175e+07'],[' 0'],[' 3.05039e+10'],[' 0'],[' 0'],[' 777 '],[' 1472 '],[' 2014 '],[' 2706 '],[' 3457 ']
Solving...,swv18, ,[' 1'],[' 807+'],[' 409'],"[' 310.542s (Solving', ' 308.62s 1st Model', ' 1.27s Unsat', ' 0.00s)']",[' 308.969s'], ,[' 26727237'],"[' 12920710 (Analyzed', ' 12897637)']","[' 24846    (Average', ' 519.10 Last', ' 33243)']",[' 1475.9  '],"[' 409      (Average Length', ' 200.28 Splits', ' 0)']","[' 12897637 (Deleted', ' 12738392)']","[' 11       (Ratio', '   0.00%)']","[' 3915     (Ratio', '   0.03%)']","[' 12897637 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12897637 (Average', '  1.99 Max', ' 1802 Sum', ' 25707166)']","[' 12897317 (Average', '  1.99 Max', ' 1802 Sum', ' 25659376 Ratio', '  99.81%)']","[' 320      (Average', ' 149.34 Max', ' 310 Sum', '  47790 Ratio', '   0.19%)']", ,[' 52895   '],[' 3027    '],[' 52792   '],[' 30047   '],"[' 90137    (Atom=Atom', ' 27518 Body=Body', ' 15727 Other', ' 46892)']",[' Yes'],"[' 3424     (Eliminated', '    0 Frozen', ' 3424)']","[' 672      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.420103'],[' 0'], ,[' 239.41'],[' 0'],[' 4.45758'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.80708e+07'],[' 3.74139e+07'],[' 0'],[' 2.96987e+10'],[' 0'],[' 0'],[' 837 '],[' 1574 '],[' 2227 '],[' 2928 '],[' 3608 ']
Solving...,swv19, ,[' 1'],[' 591+'],[' 301'],"[' 310.531s (Solving', ' 309.01s 1st Model', ' 1.05s Unsat', ' 0.00s)']",[' 309.266s'], ,[' 22416928'],"[' 12076103 (Analyzed', ' 12058329)']","[' 22983    (Average', ' 524.66 Last', ' 2394)']",[' 1478.5  '],"[' 301      (Average Length', ' 146.88 Splits', ' 0)']","[' 12058329 (Deleted', ' 11915515)']","[' 11       (Ratio', '   0.00%)']","[' 3792     (Ratio', '   0.03%)']","[' 12058329 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12058329 (Average', '  1.79 Max', ' 1839 Sum', ' 21539746)']","[' 12058040 (Average', '  1.78 Max', ' 1839 Sum', ' 21509709 Ratio', '  99.86%)']","[' 289      (Average', ' 103.93 Max', ' 231 Sum', '  30037 Ratio', '   0.14%)']", ,[' 52646   '],[' 2977    '],[' 52439   '],[' 29723   '],"[' 89165    (Atom=Atom', ' 27244 Body=Body', ' 15677 Other', ' 46244)']",[' Yes'],"[' 3270     (Eliminated', '    0 Frozen', ' 3270)']","[' 560      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.334722'],[' 0'], ,[' 238.976'],[' 0'],[' 4.36312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.81856e+07'],[' 2.92036e+07'],[' 0'],[' 2.97663e+10'],[' 0'],[' 0'],[' 1058 '],[' 1716 '],[' 2560 '],[' 3095 '],[' 3948 ']
Solving...,swv20, ,[' 1'],[' 729+'],[' 370'],"[' 310.478s (Solving', ' 308.89s 1st Model', ' 0.71s Unsat', ' 0.00s)']",[' 309.297s'], ,[' 21084194'],"[' 10898511 (Analyzed', ' 10871557)']","[' 21357    (Average', ' 509.04 Last', ' 1907)']",[' 1313.3  '],"[' 370      (Average Length', ' 178.66 Splits', ' 0)']","[' 10871557 (Deleted', ' 10737245)']","[' 7        (Ratio', '   0.00%)']","[' 3107     (Ratio', '   0.03%)']","[' 10871557 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10871557 (Average', '  1.87 Max', ' 1787 Sum', ' 20281044)']","[' 10871213 (Average', '  1.86 Max', ' 1787 Sum', ' 20218352 Ratio', '  99.69%)']","[' 344      (Average', ' 182.24 Max', ' 294 Sum', '  62692 Ratio', '   0.31%)']", ,[' 52290   '],[' 2915    '],[' 52145   '],[' 29486   '],"[' 88454    (Atom=Atom', ' 27069 Body=Body', ' 15615 Other', ' 45770)']",[' Yes'],"[' 3270     (Eliminated', '    0 Frozen', ' 3270)']","[' 435      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.335114'],[' 0'], ,[' 243.363'],[' 0'],[' 4.47229'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.48532e+07'],[' 2.86294e+07'],[' 0'],[' 3.1416e+10'],[' 0'],[' 0'],[' 841 '],[' 1430 '],[' 2068 '],[' 2689 '],[' 3561 ']
