Optimal Found Or Timeout,Instances,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 791,Completion Time for Window 2 is 1614,Completion Time for Window 3 is 2301
Calls        ,TA31,[' 185.938s'], ,[' 20321780'],"[' 7196271  (Analyzed', ' 7103262)']","[' 14694    (Average', ' 483.41 Last', ' 53186)']",[' 1485.2  '],"[' 717      (Average Length', ' 346.50 Splits', ' 0)']","[' 7103262  (Deleted', ' 6987230)']","[' 54       (Ratio', '   0.00%)']","[' 4273     (Ratio', '   0.06%)']","[' 7103262  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7103262  (Average', '  2.71 Max', ' 1495 Sum', ' 19256643)']","[' 7103037  (Average', '  2.70 Max', ' 1495 Sum', ' 19180306 Ratio', '  99.60%)']","[' 225      (Average', ' 339.28 Max', ' 429 Sum', '  76337 Ratio', '   0.40%)']", ,[' 33605   '],[' 2611    '],[' 33824   '],[' 18594   '],"[' 55778    (Atom=Atom', ' 16431 Body=Body', ' 9556 Other', ' 29791)']",[' Yes'],"[' 3280     (Eliminated', '    0 Frozen', ' 3280)']","[' 799      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.398921'],[' 0'], ,[' 140.367'],[' 0'],[' 2.74548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.8199e+07'],[' 3.59709e+07'],[' 0'],[' 1.3077e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA32,[' 186.359s'], ,[' 26370113'],"[' 7732119  (Analyzed', ' 7592309)']","[' 15086    (Average', ' 503.27 Last', ' 5691)']",[' 1558.4  '],"[' 716      (Average Length', ' 348.42 Splits', ' 0)']","[' 7592309  (Deleted', ' 7474595)']","[' 83       (Ratio', '   0.00%)']","[' 5763     (Ratio', '   0.08%)']","[' 7592309  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7592309  (Average', '  3.32 Max', ' 1583 Sum', ' 25178608)']","[' 7592052  (Average', '  3.31 Max', ' 1583 Sum', ' 25098167 Ratio', '  99.68%)']","[' 257      (Average', ' 313.00 Max', ' 462 Sum', '  80441 Ratio', '   0.32%)']", ,[' 34081   '],[' 2698    '],[' 34310   '],[' 18978   '],"[' 56930    (Atom=Atom', ' 16728 Body=Body', ' 9643 Other', ' 30559)']",[' Yes'],"[' 3377     (Eliminated', '    0 Frozen', ' 3377)']","[' 654      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.400205'],[' 0'], ,[' 137.368'],[' 0'],[' 3.29465'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.02476e+07'],[' 4.60721e+07'],[' 0'],[' 1.41897e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Time         ,TA33, ,[' 19622553'],"[' 7436308  (Analyzed', ' 7323404)']","[' 14706    (Average', ' 497.99 Last', ' 13376)']",[' 1534.4  '],"[' 811      (Average Length', ' 390.34 Splits', ' 0)']","[' 7323404  (Deleted', ' 7195438)']","[' 71       (Ratio', '   0.00%)']","[' 4130     (Ratio', '   0.06%)']","[' 7323404  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7323404  (Average', '  2.52 Max', ' 1476 Sum', ' 18446211)']","[' 7323176  (Average', '  2.51 Max', ' 1476 Sum', ' 18365343 Ratio', '  99.56%)']","[' 228      (Average', ' 354.68 Max', ' 487 Sum', '  80868 Ratio', '   0.44%)']", ,[' 33715   '],[' 2623    '],[' 34018   '],[' 18756   '],"[' 56264    (Atom=Atom', ' 16581 Body=Body', ' 9568 Other', ' 30115)']",[' Yes'],"[' 3376     (Eliminated', '    0 Frozen', ' 3376)']","[' 792      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.43871'],[' 0'], ,[' 114.025'],[' 0'],[' 2.54371'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.4176e+07'],[' 3.29463e+07'],[' 0'],[' 1.12819e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' ']
Calls        ,TA34,[' 184.641s'], ,[' 21435272'],"[' 8069915  (Analyzed', ' 7990726)']","[' 16359    (Average', ' 488.46 Last', ' 72035)']",[' 1453.2  '],"[' 621      (Average Length', ' 300.26 Splits', ' 0)']","[' 7990726  (Deleted', ' 7876438)']","[' 72       (Ratio', '   0.00%)']","[' 4109     (Ratio', '   0.05%)']","[' 7990726  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7990726  (Average', '  2.56 Max', ' 1539 Sum', ' 20418243)']","[' 7990507  (Average', '  2.55 Max', ' 1539 Sum', ' 20354697 Ratio', '  99.69%)']","[' 219      (Average', ' 290.16 Max', ' 374 Sum', '  63546 Ratio', '   0.31%)']", ,[' 33608   '],[' 2617    '],[' 33748   '],[' 18504   '],"[' 55508    (Atom=Atom', ' 16335 Body=Body', ' 9562 Other', ' 29611)']",[' Yes'],"[' 3207     (Eliminated', '    0 Frozen', ' 3207)']","[' 677      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.343017'],[' 0'], ,[' 135.096'],[' 0'],[' 2.90957'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.15036e+07'],[' 3.80427e+07'],[' 0'],[' 1.3965e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA35,[' 185.219s'], ,[' 27586867'],"[' 8398990  (Analyzed', ' 8278300)']","[' 17203    (Average', ' 481.21 Last', ' 42030)']",[' 1446.9  '],"[' 682      (Average Length', ' 334.28 Splits', ' 0)']","[' 8278300  (Deleted', ' 8143543)']","[' 119      (Ratio', '   0.00%)']","[' 6367     (Ratio', '   0.08%)']","[' 8278300  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8278300  (Average', '  3.20 Max', ' 1550 Sum', ' 26495434)']","[' 8278054  (Average', '  3.19 Max', ' 1550 Sum', ' 26403522 Ratio', '  99.65%)']","[' 246      (Average', ' 373.63 Max', ' 492 Sum', '  91912 Ratio', '   0.35%)']", ,[' 34038   '],[' 2683    '],[' 34244   '],[' 18891   '],"[' 56669    (Atom=Atom', ' 16656 Body=Body', ' 9628 Other', ' 30385)']",[' Yes'],"[' 3339     (Eliminated', '    0 Frozen', ' 3339)']","[' 765      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.358797'],[' 0'], ,[' 131.287'],[' 0'],[' 2.99158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.68134e+07'],[' 5.15287e+07'],[' 0'],[' 1.35775e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA36,[' 185.766s'], ,[' 20886032'],"[' 8580871  (Analyzed', ' 8464055)']","[' 16451    (Average', ' 514.50 Last', ' 70041)']",[' 1508.4  '],"[' 757      (Average Length', ' 369.08 Splits', ' 0)']","[' 8464055  (Deleted', ' 8330103)']","[' 34       (Ratio', '   0.00%)']","[' 3857     (Ratio', '   0.05%)']","[' 8464055  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8464055  (Average', '  2.33 Max', ' 1572 Sum', ' 19753903)']","[' 8463813  (Average', '  2.32 Max', ' 1572 Sum', ' 19664250 Ratio', '  99.55%)']","[' 242      (Average', ' 370.47 Max', ' 500 Sum', '  89653 Ratio', '   0.45%)']", ,[' 33752   '],[' 2644    '],[' 34026   '],[' 18747   '],"[' 56237    (Atom=Atom', ' 16551 Body=Body', ' 9589 Other', ' 30097)']",[' Yes'],"[' 3368     (Eliminated', '    0 Frozen', ' 3368)']","[' 586      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.39636'],[' 0'], ,[' 133.884'],[' 0'],[' 2.8629'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.95351e+07'],[' 3.54522e+07'],[' 0'],[' 1.3884e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA37,[' 186.578s'], ,[' 19279507'],"[' 7615025  (Analyzed', ' 7479802)']","[' 15681    (Average', ' 477.00 Last', ' 530)']",[' 1477.3  '],"[' 755      (Average Length', ' 369.97 Splits', ' 0)']","[' 7479802  (Deleted', ' 7345382)']","[' 74       (Ratio', '   0.00%)']","[' 4739     (Ratio', '   0.06%)']","[' 7479802  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7479802  (Average', '  2.43 Max', ' 1435 Sum', ' 18173324)']","[' 7479553  (Average', '  2.42 Max', ' 1435 Sum', ' 18084845 Ratio', '  99.51%)']","[' 249      (Average', ' 355.34 Max', ' 523 Sum', '  88479 Ratio', '   0.49%)']", ,[' 33469   '],[' 2607    '],[' 33745   '],[' 18572   '],"[' 55712    (Atom=Atom', ' 16413 Body=Body', ' 9552 Other', ' 29747)']",[' Yes'],"[' 3333     (Eliminated', '    0 Frozen', ' 3333)']","[' 761      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.401921'],[' 0'], ,[' 136.103'],[' 0'],[' 2.96284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.5166e+07'],[' 3.37758e+07'],[' 0'],[' 1.42391e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA38,[' 185.875s'], ,[' 22678518'],"[' 7212571  (Analyzed', ' 7122319)']","[' 14269    (Average', ' 499.15 Last', ' 85388)']",[' 1461.2  '],"[' 760      (Average Length', ' 365.54 Splits', ' 0)']","[' 7122319  (Deleted', ' 7009920)']","[' 89       (Ratio', '   0.00%)']","[' 4729     (Ratio', '   0.07%)']","[' 7122319  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7122319  (Average', '  3.03 Max', ' 1455 Sum', ' 21605931)']","[' 7122086  (Average', '  3.02 Max', ' 1455 Sum', ' 21522000 Ratio', '  99.61%)']","[' 233      (Average', ' 360.22 Max', ' 959 Sum', '  83931 Ratio', '   0.39%)']", ,[' 33582   '],[' 2614    '],[' 33842   '],[' 18554   '],"[' 55658    (Atom=Atom', ' 16388 Body=Body', ' 9559 Other', ' 29711)']",[' Yes'],"[' 3324     (Eliminated', '    0 Frozen', ' 3324)']","[' 715      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.407836'],[' 0'], ,[' 139.091'],[' 0'],[' 3.06014'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.34957e+07'],[' 4.07112e+07'],[' 0'],[' 1.47302e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA39,[' 184.359s'], ,[' 19457796'],"[' 7437468  (Analyzed', ' 7361409)']","[' 14241    (Average', ' 516.92 Last', ' 33376)']",[' 1485.4  '],"[' 587      (Average Length', ' 286.83 Splits', ' 0)']","[' 7361409  (Deleted', ' 7268248)']","[' 28       (Ratio', '   0.00%)']","[' 3419     (Ratio', '   0.05%)']","[' 7361409  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7361409  (Average', '  2.51 Max', ' 1572 Sum', ' 18481086)']","[' 7361086  (Average', '  2.50 Max', ' 1572 Sum', ' 18399292 Ratio', '  99.56%)']","[' 323      (Average', ' 253.23 Max', ' 358 Sum', '  81794 Ratio', '   0.44%)']", ,[' 33712   '],[' 2675    '],[' 33822   '],[' 18660   '],"[' 55976    (Atom=Atom', ' 16433 Body=Body', ' 9620 Other', ' 29923)']",[' Yes'],"[' 3235     (Eliminated', '    0 Frozen', ' 3235)']","[' 631      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.336249'],[' 0'], ,[' 141.622'],[' 0'],[' 2.7938'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.04093e+07'],[' 2.95054e+07'],[' 0'],[' 1.55127e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Time         ,TA40, ,[' 21580669'],"[' 5743219  (Analyzed', ' 5647946)']","[' 11647    (Average', ' 484.93 Last', ' 128154)']",[' 1521.7  '],"[' 796      (Average Length', ' 384.80 Splits', ' 0)']","[' 5647946  (Deleted', ' 5557478)']","[' 88       (Ratio', '   0.00%)']","[' 3811     (Ratio', '   0.07%)']","[' 5647946  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5647946  (Average', '  3.62 Max', ' 1645 Sum', ' 20444301)']","[' 5647781  (Average', '  3.61 Max', ' 1645 Sum', ' 20397648 Ratio', '  99.77%)']","[' 165      (Average', ' 282.75 Max', ' 509 Sum', '  46653 Ratio', '   0.23%)']", ,[' 33459   '],[' 2547    '],[' 33758   '],[' 18311   '],"[' 54929    (Atom=Atom', ' 16212 Body=Body', ' 9492 Other', ' 29225)']",[' Yes'],"[' 3296     (Eliminated', '    0 Frozen', ' 3296)']","[' 476      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.432982'],[' 0'], ,[' 80.9341'],[' 0'],[' 2.1496'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.79639e+07'],[' 4.31468e+07'],[' 0'],[' 8.15e+09'],[' 0'],[' 0'], , ,[' '],[' '],[' ']
