Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 6525+'],[' 3273'],"[' 610.610s (Solving', ' 575.71s 1st Model', ' 55.42s Unsat', ' 0.00s)']",[' 609.156s'], ,[' 114590821'],"[' 14283192 (Analyzed', ' 14040514)']","[' 29348    (Average', ' 478.41 Last', ' 105183)']",[' 7057.5  '],"[' 3273     (Average Length', ' 1669.89 Splits', ' 0)']","[' 14040514 (Deleted', ' 13856021)']","[' 407      (Ratio', '   0.00%)']","[' 16927    (Ratio', '   0.12%)']","[' 14040514 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14040514 (Average', '  7.06 Max', ' 9268 Sum', ' 99146221)']","[' 14038267 (Average', '  6.85 Max', ' 9268 Sum', ' 96118309 Ratio', '  96.95%)']","[' 2247     (Average', ' 1347.54 Max', ' 2496 Sum', ' 3027912 Ratio', '   3.05%)']", ,[' 298908  '],[' 13360   '],[' 276621  '],[' 112100  '],"[' 264616   (Atom=Atom', ' 75025 Body=Body', ' 50341 Other', ' 139250)']",[' Yes'],"[' 17739    (Eliminated', '    0 Frozen', ' 17739)']","[' 2976     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.75612'],[' 0'], ,[' 320.886'],[' 0'],[' 10.387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07753e+08'],[' 1.58096e+08'],[' 0'],[' 1.96325e+10'],[' 0'],[' 0'],[' 906 '],[' 1412 '],[' 1909 '],[' 3029 '],[' 3304 '],[' 3722 '],[' 4215 '],[' 4851 '],[' 5325 '],[' 5863 '],[' 10 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 7129+'],[' 3575'],"[' 612.354s (Solving', ' 572.01s 1st Model', ' 42.38s Unsat', ' 0.00s)']",[' 610.719s'], ,[' 98549434'],"[' 13224076 (Analyzed', ' 12954197)']","[' 27450    (Average', ' 471.92 Last', ' 17077)']",[' 7897.7  '],"[' 3575     (Average Length', ' 1779.53 Splits', ' 0)']","[' 12954197 (Deleted', ' 12762533)']","[' 400      (Ratio', '   0.00%)']","[' 11144    (Ratio', '   0.09%)']","[' 12954197 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12954197 (Average', '  6.10 Max', ' 10594 Sum', ' 78997543)']","[' 12951902 (Average', '  5.86 Max', ' 10594 Sum', ' 75968605 Ratio', '  96.17%)']","[' 2295     (Average', ' 1319.80 Max', ' 2557 Sum', ' 3028938 Ratio', '   3.83%)']", ,[' 298872  '],[' 13118   '],[' 276198  '],[' 111817  '],"[' 263427   (Atom=Atom', ' 74789 Body=Body', ' 49907 Other', ' 138731)']",[' Yes'],"[' 17800    (Eliminated', '    0 Frozen', ' 17800)']","[' 1971     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.90401'],[' 0'], ,[' 315.907'],[' 0'],[' 10.3079'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68633e+08'],[' 1.28147e+08'],[' 0'],[' 1.90032e+10'],[' 0'],[' 0'],[' 682 '],[' 1263 '],[' 1863 '],[' 2376 '],[' 2945 '],[' 3376 '],[' 3846 '],[' 4427 '],[' 4918 '],[' 5465 '],[' 10 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7031+'],[' 3526'],"[' 611.416s (Solving', ' 572.71s 1st Model', ' 43.29s Unsat', ' 0.00s)']",[' 609.844s'], ,[' 107395229'],"[' 13158539 (Analyzed', ' 12971408)']","[' 28357    (Average', ' 457.43 Last', ' 96143)']",[' 7767.2  '],"[' 3526     (Average Length', ' 1770.15 Splits', ' 0)']","[' 12971408 (Deleted', ' 12796554)']","[' 320      (Ratio', '   0.00%)']","[' 13481    (Ratio', '   0.10%)']","[' 12971408 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12971408 (Average', '  6.82 Max', ' 11117 Sum', ' 88407912)']","[' 12969335 (Average', '  6.59 Max', ' 11117 Sum', ' 85521345 Ratio', '  96.73%)']","[' 2073     (Average', ' 1392.46 Max', ' 2550 Sum', ' 2886567 Ratio', '   3.27%)']", ,[' 300427  '],[' 13398   '],[' 277979  '],[' 113276  '],"[' 264442   (Atom=Atom', ' 75022 Body=Body', ' 50158 Other', ' 139262)']",[' Yes'],"[' 17831    (Eliminated', '    0 Frozen', ' 17831)']","[' 2343     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.62661'],[' 0'], ,[' 309.537'],[' 0'],[' 10.2143'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87189e+08'],[' 1.43226e+08'],[' 0'],[' 1.85922e+10'],[' 0'],[' 0'],[' 925 '],[' 1580 '],[' 2071 '],[' 2562 '],[' 3285 '],[' 3645 '],[' 4348 '],[' 4781 '],[' 5352 '],[' 5845 '],[' 10 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 6833+'],[' 3427'],"[' 610.561s (Solving', ' 573.56s 1st Model', ' 50.93s Unsat', ' 0.00s)']",[' 609.078s'], ,[' 100345454'],"[' 12951357 (Analyzed', ' 12667080)']","[' 27164    (Average', ' 466.32 Last', ' 109433)']",[' 7420.3  '],"[' 3427     (Average Length', ' 1706.71 Splits', ' 0)']","[' 12667080 (Deleted', ' 12492218)']","[' 420      (Ratio', '   0.00%)']","[' 14090    (Ratio', '   0.11%)']","[' 12667080 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12667080 (Average', '  6.55 Max', ' 9631 Sum', ' 82938341)']","[' 12664845 (Average', '  6.31 Max', ' 9631 Sum', ' 79981431 Ratio', '  96.43%)']","[' 2235     (Average', ' 1323.00 Max', ' 2448 Sum', ' 2956910 Ratio', '   3.57%)']", ,[' 298246  '],[' 13044   '],[' 275521  '],[' 111129  '],"[' 262153   (Atom=Atom', ' 74389 Body=Body', ' 49738 Other', ' 138026)']",[' Yes'],"[' 17675    (Eliminated', '    0 Frozen', ' 17675)']","[' 2442     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.33677'],[' 0'], ,[' 322.986'],[' 0'],[' 10.5644'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76934e+08'],[' 1.34565e+08'],[' 0'],[' 1.97721e+10'],[' 0'],[' 0'],[' 761 '],[' 1303 '],[' 1833 '],[' 2328 '],[' 3030 '],[' 3435 '],[' 4038 '],[' 4550 '],[' 5108 '],[' 5597 '],[' 10 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 7803+'],[' 3912'],"[' 611.782s (Solving', ' 572.49s 1st Model', ' 53.87s Unsat', ' 0.00s)']",[' 610.250s'], ,[' 116310404'],"[' 12072656 (Analyzed', ' 11730042)']","[' 26366    (Average', ' 444.89 Last', ' 25863)']",[' 6725.6  '],"[' 3912     (Average Length', ' 1856.86 Splits', ' 0)']","[' 11730042 (Deleted', ' 11560201)']","[' 494      (Ratio', '   0.00%)']","[' 19390    (Ratio', '   0.17%)']","[' 11730042 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11730042 (Average', '  8.54 Max', ' 9756 Sum', ' 100146693)']","[' 11727662 (Average', '  8.22 Max', ' 9756 Sum', ' 96438732 Ratio', '  96.30%)']","[' 2380     (Average', ' 1557.97 Max', ' 2845 Sum', ' 3707961 Ratio', '   3.70%)']", ,[' 298765  '],[' 13228   '],[' 276730  '],[' 111861  '],"[' 266195   (Atom=Atom', ' 75582 Body=Body', ' 50262 Other', ' 140351)']",[' Yes'],"[' 18088    (Eliminated', '    0 Frozen', ' 18088)']","[' 3242     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.80712'],[' 0'], ,[' 295.83'],[' 0'],[' 10.7549'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17195e+08'],[' 1.70908e+08'],[' 0'],[' 1.74028e+10'],[' 0'],[' 0'],[' 915 '],[' 1324 '],[' 1913 '],[' 2435 '],[' 2930 '],[' 3530 '],[' 4172 '],[' 4736 '],[' 5274 '],[' 5768 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 7039+'],[' 3530'],"[' 612.166s (Solving', ' 572.06s 1st Model', ' 46.17s Unsat', ' 0.00s)']",[' 608.406s'], ,[' 111352332'],"[' 12815606 (Analyzed', ' 12648822)']","[' 26955    (Average', ' 469.26 Last', ' 119417)']",[' 7287.4  '],"[' 3530     (Average Length', ' 1775.24 Splits', ' 0)']","[' 12648822 (Deleted', ' 12478652)']","[' 484      (Ratio', '   0.00%)']","[' 16046    (Ratio', '   0.13%)']","[' 12648822 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12648822 (Average', '  7.44 Max', ' 9660 Sum', ' 94100827)']","[' 12646510 (Average', '  7.21 Max', ' 9660 Sum', ' 91248531 Ratio', '  96.97%)']","[' 2312     (Average', ' 1233.69 Max', ' 2725 Sum', ' 2852296 Ratio', '   3.03%)']", ,[' 298454  '],[' 13040   '],[' 275807  '],[' 111342  '],"[' 262511   (Atom=Atom', ' 74524 Body=Body', ' 49724 Other', ' 138263)']",[' Yes'],"[' 17744    (Eliminated', '    0 Frozen', ' 17744)']","[' 2747     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.90445'],[' 0'], ,[' 301.745'],[' 0'],[' 11.0774'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9556e+08'],[' 1.50874e+08'],[' 0'],[' 1.76257e+10'],[' 0'],[' 0'],[' 809 '],[' 1331 '],[' 1884 '],[' 2395 '],[' 2952 '],[' 3400 '],[' 3938 '],[' 4466 '],[' 4999 '],[' 5537 '],[' 10 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 6093+'],[' 3057'],"[' 611.133s (Solving', ' 575.39s 1st Model', ' 42.58s Unsat', ' 0.00s)']",[' 609.266s'], ,[' 86863672'],"[' 13241352 (Analyzed', ' 13022241)']","[' 28607    (Average', ' 455.21 Last', ' 25635)']",[' 7371.7  '],"[' 3057     (Average Length', ' 1565.09 Splits', ' 0)']","[' 13022241 (Deleted', ' 12845294)']","[' 454      (Ratio', '   0.00%)']","[' 10671    (Ratio', '   0.08%)']","[' 13022241 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13022241 (Average', '  5.49 Max', ' 9802 Sum', ' 71556035)']","[' 13019835 (Average', '  5.25 Max', ' 9802 Sum', ' 68421339 Ratio', '  95.62%)']","[' 2406     (Average', ' 1302.87 Max', ' 2295 Sum', ' 3134696 Ratio', '   4.38%)']", ,[' 297402  '],[' 13004   '],[' 274454  '],[' 110420  '],"[' 261343   (Atom=Atom', ' 74138 Body=Body', ' 49815 Other', ' 137390)']",[' Yes'],"[' 17412    (Eliminated', '    0 Frozen', ' 17412)']","[' 1875     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.88992'],[' 0'], ,[' 331.587'],[' 0'],[' 9.98676'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50011e+08'],[' 1.10658e+08'],[' 0'],[' 1.87667e+10'],[' 0'],[' 0'],[' 746 '],[' 1267 '],[' 1849 '],[' 2457 '],[' 2928 '],[' 3505 '],[' 4022 '],[' 4632 '],[' 5175 '],[' 5644 '],[' 10 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 5973+'],[' 2997'],"[' 612.364s (Solving', ' 573.68s 1st Model', ' 46.71s Unsat', ' 0.00s)']",[' 608.297s'], ,[' 92215066'],"[' 11358327 (Analyzed', ' 11207752)']","[' 24490    (Average', ' 457.65 Last', ' 40516)']",[' 7419.0  '],"[' 2997     (Average Length', ' 1549.72 Splits', ' 0)']","[' 11207752 (Deleted', ' 11044313)']","[' 361      (Ratio', '   0.00%)']","[' 13243    (Ratio', '   0.12%)']","[' 11207752 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11207752 (Average', '  6.84 Max', ' 9838 Sum', ' 76616300)']","[' 11205622 (Average', '  6.60 Max', ' 9838 Sum', ' 74013078 Ratio', '  96.60%)']","[' 2130     (Average', ' 1222.17 Max', ' 2281 Sum', ' 2603222 Ratio', '   3.40%)']", ,[' 298773  '],[' 13225   '],[' 275805  '],[' 111651  '],"[' 262703   (Atom=Atom', ' 74456 Body=Body', ' 50113 Other', ' 138134)']",[' Yes'],"[' 17418    (Eliminated', '    0 Frozen', ' 17418)']","[' 2361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.37931'],[' 0'], ,[' 313.983'],[' 0'],[' 9.70072'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61742e+08'],[' 1.23721e+08'],[' 0'],[' 1.65326e+10'],[' 0'],[' 0'],[' 946 '],[' 1451 '],[' 1922 '],[' 2393 '],[' 2918 '],[' 3466 '],[' 4223 '],[' 4742 '],[' 5104 '],[' 5640 '],[' 10 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 7065+'],[' 3543'],"[' 613.677s (Solving', ' 568.25s 1st Model', ' 52.73s Unsat', ' 0.00s)']",[' 610.828s'], ,[' 96737239'],"[' 11729253 (Analyzed', ' 11544863)']","[' 24533    (Average', ' 470.59 Last', ' 77971)']",[' 7390.5  '],"[' 3543     (Average Length', ' 1761.97 Splits', ' 0)']","[' 11544863 (Deleted', ' 11383297)']","[' 504      (Ratio', '   0.00%)']","[' 13435    (Ratio', '   0.12%)']","[' 11544863 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11544863 (Average', '  6.86 Max', ' 9755 Sum', ' 79224860)']","[' 11542433 (Average', '  6.60 Max', ' 9755 Sum', ' 76147682 Ratio', '  96.12%)']","[' 2430     (Average', ' 1266.33 Max', ' 6973 Sum', ' 3077178 Ratio', '   3.88%)']", ,[' 300169  '],[' 13247   '],[' 277254  '],[' 112703  '],"[' 264904   (Atom=Atom', ' 75143 Body=Body', ' 50258 Other', ' 139503)']",[' Yes'],"[' 17867    (Eliminated', '    0 Frozen', ' 17867)']","[' 2373     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.72243'],[' 0'], ,[' 284.54'],[' 0'],[' 9.80744'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69038e+08'],[' 1.29118e+08'],[' 0'],[' 1.5651e+10'],[' 0'],[' 0'],[' 824 '],[' 1306 '],[' 1870 '],[' 2393 '],[' 2923 '],[' 3383 '],[' 3939 '],[' 4505 '],[' 5025 '],[' 5534 '],[' 10 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 6109+'],[' 3065'],"[' 610.623s (Solving', ' 576.45s 1st Model', ' 38.65s Unsat', ' 0.00s)']",[' 609.125s'], ,[' 96393810'],"[' 13158350 (Analyzed', ' 12972645)']","[' 28295    (Average', ' 458.48 Last', ' 20835)']",[' 7408.1  '],"[' 3065     (Average Length', ' 1550.96 Splits', ' 0)']","[' 12972645 (Deleted', ' 12794062)']","[' 445      (Ratio', '   0.00%)']","[' 12516    (Ratio', '   0.10%)']","[' 12972645 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12972645 (Average', '  6.19 Max', ' 10013 Sum', ' 80313585)']","[' 12970457 (Average', '  5.99 Max', ' 10013 Sum', ' 77738976 Ratio', '  96.79%)']","[' 2188     (Average', ' 1176.70 Max', ' 2252 Sum', ' 2574609 Ratio', '   3.21%)']", ,[' 298681  '],[' 13323   '],[' 275944  '],[' 111626  '],"[' 265011   (Atom=Atom', ' 75078 Body=Body', ' 50567 Other', ' 139366)']",[' Yes'],"[' 17621    (Eliminated', '    0 Frozen', ' 17621)']","[' 2345     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.56108'],[' 0'], ,[' 339.735'],[' 0'],[' 10.3254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65975e+08'],[' 1.2432e+08'],[' 0'],[' 2.00952e+10'],[' 0'],[' 0'],[' 789 '],[' 1284 '],[' 1887 '],[' 2526 '],[' 2968 '],[' 3517 '],[' 4170 '],[' 4675 '],[' 5059 '],[' 5587 '],[' 10 '],[' 0 ']
