Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 2935+'],[' 1477'],"[' 606.410s (Solving', ' 588.12s 1st Model', ' 17.94s Unsat', ' 0.00s)']",[' 602.484s'], ,[' 70783864'],"[' 13622103 (Analyzed', ' 13457634)']","[' 28769    (Average', ' 467.78 Last', ' 16891)']",[' 6049.0  '],"[' 1477     (Average Length', ' 864.98 Splits', ' 0)']","[' 13457634 (Deleted', ' 13287425)']","[' 14       (Ratio', '   0.00%)']","[' 9113     (Ratio', '   0.07%)']","[' 13457634 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13457634 (Average', '  4.77 Max', ' 7901 Sum', ' 64128350)']","[' 13455439 (Average', '  4.63 Max', ' 7901 Sum', ' 62326292 Ratio', '  97.19%)']","[' 2195     (Average', ' 820.98 Max', ' 1167 Sum', ' 1802058 Ratio', '   2.81%)']", ,[' 266684  '],[' 11061   '],[' 244691  '],[' 81950   '],"[' 214237   (Atom=Atom', ' 60217 Body=Body', ' 39141 Other', ' 114879)']",[' Yes'],"[' 14003    (Eliminated', '    0 Frozen', ' 14003)']","[' 1650     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.70293'],[' 0'], ,[' 403.495'],[' 0'],[' 10.4459'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24215e+08'],[' 8.40215e+07'],[' 0'],[' 2.25171e+10'],[' 0'],[' 0'],[' 1001 '],[' 1809 '],[' 2831 '],[' 3362 '],[' 3929 '],[' 4880 '],[' 5569 '],[' 5911 '],[' 6325 '],[' 9 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 3419+'],[' 1719'],"[' 606.136s (Solving', ' 587.15s 1st Model', ' 17.31s Unsat', ' 0.00s)']",[' 603.688s'], ,[' 63746311'],"[' 13454453 (Analyzed', ' 13292634)']","[' 28232    (Average', ' 470.84 Last', ' 103565)']",[' 6027.4  '],"[' 1719     (Average Length', ' 978.77 Splits', ' 0)']","[' 13292634 (Deleted', ' 13118426)']","[' 23       (Ratio', '   0.00%)']","[' 7835     (Ratio', '   0.06%)']","[' 13292634 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13292634 (Average', '  4.23 Max', ' 8021 Sum', ' 56248594)']","[' 13290541 (Average', '  4.09 Max', ' 8021 Sum', ' 54356439 Ratio', '  96.64%)']","[' 2093     (Average', ' 904.04 Max', ' 1366 Sum', ' 1892155 Ratio', '   3.36%)']", ,[' 268575  '],[' 10974   '],[' 245850  '],[' 83094   '],"[' 213375   (Atom=Atom', ' 60111 Body=Body', ' 38880 Other', ' 114384)']",[' Yes'],"[' 14147    (Eliminated', '    0 Frozen', ' 14147)']","[' 1483     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.79899'],[' 0'], ,[' 404.579'],[' 0'],[' 10.4961'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12473e+08'],[' 7.58338e+07'],[' 0'],[' 2.30762e+10'],[' 0'],[' 0'],[' 711 '],[' 1653 '],[' 2231 '],[' 3210 '],[' 3535 '],[' 4260 '],[' 4854 '],[' 5401 '],[' 6072 '],[' 9 '],[' 0 ']
Solving...,TA73, , , , ,[' 2879+'],[' 1449'],"[' 614.519s (Solving', ' 578.09s 1st Model', ' 28.58s Unsat', ' 0.00s)']",[' 606.656s'], ,[' 54377270'],"[' 12902782 (Analyzed', ' 12754780)']","[' 25943    (Average', ' 491.65 Last', ' 88082)']",[' 6447.4  '],"[' 1450     (Average Length', ' 859.56 Splits', ' 0)']","[' 12754780 (Deleted', ' 12602692)']","[' 4        (Ratio', '   0.00%)']","[' 6059     (Ratio', '   0.05%)']","[' 12754780 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12754780 (Average', '  3.69 Max', ' 8599 Sum', ' 47083033)']","[' 12752969 (Average', '  3.57 Max', ' 8599 Sum', ' 45593297 Ratio', '  96.84%)']","[' 1811     (Average', ' 822.60 Max', ' 1168 Sum', ' 1489736 Ratio', '   3.16%)']", ,[' 267498  '],[' 11038   '],[' 245197  '],[' 82303   '],"[' 213634   (Atom=Atom', ' 60096 Body=Body', ' 39072 Other', ' 114466)']",[' Yes'],"[' 13975    (Eliminated', '    0 Frozen', ' 13975)']","[' 1224     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.0452'],[' 0'], ,[' 341.756'],[' 0'],[' 9.41722'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72348e+07'],[' 6.10808e+07'],[' 0'],[' 1.49948e+10'],[' 0'],[' 0'],[' 1054 '],[' 1926 '],[' 2568 '],[' 3313 '],[' 3904 '],[' 4481 '],[' 5262 '],[' 5820 '],[' 6622 '],[' 9 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 2919+'],[' 1469'],"[' 612.580s (Solving', ' 574.91s 1st Model', ' 38.12s Unsat', ' 0.00s)']",[' 602.844s'], ,[' 37610582'],"[' 4905887  (Analyzed', ' 4690223)']","[' 11045    (Average', ' 424.65 Last', ' 37799)']",[' 5865.0  '],"[' 1469     (Average Length', ' 861.32 Splits', ' 0)']","[' 4690223  (Deleted', ' 4596936)']","[' 10       (Ratio', '   0.00%)']","[' 6042     (Ratio', '   0.13%)']","[' 4690223  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4690223  (Average', '  6.71 Max', ' 8750 Sum', ' 31462021)']","[' 4688404  (Average', '  6.37 Max', ' 8392 Sum', ' 29853452 Ratio', '  94.89%)']","[' 1819     (Average', ' 884.32 Max', ' 1208 Sum', ' 1608569 Ratio', '   5.11%)']", ,[' 268985  '],[' 10998   '],[' 246048  '],[' 83047   '],"[' 213106   (Atom=Atom', ' 59957 Body=Body', ' 38952 Other', ' 114197)']",[' Yes'],"[' 13962    (Eliminated', '    0 Frozen', ' 13962)']","[' 1046     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.7992'],[' 0'], ,[' 307.489'],[' 0'],[' 9.45732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.17654e+07'],[' 4.69239e+07'],[' 0'],[' 6.19762e+09'],[' 0'],[' 0'],[' 885 '],[' 1641 '],[' 2236 '],[' 2915 '],[' 3611 '],[' 4369 '],[' 4903 '],[' 5637 '],[' 6124 '],[' 9 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 2977+'],[' 1498'],"[' 606.474s (Solving', ' 587.77s 1st Model', ' 17.92s Unsat', ' 0.00s)']",[' 601.609s'], ,[' 57359322'],"[' 12045180 (Analyzed', ' 11815757)']","[' 25500    (Average', ' 463.36 Last', ' 65038)']",[' 6050.8  '],"[' 1498     (Average Length', ' 869.14 Splits', ' 0)']","[' 11815757 (Deleted', ' 11661090)']","[' 11       (Ratio', '   0.00%)']","[' 7618     (Ratio', '   0.06%)']","[' 11815757 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11815757 (Average', '  4.29 Max', ' 8272 Sum', ' 50680242)']","[' 11813617 (Average', '  4.14 Max', ' 8272 Sum', ' 48872999 Ratio', '  96.43%)']","[' 2140     (Average', ' 844.51 Max', ' 1201 Sum', ' 1807243 Ratio', '   3.57%)']", ,[' 269941  '],[' 11248   '],[' 247114  '],[' 83921   '],"[' 216779   (Atom=Atom', ' 60986 Body=Body', ' 39702 Other', ' 116091)']",[' Yes'],"[' 14232    (Eliminated', '    0 Frozen', ' 14232)']","[' 1293     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.56006'],[' 0'], ,[' 398.386'],[' 0'],[' 8.61539'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00457e+08'],[' 6.81946e+07'],[' 0'],[' 2.15761e+10'],[' 0'],[' 0'],[' 994 '],[' 1644 '],[' 2382 '],[' 3235 '],[' 4021 '],[' 4323 '],[' 5086 '],[' 5841 '],[' 6432 '],[' 9 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 3057+'],[' 1538'],"[' 604.854s (Solving', ' 589.84s 1st Model', ' 14.46s Unsat', ' 0.00s)']",[' 600.969s'], ,[' 76214085'],"[' 16601415 (Analyzed', ' 16448846)']","[' 33587    (Average', ' 489.74 Last', ' 22205)']",[' 5773.2  '],"[' 1538     (Average Length', ' 903.58 Splits', ' 0)']","[' 16448846 (Deleted', ' 16260234)']","[' 22       (Ratio', '   0.00%)']","[' 9009     (Ratio', '   0.05%)']","[' 16448846 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16448846 (Average', '  4.23 Max', ' 8552 Sum', ' 69613227)']","[' 16446800 (Average', '  4.13 Max', ' 8034 Sum', ' 67858147 Ratio', '  97.48%)']","[' 2046     (Average', ' 857.81 Max', ' 1330 Sum', ' 1755080 Ratio', '   2.52%)']", ,[' 269572  '],[' 11001   '],[' 246356  '],[' 83500   '],"[' 213184   (Atom=Atom', ' 60038 Body=Body', ' 38961 Other', ' 114185)']",[' Yes'],"[' 14001    (Eliminated', '    0 Frozen', ' 14001)']","[' 1766     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.96145'],[' 0'], ,[' 421.944'],[' 0'],[' 10.3564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34365e+08'],[' 8.85194e+07'],[' 0'],[' 2.80698e+10'],[' 0'],[' 0'],[' 1052 '],[' 1742 '],[' 2337 '],[' 2835 '],[' 3505 '],[' 4384 '],[' 4831 '],[' 5552 '],[' 6217 '],[' 9 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 3247+'],[' 1633'],"[' 605.013s (Solving', ' 589.54s 1st Model', ' 15.57s Unsat', ' 0.00s)']",[' 601.594s'], ,[' 72042193'],"[' 20236718 (Analyzed', ' 20032830)']","[' 41991    (Average', ' 477.07 Last', ' 21267)']",[' 5861.0  '],"[' 1633     (Average Length', ' 950.79 Splits', ' 0)']","[' 20032830 (Deleted', ' 19795672)']","[' 10       (Ratio', '   0.00%)']","[' 6653     (Ratio', '   0.03%)']","[' 20032830 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20032830 (Average', '  3.22 Max', ' 9479 Sum', ' 64579190)']","[' 20031100 (Average', '  3.15 Max', ' 8436 Sum', ' 63020725 Ratio', '  97.59%)']","[' 1730     (Average', ' 900.85 Max', ' 1406 Sum', ' 1558465 Ratio', '   2.41%)']", ,[' 268714  '],[' 10889   '],[' 245913  '],[' 82877   '],"[' 211823   (Atom=Atom', ' 59685 Body=Body', ' 38625 Other', ' 113513)']",[' Yes'],"[' 13990    (Eliminated', '    0 Frozen', ' 13990)']","[' 1144     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.07975'],[' 0'], ,[' 407.132'],[' 0'],[' 8.34799'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31439e+08'],[' 7.98565e+07'],[' 0'],[' 2.81946e+10'],[' 0'],[' 0'],[' 941 '],[' 1686 '],[' 2344 '],[' 3034 '],[' 3542 '],[' 4067 '],[' 4716 '],[' 5374 '],[' 6166 '],[' 9 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 2671+'],[' 1345'],"[' 548.864s (Solving', ' 535.46s 1st Model', ' 11.77s Unsat', ' 0.20s)']",[' 546.734s'], ,[' 67121345'],"[' 16472796 (Analyzed', ' 16294535)']","[' 32514    (Average', ' 501.15 Last', ' 161390)']",[' 5686.1  '],"[' 1345     (Average Length', ' 813.02 Splits', ' 0)']","[' 16294535 (Deleted', ' 16115117)']","[' 19       (Ratio', '   0.00%)']","[' 8566     (Ratio', '   0.05%)']","[' 16294535 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16294535 (Average', '  3.76 Max', ' 9070 Sum', ' 61295765)']","[' 16292468 (Average', '  3.66 Max', ' 8112 Sum', ' 59700786 Ratio', '  97.40%)']","[' 2067     (Average', ' 771.64 Max', ' 1147 Sum', ' 1594979 Ratio', '   2.60%)']", ,[' 267199  '],[' 10936   '],[' 244586  '],[' 82097   '],"[' 211677   (Atom=Atom', ' 59585 Body=Body', ' 38766 Other', ' 113326)']",[' Yes'],"[' 13781    (Eliminated', '    0 Frozen', ' 13781)']","[' 1596     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.57033'],[' 0'], ,[' 379.716'],[' 0'],[' 9.17881'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23718e+08'],[' 7.99923e+07'],[' 0'],[' 2.58974e+10'],[' 0'],[' 0'],[' 913 '],[' 1721 '],[' 2768 '],[' 3132 '],[' 3664 '],[' 4460 '],[' 4919 '],[' 5574 '],[' 6524 '],[' 8 '],[' 1 ']
Solving...,TA79, , , ,[' 1'],[' 2513+'],[' 1266'],"[' 597.348s (Solving', ' 584.54s 1st Model', ' 11.56s Unsat', ' 0.00s)']",[' 602.688s'], ,[' 75209553'],"[' 18382704 (Analyzed', ' 18265963)']","[' 36545    (Average', ' 499.82 Last', ' 71977)']",[' 5782.8  '],"[' 1266     (Average Length', ' 765.59 Splits', ' 0)']","[' 18265963 (Deleted', ' 18058207)']","[' 11       (Ratio', '   0.00%)']","[' 9117     (Ratio', '   0.05%)']","[' 18265963 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18265963 (Average', '  3.80 Max', ' 8321 Sum', ' 69461936)']","[' 18263921 (Average', '  3.72 Max', ' 8085 Sum', ' 67956907 Ratio', '  97.83%)']","[' 2042     (Average', ' 737.04 Max', ' 1075 Sum', ' 1505029 Ratio', '   2.17%)']", ,[' 268226  '],[' 10994   '],[' 245251  '],[' 82553   '],"[' 212413   (Atom=Atom', ' 59738 Body=Body', ' 38940 Other', ' 113735)']",[' Yes'],"[' 13765    (Eliminated', '    0 Frozen', ' 13765)']","[' 1811     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.50949'],[' 0'], ,[' 427.952'],[' 0'],[' 9.76594'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35821e+08'],[' 8.68355e+07'],[' 0'],[' 2.97331e+10'],[' 0'],[' 0'],[' 830 '],[' 1780 '],[' 2421 '],[' 2910 '],[' 3782 '],[' 4410 '],[' 4841 '],[' 5411 '],[' 6034 '],[' 9 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 3171+'],[' 1595'],"[' 602.677s (Solving', ' 587.18s 1st Model', ' 13.98s Unsat', ' 0.00s)']",[' 602.391s'], ,[' 86438845'],"[' 17113714 (Analyzed', ' 16970100)']","[' 35428    (Average', ' 479.00 Last', ' 94949)']",[' 5927.5  '],"[' 1595     (Average Length', ' 919.47 Splits', ' 0)']","[' 16970100 (Deleted', ' 16763952)']","[' 10       (Ratio', '   0.00%)']","[' 9615     (Ratio', '   0.06%)']","[' 16970100 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16970100 (Average', '  4.69 Max', ' 9131 Sum', ' 79548675)']","[' 16967930 (Average', '  4.57 Max', ' 8247 Sum', ' 77550147 Ratio', '  97.49%)']","[' 2170     (Average', ' 920.98 Max', ' 1389 Sum', ' 1998528 Ratio', '   2.51%)']", ,[' 270160  '],[' 11304   '],[' 247593  '],[' 83989   '],"[' 217914   (Atom=Atom', ' 61307 Body=Body', ' 39870 Other', ' 116737)']",[' Yes'],"[' 14360    (Eliminated', '    0 Frozen', ' 14360)']","[' 1866     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.06189'],[' 0'], ,[' 411.683'],[' 0'],[' 9.81753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49107e+08'],[' 9.98555e+07'],[' 0'],[' 2.76469e+10'],[' 0'],[' 0'],[' 1061 '],[' 1909 '],[' 2348 '],[' 2975 '],[' 3442 '],[' 4306 '],[' 4938 '],[' 5458 '],[' 6201 '],[' 9 '],[' 0 ']
