Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 4369'],[' 2190'],"[' 529.478s (Solving', ' 515.78s 1st Model', ' 41.83s Unsat', ' 3.28s)']",[' 526.328s'], ,[' 72059289'],"[' 16134582 (Analyzed', ' 15905299)']","[' 31461    (Average', ' 505.56 Last', ' 176174)']",[' 3467.9  '],"[' 2190     (Average Length', ' 1134.40 Splits', ' 0)']","[' 15905299 (Deleted', ' 15694481)']","[' 154      (Ratio', '   0.00%)']","[' 12376    (Ratio', '   0.08%)']","[' 15905299 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15905299 (Average', '  4.21 Max', ' 4643 Sum', ' 67024705)']","[' 15904546 (Average', '  4.17 Max', ' 4643 Sum', ' 66252681 Ratio', '  98.85%)']","[' 753      (Average', ' 1025.26 Max', ' 1473 Sum', ' 772024 Ratio', '   1.15%)']", ,[' 106260  '],[' 5436    '],[' 98662   '],[' 43655   '],"[' 113276   (Atom=Atom', ' 31566 Body=Body', ' 20306 Other', ' 61404)']",[' Yes'],"[' 7998     (Eliminated', '    0 Frozen', ' 7998)']","[' 2112     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05263'],[' 0'], ,[' 316.413'],[' 0'],[' 9.90519'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6391e+08'],[' 1.0782e+08'],[' 0'],[' 1.58865e+10'],[' 0'],[' 0'],[' 754 '],[' 1419 '],[' 2106 '],[' 2674 '],[' 3132 '],[' 4 '],[' 1 ']
Solving...,TA62, , ,[' 1'],[' 3985+'],[' 1998'],"[' 570.901s (Solving', ' 560.28s 1st Model', ' 81.12s Unsat', ' 83.32s)']",[' 565.984s'], ,[' 69769094'],"[' 15430845 (Analyzed', ' 15218499)']","[' 31689    (Average', ' 480.25 Last', ' 781438)']",[' 3497.6  '],"[' 1998     (Average Length', ' 1052.34 Splits', ' 0)']","[' 15218499 (Deleted', ' 15009087)']","[' 182      (Ratio', '   0.00%)']","[' 10108    (Ratio', '   0.07%)']","[' 15218499 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15218499 (Average', '  4.27 Max', ' 4070 Sum', ' 64912788)']","[' 15217781 (Average', '  4.22 Max', ' 4070 Sum', ' 64204401 Ratio', '  98.91%)']","[' 718      (Average', ' 986.61 Max', ' 1454 Sum', ' 708387 Ratio', '   1.09%)']", ,[' 105991  '],[' 5464    '],[' 98275   '],[' 43446   '],"[' 113163   (Atom=Atom', ' 31514 Body=Body', ' 20384 Other', ' 61265)']",[' Yes'],"[' 7840     (Eliminated', '    0 Frozen', ' 7840)']","[' 1709     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38254'],[' 0'], ,[' 372.36'],[' 0'],[' 10.9154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7531e+08'],[' 1.17565e+08'],[' 0'],[' 1.8488e+10'],[' 0'],[' 0'],[' 831 '],[' 1515 '],[' 2131 '],[' 2745 '],[' 3254 '],[' 4 '],[' 1 ']
Solving...,TA63, , , ,[' 4201'],[' 2106'],"[' 524.984s (Solving', ' 513.94s 1st Model', ' 38.62s Unsat', ' 21.73s)']",[' 524.281s'], ,[' 99585576'],"[' 15292409 (Analyzed', ' 15090212)']","[' 29938    (Average', ' 504.05 Last', ' 75251)']",[' 3272.9  '],"[' 2106     (Average Length', ' 1094.72 Splits', ' 0)']","[' 15090212 (Deleted', ' 14907531)']","[' 205      (Ratio', '   0.00%)']","[' 14498    (Ratio', '   0.10%)']","[' 15090212 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15090212 (Average', '  6.29 Max', ' 3542 Sum', ' 94932603)']","[' 15089554 (Average', '  6.25 Max', ' 3542 Sum', ' 94280710 Ratio', '  99.31%)']","[' 658      (Average', ' 990.72 Max', ' 1501 Sum', ' 651893 Ratio', '   0.69%)']", ,[' 105885  '],[' 5433    '],[' 98276   '],[' 43402   '],"[' 112981   (Atom=Atom', ' 31473 Body=Body', ' 20283 Other', ' 61225)']",[' Yes'],"[' 7889     (Eliminated', '    0 Frozen', ' 7889)']","[' 2490     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45369'],[' 0'], ,[' 299.863'],[' 0'],[' 10.671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.79935e+08'],[' 1.93322e+08'],[' 0'],[' 1.52265e+10'],[' 0'],[' 0'],[' 779 '],[' 1329 '],[' 1881 '],[' 2463 '],[' 2959 '],[' 4 '],[' 1 ']
Solving...,TA64, , ,[' 1'],[' 3845+'],[' 1928'],"[' 602.638s (Solving', ' 590.14s 1st Model', ' 15.26s Unsat', ' 0.00s)']",[' 594.891s'], ,[' 87883277'],"[' 18347139 (Analyzed', ' 18069995)']","[' 36035    (Average', ' 501.46 Last', ' 39074)']",[' 3536.2  '],"[' 1928     (Average Length', ' 1009.75 Splits', ' 0)']","[' 18069995 (Deleted', ' 17831433)']","[' 165      (Ratio', '   0.00%)']","[' 12036    (Ratio', '   0.07%)']","[' 18069995 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18069995 (Average', '  4.58 Max', ' 4395 Sum', ' 82752820)']","[' 18069361 (Average', '  4.55 Max', ' 4395 Sum', ' 82183156 Ratio', '  99.31%)']","[' 634      (Average', ' 898.52 Max', ' 1269 Sum', ' 569664 Ratio', '   0.69%)']", ,[' 105687  '],[' 5460    '],[' 98080   '],[' 43214   '],"[' 112869   (Atom=Atom', ' 31390 Body=Body', ' 20390 Other', ' 61089)']",[' Yes'],"[' 7751     (Eliminated', '    0 Frozen', ' 7751)']","[' 2021     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.83179'],[' 0'], ,[' 382.245'],[' 0'],[' 11.5025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04911e+08'],[' 1.36482e+08'],[' 0'],[' 2.16137e+10'],[' 0'],[' 0'],[' 1092 '],[' 1576 '],[' 2084 '],[' 2688 '],[' 3122 '],[' 5 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 3819+'],[' 1915'],"[' 495.655s (Solving', ' 486.52s 1st Model', ' 22.26s Unsat', ' 5.37s)']",[' 493.188s'], ,[' 69862563'],"[' 14920652 (Analyzed', ' 14807379)']","[' 29684    (Average', ' 498.83 Last', ' 126944)']",[' 3270.8  '],"[' 1915     (Average Length', ' 1020.79 Splits', ' 0)']","[' 14807379 (Deleted', ' 14606195)']","[' 148      (Ratio', '   0.00%)']","[' 11358    (Ratio', '   0.08%)']","[' 14807379 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14807379 (Average', '  4.44 Max', ' 3560 Sum', ' 65777450)']","[' 14806617 (Average', '  4.39 Max', ' 3560 Sum', ' 65035083 Ratio', '  98.87%)']","[' 762      (Average', ' 974.23 Max', ' 1408 Sum', ' 742367 Ratio', '   1.13%)']", ,[' 105628  '],[' 5482    '],[' 97913   '],[' 43166   '],"[' 113134   (Atom=Atom', ' 31473 Body=Body', ' 20457 Other', ' 61204)']",[' Yes'],"[' 7793     (Eliminated', '    0 Frozen', ' 7793)']","[' 2058     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.97639'],[' 0'], ,[' 331.866'],[' 0'],[' 10.2616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67204e+08'],[' 1.11885e+08'],[' 0'],[' 1.99978e+10'],[' 0'],[' 0'],[' 750 '],[' 1333 '],[' 1890 '],[' 2560 '],[' 3089 '],[' 4 '],[' 1 ']
Solving...,TA66, , ,[' 1'],[' 4403+'],[' 2207'],"[' 503.390s (Solving', ' 493.22s 1st Model', ' 15.86s Unsat', ' 16.06s)']",[' 502.891s'], ,[' 61599599'],"[' 15304368 (Analyzed', ' 15068993)']","[' 29790    (Average', ' 505.84 Last', ' 130848)']",[' 3633.9  '],"[' 2207     (Average Length', ' 1134.77 Splits', ' 0)']","[' 15068993 (Deleted', ' 14886426)']","[' 119      (Ratio', '   0.00%)']","[' 9051     (Ratio', '   0.06%)']","[' 15068993 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15068993 (Average', '  3.73 Max', ' 4558 Sum', ' 56199755)']","[' 15068295 (Average', '  3.68 Max', ' 4558 Sum', ' 55486044 Ratio', '  98.73%)']","[' 698      (Average', ' 1022.51 Max', ' 1534 Sum', ' 713711 Ratio', '   1.27%)']", ,[' 105873  '],[' 5444    '],[' 98513   '],[' 43515   '],"[' 113315   (Atom=Atom', ' 31583 Body=Body', ' 20297 Other', ' 61435)']",[' Yes'],"[' 7968     (Eliminated', '    0 Frozen', ' 7968)']","[' 1263     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25926'],[' 0'], ,[' 347.987'],[' 0'],[' 10.0897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26003e+08'],[' 8.13583e+07'],[' 0'],[' 2.26806e+10'],[' 0'],[' 0'],[' 812 '],[' 1423 '],[' 1988 '],[' 2617 '],[' 3146 '],[' 4 '],[' 1 ']
Solving...,TA67, , , ,[' 4155'],[' 2083'],"[' 421.814s (Solving', ' 411.98s 1st Model', ' 22.03s Unsat', ' 29.47s)']",[' 420.875s'], ,[' 80260728'],"[' 15957981 (Analyzed', ' 15706366)']","[' 30867    (Average', ' 508.84 Last', ' 124599)']",[' 3486.4  '],"[' 2083     (Average Length', ' 1086.59 Splits', ' 0)']","[' 15706366 (Deleted', ' 15504081)']","[' 160      (Ratio', '   0.00%)']","[' 10977    (Ratio', '   0.07%)']","[' 15706366 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15706366 (Average', '  4.79 Max', ' 3737 Sum', ' 75234874)']","[' 15705646 (Average', '  4.74 Max', ' 3737 Sum', ' 74501045 Ratio', '  99.02%)']","[' 720      (Average', ' 1019.21 Max', ' 1457 Sum', ' 733829 Ratio', '   0.98%)']", ,[' 106147  '],[' 5495    '],[' 98631   '],[' 43570   '],"[' 113724   (Atom=Atom', ' 31669 Body=Body', ' 20460 Other', ' 61595)']",[' Yes'],"[' 7957     (Eliminated', '    0 Frozen', ' 7957)']","[' 1758     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.19516'],[' 0'], ,[' 249.515'],[' 0'],[' 8.27691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.06197e+08'],[' 1.39857e+08'],[' 0'],[' 1.49894e+10'],[' 0'],[' 0'],[' 876 '],[' 1458 '],[' 2111 '],[' 2666 '],[' 3165 '],[' 3 '],[' 2 ']
Solving...,TA68, , ,[' 1'],[' 3877+'],[' 1944'],"[' 314.793s (Solving', ' 305.82s 1st Model', ' 56.53s Unsat', ' 11.28s)']",[' 314.063s'], ,[' 71942201'],"[' 10486869 (Analyzed', ' 10220222)']","[' 21287    (Average', ' 480.12 Last', ' 190638)']",[' 3477.7  '],"[' 1944     (Average Length', ' 1018.37 Splits', ' 0)']","[' 10220222 (Deleted', ' 10051503)']","[' 120      (Ratio', '   0.00%)']","[' 11200    (Ratio', '   0.11%)']","[' 10220222 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10220222 (Average', '  6.57 Max', ' 4526 Sum', ' 67188008)']","[' 10219572 (Average', '  6.51 Max', ' 4526 Sum', ' 66562976 Ratio', '  99.07%)']","[' 650      (Average', ' 961.59 Max', ' 1350 Sum', ' 625032 Ratio', '   0.93%)']", ,[' 105542  '],[' 5415    '],[' 97737   '],[' 43066   '],"[' 112175   (Atom=Atom', ' 31248 Body=Body', ' 20212 Other', ' 60715)']",[' Yes'],"[' 7733     (Eliminated', '    0 Frozen', ' 7733)']","[' 1439     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.97909'],[' 0'], ,[' 181.903'],[' 0'],[' 7.26739'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62223e+08'],[' 1.1407e+08'],[' 0'],[' 1.04947e+10'],[' 0'],[' 0'],[' 781 '],[' 1328 '],[' 1886 '],[' 2444 '],[' 2989 '],[' 2 '],[' 3 ']
Solving...,TA69, , ,[' 1'],[' 4039+'],[' 2025'],"[' 500.865s (Solving', ' 491.39s 1st Model', ' 18.54s Unsat', ' 4.73s)']",[' 499.953s'], ,[' 96803557'],"[' 16008370 (Analyzed', ' 15834733)']","[' 29150    (Average', ' 543.22 Last', ' 90195)']",[' 3381.4  '],"[' 2025     (Average Length', ' 1056.45 Splits', ' 0)']","[' 15834733 (Deleted', ' 15671144)']","[' 213      (Ratio', '   0.00%)']","[' 13656    (Ratio', '   0.09%)']","[' 15834733 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15834733 (Average', '  5.81 Max', ' 4038 Sum', ' 92035026)']","[' 15834084 (Average', '  5.77 Max', ' 3517 Sum', ' 91411951 Ratio', '  99.32%)']","[' 649      (Average', ' 960.05 Max', ' 1645 Sum', ' 623075 Ratio', '   0.68%)']", ,[' 105907  '],[' 5506    '],[' 98457   '],[' 43446   '],"[' 113639   (Atom=Atom', ' 31622 Body=Body', ' 20475 Other', ' 61542)']",[' Yes'],"[' 7909     (Eliminated', '    0 Frozen', ' 7909)']","[' 2204     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06552'],[' 0'], ,[' 322.209'],[' 0'],[' 11.1468'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29839e+08'],[' 1.61024e+08'],[' 0'],[' 2.03911e+10'],[' 0'],[' 0'],[' 978 '],[' 1549 '],[' 2147 '],[' 2811 '],[' 3307 '],[' 4 '],[' 1 ']
Solving...,TA70, , , ,[' 3935'],[' 1973'],"[' 558.366s (Solving', ' 549.45s 1st Model', ' 12.65s Unsat', ' 63.12s)']",[' 557.516s'], ,[' 87815560'],"[' 18584649 (Analyzed', ' 18331150)']","[' 34896    (Average', ' 525.31 Last', ' 13585)']",[' 3317.6  '],"[' 1973     (Average Length', ' 1059.17 Splits', ' 0)']","[' 18331150 (Deleted', ' 18094818)']","[' 208      (Ratio', '   0.00%)']","[' 9993     (Ratio', '   0.05%)']","[' 18331150 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18331150 (Average', '  4.55 Max', ' 4895 Sum', ' 83388850)']","[' 18330399 (Average', '  4.51 Max', ' 4895 Sum', ' 82591666 Ratio', '  99.04%)']","[' 751      (Average', ' 1061.50 Max', ' 1465 Sum', ' 797184 Ratio', '   0.96%)']", ,[' 105800  '],[' 5489    '],[' 98223   '],[' 43520   '],"[' 113282   (Atom=Atom', ' 31513 Body=Body', ' 20424 Other', ' 61345)']",[' Yes'],"[' 7856     (Eliminated', '    0 Frozen', ' 7856)']","[' 1792     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95115'],[' 0'], ,[' 363.195'],[' 0'],[' 11.1898'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.38046e+08'],[' 1.62739e+08'],[' 0'],[' 2.25333e+10'],[' 0'],[' 0'],[' 880 '],[' 1529 '],[' 2346 '],[' 2969 '],[' 3489 '],[' 4 '],[' 1 ']
