Optimal Found Or Timeout,Instances,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1516,Completion Time for Window 2 is 2712,Completion Time for Window 3 is 3749,Completion Time for Window 4 is 5520,Completion Time for Window 5 is 6533,Completion Time for Window 6 is 7736
,TA71,"[' 3512174  (Analyzed', ' 2667236)']","[' 6645     (Average', ' 401.39 Last', ' 1093)']",[' 9049.7  '],"[' 2806     (Average Length', ' 1317.27 Splits', ' 0)']","[' 2667236  (Deleted', ' 2603084)']","[' 34       (Ratio', '   0.00%)']","[' 16893    (Ratio', '   0.63%)']","[' 2667236  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2667236  (Average', ' 41.94 Max', ' 11742 Sum', ' 111856953)']","[' 2664159  (Average', ' 40.60 Max', ' 11742 Sum', ' 108296822 Ratio', '  96.82%)']","[' 3077     (Average', ' 1157.01 Max', ' 1967 Sum', ' 3560131 Ratio', '   3.18%)']", ,[' 386522  '],[' 18721   '],[' 387095  '],[' 225833  '],"[' 677495   (Atom=Atom', ' 209110 Body=Body', ' 119621 Other', ' 348764)']",[' Yes'],"[' 21294    (Eliminated', '    0 Frozen', ' 21294)']","[' 3435     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.038'],[' 0'], ,[' 373.744'],[' 0'],[' 10.9965'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.94925e+08'],[' 4.68902e+08'],[' 0'],[' 3.93613e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA72,"[' 4877271  (Analyzed', ' 3761559)']","[' 9124     (Average', ' 412.27 Last', ' 7584)']",[' 8976.9  '],"[' 2673     (Average Length', ' 1259.85 Splits', ' 0)']","[' 3761559  (Deleted', ' 3690725)']","[' 27       (Ratio', '   0.00%)']","[' 16514    (Ratio', '   0.44%)']","[' 3761559  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3761559  (Average', ' 28.52 Max', ' 12264 Sum', ' 107292980)']","[' 3759273  (Average', ' 27.79 Max', ' 12264 Sum', ' 104518085 Ratio', '  97.41%)']","[' 2286     (Average', ' 1213.86 Max', ' 1995 Sum', ' 2774895 Ratio', '   2.59%)']", ,[' 384070  '],[' 18447   '],[' 384553  '],[' 227086  '],"[' 681254   (Atom=Atom', ' 210637 Body=Body', ' 119347 Other', ' 351270)']",[' Yes'],"[' 20930    (Eliminated', '    0 Frozen', ' 20930)']","[' 3130     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.70061'],[' 0'], ,[' 361.183'],[' 0'],[' 9.84409'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.60546e+08'],[' 4.3193e+08'],[' 0'],[' 4.05708e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA73,"[' 4340645  (Analyzed', ' 3374166)']","[' 8545     (Average', ' 394.87 Last', ' 5810)']",[' 9348.2  '],"[' 2884     (Average Length', ' 1339.63 Splits', ' 0)']","[' 3374166  (Deleted', ' 3308636)']","[' 25       (Ratio', '   0.00%)']","[' 13809    (Ratio', '   0.41%)']","[' 3374166  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3374166  (Average', ' 34.70 Max', ' 12396 Sum', ' 117075136)']","[' 3371532  (Average', ' 33.74 Max', ' 12396 Sum', ' 113858773 Ratio', '  97.25%)']","[' 2634     (Average', ' 1221.09 Max', ' 2067 Sum', ' 3216363 Ratio', '   2.75%)']", ,[' 385560  '],[' 18600   '],[' 386181  '],[' 226708  '],"[' 680120   (Atom=Atom', ' 210106 Body=Body', ' 119500 Other', ' 350514)']",[' Yes'],"[' 21221    (Eliminated', '    0 Frozen', ' 21221)']","[' 2432     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.29'],[' 0'], ,[' 372.818'],[' 0'],[' 10.938'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97822e+08'],[' 4.70176e+08'],[' 0'],[' 3.87925e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA74,"[' 2969563  (Analyzed', ' 2354187)']","[' 6626     (Average', ' 355.30 Last', ' 18224)']",[' 8132.0  '],"[' 3190     (Average Length', ' 1459.86 Splits', ' 0)']","[' 2354187  (Deleted', ' 2276761)']","[' 51       (Ratio', '   0.00%)']","[' 23793    (Ratio', '   1.01%)']","[' 2354187  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2354187  (Average', ' 51.07 Max', ' 10912 Sum', ' 120225233)']","[' 2351274  (Average', ' 49.38 Max', ' 10912 Sum', ' 116242655 Ratio', '  96.69%)']","[' 2913     (Average', ' 1367.17 Max', ' 2204 Sum', ' 3982578 Ratio', '   3.31%)']", ,[' 381830  '],[' 18331   '],[' 382689  '],[' 222221  '],"[' 666659   (Atom=Atom', ' 205888 Body=Body', ' 119231 Other', ' 341540)']",[' Yes'],"[' 21190    (Eliminated', '    0 Frozen', ' 21190)']","[' 3949     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0768'],[' 0'], ,[' 377.669'],[' 0'],[' 11.0182'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.4677e+08'],[' 5.13448e+08'],[' 0'],[' 3.83716e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA75,"[' 4205495  (Analyzed', ' 3365790)']","[' 8317     (Average', ' 404.69 Last', ' 31889)']",[' 8981.4  '],"[' 2876     (Average Length', ' 1345.61 Splits', ' 0)']","[' 3365790  (Deleted', ' 3297639)']","[' 29       (Ratio', '   0.00%)']","[' 15486    (Ratio', '   0.46%)']","[' 3365790  (Average Length', '   21.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3365790  (Average', ' 34.21 Max', ' 12295 Sum', ' 115149508)']","[' 3362994  (Average', ' 33.16 Max', ' 12295 Sum', ' 111614420 Ratio', '  96.93%)']","[' 2796     (Average', ' 1264.34 Max', ' 2061 Sum', ' 3535088 Ratio', '   3.07%)']", ,[' 387052  '],[' 18815   '],[' 387697  '],[' 228163  '],"[' 684485   (Atom=Atom', ' 211346 Body=Body', ' 119715 Other', ' 353424)']",[' Yes'],"[' 21460    (Eliminated', '    0 Frozen', ' 21460)']","[' 2608     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5872'],[' 0'], ,[' 367.43'],[' 0'],[' 10.2553'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.14862e+08'],[' 4.87463e+08'],[' 0'],[' 4.03197e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA76,"[' 3982324  (Analyzed', ' 3243409)']","[' 7859     (Average', ' 412.70 Last', ' 44343)']",[' 8509.9  '],"[' 2819     (Average Length', ' 1309.66 Splits', ' 0)']","[' 3243409  (Deleted', ' 3167958)']","[' 24       (Ratio', '   0.00%)']","[' 13856    (Ratio', '   0.43%)']","[' 3243409  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3243409  (Average', ' 30.15 Max', ' 11997 Sum', ' 97794649)']","[' 3240851  (Average', ' 29.27 Max', ' 11997 Sum', ' 94944256 Ratio', '  97.09%)']","[' 2558     (Average', ' 1114.31 Max', ' 2114 Sum', ' 2850393 Ratio', '   2.91%)']", ,[' 383422  '],[' 18519   '],[' 383996  '],[' 223990  '],"[' 671966   (Atom=Atom', ' 207469 Body=Body', ' 119419 Other', ' 345078)']",[' Yes'],"[' 21093    (Eliminated', '    0 Frozen', ' 21093)']","[' 2839     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.8183'],[' 0'], ,[' 375.161'],[' 0'],[' 8.98178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.31006e+08'],[' 4.05338e+08'],[' 0'],[' 4.23834e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA77,"[' 4477529  (Analyzed', ' 3260890)']","[' 8247     (Average', ' 395.40 Last', ' 15388)']",[' 8271.0  '],"[' 2796     (Average Length', ' 1287.30 Splits', ' 0)']","[' 3260890  (Deleted', ' 3190738)']","[' 22       (Ratio', '   0.00%)']","[' 15688    (Ratio', '   0.48%)']","[' 3260890  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3260890  (Average', ' 33.56 Max', ' 11837 Sum', ' 109444523)']","[' 3258159  (Average', ' 32.45 Max', ' 11837 Sum', ' 105807006 Ratio', '  96.68%)']","[' 2731     (Average', ' 1331.94 Max', ' 2123 Sum', ' 3637517 Ratio', '   3.32%)']", ,[' 382232  '],[' 18440   '],[' 382736  '],[' 224384  '],"[' 673148   (Atom=Atom', ' 207942 Body=Body', ' 119340 Other', ' 345866)']",[' Yes'],"[' 20944    (Eliminated', '    0 Frozen', ' 20944)']","[' 3053     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.4174'],[' 0'], ,[' 363.11'],[' 0'],[' 9.67957'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.55595e+08'],[' 4.28598e+08'],[' 0'],[' 4.02848e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA78,"[' 5264696  (Analyzed', ' 4268105)']","[' 9989     (Average', ' 427.28 Last', ' 2823)']",[' 8682.0  '],"[' 2728     (Average Length', ' 1272.51 Splits', ' 0)']","[' 4268105  (Deleted', ' 4184629)']","[' 25       (Ratio', '   0.00%)']","[' 11034    (Ratio', '   0.26%)']","[' 4268105  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4268105  (Average', ' 22.51 Max', ' 11869 Sum', ' 96075113)']","[' 4264800  (Average', ' 21.55 Max', ' 11869 Sum', ' 91976065 Ratio', '  95.73%)']","[' 3305     (Average', ' 1240.26 Max', ' 1984 Sum', ' 4099048 Ratio', '   4.27%)']", ,[' 382566  '],[' 18577   '],[' 383072  '],[' 223751  '],"[' 671249   (Atom=Atom', ' 207172 Body=Body', ' 119477 Other', ' 344600)']",[' Yes'],"[' 21083    (Eliminated', '    0 Frozen', ' 21083)']","[' 2099     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.51492'],[' 0'], ,[' 362.461'],[' 0'],[' 8.98405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.18016e+08'],[' 3.92661e+08'],[' 0'],[' 4.10096e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA79,"[' 3066560  (Analyzed', ' 2649911)']","[' 6851     (Average', ' 386.79 Last', ' 8157)']",[' 7725.7  '],"[' 2787     (Average Length', ' 1294.01 Splits', ' 0)']","[' 2649911  (Deleted', ' 2573927)']","[' 35       (Ratio', '   0.00%)']","[' 23244    (Ratio', '   0.88%)']","[' 2649911  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2649911  (Average', ' 40.62 Max', ' 11033 Sum', ' 107636644)']","[' 2647129  (Average', ' 39.20 Max', ' 11033 Sum', ' 103864365 Ratio', '  96.50%)']","[' 2782     (Average', ' 1355.96 Max', ' 2134 Sum', ' 3772279 Ratio', '   3.50%)']", ,[' 383447  '],[' 18536   '],[' 383975  '],[' 224073  '],"[' 672215   (Atom=Atom', ' 207535 Body=Body', ' 119436 Other', ' 345244)']",[' Yes'],"[' 21064    (Eliminated', '    0 Frozen', ' 21064)']","[' 4628     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.26687'],[' 0'], ,[' 348.43'],[' 0'],[' 9.15507'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7443e+08'],[' 4.41953e+08'],[' 0'],[' 3.99442e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
,TA80,"[' 3548759  (Analyzed', ' 2864459)']","[' 7328     (Average', ' 390.89 Last', ' 8998)']",[' 8464.3  '],"[' 2693     (Average Length', ' 1256.02 Splits', ' 0)']","[' 2864459  (Deleted', ' 2792136)']","[' 43       (Ratio', '   0.00%)']","[' 20998    (Ratio', '   0.73%)']","[' 2864459  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2864459  (Average', ' 42.09 Max', ' 11620 Sum', ' 120575138)']","[' 2861568  (Average', ' 40.96 Max', ' 11620 Sum', ' 117324600 Ratio', '  97.30%)']","[' 2891     (Average', ' 1124.36 Max', ' 1992 Sum', ' 3250538 Ratio', '   2.70%)']", ,[' 385002  '],[' 18876   '],[' 385445  '],[' 226247  '],"[' 678737   (Atom=Atom', ' 209369 Body=Body', ' 119776 Other', ' 349592)']",[' Yes'],"[' 21319    (Eliminated', '    0 Frozen', ' 21319)']","[' 4003     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.60585'],[' 0'], ,[' 367.99'],[' 0'],[' 10.0215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97739e+08'],[' 4.68477e+08'],[' 0'],[' 4.08957e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' '],[' ']
