Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 2759+'],[' 1389'],"[' 1008.505s (Solving', ' 993.51s 1st Model', ' 14.36s Unsat', ' 0.00s)']",[' 1002.078s'], ,[' 113996033'],"[' 26458436 (Analyzed', ' 26300160)']","[' 50682    (Average', ' 518.93 Last', ' 96023)']",[' 5133.0  '],"[' 1389     (Average Length', ' 821.04 Splits', ' 0)']","[' 26300160 (Deleted', ' 26040869)']","[' 19       (Ratio', '   0.00%)']","[' 12139    (Ratio', '   0.05%)']","[' 26300160 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26300160 (Average', '  4.13 Max', ' 7837 Sum', ' 108490366)']","[' 26298042 (Average', '  4.06 Max', ' 7837 Sum', ' 106670483 Ratio', '  98.32%)']","[' 2118     (Average', ' 859.25 Max', ' 1217 Sum', ' 1819883 Ratio', '   1.68%)']", ,[' 266517  '],[' 11154   '],[' 244995  '],[' 81735   '],"[' 215319   (Atom=Atom', ' 60501 Body=Body', ' 39420 Other', ' 115398)']",[' Yes'],"[' 14019    (Eliminated', '    0 Frozen', ' 14019)']","[' 2332     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.88429'],[' 0'], ,[' 736.178'],[' 0'],[' 14.9929'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.08537e+08'],[' 1.33579e+08'],[' 0'],[' 4.35057e+10'],[' 0'],[' 0'],[' 1077 '],[' 2152 '],[' 2840 '],[' 3931 '],[' 4024 '],[' 4665 '],[' 5412 '],[' 5918 '],[' 6391 '],[' 9 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 2989+'],[' 1504'],"[' 1004.887s (Solving', ' 990.56s 1st Model', ' 12.33s Unsat', ' 0.00s)']",[' 1002.656s'], ,[' 89944681'],"[' 28465200 (Analyzed', ' 28330512)']","[' 54760    (Average', ' 517.36 Last', ' 102568)']",[' 5374.2  '],"[' 1504     (Average Length', ' 867.70 Splits', ' 0)']","[' 28330512 (Deleted', ' 28020573)']","[' 20       (Ratio', '   0.00%)']","[' 7413     (Ratio', '   0.03%)']","[' 28330512 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28330512 (Average', '  2.96 Max', ' 7974 Sum', ' 83885730)']","[' 28328409 (Average', '  2.89 Max', ' 7974 Sum', ' 81956619 Ratio', '  97.70%)']","[' 2103     (Average', ' 917.31 Max', ' 1323 Sum', ' 1929111 Ratio', '   2.30%)']", ,[' 267059  '],[' 10914   '],[' 244677  '],[' 82024   '],"[' 211808   (Atom=Atom', ' 59656 Body=Body', ' 38700 Other', ' 113452)']",[' Yes'],"[' 13874    (Eliminated', '    0 Frozen', ' 13874)']","[' 1407     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.78189'],[' 0'], ,[' 755.032'],[' 0'],[' 16.3572'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.729e+08'],[' 1.0152e+08'],[' 0'],[' 4.86837e+10'],[' 0'],[' 0'],[' 964 '],[' 2053 '],[' 2718 '],[' 3104 '],[' 3644 '],[' 4361 '],[' 4964 '],[' 5609 '],[' 5944 '],[' 9 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 2597+'],[' 1308'],"[' 1004.323s (Solving', ' 992.34s 1st Model', ' 10.63s Unsat', ' 0.00s)']",[' 1001.938s'], ,[' 108077620'],"[' 29231315 (Analyzed', ' 29042328)']","[' 55681    (Average', ' 521.58 Last', ' 40572)']",[' 5100.6  '],"[' 1308     (Average Length', ' 784.74 Splits', ' 0)']","[' 29042328 (Deleted', ' 28742719)']","[' 16       (Ratio', '   0.00%)']","[' 8754     (Ratio', '   0.03%)']","[' 29042328 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29042328 (Average', '  3.54 Max', ' 8956 Sum', ' 102910189)']","[' 29040291 (Average', '  3.48 Max', ' 8195 Sum', ' 101120668 Ratio', '  98.26%)']","[' 2037     (Average', ' 878.51 Max', ' 1246 Sum', ' 1789521 Ratio', '   1.74%)']", ,[' 265584  '],[' 11015   '],[' 243799  '],[' 81274   '],"[' 212689   (Atom=Atom', ' 59864 Body=Body', ' 39003 Other', ' 113822)']",[' Yes'],"[' 13794    (Eliminated', '    0 Frozen', ' 13794)']","[' 1753     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.31362'],[' 0'], ,[' 748.081'],[' 0'],[' 16.0455'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98299e+08'],[' 1.21418e+08'],[' 0'],[' 4.82836e+10'],[' 0'],[' 0'],[' 1342 '],[' 1958 '],[' 2946 '],[' 3224 '],[' 4133 '],[' 4543 '],[' 5350 '],[' 6055 '],[' 6345 '],[' 9 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 2921+'],[' 1470'],"[' 1004.721s (Solving', ' 991.46s 1st Model', ' 11.47s Unsat', ' 0.00s)']",[' 1001.406s'], ,[' 96242388'],"[' 27641050 (Analyzed', ' 27459702)']","[' 54084    (Average', ' 507.72 Last', ' 60238)']",[' 5067.7  '],"[' 1470     (Average Length', ' 854.62 Splits', ' 0)']","[' 27459702 (Deleted', ' 27164617)']","[' 16       (Ratio', '   0.00%)']","[' 9368     (Ratio', '   0.03%)']","[' 27459702 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27459702 (Average', '  3.30 Max', ' 8101 Sum', ' 90677430)']","[' 27457739 (Average', '  3.23 Max', ' 8101 Sum', ' 88753346 Ratio', '  97.88%)']","[' 1963     (Average', ' 980.18 Max', ' 1385 Sum', ' 1924084 Ratio', '   2.12%)']", ,[' 267999  '],[' 10973   '],[' 245209  '],[' 82630   '],"[' 212587   (Atom=Atom', ' 59858 Body=Body', ' 38877 Other', ' 113852)']",[' Yes'],"[' 13904    (Eliminated', '    0 Frozen', ' 13904)']","[' 1783     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.51235'],[' 0'], ,[' 757.336'],[' 0'],[' 16.9667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84373e+08'],[' 1.12182e+08'],[' 0'],[' 4.90157e+10'],[' 0'],[' 0'],[' 944 '],[' 1827 '],[' 2461 '],[' 3120 '],[' 3664 '],[' 4305 '],[' 4978 '],[' 5712 '],[' 6055 '],[' 9 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 2815+'],[' 1417'],"[' 1004.592s (Solving', ' 991.43s 1st Model', ' 10.99s Unsat', ' 0.00s)']",[' 1001.844s'], ,[' 111378827'],"[' 28198408 (Analyzed', ' 28055385)']","[' 52160    (Average', ' 537.87 Last', ' 64664)']",[' 5181.0  '],"[' 1417     (Average Length', ' 824.41 Splits', ' 0)']","[' 28055385 (Deleted', ' 27794361)']","[' 19       (Ratio', '   0.00%)']","[' 10648    (Ratio', '   0.04%)']","[' 28055385 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28055385 (Average', '  3.77 Max', ' 8088 Sum', ' 105731006)']","[' 28053344 (Average', '  3.70 Max', ' 8088 Sum', ' 103877655 Ratio', '  98.25%)']","[' 2041     (Average', ' 908.06 Max', ' 1318 Sum', ' 1853351 Ratio', '   1.75%)']", ,[' 269473  '],[' 11179   '],[' 246669  '],[' 83450   '],"[' 215627   (Atom=Atom', ' 60629 Body=Body', ' 39495 Other', ' 115503)']",[' Yes'],"[' 14074    (Eliminated', '    0 Frozen', ' 14074)']","[' 1884     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.50269'],[' 0'], ,[' 749.632'],[' 0'],[' 15.9228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03088e+08'],[' 1.25818e+08'],[' 0'],[' 4.83185e+10'],[' 0'],[' 0'],[' 1051 '],[' 2192 '],[' 2672 '],[' 3342 '],[' 3863 '],[' 4608 '],[' 5157 '],[' 6107 '],[' 6772 '],[' 9 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 2621+'],[' 1320'],"[' 1004.511s (Solving', ' 992.05s 1st Model', ' 9.91s Unsat', ' 0.00s)']",[' 1002.375s'], ,[' 97197099'],"[' 31175365 (Analyzed', ' 31032034)']","[' 57963    (Average', ' 535.38 Last', ' 256976)']",[' 5138.2  '],"[' 1320     (Average Length', ' 791.95 Splits', ' 0)']","[' 31032034 (Deleted', ' 30707837)']","[' 24       (Ratio', '   0.00%)']","[' 9173     (Ratio', '   0.03%)']","[' 31032034 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31032034 (Average', '  2.96 Max', ' 8130 Sum', ' 91721453)']","[' 31030167 (Average', '  2.90 Max', ' 8130 Sum', ' 90131951 Ratio', '  98.27%)']","[' 1867     (Average', ' 851.37 Max', ' 1229 Sum', ' 1589502 Ratio', '   1.73%)']", ,[' 269190  '],[' 11067   '],[' 245873  '],[' 83340   '],"[' 213710   (Atom=Atom', ' 60084 Body=Body', ' 39159 Other', ' 114467)']",[' Yes'],"[' 13872    (Eliminated', '    0 Frozen', ' 13872)']","[' 1810     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.35342'],[' 0'], ,[' 747.972'],[' 0'],[' 12.9888'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92407e+08'],[' 1.12532e+08'],[' 0'],[' 4.70383e+10'],[' 0'],[' 0'],[' 938 '],[' 1797 '],[' 2496 '],[' 3112 '],[' 3676 '],[' 4388 '],[' 4957 '],[' 5810 '],[' 6297 '],[' 9 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 2389+'],[' 1204'],"[' 1004.483s (Solving', ' 992.20s 1st Model', ' 10.69s Unsat', ' 0.00s)']",[' 1002.594s'], ,[' 100472640'],"[' 29146594 (Analyzed', ' 28980943)']","[' 55421    (Average', ' 522.92 Last', ' 100572)']",[' 5206.4  '],"[' 1204     (Average Length', ' 740.34 Splits', ' 0)']","[' 28980943 (Deleted', ' 28690694)']","[' 23       (Ratio', '   0.00%)']","[' 9139     (Ratio', '   0.03%)']","[' 28980943 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28980943 (Average', '  3.29 Max', ' 8686 Sum', ' 95329796)']","[' 28978845 (Average', '  3.23 Max', ' 7993 Sum', ' 93738913 Ratio', '  98.33%)']","[' 2098     (Average', ' 758.29 Max', ' 1099 Sum', ' 1590883 Ratio', '   1.67%)']", ,[' 266150  '],[' 10972   '],[' 243871  '],[' 81433   '],"[' 211749   (Atom=Atom', ' 59588 Body=Body', ' 38874 Other', ' 113287)']",[' Yes'],"[' 13658    (Eliminated', '    0 Frozen', ' 13658)']","[' 1712     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.36307'],[' 0'], ,[' 753.746'],[' 0'],[' 15.1567'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93422e+08'],[' 1.15488e+08'],[' 0'],[' 4.74977e+10'],[' 0'],[' 0'],[' 1345 '],[' 2036 '],[' 2446 '],[' 3185 '],[' 4008 '],[' 4754 '],[' 5075 '],[' 5641 '],[' 6263 '],[' 9 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 2703+'],[' 1361'],"[' 1004.455s (Solving', ' 992.17s 1st Model', ' 11.07s Unsat', ' 0.00s)']",[' 1002.313s'], ,[' 110520310'],"[' 27921051 (Analyzed', ' 27773025)']","[' 52159    (Average', ' 532.47 Last', ' 385581)']",[' 5068.7  '],"[' 1361     (Average Length', ' 805.70 Splits', ' 0)']","[' 27773025 (Deleted', ' 27502323)']","[' 17       (Ratio', '   0.00%)']","[' 9496     (Ratio', '   0.03%)']","[' 27773025 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27773025 (Average', '  3.79 Max', ' 9409 Sum', ' 105155925)']","[' 27771168 (Average', '  3.73 Max', ' 8235 Sum', ' 103454540 Ratio', '  98.38%)']","[' 1857     (Average', ' 916.20 Max', ' 1305 Sum', ' 1701385 Ratio', '   1.62%)']", ,[' 266866  '],[' 10949   '],[' 244421  '],[' 81948   '],"[' 211956   (Atom=Atom', ' 59653 Body=Body', ' 38805 Other', ' 113498)']",[' Yes'],"[' 13770    (Eliminated', '    0 Frozen', ' 13770)']","[' 1848     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.36853'],[' 0'], ,[' 754.034'],[' 0'],[' 17.294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0076e+08'],[' 1.2684e+08'],[' 0'],[' 4.8585e+10'],[' 0'],[' 0'],[' 1104 '],[' 1836 '],[' 2512 '],[' 3189 '],[' 3885 '],[' 4333 '],[' 5058 '],[' 5881 '],[' 6325 '],[' 9 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 3067+'],[' 1543'],"[' 1005.022s (Solving', ' 990.31s 1st Model', ' 12.97s Unsat', ' 0.00s)']",[' 1002.141s'], ,[' 95746593'],"[' 31232418 (Analyzed', ' 31022786)']","[' 60708    (Average', ' 511.02 Last', ' 91359)']",[' 5752.7  '],"[' 1543     (Average Length', ' 895.35 Splits', ' 0)']","[' 31022786 (Deleted', ' 30702649)']","[' 9        (Ratio', '   0.00%)']","[' 6565     (Ratio', '   0.02%)']","[' 31022786 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31022786 (Average', '  2.85 Max', ' 8546 Sum', ' 88442870)']","[' 31021167 (Average', '  2.80 Max', ' 8546 Sum', ' 86895343 Ratio', '  98.25%)']","[' 1619     (Average', ' 955.85 Max', ' 1346 Sum', ' 1547527 Ratio', '   1.75%)']", ,[' 269639  '],[' 10909   '],[' 246173  '],[' 83407   '],"[' 211914   (Atom=Atom', ' 59675 Body=Body', ' 38685 Other', ' 113554)']",[' Yes'],"[' 13907    (Eliminated', '    0 Frozen', ' 13907)']","[' 1305     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.90056'],[' 0'], ,[' 738.743'],[' 0'],[' 13.8307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81013e+08'],[' 1.00976e+08'],[' 0'],[' 4.59231e+10'],[' 0'],[' 0'],[' 959 '],[' 1791 '],[' 2315 '],[' 2947 '],[' 3538 '],[' 4259 '],[' 4901 '],[' 5618 '],[' 6052 '],[' 9 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 2841+'],[' 1430'],"[' 1004.612s (Solving', ' 991.59s 1st Model', ' 10.94s Unsat', ' 0.00s)']",[' 1002.000s'], ,[' 100723870'],"[' 26716226 (Analyzed', ' 26578850)']","[' 50258    (Average', ' 528.85 Last', ' 126273)']",[' 4955.9  '],"[' 1430     (Average Length', ' 830.30 Splits', ' 0)']","[' 26578850 (Deleted', ' 26297907)']","[' 14       (Ratio', '   0.00%)']","[' 11646    (Ratio', '   0.04%)']","[' 26578850 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26578850 (Average', '  3.59 Max', ' 7952 Sum', ' 95455419)']","[' 26576857 (Average', '  3.52 Max', ' 7952 Sum', ' 93603555 Ratio', '  98.06%)']","[' 1993     (Average', ' 929.18 Max', ' 1330 Sum', ' 1851864 Ratio', '   1.94%)']", ,[' 267253  '],[' 11095   '],[' 245167  '],[' 82240   '],"[' 214408   (Atom=Atom', ' 60306 Body=Body', ' 39243 Other', ' 114859)']",[' Yes'],"[' 13989    (Eliminated', '    0 Frozen', ' 13989)']","[' 2329     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46838'],[' 0'], ,[' 759.419'],[' 0'],[' 17.0432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92292e+08'],[' 1.2002e+08'],[' 0'],[' 4.92097e+10'],[' 0'],[' 0'],[' 1092 '],[' 2006 '],[' 2834 '],[' 3060 '],[' 3714 '],[' 4226 '],[' 4968 '],[' 5743 '],[' 6097 '],[' 9 '],[' 0 ']
