Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 3297'],[' 1654'],"[' 709.508s (Solving', ' 702.21s 1st Model', ' 9.06s Unsat', ' 93.54s)']",[' 707.750s'], ,[' 63959227'],"[' 9259459  (Analyzed', ' 8992367)']","[' 18918    (Average', ' 475.33 Last', ' 90854)']",[' 2967.8  '],"[' 1654     (Average Length', ' 885.48 Splits', ' 0)']","[' 27591315 (Deleted', ' 27272094)']","[' 71       (Ratio', '   0.00%)']","[' 6543     (Ratio', '   0.02%)']","[' 8992367  (Average Length', '   15.9 Ratio', '  32.59%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18598948 (Average Length', '   12.2 Ratio', '  67.41%) ']","[' 8992367  (Average', '  1.37 Max', ' 2700 Sum', ' 12321900)']","[' 8992343  (Average', '  1.37 Max', ' 2700 Sum', ' 12321876 Ratio', ' 100.00%)']","[' 24       (Average', '  1.00 Max', '   1 Sum', '     24 Ratio', '   0.00%)']", ,[' 98069   '],[' 4678    '],[' 90206   '],[' 36240   '],"[' 96818    (Atom=Atom', ' 26978 Body=Body', ' 16914 Other', ' 52926)']",[' Yes'],"[' 6760     (Eliminated', '    0 Frozen', ' 6760)']","[' 1233     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54923'],[' 0'], ,[' 418.259'],[' 0'],[' 10.9599'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63966e+08'],[' 9.56088e+07'],[' 0'],[' 2.96176e+10'],[' 0'],[' 0'],[' 761 '],[' 1380 '],[' 1987 '],[' 2725 '],[' 3306 '],[' 3 '],[' 2 ']
Solving...,TA62, , , , ,[' 2895'],[' 1453'],"[' 58435.710s (Solving', ' 58427.47s 1st Model', ' 14.26s Unsat', ' 162.19s)']",[' 396.875s'], ,[' 33892478'],"[' 3388897  (Analyzed', ' 3140414)']","[' 7983     (Average', ' 393.39 Last', ' 25042)']",[' 3017.4  '],"[' 1452     (Average Length', ' 803.90 Splits', ' 0)']","[' 10464470 (Deleted', ' 10305601)']","[' 70       (Ratio', '   0.00%)']","[' 6674     (Ratio', '   0.06%)']","[' 3140414  (Average Length', '   13.9 Ratio', '  30.01%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7324056  (Average Length', '   12.0 Ratio', '  69.99%) ']","[' 3140414  (Average', '  1.43 Max', ' 2251 Sum', ' 4487469)']","[' 3140379  (Average', '  1.43 Max', ' 2251 Sum', ' 4487434 Ratio', ' 100.00%)']","[' 35       (Average', '  1.00 Max', '   1 Sum', '     35 Ratio', '   0.00%)']", ,[' 97724   '],[' 4739    '],[' 89782   '],[' 36136   '],"[' 97216    (Atom=Atom', ' 27021 Body=Body', ' 17097 Other', ' 53098)']",[' Yes'],"[' 6692     (Eliminated', '    0 Frozen', ' 6692)']","[' 1040     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.72333'],[' 0'], ,[' 239.385'],[' 0'],[' 6.67616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.98687e+07'],[' 5.86104e+07'],[' 0'],[' 1.50276e+10'],[' 0'],[' 0'],[' 724 '],[' 1464 '],[' 3667 '],[' 2893 '],[' 3389 '],[' 2 '],[' 3 ']
Solving...,TA63, , , , ,[' 3575'],[' 1793'],"[' 256.576s (Solving', ' 247.71s 1st Model', ' 11.74s Unsat', ' 7.58s)']",[' 255.234s'], ,[' 27064188'],"[' 2304150  (Analyzed', ' 2082145)']","[' 4935     (Average', ' 421.91 Last', ' 5955)']",[' 3297.4  '],"[' 1793     (Average Length', ' 932.62 Splits', ' 0)']","[' 7555968  (Deleted', ' 7375985)']","[' 58       (Ratio', '   0.00%)']","[' 4694     (Ratio', '   0.06%)']","[' 2082145  (Average Length', '   13.2 Ratio', '  27.56%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5473823  (Average Length', '   11.4 Ratio', '  72.44%) ']","[' 2082145  (Average', '  1.51 Max', ' 3318 Sum', ' 3152187)']","[' 2082121  (Average', '  1.51 Max', ' 3318 Sum', ' 3146722 Ratio', '  99.83%)']","[' 24       (Average', ' 227.71 Max', ' 563 Sum', '   5465 Ratio', '   0.17%)']", ,[' 97735   '],[' 4683    '],[' 90133   '],[' 36192   '],"[' 97289    (Atom=Atom', ' 27137 Body=Body', ' 16929 Other', ' 53223)']",[' Yes'],"[' 6864     (Eliminated', '    0 Frozen', ' 6864)']","[' 495      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.93958'],[' 0'], ,[' 106.173'],[' 0'],[' 4.12861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.88388e+07'],[' 4.64845e+07'],[' 0'],[' 4.30594e+09'],[' 0'],[' 0'],[' 826 '],[' 1351 '],[' 1970 '],[' 2593 '],[' 3113 '],[' 1 '],[' 4 ']
Solving...,TA64, , , , ,[' 3241'],[' 1626'],"[' 460.493s (Solving', ' 452.54s 1st Model', ' 10.36s Unsat', ' 24.96s)']",[' 458.578s'], ,[' 43270307'],"[' 6756195  (Analyzed', ' 6564397)']","[' 14040    (Average', ' 467.55 Last', ' 5697)']",[' 3097.1  '],"[' 1626     (Average Length', ' 867.84 Splits', ' 0)']","[' 20130188 (Deleted', ' 19871407)']","[' 65       (Ratio', '   0.00%)']","[' 5625     (Ratio', '   0.03%)']","[' 6564397  (Average Length', '   15.3 Ratio', '  32.61%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13565791 (Average Length', '   12.3 Ratio', '  67.39%) ']","[' 6564397  (Average', '  1.31 Max', ' 2942 Sum', ' 8628181)']","[' 6564368  (Average', '  1.31 Max', ' 2942 Sum', ' 8611644 Ratio', '  99.81%)']","[' 29       (Average', ' 570.24 Max', ' 1100 Sum', '  16537 Ratio', '   0.19%)']", ,[' 97766   '],[' 4700    '],[' 90018   '],[' 36078   '],"[' 97070    (Atom=Atom', ' 27038 Body=Body', ' 16980 Other', ' 53052)']",[' Yes'],"[' 6720     (Eliminated', '    0 Frozen', ' 6720)']","[' 837      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73877'],[' 0'], ,[' 226.526'],[' 0'],[' 6.53815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13459e+08'],[' 6.55464e+07'],[' 0'],[' 1.39613e+10'],[' 0'],[' 0'],[' 811 '],[' 1489 '],[' 1988 '],[' 2557 '],[' 3083 '],[' 2 '],[' 3 ']
Solving...,TA65, , , , ,[' 3423'],[' 1717'],"[' 377.941s (Solving', ' 370.52s 1st Model', ' 11.50s Unsat', ' 135.95s)']",[' 376.484s'], ,[' 36991622'],"[' 6034312  (Analyzed', ' 5790110)']","[' 12243    (Average', ' 472.93 Last', ' 23133)']",[' 2951.2  '],"[' 1717     (Average Length', ' 909.20 Splits', ' 0)']","[' 16363229 (Deleted', ' 16083957)']","[' 40       (Ratio', '   0.00%)']","[' 5707     (Ratio', '   0.03%)']","[' 5790110  (Average Length', '   15.3 Ratio', '  35.38%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10573119 (Average Length', '   11.0 Ratio', '  64.62%) ']","[' 5790110  (Average', '  1.31 Max', ' 2765 Sum', ' 7572363)']","[' 5790081  (Average', '  1.31 Max', ' 2765 Sum', ' 7564502 Ratio', '  99.90%)']","[' 29       (Average', ' 271.07 Max', ' 394 Sum', '   7861 Ratio', '   0.10%)']", ,[' 97870   '],[' 4647    '],[' 90008   '],[' 36147   '],"[' 96563    (Atom=Atom', ' 26917 Body=Body', ' 16821 Other', ' 52825)']",[' Yes'],"[' 6719     (Eliminated', '    0 Frozen', ' 6719)']","[' 1021     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.64993'],[' 0'], ,[' 185.152'],[' 0'],[' 6.17144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.9358e+07'],[' 5.77612e+07'],[' 0'],[' 1.13033e+10'],[' 0'],[' 0'],[' 720 '],[' 1255 '],[' 1907 '],[' 2507 '],[' 3095 '],[' 1 '],[' 4 ']
Solving...,TA66, , , , ,[' 3645'],[' 1828'],"[' 438.183s (Solving', ' 429.99s 1st Model', ' 11.78s Unsat', ' 1.66s)']",[' 435.359s'], ,[' 41000034'],"[' 6288350  (Analyzed', ' 6001150)']","[' 12571    (Average', ' 477.38 Last', ' 160836)']",[' 3116.9  '],"[' 1828     (Average Length', ' 955.41 Splits', ' 0)']","[' 17095212 (Deleted', ' 16838047)']","[' 61       (Ratio', '   0.00%)']","[' 5334     (Ratio', '   0.03%)']","[' 6001150  (Average Length', '   14.2 Ratio', '  35.10%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11094062 (Average Length', '   11.3 Ratio', '  64.90%) ']","[' 6001150  (Average', '  1.35 Max', ' 3041 Sum', ' 8112406)']","[' 6001136  (Average', '  1.35 Max', ' 3041 Sum', ' 8097868 Ratio', '  99.82%)']","[' 14       (Average', ' 1038.43 Max', ' 1255 Sum', '  14538 Ratio', '   0.18%)']", ,[' 98265   '],[' 4725    '],[' 90588   '],[' 36485   '],"[' 98124    (Atom=Atom', ' 27340 Body=Body', ' 17055 Other', ' 53729)']",[' Yes'],"[' 6898     (Eliminated', '    0 Frozen', ' 6898)']","[' 887      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.832'],[' 0'], ,[' 226.769'],[' 0'],[' 6.55898'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04554e+08'],[' 6.18808e+07'],[' 0'],[' 1.40348e+10'],[' 0'],[' 0'],[' 761 '],[' 1295 '],[' 1914 '],[' 2550 '],[' 3162 '],[' 2 '],[' 3 ']
Solving...,TA67, , , , ,[' 3251'],[' 1631'],"[' 438.406s (Solving', ' 431.16s 1st Model', ' 8.77s Unsat', ' 5.81s)']",[' 436.406s'], ,[' 40394109'],"[' 5445505  (Analyzed', ' 5206277)']","[' 11100    (Average', ' 469.03 Last', ' 136654)']",[' 3140.4  '],"[' 1631     (Average Length', ' 873.81 Splits', ' 0)']","[' 16898736 (Deleted', ' 16666511)']","[' 65       (Ratio', '   0.00%)']","[' 5033     (Ratio', '   0.03%)']","[' 5206277  (Average Length', '   16.0 Ratio', '  30.81%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11692459 (Average Length', '   13.3 Ratio', '  69.19%) ']","[' 5206277  (Average', '  1.38 Max', ' 3326 Sum', ' 7179132)']","[' 5206258  (Average', '  1.38 Max', ' 3326 Sum', ' 7176901 Ratio', '  99.97%)']","[' 19       (Average', ' 117.42 Max', ' 317 Sum', '   2231 Ratio', '   0.03%)']", ,[' 98660   '],[' 4820    '],[' 90801   '],[' 36741   '],"[' 98900    (Atom=Atom', ' 27523 Body=Body', ' 17340 Other', ' 54037)']",[' Yes'],"[' 6883     (Eliminated', '    0 Frozen', ' 6883)']","[' 873      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.64718'],[' 0'], ,[' 250.621'],[' 0'],[' 6.95071'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0032e+08'],[' 5.84208e+07'],[' 0'],[' 1.58257e+10'],[' 0'],[' 0'],[' 851 '],[' 1364 '],[' 2069 '],[' 2858 '],[' 3318 '],[' 2 '],[' 3 ']
Solving...,TA68, , , ,[' 1'],[' 2659+'],[' 1335'],"[' 422.030s (Solving', ' 416.57s 1st Model', ' 5.35s Unsat', ' 1.13s)']",[' 420.172s'], ,[' 38352018'],"[' 7444752  (Analyzed', ' 7276284)']","[' 14757    (Average', ' 493.07 Last', ' 72538)']",[' 2657.4  '],"[' 1334     (Average Length', ' 770.84 Splits', ' 0)']","[' 20906491 (Deleted', ' 20634672)']","[' 29       (Ratio', '   0.00%)']","[' 3541     (Ratio', '   0.02%)']","[' 7276284  (Average Length', '   14.5 Ratio', '  34.80%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13630207 (Average Length', '   11.4 Ratio', '  65.20%) ']","[' 7276284  (Average', '  1.28 Max', ' 2289 Sum', ' 9289860)']","[' 7276268  (Average', '  1.28 Max', ' 2289 Sum', ' 9289844 Ratio', ' 100.00%)']","[' 16       (Average', '  1.00 Max', '   1 Sum', '     16 Ratio', '   0.00%)']", ,[' 97402   '],[' 4621    '],[' 89277   '],[' 35664   '],"[' 95016    (Atom=Atom', ' 26431 Body=Body', ' 16743 Other', ' 51842)']",[' Yes'],"[' 6410     (Eliminated', '    0 Frozen', ' 6410)']","[' 716      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1766'],[' 0'], ,[' 191.533'],[' 0'],[' 5.24841'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0418e+08'],[' 5.53227e+07'],[' 0'],[' 1.22745e+10'],[' 0'],[' 0'],[' 687 '],[' 1329 '],[' 1899 '],[' 2485 '],[' 5321 '],[' 3 '],[' 2 ']
Solving...,TA69, , , , ,[' 3309'],[' 1660'],"[' 593.531s (Solving', ' 585.99s 1st Model', ' 8.06s Unsat', ' 160.29s)']",[' 591.203s'], ,[' 47041865'],"[' 8178245  (Analyzed', ' 7957228)']","[' 16933    (Average', ' 469.92 Last', ' 33867)']",[' 3173.6  '],"[' 1660     (Average Length', ' 887.23 Splits', ' 0)']","[' 23855797 (Deleted', ' 23531198)']","[' 28       (Ratio', '   0.00%)']","[' 4288     (Ratio', '   0.02%)']","[' 7957228  (Average Length', '   15.3 Ratio', '  33.36%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15898569 (Average Length', '   11.9 Ratio', '  66.64%) ']","[' 7957228  (Average', '  1.30 Max', ' 3233 Sum', ' 10358831)']","[' 7957210  (Average', '  1.30 Max', ' 3233 Sum', ' 10358592 Ratio', ' 100.00%)']","[' 18       (Average', ' 13.28 Max', ' 222 Sum', '    239 Ratio', '   0.00%)']", ,[' 97197   '],[' 4710    '],[' 89806   '],[' 35804   '],"[' 97358    (Atom=Atom', ' 27112 Body=Body', ' 17010 Other', ' 53236)']",[' Yes'],"[' 6795     (Eliminated', '    0 Frozen', ' 6795)']","[' 696      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6479'],[' 0'], ,[' 323.631'],[' 0'],[' 8.47126'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22302e+08'],[' 6.65232e+07'],[' 0'],[' 2.0347e+10'],[' 0'],[' 0'],[' 915 '],[' 1635 '],[' 2211 '],[' 2763 '],[' 3393 '],[' 2 '],[' 3 ']
Solving...,TA70, , , , ,[' 3413'],[' 1712'],"[' 813.932s (Solving', ' 806.37s 1st Model', ' 8.39s Unsat', ' 0.02s)']",[' 812.422s'], ,[' 85975781'],"[' 9494379  (Analyzed', ' 9353590)']","[' 18551    (Average', ' 504.21 Last', ' 317508)']",[' 2988.8  '],"[' 1712     (Average Length', ' 914.14 Splits', ' 0)']","[' 28919043 (Deleted', ' 28580948)']","[' 150      (Ratio', '   0.00%)']","[' 8185     (Ratio', '   0.03%)']","[' 9353590  (Average Length', '   16.4 Ratio', '  32.34%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19565453 (Average Length', '   11.9 Ratio', '  67.66%) ']","[' 9353590  (Average', '  1.48 Max', ' 2785 Sum', ' 13847443)']","[' 9353585  (Average', '  1.48 Max', ' 2785 Sum', ' 13847438 Ratio', ' 100.00%)']","[' 5        (Average', '  1.00 Max', '   1 Sum', '      5 Ratio', '   0.00%)']", ,[' 97846   '],[' 4765    '],[' 90278   '],[' 36297   '],"[' 98305    (Atom=Atom', ' 27384 Body=Body', ' 17175 Other', ' 53746)']",[' Yes'],"[' 6879     (Eliminated', '    0 Frozen', ' 6879)']","[' 1599     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70959'],[' 0'], ,[' 460.015'],[' 0'],[' 13.4221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.75435e+08'],[' 1.81538e+08'],[' 0'],[' 2.93285e+10'],[' 0'],[' 0'],[' 830 '],[' 1638 '],[' 2323 '],[' 2856 '],[' 3424 '],[' 4 '],[' 1 ']
