Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 2555'],[' 1284'],"[' 279.421s (Solving', ' 273.70s 1st Model', ' 4.21s Unsat', ' 9.73s)']",[' 278.141s'], ,[' 20856103'],"[' 3868843  (Analyzed', ' 3719264)']","[' 8701     (Average', ' 427.45 Last', ' 3526)']",[' 2808.0  '],"[' 1284     (Average Length', ' 707.69 Splits', ' 0)']","[' 10542267 (Deleted', ' 10362490)']","[' 29       (Ratio', '   0.00%)']","[' 2494     (Ratio', '   0.02%)']","[' 3719264  (Average Length', '   17.1 Ratio', '  35.28%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6823003  (Average Length', '   11.9 Ratio', '  64.72%) ']","[' 3719264  (Average', '  1.27 Max', ' 2955 Sum', ' 4730188)']","[' 3719239  (Average', '  1.27 Max', ' 2955 Sum', ' 4729511 Ratio', '  99.99%)']","[' 25       (Average', ' 27.08 Max', ' 327 Sum', '    677 Ratio', '   0.01%)']", ,[' 90687   '],[' 3861    '],[' 83516   '],[' 31506   '],"[' 82845    (Atom=Atom', ' 23577 Body=Body', ' 14519 Other', ' 44749)']",[' Yes'],"[' 5693     (Eliminated', '    0 Frozen', ' 5693)']","[' 264      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23325'],[' 0'], ,[' 153.151'],[' 0'],[' 3.58155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.49371e+07'],[' 3.00368e+07'],[' 0'],[' 1.00161e+10'],[' 0'],[' 0'],[' 676 '],[' 1173 '],[' 1779 '],[' 2336 '],[' 2841 '],[' 3281 '],[' 3 '],[' 3 ']
Solving...,TA62, , , , ,[' 2559'],[' 1286'],"[' 202.227s (Solving', ' 196.58s 1st Model', ' 4.30s Unsat', ' 14.42s)']",[' 201.656s'], ,[' 14651860'],"[' 2542758  (Analyzed', ' 2411758)']","[' 6024     (Average', ' 400.36 Last', ' 2597)']",[' 2687.0  '],"[' 1286     (Average Length', ' 703.23 Splits', ' 0)']","[' 6456679  (Deleted', ' 6346959)']","[' 18       (Ratio', '   0.00%)']","[' 2276     (Ratio', '   0.04%)']","[' 2411758  (Average Length', '   16.3 Ratio', '  37.35%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4044921  (Average Length', '   11.7 Ratio', '  62.65%) ']","[' 2411758  (Average', '  1.24 Max', ' 2851 Sum', ' 2999384)']","[' 2411725  (Average', '  1.24 Max', ' 2851 Sum', ' 2994187 Ratio', '  99.83%)']","[' 33       (Average', ' 157.48 Max', ' 350 Sum', '   5197 Ratio', '   0.17%)']", ,[' 90820   '],[' 3925    '],[' 83752   '],[' 31629   '],"[' 83875    (Atom=Atom', ' 23835 Body=Body', ' 14711 Other', ' 45329)']",[' Yes'],"[' 5783     (Eliminated', '    0 Frozen', ' 5783)']","[' 311      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.25107'],[' 0'], ,[' 118.326'],[' 0'],[' 2.39031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.36416e+07'],[' 1.78237e+07'],[' 0'],[' 7.79513e+09'],[' 0'],[' 0'],[' 641 '],[' 1255 '],[' 1844 '],[' 2442 '],[' 2939 '],[' 3395 '],[' 2 '],[' 4 ']
Solving...,TA63, , , , ,[' 3015'],[' 1514'],"[' 69.073s (Solving', ' 62.41s 1st Model', ' 5.37s Unsat', ' 31.16s)']",[' 68.297s'], ,[' 9917250 '],"[' 601638   (Analyzed', ' 467307)']","[' 1504     (Average', ' 310.71 Last', ' 225)']",[' 2818.0  '],"[' 1514     (Average Length', ' 804.52 Splits', ' 0)']","[' 1737483  (Deleted', ' 1671924)']","[' 50       (Ratio', '   0.00%)']","[' 1812     (Ratio', '   0.10%)']","[' 467307   (Average Length', '   11.6 Ratio', '  26.90%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1270176  (Average Length', '   10.2 Ratio', '  73.10%) ']","[' 467307   (Average', '  1.60 Max', ' 2489 Sum', ' 747200)']","[' 467272   (Average', '  1.60 Max', ' 2489 Sum', ' 746812 Ratio', '  99.95%)']","[' 35       (Average', ' 11.09 Max', ' 354 Sum', '    388 Ratio', '   0.05%)']", ,[' 90818   '],[' 3841    '],[' 83841   '],[' 31637   '],"[' 83271    (Atom=Atom', ' 23727 Body=Body', ' 14459 Other', ' 45085)']",[' Yes'],"[' 5847     (Eliminated', '    0 Frozen', ' 5847)']","[' 201      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48575'],[' 0'], ,[' 17.9326'],[' 0'],[' 1.11702'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07948e+07'],[' 1.48875e+07'],[' 0'],[' 8.254e+08'],[' 0'],[' 0'],[' 680 '],[' 1182 '],[' 1696 '],[' 2142 '],[' 2612 '],[' 3073 '],[' 0 '],[' 6 ']
Solving...,TA64, , , , ,[' 2593'],[' 1303'],"[' 121.903s (Solving', ' 116.29s 1st Model', ' 4.77s Unsat', ' 12.89s)']",[' 120.672s'], ,[' 10950137'],"[' 1184085  (Analyzed', ' 1054063)']","[' 3058     (Average', ' 344.69 Last', ' 993)']",[' 2780.9  '],"[' 1303     (Average Length', ' 711.05 Splits', ' 0)']","[' 3221841  (Deleted', ' 3148028)']","[' 39       (Ratio', '   0.00%)']","[' 1605     (Ratio', '   0.05%)']","[' 1054063  (Average Length', '   15.7 Ratio', '  32.72%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2167778  (Average Length', '   11.2 Ratio', '  67.28%) ']","[' 1054063  (Average', '  1.35 Max', ' 3146 Sum', ' 1426250)']","[' 1054036  (Average', '  1.35 Max', ' 3146 Sum', ' 1425857 Ratio', '  99.97%)']","[' 27       (Average', ' 14.56 Max', ' 367 Sum', '    393 Ratio', '   0.03%)']", ,[' 90840   '],[' 3895    '],[' 83756   '],[' 31590   '],"[' 83420    (Atom=Atom', ' 23732 Body=Body', ' 14621 Other', ' 45067)']",[' Yes'],"[' 5715     (Eliminated', '    0 Frozen', ' 5715)']","[' 104      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2153'],[' 0'], ,[' 62.1781'],[' 0'],[' 1.67251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39049e+07'],[' 1.52862e+07'],[' 0'],[' 3.93428e+09'],[' 0'],[' 0'],[' 686 '],[' 1248 '],[' 1703 '],[' 2138 '],[' 2718 '],[' 3167 '],[' 1 '],[' 5 ']
Solving...,TA65, , , , ,[' 2837'],[' 1425'],"[' 51.086s (Solving', ' 44.83s 1st Model', ' 5.89s Unsat', ' 15.26s)']",[' 50.875s'], ,[' 8286153 '],"[' 411019   (Analyzed', ' 275508)']","[' 1256     (Average', ' 219.35 Last', ' 1045)']",[' 2637.8  '],"[' 1425     (Average Length', ' 777.84 Splits', ' 0)']","[' 829659   (Deleted', ' 769567)']","[' 64       (Ratio', '   0.01%)']","[' 2884     (Ratio', '   0.35%)']","[' 275508   (Average Length', '   14.3 Ratio', '  33.21%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 554151   (Average Length', '   10.8 Ratio', '  66.79%) ']","[' 275508   (Average', '  1.73 Max', ' 2505 Sum', ' 475823)']","[' 275464   (Average', '  1.73 Max', ' 2505 Sum', ' 475779 Ratio', '  99.99%)']","[' 44       (Average', '  1.00 Max', '   1 Sum', '     44 Ratio', '   0.01%)']", ,[' 90951   '],[' 3857    '],[' 83867   '],[' 31668   '],"[' 83235    (Atom=Atom', ' 23702 Body=Body', ' 14507 Other', ' 45026)']",[' Yes'],"[' 5789     (Eliminated', '    0 Frozen', ' 5789)']","[' 343      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38731'],[' 0'], ,[' 12.2456'],[' 0'],[' 0.665448'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55911e+07'],[' 1.14188e+07'],[' 0'],[' 6.60654e+08'],[' 0'],[' 0'],[' 608 '],[' 1102 '],[' 1582 '],[' 2088 '],[' 2548 '],[' 3049 '],[' 0 '],[' 6 ']
Solving...,TA66, , , , ,[' 2781'],[' 1397'],"[' 116.499s (Solving', ' 110.07s 1st Model', ' 5.20s Unsat', ' 0.64s)']",[' 115.656s'], ,[' 13751727'],"[' 1554577  (Analyzed', ' 1418584)']","[' 3717     (Average', ' 381.65 Last', ' 514)']",[' 2804.2  '],"[' 1397     (Average Length', ' 742.08 Splits', ' 0)']","[' 4614505  (Deleted', ' 4518469)']","[' 14       (Ratio', '   0.00%)']","[' 1675     (Ratio', '   0.04%)']","[' 1418584  (Average Length', '   13.8 Ratio', '  30.74%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3195921  (Average Length', '   11.8 Ratio', '  69.26%) ']","[' 1418584  (Average', '  1.40 Max', ' 2916 Sum', ' 1979656)']","[' 1418560  (Average', '  1.39 Max', ' 2916 Sum', ' 1977305 Ratio', '  99.88%)']","[' 24       (Average', ' 97.96 Max', ' 274 Sum', '   2351 Ratio', '   0.12%)']", ,[' 91183   '],[' 3941    '],[' 84126   '],[' 31848   '],"[' 84417    (Atom=Atom', ' 24010 Body=Body', ' 14759 Other', ' 45648)']",[' Yes'],"[' 5818     (Eliminated', '    0 Frozen', ' 5818)']","[' 231      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3904'],[' 0'], ,[' 43.0981'],[' 0'],[' 1.76467'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.12919e+07'],[' 1.92766e+07'],[' 0'],[' 2.07345e+09'],[' 0'],[' 0'],[' 740 '],[' 1264 '],[' 1717 '],[' 2185 '],[' 2695 '],[' 3205 '],[' 1 '],[' 5 ']
Solving...,TA67, , , , ,[' 2599'],[' 1306'],"[' 115.571s (Solving', ' 110.20s 1st Model', ' 4.04s Unsat', ' 5.00s)']",[' 114.813s'], ,[' 12679733'],"[' 1884371  (Analyzed', ' 1759257)']","[' 4720     (Average', ' 372.72 Last', ' 6038)']",[' 2521.0  '],"[' 1306     (Average Length', ' 720.05 Splits', ' 0)']","[' 5064736  (Deleted', ' 4926161)']","[' 17       (Ratio', '   0.00%)']","[' 1910     (Ratio', '   0.04%)']","[' 1759257  (Average Length', '   13.0 Ratio', '  34.74%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3305479  (Average Length', '   10.1 Ratio', '  65.26%) ']","[' 1759257  (Average', '  1.27 Max', ' 2841 Sum', ' 2239189)']","[' 1759231  (Average', '  1.27 Max', ' 2841 Sum', ' 2236557 Ratio', '  99.88%)']","[' 26       (Average', ' 101.23 Max', ' 261 Sum', '   2632 Ratio', '   0.12%)']", ,[' 90978   '],[' 3928    '],[' 83818   '],[' 31768   '],"[' 83918    (Atom=Atom', ' 23867 Body=Body', ' 14720 Other', ' 45331)']",[' Yes'],"[' 5766     (Eliminated', '    0 Frozen', ' 5766)']","[' 285      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15932'],[' 0'], ,[' 42.7222'],[' 0'],[' 1.79878'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.98736e+07'],[' 1.7277e+07'],[' 0'],[' 2.26172e+09'],[' 0'],[' 0'],[' 712 '],[' 1190 '],[' 1751 '],[' 2375 '],[' 2876 '],[' 3334 '],[' 1 '],[' 5 ']
Solving...,TA68, , , , ,[' 2547'],[' 1280'],"[' 118.836s (Solving', ' 113.41s 1st Model', ' 4.47s Unsat', ' 6.58s)']",[' 118.375s'], ,[' 14394594'],"[' 2517807  (Analyzed', ' 2404480)']","[' 5090     (Average', ' 472.39 Last', ' 1282)']",[' 2660.9  '],"[' 1280     (Average Length', ' 707.82 Splits', ' 0)']","[' 6434938  (Deleted', ' 6299094)']","[' 26       (Ratio', '   0.00%)']","[' 2147     (Ratio', '   0.03%)']","[' 2404480  (Average Length', '   14.1 Ratio', '  37.37%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4030458  (Average Length', '   11.5 Ratio', '  62.63%) ']","[' 2404480  (Average', '  1.22 Max', ' 2926 Sum', ' 2931757)']","[' 2404452  (Average', '  1.22 Max', ' 2926 Sum', ' 2931729 Ratio', ' 100.00%)']","[' 28       (Average', '  1.00 Max', '   1 Sum', '     28 Ratio', '   0.00%)']", ,[' 90209   '],[' 3831    '],[' 83193   '],[' 31184   '],"[' 82384    (Atom=Atom', ' 23453 Body=Body', ' 14429 Other', ' 44502)']",[' Yes'],"[' 5658     (Eliminated', '    0 Frozen', ' 5658)']","[' 264      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20526'],[' 0'], ,[' 40.641'],[' 0'],[' 1.45975'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.29289e+07'],[' 1.72541e+07'],[' 0'],[' 2.30481e+09'],[' 0'],[' 0'],[' 601 '],[' 1081 '],[' 1693 '],[' 2138 '],[' 2668 '],[' 3169 '],[' 1 '],[' 5 ']
Solving...,TA69, , , , ,[' 2651'],[' 1332'],"[' 202.756s (Solving', ' 197.17s 1st Model', ' 4.31s Unsat', ' 10.43s)']",[' 202.203s'], ,[' 18369715'],"[' 3359912  (Analyzed', ' 3233369)']","[' 7853     (Average', ' 411.74 Last', ' 24901)']",[' 2613.9  '],"[' 1332     (Average Length', ' 718.48 Splits', ' 0)']","[' 9054397  (Deleted', ' 8901110)']","[' 27       (Ratio', '   0.00%)']","[' 2314     (Ratio', '   0.03%)']","[' 3233369  (Average Length', '   15.8 Ratio', '  35.71%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5821028  (Average Length', '   12.0 Ratio', '  64.29%) ']","[' 3233369  (Average', '  1.26 Max', ' 2603 Sum', ' 4075971)']","[' 3233353  (Average', '  1.26 Max', ' 2603 Sum', ' 4073395 Ratio', '  99.94%)']","[' 16       (Average', ' 161.00 Max', ' 294 Sum', '   2576 Ratio', '   0.06%)']", ,[' 90187   '],[' 3897    '],[' 83375   '],[' 31246   '],"[' 83544    (Atom=Atom', ' 23769 Body=Body', ' 14627 Other', ' 45148)']",[' Yes'],"[' 5729     (Eliminated', '    0 Frozen', ' 5729)']","[' 371      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26889'],[' 0'], ,[' 94.6241'],[' 0'],[' 3.01037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.58274e+07'],[' 2.46528e+07'],[' 0'],[' 5.59465e+09'],[' 0'],[' 0'],[' 915 '],[' 1377 '],[' 1943 '],[' 2348 '],[' 2814 '],[' 3302 '],[' 2 '],[' 4 ']
Solving...,TA70, , , , ,[' 2519'],[' 1266'],"[' 223.330s (Solving', ' 217.98s 1st Model', ' 3.94s Unsat', ' 32.98s)']",[' 222.766s'], ,[' 21239852'],"[' 3288525  (Analyzed', ' 3189911)']","[' 7413     (Average', ' 430.31 Last', ' 3447)']",[' 2472.6  '],"[' 1266     (Average Length', ' 706.68 Splits', ' 0)']","[' 9743028  (Deleted', ' 9578574)']","[' 46       (Ratio', '   0.00%)']","[' 2853     (Ratio', '   0.03%)']","[' 3189911  (Average Length', '   15.3 Ratio', '  32.74%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6553117  (Average Length', '   11.6 Ratio', '  67.26%) ']","[' 3189911  (Average', '  1.32 Max', ' 2292 Sum', ' 4205694)']","[' 3189886  (Average', '  1.32 Max', ' 2292 Sum', ' 4203926 Ratio', '  99.96%)']","[' 25       (Average', ' 70.72 Max', ' 250 Sum', '   1768 Ratio', '   0.04%)']", ,[' 90198   '],[' 3911    '],[' 83248   '],[' 31319   '],"[' 83546    (Atom=Atom', ' 23759 Body=Body', ' 14669 Other', ' 45118)']",[' Yes'],"[' 5707     (Eliminated', '    0 Frozen', ' 5707)']","[' 553      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.184'],[' 0'], ,[' 105.223'],[' 0'],[' 3.21174'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.76068e+07'],[' 3.32425e+07'],[' 0'],[' 6.40212e+09'],[' 0'],[' 0'],[' 774 '],[' 1414 '],[' 1947 '],[' 2679 '],[' 3153 '],[' 3562 '],[' 2 '],[' 4 ']
