Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA59_Clus(1), , , , ,[' 1'],[' 4539+'],[' 2273'],"[' 470.698s (Solving', ' 460.83s 1st Model', ' 337.15s Unsat', ' 41.86s)']",[' 469.219s'], ,[' 146962288'],"[' 8642945  (Analyzed', ' 7940423)']","[' 20003    (Average', ' 396.96 Last', ' 1671608)']",[' 4191.7  '],"[' 2273     (Average Length', ' 1174.79 Splits', ' 0)']","[' 7940423  (Deleted', ' 7877700)']","[' 699      (Ratio', '   0.01%)']","[' 14533    (Ratio', '   0.18%)']","[' 7940423  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7940423  (Average', ' 17.56 Max', ' 4326 Sum', ' 139451064)']","[' 7940036  (Average', ' 17.50 Max', ' 4326 Sum', ' 138996420 Ratio', '  99.67%)']","[' 387      (Average', ' 1174.79 Max', ' 1431 Sum', ' 454644 Ratio', '   0.33%)']", ,[' 92420   '],[' 5933    '],[' 86885   '],[' 39189   '],"[' 115292   (Atom=Atom', ' 30222 Body=Body', ' 19809 Other', ' 65261)']",[' Yes'],"[' 8294     (Eliminated', '    0 Frozen', ' 8294)']","[' 1973     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07678'],[' 0'], ,[' 263.007'],[' 0'],[' 12.3389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.92638e+08'],[' 3.94894e+08'],[' 0'],[' 1.36527e+10'],[' 0'],[' 0'],[' 1129 '],[' 2257 '],[' 3453 '],[' 2 '],[' 1 ']
Solving...,TA59_Clus(10), , , , ,[' 1'],[' 3887+'],[' 1947'],"[' 602.140s (Solving', ' 593.35s 1st Model', ' 154.64s Unsat', ' 0.00s)']",[' 600.953s'], ,[' 230216226'],"[' 9408171  (Analyzed', ' 8863261)']","[' 17819    (Average', ' 497.41 Last', ' 609711)']",[' 3757.4  '],"[' 1947     (Average Length', ' 1029.60 Splits', ' 0)']","[' 8863261  (Deleted', ' 8781884)']","[' 554      (Ratio', '   0.01%)']","[' 27818    (Ratio', '   0.31%)']","[' 8863261  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8863261  (Average', ' 25.31 Max', ' 3642 Sum', ' 224312992)']","[' 8862821  (Average', ' 25.25 Max', ' 3642 Sum', ' 223833278 Ratio', '  99.79%)']","[' 440      (Average', ' 1090.26 Max', ' 1292 Sum', ' 479714 Ratio', '   0.21%)']", ,[' 93088   '],[' 6044    '],[' 87068   '],[' 39505   '],"[' 116328   (Atom=Atom', ' 30368 Body=Body', ' 20154 Other', ' 65806)']",[' Yes'],"[' 8103     (Eliminated', '    0 Frozen', ' 8103)']","[' 3726     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82455'],[' 0'], ,[' 315.535'],[' 0'],[' 17.0117'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.467e+08'],[' 6.23132e+08'],[' 0'],[' 1.76064e+10'],[' 0'],[' 0'],[' 1082 '],[' 2139 '],[' 3402 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(11), , , , ,[' 1'],[' 4219+'],[' 2113'],"[' 602.622s (Solving', ' 593.12s 1st Model', ' 226.17s Unsat', ' 0.00s)']",[' 601.047s'], ,[' 232653880'],"[' 8569478  (Analyzed', ' 8075274)']","[' 18346    (Average', ' 440.17 Last', ' 672318)']",[' 3759.8  '],"[' 2113     (Average Length', ' 1094.67 Splits', ' 0)']","[' 8075274  (Deleted', ' 7998360)']","[' 458      (Ratio', '   0.01%)']","[' 28688    (Ratio', '   0.36%)']","[' 8075274  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8075274  (Average', ' 28.05 Max', ' 3528 Sum', ' 226475278)']","[' 8074831  (Average', ' 27.98 Max', ' 3528 Sum', ' 225946545 Ratio', '  99.77%)']","[' 443      (Average', ' 1193.53 Max', ' 2463 Sum', ' 528733 Ratio', '   0.23%)']", ,[' 92782   '],[' 5972    '],[' 86914   '],[' 39315   '],"[' 115684   (Atom=Atom', ' 30246 Body=Body', ' 19938 Other', ' 65500)']",[' Yes'],"[' 8149     (Eliminated', '    0 Frozen', ' 8149)']","[' 3984     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.90238'],[' 0'], ,[' 305.323'],[' 0'],[' 16.9194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.89627e+08'],[' 6.56814e+08'],[' 0'],[' 1.62246e+10'],[' 0'],[' 0'],[' 1000 '],[' 2018 '],[' 3145 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(12), , , , ,[' 1'],[' 4283+'],[' 2145'],"[' 602.258s (Solving', ' 592.29s 1st Model', ' 300.09s Unsat', ' 0.00s)']",[' 600.578s'], ,[' 228772190'],"[' 9849253  (Analyzed', ' 9312068)']","[' 21366    (Average', ' 435.84 Last', ' 1575972)']",[' 3870.6  '],"[' 2145     (Average Length', ' 1124.33 Splits', ' 0)']","[' 9312068  (Deleted', ' 9236095)']","[' 534      (Ratio', '   0.01%)']","[' 24770    (Ratio', '   0.27%)']","[' 9312068  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9312068  (Average', ' 23.88 Max', ' 3733 Sum', ' 222366518)']","[' 9311555  (Average', ' 23.82 Max', ' 3733 Sum', ' 221859657 Ratio', '  99.77%)']","[' 513      (Average', ' 988.03 Max', ' 1390 Sum', ' 506861 Ratio', '   0.23%)']", ,[' 92899   '],[' 5984    '],[' 87065   '],[' 39433   '],"[' 116004   (Atom=Atom', ' 30326 Body=Body', ' 19974 Other', ' 65704)']",[' Yes'],"[' 8214     (Eliminated', '    0 Frozen', ' 8214)']","[' 3692     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9864'],[' 0'], ,[' 319.265'],[' 0'],[' 16.9487'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.3747e+08'],[' 6.10581e+08'],[' 0'],[' 1.7234e+10'],[' 0'],[' 0'],[' 1080 '],[' 2091 '],[' 3250 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(13), , , , ,[' 1'],[' 4065+'],[' 2036'],"[' 602.230s (Solving', ' 593.11s 1st Model', ' 204.87s Unsat', ' 0.00s)']",[' 601.125s'], ,[' 213529833'],"[' 9589159  (Analyzed', ' 9081561)']","[' 19950    (Average', ' 455.22 Last', ' 393814)']",[' 3778.5  '],"[' 2036     (Average Length', ' 1059.97 Splits', ' 0)']","[' 9081561  (Deleted', ' 8991103)']","[' 478      (Ratio', '   0.01%)']","[' 24848    (Ratio', '   0.27%)']","[' 9081561  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9081561  (Average', ' 22.84 Max', ' 3690 Sum', ' 207438998)']","[' 9081143  (Average', ' 22.79 Max', ' 3690 Sum', ' 206959849 Ratio', '  99.77%)']","[' 418      (Average', ' 1146.29 Max', ' 3028 Sum', ' 479149 Ratio', '   0.23%)']", ,[' 93066   '],[' 6023    '],[' 87106   '],[' 39498   '],"[' 116247   (Atom=Atom', ' 30373 Body=Body', ' 20091 Other', ' 65783)']",[' Yes'],"[' 8136     (Eliminated', '    0 Frozen', ' 8136)']","[' 3639     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.85978'],[' 0'], ,[' 321.748'],[' 0'],[' 16.4898'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.31232e+08'],[' 6.10019e+08'],[' 0'],[' 1.84391e+10'],[' 0'],[' 0'],[' 1048 '],[' 2056 '],[' 3253 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(14), , , , ,[' 1'],[' 3739+'],[' 1873'],"[' 602.193s (Solving', ' 593.89s 1st Model', ' 207.96s Unsat', ' 0.00s)']",[' 600.719s'], ,[' 232737830'],"[' 8767468  (Analyzed', ' 8434749)']","[' 18596    (Average', ' 453.58 Last', ' 409426)']",[' 3579.1  '],"[' 1873     (Average Length', ' 974.06 Splits', ' 0)']","[' 8434749  (Deleted', ' 8351614)']","[' 423      (Ratio', '   0.01%)']","[' 30176    (Ratio', '   0.36%)']","[' 8434749  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8434749  (Average', ' 26.97 Max', ' 3545 Sum', ' 227467441)']","[' 8434301  (Average', ' 26.91 Max', ' 3514 Sum', ' 226985773 Ratio', '  99.79%)']","[' 448      (Average', ' 1075.15 Max', ' 1210 Sum', ' 481668 Ratio', '   0.21%)']", ,[' 92975   '],[' 6036    '],[' 86869   '],[' 39389   '],"[' 115962   (Atom=Atom', ' 30262 Body=Body', ' 20130 Other', ' 65570)']",[' Yes'],"[' 8004     (Eliminated', '    0 Frozen', ' 8004)']","[' 4375     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68415'],[' 0'], ,[' 308.242'],[' 0'],[' 16.9386'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.78876e+08'],[' 6.50651e+08'],[' 0'],[' 1.68203e+10'],[' 0'],[' 0'],[' 1041 '],[' 2084 '],[' 3284 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(15), , , , ,[' 1'],[' 3807+'],[' 1907'],"[' 601.842s (Solving', ' 593.24s 1st Model', ' 171.77s Unsat', ' 0.00s)']",[' 600.328s'], ,[' 208096313'],"[' 9753478  (Analyzed', ' 9332868)']","[' 20059    (Average', ' 465.27 Last', ' 599406)']",[' 3746.1  '],"[' 1907     (Average Length', ' 1000.64 Splits', ' 0)']","[' 9332868  (Deleted', ' 9239178)']","[' 416      (Ratio', '   0.00%)']","[' 24501    (Ratio', '   0.26%)']","[' 9332868  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9332868  (Average', ' 21.68 Max', ' 3534 Sum', ' 202335475)']","[' 9332428  (Average', ' 21.63 Max', ' 3534 Sum', ' 201880903 Ratio', '  99.78%)']","[' 440      (Average', ' 1033.12 Max', ' 2571 Sum', ' 454572 Ratio', '   0.22%)']", ,[' 92766   '],[' 5993    '],[' 86737   '],[' 39247   '],"[' 115398   (Atom=Atom', ' 30124 Body=Body', ' 20001 Other', ' 65273)']",[' Yes'],"[' 8036     (Eliminated', '    0 Frozen', ' 8036)']","[' 3942     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.83712'],[' 0'], ,[' 327.803'],[' 0'],[' 16.5603'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.99082e+08'],[' 5.7647e+08'],[' 0'],[' 1.95492e+10'],[' 0'],[' 0'],[' 1053 '],[' 2067 '],[' 3290 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(2), , , , ,[' 1'],[' 4343+'],[' 2175'],"[' 602.655s (Solving', ' 593.10s 1st Model', ' 396.63s Unsat', ' 0.00s)']",[' 601.391s'], ,[' 177544507'],"[' 12098715 (Analyzed', ' 11370708)']","[' 26893    (Average', ' 422.81 Last', ' 1167792)']",[' 4162.8  '],"[' 2175     (Average Length', ' 1132.99 Splits', ' 0)']","[' 11370708 (Deleted', ' 11303125)']","[' 742      (Ratio', '   0.01%)']","[' 15160    (Ratio', '   0.13%)']","[' 11370708 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11370708 (Average', ' 14.95 Max', ' 4389 Sum', ' 169997155)']","[' 11370413 (Average', ' 14.92 Max', ' 4389 Sum', ' 169701030 Ratio', '  99.83%)']","[' 295      (Average', ' 1003.81 Max', ' 1721 Sum', ' 296125 Ratio', '   0.17%)']", ,[' 92595   '],[' 5916    '],[' 86773   '],[' 39163   '],"[' 115148   (Atom=Atom', ' 30098 Body=Body', ' 19776 Other', ' 65274)']",[' Yes'],"[' 8186     (Eliminated', '    0 Frozen', ' 8186)']","[' 1667     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.90696'],[' 0'], ,[' 349.196'],[' 0'],[' 15.6327'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.00993e+08'],[' 4.77183e+08'],[' 0'],[' 1.8242e+10'],[' 0'],[' 0'],[' 1123 '],[' 2216 '],[' 3416 '],[' 3 '],[' 0 ']
Solving...,TA59_Clus(3), , , , , ,[' 3969'],[' 1988'],"[' 566.802s (Solving', ' 558.08s 1st Model', ' 295.29s Unsat', ' 17.15s)']",[' 565.047s'], ,[' 180964460'],"[' 11323403 (Analyzed', ' 10630000)']","[' 25126    (Average', ' 423.07 Last', ' 924167)']",[' 4023.8  '],"[' 1988     (Average Length', ' 1040.06 Splits', ' 0)']","[' 10630000 (Deleted', ' 10552754)']","[' 688      (Ratio', '   0.01%)']","[' 17477    (Ratio', '   0.16%)']","[' 10630000 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10630000 (Average', ' 16.39 Max', ' 4228 Sum', ' 174190340)']","[' 10629636 (Average', ' 16.36 Max', ' 4228 Sum', ' 173865450 Ratio', '  99.81%)']","[' 364      (Average', ' 892.55 Max', ' 1306 Sum', ' 324890 Ratio', '   0.19%)']", ,[' 92494   '],[' 5947    '],[' 86546   '],[' 39082   '],"[' 114935   (Atom=Atom', ' 30021 Body=Body', ' 19863 Other', ' 65051)']",[' Yes'],"[' 8040     (Eliminated', '    0 Frozen', ' 8040)']","[' 2311     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78955'],[' 0'], ,[' 323.564'],[' 0'],[' 14.8706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.71567e+08'],[' 4.53834e+08'],[' 0'],[' 1.67704e+10'],[' 0'],[' 0'],[' 1170 '],[' 2249 '],[' 3301 '],[' 2 '],[' 1 ']
Solving...,TA59_Clus(4), , , , ,[' 1'],[' 4253+'],[' 2130'],"[' 602.522s (Solving', ' 592.30s 1st Model', ' 291.11s Unsat', ' 0.00s)']",[' 600.844s'], ,[' 192541085'],"[' 11293992 (Analyzed', ' 10637682)']","[' 24834    (Average', ' 428.35 Last', ' 1187957)']",[' 4087.4  '],"[' 2130     (Average Length', ' 1096.48 Splits', ' 0)']","[' 10637682 (Deleted', ' 10571446)']","[' 643      (Ratio', '   0.01%)']","[' 17732    (Ratio', '   0.17%)']","[' 10637682 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10637682 (Average', ' 17.43 Max', ' 4164 Sum', ' 185387700)']","[' 10637316 (Average', ' 17.39 Max', ' 4164 Sum', ' 185006664 Ratio', '  99.79%)']","[' 366      (Average', ' 1041.08 Max', ' 1322 Sum', ' 381036 Ratio', '   0.21%)']", ,[' 92778   '],[' 5975    '],[' 86971   '],[' 39340   '],"[' 115813   (Atom=Atom', ' 30275 Body=Body', ' 19947 Other', ' 65591)']",[' Yes'],"[' 8211     (Eliminated', '    0 Frozen', ' 8211)']","[' 2360     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.94647'],[' 0'], ,[' 341.683'],[' 0'],[' 15.8059'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39977e+08'],[' 5.16158e+08'],[' 0'],[' 1.7875e+10'],[' 0'],[' 0'],[' 1109 '],[' 2194 '],[' 3339 '],[' 3 '],[' 0 ']
