Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 6567+'],[' 3290'],"[' 619.952s (Solving', ' 571.42s 1st Model', ' 79.47s Unsat', ' 0.00s)']",[' 607.938s'], ,[' 225639113'],"[' 4149891  (Analyzed', ' 3708614)']","[' 8900     (Average', ' 416.70 Last', ' 36545)']",[' 9609.6  '],"[' 3290     (Average Length', ' 1755.74 Splits', ' 0)']","[' 3708614  (Deleted', ' 3618802)']","[' 333      (Ratio', '   0.01%)']","[' 35603    (Ratio', '   0.96%)']","[' 3708614  (Average Length', '   26.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3708614  (Average', ' 55.14 Max', ' 12894 Sum', ' 204479133)']","[' 3705388  (Average', ' 53.67 Max', ' 12894 Sum', ' 199038617 Ratio', '  97.34%)']","[' 3226     (Average', ' 1686.46 Max', ' 2357 Sum', ' 5440516 Ratio', '   2.66%)']", ,[' 350902  '],[' 19648   '],[' 319811  '],[' 142648  '],"[' 362088   (Atom=Atom', ' 98422 Body=Body', ' 68025 Other', ' 195641)']",[' Yes'],"[' 23903    (Eliminated', '    0 Frozen', ' 23903)']","[' 6789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.78619'],[' 0'], ,[' 229.278'],[' 0'],[' 16.3079'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90515e+08'],[' 3.44705e+08'],[' 0'],[' 9.76787e+09'],[' 0'],[' 0'],[' 1559 '],[' 2763 '],[' 3832 '],[' 4796 '],[' 5759 '],[' 6313 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 7627+'],[' 3820'],"[' 613.906s (Solving', ' 561.88s 1st Model', ' 115.73s Unsat', ' 0.00s)']",[' 610.156s'], ,[' 219571519'],"[' 4256171  (Analyzed', ' 3566799)']","[' 9321     (Average', ' 382.66 Last', ' 135143)']",[' 9401.5  '],"[' 3820     (Average Length', ' 1962.63 Splits', ' 0)']","[' 3566799  (Deleted', ' 3480575)']","[' 274      (Ratio', '   0.01%)']","[' 32810    (Ratio', '   0.92%)']","[' 3566799  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3566799  (Average', ' 55.06 Max', ' 12726 Sum', ' 196397985)']","[' 3563673  (Average', ' 53.31 Max', ' 12726 Sum', ' 190147623 Ratio', '  96.82%)']","[' 3126     (Average', ' 1999.48 Max', ' 2716 Sum', ' 6250362 Ratio', '   3.18%)']", ,[' 349204  '],[' 19197   '],[' 317901  '],[' 141103  '],"[' 357989   (Atom=Atom', ' 97532 Body=Body', ' 66919 Other', ' 193538)']",[' Yes'],"[' 23846    (Eliminated', '    0 Frozen', ' 23846)']","[' 6349     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.66196'],[' 0'], ,[' 220.483'],[' 0'],[' 15.5332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.99215e+08'],[' 3.50086e+08'],[' 0'],[' 1.01279e+10'],[' 0'],[' 0'],[' 1144 '],[' 2344 '],[' 3361 '],[' 4409 '],[' 5178 '],[' 5972 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 7093+'],[' 3553'],"[' 613.141s (Solving', ' 564.56s 1st Model', ' 89.11s Unsat', ' 0.00s)']",[' 605.891s'], ,[' 233990468'],"[' 6039227  (Analyzed', ' 4969314)']","[' 11791    (Average', ' 421.45 Last', ' 11641)']",[' 9973.8  '],"[' 3553     (Average Length', ' 1865.80 Splits', ' 0)']","[' 4969314  (Deleted', ' 4886249)']","[' 303      (Ratio', '   0.01%)']","[' 27888    (Ratio', '   0.56%)']","[' 4969314  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4969314  (Average', ' 42.08 Max', ' 13264 Sum', ' 209094396)']","[' 4966205  (Average', ' 40.99 Max', ' 13264 Sum', ' 203696192 Ratio', '  97.42%)']","[' 3109     (Average', ' 1736.32 Max', ' 3238 Sum', ' 5398204 Ratio', '   2.58%)']", ,[' 348080  '],[' 19295   '],[' 317309  '],[' 140565  '],"[' 358924   (Atom=Atom', ' 97644 Body=Body', ' 67225 Other', ' 194055)']",[' Yes'],"[' 23758    (Eliminated', '    0 Frozen', ' 23758)']","[' 5419     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.98411'],[' 0'], ,[' 245.628'],[' 0'],[' 16.5099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.4892e+08'],[' 3.04982e+08'],[' 0'],[' 1.15233e+10'],[' 0'],[' 0'],[' 1749 '],[' 2634 '],[' 3517 '],[' 4617 '],[' 5418 '],[' 6436 '],[' 6 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 7677+'],[' 3845'],"[' 614.924s (Solving', ' 560.03s 1st Model', ' 88.42s Unsat', ' 0.00s)']",[' 609.844s'], ,[' 211954445'],"[' 5407464  (Analyzed', ' 4561153)']","[' 10774    (Average', ' 423.35 Last', ' 5378)']",[' 9857.8  '],"[' 3845     (Average Length', ' 1981.64 Splits', ' 0)']","[' 4561153  (Deleted', ' 4464642)']","[' 354      (Ratio', '   0.01%)']","[' 29223    (Ratio', '   0.64%)']","[' 4561153  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4561153  (Average', ' 40.92 Max', ' 12540 Sum', ' 186627621)']","[' 4557715  (Average', ' 39.55 Max', ' 12540 Sum', ' 180375281 Ratio', '  96.65%)']","[' 3438     (Average', ' 1818.60 Max', ' 2703 Sum', ' 6252340 Ratio', '   3.35%)']", ,[' 350138  '],[' 19265   '],[' 318749  '],[' 141719  '],"[' 358951   (Atom=Atom', ' 97741 Body=Body', ' 66997 Other', ' 194213)']",[' Yes'],"[' 24000    (Eliminated', '    0 Frozen', ' 24000)']","[' 5832     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0177'],[' 0'], ,[' 228.8'],[' 0'],[' 15.4405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.45332e+08'],[' 3.02046e+08'],[' 0'],[' 1.02913e+10'],[' 0'],[' 0'],[' 1264 '],[' 2407 '],[' 3525 '],[' 4276 '],[' 5375 '],[' 6007 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 6855+'],[' 3434'],"[' 612.521s (Solving', ' 568.99s 1st Model', ' 71.59s Unsat', ' 0.00s)']",[' 609.672s'], ,[' 233396466'],"[' 5855572  (Analyzed', ' 5038765)']","[' 12224    (Average', ' 412.20 Last', ' 7635)']",[' 9478.7  '],"[' 3434     (Average Length', ' 1791.84 Splits', ' 0)']","[' 5038765  (Deleted', ' 4944489)']","[' 302      (Ratio', '   0.01%)']","[' 29947    (Ratio', '   0.59%)']","[' 5038765  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5038765  (Average', ' 41.96 Max', ' 12986 Sum', ' 211436423)']","[' 5035462  (Average', ' 40.82 Max', ' 12986 Sum', ' 205705444 Ratio', '  97.29%)']","[' 3303     (Average', ' 1735.08 Max', ' 2529 Sum', ' 5730979 Ratio', '   2.71%)']", ,[' 350983  '],[' 19464   '],[' 319538  '],[' 142320  '],"[' 358920   (Atom=Atom', ' 97677 Body=Body', ' 67215 Other', ' 194028)']",[' Yes'],"[' 23718    (Eliminated', '    0 Frozen', ' 23718)']","[' 5689     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.13387'],[' 0'], ,[' 262.454'],[' 0'],[' 16.3585'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65995e+08'],[' 3.21137e+08'],[' 0'],[' 1.34853e+10'],[' 0'],[' 0'],[' 1576 '],[' 2686 '],[' 3546 '],[' 4448 '],[' 5778 '],[' 6245 '],[' 6 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 7487+'],[' 3750'],"[' 613.052s (Solving', ' 565.38s 1st Model', ' 73.65s Unsat', ' 0.00s)']",[' 610.516s'], ,[' 219250680'],"[' 6762547  (Analyzed', ' 6152927)']","[' 13378    (Average', ' 459.93 Last', ' 6487)']",[' 9850.0  '],"[' 3750     (Average Length', ' 1934.21 Splits', ' 0)']","[' 6152927  (Deleted', ' 6054052)']","[' 269      (Ratio', '   0.00%)']","[' 26433    (Ratio', '   0.43%)']","[' 6152927  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6152927  (Average', ' 31.54 Max', ' 13383 Sum', ' 194074810)']","[' 6149915  (Average', ' 30.63 Max', ' 13383 Sum', ' 188486909 Ratio', '  97.12%)']","[' 3012     (Average', ' 1855.21 Max', ' 2728 Sum', ' 5587901 Ratio', '   2.88%)']", ,[' 350043  '],[' 19164   '],[' 318120  '],[' 141512  '],"[' 357014   (Atom=Atom', ' 97236 Body=Body', ' 66738 Other', ' 193040)']",[' Yes'],"[' 23812    (Eliminated', '    0 Frozen', ' 23812)']","[' 5018     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.00403'],[' 0'], ,[' 256.384'],[' 0'],[' 15.2681'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38753e+08'],[' 2.92673e+08'],[' 0'],[' 1.3143e+10'],[' 0'],[' 0'],[' 1286 '],[' 2394 '],[' 3323 '],[' 4412 '],[' 5103 '],[' 6247 '],[' 6 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 8085+'],[' 4049'],"[' 613.772s (Solving', ' 561.47s 1st Model', ' 82.83s Unsat', ' 0.00s)']",[' 611.563s'], ,[' 216308931'],"[' 6583380  (Analyzed', ' 5358214)']","[' 12402    (Average', ' 432.04 Last', ' 27828)']",[' 10224.4 '],"[' 4049     (Average Length', ' 2064.39 Splits', ' 0)']","[' 5358214  (Deleted', ' 5265429)']","[' 266      (Ratio', '   0.00%)']","[' 27734    (Ratio', '   0.52%)']","[' 5358214  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5358214  (Average', ' 34.91 Max', ' 13146 Sum', ' 187059332)']","[' 5355251  (Average', ' 33.90 Max', ' 13146 Sum', ' 181657326 Ratio', '  97.11%)']","[' 2963     (Average', ' 1823.15 Max', ' 2864 Sum', ' 5402006 Ratio', '   2.89%)']", ,[' 349258  '],[' 19140   '],[' 318169  '],[' 141047  '],"[' 357070   (Atom=Atom', ' 97317 Body=Body', ' 66528 Other', ' 193225)']",[' Yes'],"[' 24024    (Eliminated', '    0 Frozen', ' 24024)']","[' 5538     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.99704'],[' 0'], ,[' 242.953'],[' 0'],[' 14.569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.5461e+08'],[' 3.07077e+08'],[' 0'],[' 1.24686e+10'],[' 0'],[' 0'],[' 1575 '],[' 2239 '],[' 3290 '],[' 4456 '],[' 5378 '],[' 6234 '],[' 6 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 8171+'],[' 4092'],"[' 613.483s (Solving', ' 563.89s 1st Model', ' 75.58s Unsat', ' 0.00s)']",[' 611.859s'], ,[' 233208949'],"[' 6049648  (Analyzed', ' 5167209)']","[' 12051    (Average', ' 428.78 Last', ' 9022)']",[' 9353.4  '],"[' 4092     (Average Length', ' 2085.33 Splits', ' 0)']","[' 5167209  (Deleted', ' 5067386)']","[' 359      (Ratio', '   0.01%)']","[' 30070    (Ratio', '   0.58%)']","[' 5167209  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5167209  (Average', ' 40.55 Max', ' 12850 Sum', ' 209529022)']","[' 5163705  (Average', ' 39.11 Max', ' 12850 Sum', ' 202114038 Ratio', '  96.46%)']","[' 3504     (Average', ' 2116.15 Max', ' 3034 Sum', ' 7414984 Ratio', '   3.54%)']", ,[' 348861  '],[' 19160   '],[' 318000  '],[' 141103  '],"[' 358150   (Atom=Atom', ' 97599 Body=Body', ' 66769 Other', ' 193782)']",[' Yes'],"[' 24062    (Eliminated', '    0 Frozen', ' 24062)']","[' 5567     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.16908'],[' 0'], ,[' 240.58'],[' 0'],[' 15.5824'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.81266e+08'],[' 3.32313e+08'],[' 0'],[' 1.25573e+10'],[' 0'],[' 0'],[' 1294 '],[' 2404 '],[' 3404 '],[' 4248 '],[' 5428 '],[' 6017 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 7497+'],[' 3755'],"[' 614.060s (Solving', ' 567.46s 1st Model', ' 86.48s Unsat', ' 0.00s)']",[' 612.719s'], ,[' 242304654'],"[' 5161412  (Analyzed', ' 4628498)']","[' 10993    (Average', ' 421.04 Last', ' 54210)']",[' 9022.8  '],"[' 3755     (Average Length', ' 1979.86 Splits', ' 0)']","[' 4628498  (Deleted', ' 4528574)']","[' 355      (Ratio', '   0.01%)']","[' 40160    (Ratio', '   0.87%)']","[' 4628498  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4628498  (Average', ' 47.84 Max', ' 11815 Sum', ' 221447921)']","[' 4625221  (Average', ' 46.44 Max', ' 11815 Sum', ' 214953656 Ratio', '  97.07%)']","[' 3277     (Average', ' 1981.77 Max', ' 2853 Sum', ' 6494265 Ratio', '   2.93%)']", ,[' 350623  '],[' 19261   '],[' 318950  '],[' 141659  '],"[' 359074   (Atom=Atom', ' 97773 Body=Body', ' 67134 Other', ' 194167)']",[' Yes'],"[' 23955    (Eliminated', '    0 Frozen', ' 23955)']","[' 7896     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.50742'],[' 0'], ,[' 238.27'],[' 0'],[' 16.2703'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.36232e+08'],[' 3.82079e+08'],[' 0'],[' 1.20743e+10'],[' 0'],[' 0'],[' 1252 '],[' 2254 '],[' 3198 '],[' 4345 '],[' 5048 '],[' 6208 '],[' 6 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 6943+'],[' 3478'],"[' 612.691s (Solving', ' 567.28s 1st Model', ' 107.82s Unsat', ' 0.02s)']",[' 611.547s'], ,[' 268865821'],"[' 5741719  (Analyzed', ' 4958237)']","[' 11487    (Average', ' 431.64 Last', ' 16498)']",[' 9803.4  '],"[' 3478     (Average Length', ' 1825.79 Splits', ' 0)']","[' 4958237  (Deleted', ' 4859837)']","[' 379      (Ratio', '   0.01%)']","[' 40020    (Ratio', '   0.81%)']","[' 4958237  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4958237  (Average', ' 49.52 Max', ' 12030 Sum', ' 245511840)']","[' 4954767  (Average', ' 48.38 Max', ' 12030 Sum', ' 239888713 Ratio', '  97.71%)']","[' 3470     (Average', ' 1620.50 Max', ' 2542 Sum', ' 5623127 Ratio', '   2.29%)']", ,[' 347106  '],[' 19321   '],[' 316788  '],[' 139850  '],"[' 358474   (Atom=Atom', ' 97580 Body=Body', ' 67222 Other', ' 193672)']",[' Yes'],"[' 23686    (Eliminated', '    0 Frozen', ' 23686)']","[' 7258     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.54882'],[' 0'], ,[' 241.488'],[' 0'],[' 17.5583'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.33812e+08'],[' 3.79535e+08'],[' 0'],[' 1.20388e+10'],[' 0'],[' 0'],[' 1597 '],[' 2627 '],[' 3422 '],[' 4215 '],[' 5050 '],[' 5803 '],[' 6 '],[' 0 ']
