Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNSATISFIABLE,TA61,[' 3519'],[' 1765'],"[' 495.391s (Solving', ' 488.06s 1st Model', ' 7.91s Unsat', ' 1.29s)']",[' 494.453s'], ,[' 69116101'],"[' 21842351 (Analyzed', ' 21559906)']","[' 42894    (Average', ' 502.63 Last', ' 75404)']",[' 3043.7  '],"[' 1765     (Average Length', ' 938.23 Splits', ' 0)']","[' 21559906 (Deleted', ' 21279362)']","[' 76       (Ratio', '   0.00%)']","[' 6979     (Ratio', '   0.03%)']","[' 21559906 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21559906 (Average', '  3.02 Max', ' 4226 Sum', ' 65106748)']","[' 21559233 (Average', '  2.99 Max', ' 3171 Sum', ' 64492461 Ratio', '  99.06%)']","[' 673      (Average', ' 912.76 Max', ' 1245 Sum', ' 614287 Ratio', '   0.94%)']", ,[' 98079   '],[' 4678    '],[' 90341   '],[' 36304   '],"[' 97151    (Atom=Atom', ' 27089 Body=Body', ' 16914 Other', ' 53148)']",[' Yes'],"[' 6848     (Eliminated', '    0 Frozen', ' 6848)']","[' 1340     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67217'],[' 0'], ,[' 310.503'],[' 0'],[' 8.70105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63798e+08'],[' 9.81368e+07'],[' 0'],[' 2.04875e+10'],[' 0'],[' 0'],[' 761 '],[' 1380 '],[' 1959 '],[' 2679 '],[' 3263 '],[' 4 '],[' 1 ']
UNSATISFIABLE,TA62,[' 3347'],[' 1679'],"[' 415.897s (Solving', ' 408.55s 1st Model', ' 17.24s Unsat', ' 34.67s)']",[' 415.406s'], ,[' 54905214'],"[' 15599256 (Analyzed', ' 15395890)']","[' 30336    (Average', ' 507.51 Last', ' 109322)']",[' 3033.9  '],"[' 1679     (Average Length', ' 903.11 Splits', ' 0)']","[' 15395890 (Deleted', ' 15208175)']","[' 79       (Ratio', '   0.00%)']","[' 9054     (Ratio', '   0.06%)']","[' 15395890 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15395890 (Average', '  3.33 Max', ' 3557 Sum', ' 51238716)']","[' 15395225 (Average', '  3.29 Max', ' 3247 Sum', ' 50685991 Ratio', '  98.92%)']","[' 665      (Average', ' 831.17 Max', ' 1462 Sum', ' 552725 Ratio', '   1.08%)']", ,[' 98202   '],[' 4739    '],[' 90452   '],[' 36359   '],"[' 97894    (Atom=Atom', ' 27247 Body=Body', ' 17097 Other', ' 53550)']",[' Yes'],"[' 6825     (Eliminated', '    0 Frozen', ' 6825)']","[' 1617     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68588'],[' 0'], ,[' 269.719'],[' 0'],[' 6.867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34077e+08'],[' 8.35456e+07'],[' 0'],[' 1.75653e+10'],[' 0'],[' 0'],[' 724 '],[' 1447 '],[' 2104 '],[' 2618 '],[' 3226 '],[' 3 '],[' 2 ']
UNSATISFIABLE,TA63,[' 3339'],[' 1675'],"[' 169.824s (Solving', ' 162.40s 1st Model', ' 11.05s Unsat', ' 7.80s)']",[' 169.484s'], ,[' 31612203'],"[' 8060255  (Analyzed', ' 7856069)']","[' 15065    (Average', ' 521.48 Last', ' 38419)']",[' 3132.9  '],"[' 1675     (Average Length', ' 883.04 Splits', ' 0)']","[' 7856069  (Deleted', ' 7722883)']","[' 102      (Ratio', '   0.00%)']","[' 5930     (Ratio', '   0.08%)']","[' 7856069  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7856069  (Average', '  3.54 Max', ' 4210 Sum', ' 27845817)']","[' 7855462  (Average', '  3.49 Max', ' 3453 Sum', ' 27409717 Ratio', '  98.43%)']","[' 607      (Average', ' 718.45 Max', ' 2428 Sum', ' 436100 Ratio', '   1.57%)']", ,[' 97865   '],[' 4683    '],[' 90042   '],[' 36201   '],"[' 96935    (Atom=Atom', ' 27019 Body=Body', ' 16929 Other', ' 52987)']",[' Yes'],"[' 6740     (Eliminated', '    0 Frozen', ' 6740)']","[' 878      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65767'],[' 0'], ,[' 81.2677'],[' 0'],[' 3.30857'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.61511e+07'],[' 5.12033e+07'],[' 0'],[' 4.32435e+09'],[' 0'],[' 0'],[' 826 '],[' 1305 '],[' 1907 '],[' 2516 '],[' 3035 '],[' 1 '],[' 4 ']
UNSATISFIABLE,TA64,[' 3115'],[' 1563'],"[' 287.887s (Solving', ' 280.70s 1st Model', ' 6.76s Unsat', ' 18.53s)']",[' 286.844s'], ,[' 44110266'],"[' 14579455 (Analyzed', ' 14398893)']","[' 27206    (Average', ' 529.25 Last', ' 41292)']",[' 2975.8  '],"[' 1563     (Average Length', ' 847.40 Splits', ' 0)']","[' 14398893 (Deleted', ' 14219714)']","[' 67       (Ratio', '   0.00%)']","[' 6156     (Ratio', '   0.04%)']","[' 14398893 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14398893 (Average', '  2.82 Max', ' 3871 Sum', ' 40649583)']","[' 14398253 (Average', '  2.79 Max', ' 3274 Sum', ' 40179170 Ratio', '  98.84%)']","[' 640      (Average', ' 735.02 Max', ' 1090 Sum', ' 470413 Ratio', '   1.16%)']", ,[' 97601   '],[' 4700    '],[' 89800   '],[' 36002   '],"[' 96881    (Atom=Atom', ' 26975 Body=Body', ' 16980 Other', ' 52926)']",[' Yes'],"[' 6670     (Eliminated', '    0 Frozen', ' 6670)']","[' 972      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.55563'],[' 0'], ,[' 163.888'],[' 0'],[' 4.85065'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05585e+08'],[' 6.41178e+07'],[' 0'],[' 1.02589e+10'],[' 0'],[' 0'],[' 811 '],[' 1480 '],[' 1951 '],[' 2585 '],[' 3092 '],[' 2 '],[' 3 ']
UNSATISFIABLE,TA65,[' 3381'],[' 1696'],"[' 479.481s (Solving', ' 471.89s 1st Model', ' 9.70s Unsat', ' 96.79s)']",[' 478.906s'], ,[' 63416196'],"[' 20705149 (Analyzed', ' 20536078)']","[' 39149    (Average', ' 524.56 Last', ' 47801)']",[' 2732.7  '],"[' 1696     (Average Length', ' 896.28 Splits', ' 0)']","[' 20536078 (Deleted', ' 20240689)']","[' 92       (Ratio', '   0.00%)']","[' 9547     (Ratio', '   0.05%)']","[' 20536078 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20536078 (Average', '  2.93 Max', ' 3527 Sum', ' 60152808)']","[' 20535398 (Average', '  2.90 Max', ' 3527 Sum', ' 59571074 Ratio', '  99.03%)']","[' 680      (Average', ' 855.49 Max', ' 1195 Sum', ' 581734 Ratio', '   0.97%)']", ,[' 97865   '],[' 4647    '],[' 90038   '],[' 36107   '],"[' 96500    (Atom=Atom', ' 26896 Body=Body', ' 16821 Other', ' 52783)']",[' Yes'],"[' 6727     (Eliminated', '    0 Frozen', ' 6727)']","[' 1891     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63547'],[' 0'], ,[' 301.545'],[' 0'],[' 8.50449'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6278e+08'],[' 9.77386e+07'],[' 0'],[' 2.0269e+10'],[' 0'],[' 0'],[' 720 '],[' 1241 '],[' 1826 '],[' 2504 '],[' 3067 '],[' 3 '],[' 2 ']
UNSATISFIABLE,TA66,[' 3001'],[' 1506'],"[' 383.123s (Solving', ' 376.16s 1st Model', ' 8.12s Unsat', ' 1.17s)']",[' 382.266s'], ,[' 44667609'],"[' 16758494 (Analyzed', ' 16569315)']","[' 31672    (Average', ' 523.15 Last', ' 17472)']",[' 2937.7  '],"[' 1506     (Average Length', ' 809.07 Splits', ' 0)']","[' 16569315 (Deleted', ' 16346609)']","[' 60       (Ratio', '   0.00%)']","[' 5820     (Ratio', '   0.04%)']","[' 16569315 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16569315 (Average', '  2.49 Max', ' 4285 Sum', ' 41314500)']","[' 16568684 (Average', '  2.47 Max', ' 4285 Sum', ' 40851526 Ratio', '  98.88%)']","[' 631      (Average', ' 733.71 Max', ' 1041 Sum', ' 462974 Ratio', '   1.12%)']", ,[' 97687   '],[' 4725    '],[' 89876   '],[' 36029   '],"[' 97158    (Atom=Atom', ' 27018 Body=Body', ' 17055 Other', ' 53085)']",[' Yes'],"[' 6654     (Eliminated', '    0 Frozen', ' 6654)']","[' 1036     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48126'],[' 0'], ,[' 244.229'],[' 0'],[' 6.6301'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0832e+08'],[' 6.31606e+07'],[' 0'],[' 1.51386e+10'],[' 0'],[' 0'],[' 761 '],[' 1373 '],[' 1997 '],[' 2672 '],[' 3234 '],[' 3 '],[' 2 ']
UNSATISFIABLE,TA67,[' 3309'],[' 1660'],"[' 388.344s (Solving', ' 380.58s 1st Model', ' 16.52s Unsat', ' 5.30s)']",[' 387.344s'], ,[' 71313067'],"[' 14785581 (Analyzed', ' 14606191)']","[' 27563    (Average', ' 529.92 Last', ' 136892)']",[' 2968.5  '],"[' 1660     (Average Length', ' 878.60 Splits', ' 0)']","[' 14606191 (Deleted', ' 14438689)']","[' 116      (Ratio', '   0.00%)']","[' 8820     (Ratio', '   0.06%)']","[' 14606191 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14606191 (Average', '  4.63 Max', ' 4281 Sum', ' 67672130)']","[' 14605554 (Average', '  4.60 Max', ' 3608 Sum', ' 67145678 Ratio', '  99.22%)']","[' 637      (Average', ' 826.46 Max', ' 1162 Sum', ' 526452 Ratio', '   0.78%)']", ,[' 98785   '],[' 4820    '],[' 90937   '],[' 36780   '],"[' 98987    (Atom=Atom', ' 27552 Body=Body', ' 17340 Other', ' 54095)']",[' Yes'],"[' 6886     (Eliminated', '    0 Frozen', ' 6886)']","[' 1697     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.62692'],[' 0'], ,[' 239.393'],[' 0'],[' 7.80635'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83242e+08'],[' 1.23296e+08'],[' 0'],[' 1.46203e+10'],[' 0'],[' 0'],[' 851 '],[' 1381 '],[' 2008 '],[' 2835 '],[' 3261 '],[' 3 '],[' 2 ']
UNSATISFIABLE,TA68,[' 3209'],[' 1610'],"[' 313.231s (Solving', ' 305.51s 1st Model', ' 12.94s Unsat', ' 36.46s)']",[' 311.625s'], ,[' 43093992'],"[' 16288942 (Analyzed', ' 16124455)']","[' 31919    (Average', ' 505.17 Last', ' 45285)']",[' 3008.9  '],"[' 1610     (Average Length', ' 855.43 Splits', ' 0)']","[' 16124455 (Deleted', ' 15891756)']","[' 94       (Ratio', '   0.00%)']","[' 6954     (Ratio', '   0.04%)']","[' 16124455 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16124455 (Average', '  2.45 Max', ' 3308 Sum', ' 39468096)']","[' 16123857 (Average', '  2.42 Max', ' 3308 Sum', ' 39022907 Ratio', '  98.87%)']","[' 598      (Average', ' 744.46 Max', ' 1127 Sum', ' 445189 Ratio', '   1.13%)']", ,[' 97496   '],[' 4621    '],[' 89677   '],[' 35846   '],"[' 95841    (Atom=Atom', ' 26706 Body=Body', ' 16743 Other', ' 52392)']",[' Yes'],"[' 6643     (Eliminated', '    0 Frozen', ' 6643)']","[' 1047     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5842'],[' 0'], ,[' 178.137'],[' 0'],[' 4.92296'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04768e+08'],[' 6.00333e+07'],[' 0'],[' 1.13387e+10'],[' 0'],[' 0'],[' 687 '],[' 1329 '],[' 1863 '],[' 2449 '],[' 3034 '],[' 2 '],[' 3 ']
UNSATISFIABLE,TA69,[' 3093'],[' 1552'],"[' 337.990s (Solving', ' 330.92s 1st Model', ' 8.89s Unsat', ' 66.36s)']",[' 336.781s'], ,[' 42757111'],"[' 15516548 (Analyzed', ' 15323381)']","[' 29610    (Average', ' 517.51 Last', ' 6486)']",[' 3016.8  '],"[' 1552     (Average Length', ' 837.52 Splits', ' 0)']","[' 15323381 (Deleted', ' 15116639)']","[' 58       (Ratio', '   0.00%)']","[' 5446     (Ratio', '   0.04%)']","[' 15323381 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15323381 (Average', '  2.56 Max', ' 4426 Sum', ' 39270996)']","[' 15322662 (Average', '  2.53 Max', ' 3363 Sum', ' 38735196 Ratio', '  98.64%)']","[' 719      (Average', ' 745.20 Max', ' 1092 Sum', ' 535800 Ratio', '   1.36%)']", ,[' 96866   '],[' 4710    '],[' 89394   '],[' 35620   '],"[' 97034    (Atom=Atom', ' 27004 Body=Body', ' 17010 Other', ' 53020)']",[' Yes'],"[' 6668     (Eliminated', '    0 Frozen', ' 6668)']","[' 1043     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52019'],[' 0'], ,[' 207.748'],[' 0'],[' 6.17665'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00841e+08'],[' 5.7868e+07'],[' 0'],[' 1.29634e+10'],[' 0'],[' 0'],[' 915 '],[' 1635 '],[' 2240 '],[' 2760 '],[' 3362 '],[' 2 '],[' 3 ']
UNSATISFIABLE,TA70,[' 3099'],[' 1555'],"[' 384.042s (Solving', ' 376.87s 1st Model', ' 6.37s Unsat', ' 0.11s)']",[' 383.297s'], ,[' 64474479'],"[' 16060617 (Analyzed', ' 15915706)']","[' 27274    (Average', ' 583.55 Last', ' 253382)']",[' 2981.2  '],"[' 1555     (Average Length', ' 842.85 Splits', ' 0)']","[' 15915706 (Deleted', ' 15737776)']","[' 110      (Ratio', '   0.00%)']","[' 6764     (Ratio', '   0.04%)']","[' 15915706 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15915706 (Average', '  3.84 Max', ' 3947 Sum', ' 61092016)']","[' 15915023 (Average', '  3.80 Max', ' 3331 Sum', ' 60549109 Ratio', '  99.11%)']","[' 683      (Average', ' 794.89 Max', ' 1097 Sum', ' 542907 Ratio', '   0.89%)']", ,[' 97675   '],[' 4765    '],[' 89942   '],[' 36176   '],"[' 97834    (Atom=Atom', ' 27227 Body=Body', ' 17175 Other', ' 53432)']",[' Yes'],"[' 6762     (Eliminated', '    0 Frozen', ' 6762)']","[' 1336     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53339'],[' 0'], ,[' 225.904'],[' 0'],[' 6.84433'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83377e+08'],[' 1.19241e+08'],[' 0'],[' 1.40072e+10'],[' 0'],[' 0'],[' 830 '],[' 1575 '],[' 2431 '],[' 2953 '],[' 3495 '],[' 3 '],[' 2 ']
