Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 1509+'],[' 762'],"[' 246.868s (Solving', ' 244.04s 1st Model', ' 1.67s Unsat', ' 91.73s)']",[' 244.688s'], ,[' 11167471'],"[' 6948228  (Analyzed', ' 6853735)']","[' 13881    (Average', ' 493.75 Last', ' 517)']",[' 1620.4  '],"[' 762      (Average Length', ' 434.53 Splits', ' 0)']","[' 6853735  (Deleted', ' 6751376)']","[' 17       (Ratio', '   0.00%)']","[' 981      (Ratio', '   0.01%)']","[' 6853735  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6853735  (Average', '  1.48 Max', ' 2497 Sum', ' 10133671)']","[' 6853477  (Average', '  1.46 Max', ' 2032 Sum', ' 10010188 Ratio', '  98.78%)']","[' 258      (Average', ' 478.62 Max', ' 663 Sum', ' 123483 Ratio', '   1.22%)']", ,[' 63955   '],[' 2476    '],[' 59143   '],[' 20958   '],"[' 54999    (Atom=Atom', ' 15922 Body=Body', ' 9663 Other', ' 29414)']",[' Yes'],"[' 3706     (Eliminated', '    0 Frozen', ' 3706)']","[' 88       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.549872'],[' 0'], ,[' 178.807'],[' 0'],[' 4.66767'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.7153e+07'],[' 1.12498e+07'],[' 0'],[' 1.06987e+10'],[' 0'],[' 0'],[' 615 '],[' 1077 '],[' 1513 '],[' 1931 '],[' 2355 '],[' 2750 '],[' 3075 '],[' 1 '],[' 6 ']
Solving...,TA52, , , , , ,[' 1403'],[' 709'],"[' 319.084s (Solving', ' 316.54s 1st Model', ' 1.49s Unsat', ' 166.35s)']",[' 317.688s'], ,[' 27146386'],"[' 17209682 (Analyzed', ' 17175586)']","[' 32154    (Average', ' 534.17 Last', ' 38824)']",[' 1537.3  '],"[' 709      (Average Length', ' 412.20 Splits', ' 0)']","[' 17175586 (Deleted', ' 16952584)']","[' 31       (Ratio', '   0.00%)']","[' 1843     (Ratio', '   0.01%)']","[' 17175586 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17175586 (Average', '  1.52 Max', ' 2120 Sum', ' 26132101)']","[' 17175148 (Average', '  1.51 Max', ' 1898 Sum', ' 25964966 Ratio', '  99.36%)']","[' 438      (Average', ' 381.59 Max', ' 1569 Sum', ' 167135 Ratio', '   0.64%)']", ,[' 63508   '],[' 2500    '],[' 58860   '],[' 20721   '],"[' 55177    (Atom=Atom', ' 15965 Body=Body', ' 9735 Other', ' 29477)']",[' Yes'],"[' 3695     (Eliminated', '    0 Frozen', ' 3695)']","[' 278      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.506176'],[' 0'], ,[' 176.547'],[' 0'],[' 4.41952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.5787e+07'],[' 3.42759e+07'],[' 0'],[' 9.27061e+09'],[' 0'],[' 0'],[' 703 '],[' 1083 '],[' 1643 '],[' 2040 '],[' 2459 '],[' 2861 '],[' 3137 '],[' 1 '],[' 6 ']
Solving...,TA53, , , , , ,[' 1553'],[' 784'],"[' 128.450s (Solving', ' 126.05s 1st Model', ' 1.43s Unsat', ' 116.77s)']",[' 128.344s'], ,[' 15046358'],"[' 8847201  (Analyzed', ' 8805072)']","[' 16692    (Average', ' 527.50 Last', ' 39875)']",[' 1631.0  '],"[' 784      (Average Length', ' 447.42 Splits', ' 0)']","[' 8805072  (Deleted', ' 8691119)']","[' 25       (Ratio', '   0.00%)']","[' 1077     (Ratio', '   0.01%)']","[' 8805072  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8805072  (Average', '  1.59 Max', ' 2651 Sum', ' 13962248)']","[' 8804863  (Average', '  1.58 Max', ' 2376 Sum', ' 13886522 Ratio', '  99.46%)']","[' 209      (Average', ' 362.33 Max', ' 651 Sum', '  75726 Ratio', '   0.54%)']", ,[' 63804   '],[' 2429    '],[' 58986   '],[' 20853   '],"[' 54364    (Atom=Atom', ' 15756 Body=Body', ' 9522 Other', ' 29086)']",[' Yes'],"[' 3695     (Eliminated', '    0 Frozen', ' 3695)']","[' 144      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.497159'],[' 0'], ,[' 63.0141'],[' 0'],[' 1.74129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.68221e+07'],[' 1.68803e+07'],[' 0'],[' 4.3436e+09'],[' 0'],[' 0'],[' 596 '],[' 939 '],[' 1388 '],[' 1723 '],[' 2134 '],[' 2581 '],[' 2879 '],[' 0 '],[' 7 ']
Solving...,TA54, , , , , ,[' 1421'],[' 718'],"[' 152.324s (Solving', ' 150.07s 1st Model', ' 1.30s Unsat', ' 0.49s)']",[' 151.750s'], ,[' 13311134'],"[' 6521579  (Analyzed', ' 6489053)']","[' 10883    (Average', ' 596.26 Last', ' 4275)']",[' 1674.9  '],"[' 718      (Average Length', ' 415.08 Splits', ' 0)']","[' 6489053  (Deleted', ' 6432008)']","[' 28       (Ratio', '   0.00%)']","[' 981      (Ratio', '   0.02%)']","[' 6489053  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6489053  (Average', '  1.91 Max', ' 2438 Sum', ' 12398386)']","[' 6488698  (Average', '  1.89 Max', ' 2010 Sum', ' 12256407 Ratio', '  98.85%)']","[' 355      (Average', ' 399.94 Max', ' 602 Sum', ' 141979 Ratio', '   1.15%)']", ,[' 63551   '],[' 2472    '],[' 58845   '],[' 20724   '],"[' 54799    (Atom=Atom', ' 15862 Body=Body', ' 9651 Other', ' 29286)']",[' Yes'],"[' 3679     (Eliminated', '    0 Frozen', ' 3679)']","[' 127      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.459274'],[' 0'], ,[' 100.693'],[' 0'],[' 1.98895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16726e+07'],[' 1.60631e+07'],[' 0'],[' 6.61062e+09'],[' 0'],[' 0'],[' 656 '],[' 1082 '],[' 1448 '],[' 1880 '],[' 2226 '],[' 2663 '],[' 3006 '],[' 1 '],[' 6 ']
Solving...,TA55, , , , , ,[' 1379'],[' 697'],"[' 22.549s (Solving', ' 20.48s 1st Model', ' 1.18s Unsat', ' 12.83s)']",[' 22.281s'], ,[' 3764915 '],"[' 1304279  (Analyzed', ' 1281025)']","[' 2993     (Average', ' 428.01 Last', ' 1590)']",[' 1532.0  '],"[' 697      (Average Length', ' 410.12 Splits', ' 0)']","[' 1281025  (Deleted', ' 1236222)']","[' 26       (Ratio', '   0.00%)']","[' 1093     (Ratio', '   0.09%)']","[' 1281025  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1281025  (Average', '  2.39 Max', ' 2303 Sum', ' 3065143)']","[' 1280673  (Average', '  2.29 Max', ' 2004 Sum', ' 2939175 Ratio', '  95.89%)']","[' 352      (Average', ' 357.86 Max', ' 618 Sum', ' 125968 Ratio', '   4.11%)']", ,[' 63556   '],[' 2443    '],[' 58783   '],[' 20688   '],"[' 54310    (Atom=Atom', ' 15725 Body=Body', ' 9564 Other', ' 29021)']",[' Yes'],"[' 3625     (Eliminated', '    0 Frozen', ' 3625)']","[' 86       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.410602'],[' 0'], ,[' 7.23477'],[' 0'],[' 0.310479'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.16145e+06'],[' 4.85481e+06'],[' 0'],[' 3.98783e+08'],[' 0'],[' 0'],[' 564 '],[' 1020 '],[' 1422 '],[' 1932 '],[' 2371 '],[' 2741 '],[' 3081 '],[' 0 '],[' 7 ']
Solving...,TA56, , , , , ,[' 1431'],[' 723'],"[' 12.012s (Solving', ' 9.71s 1st Model', ' 1.27s Unsat', ' 1.09s)']",[' 11.813s'], ,[' 1969012 '],"[' 116924   (Analyzed', ' 75023)']","[' 484      (Average', ' 155.01 Last', ' 379)']",[' 1641.3  '],"[' 723      (Average Length', ' 424.10 Splits', ' 0)']","[' 75023    (Deleted', ' 59510)']","[' 23       (Ratio', '   0.03%)']","[' 683      (Ratio', '   0.91%)']","[' 75023    (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 75023    (Average', ' 15.49 Max', ' 2408 Sum', ' 1162306)']","[' 74717    (Average', ' 14.04 Max', ' 2039 Sum', ' 1053263 Ratio', '  90.62%)']","[' 306      (Average', ' 356.35 Max', ' 594 Sum', ' 109043 Ratio', '   9.38%)']", ,[' 63404   '],[' 2423    '],[' 58695   '],[' 20584   '],"[' 54062    (Atom=Atom', ' 15671 Body=Body', ' 9504 Other', ' 28887)']",[' Yes'],"[' 3643     (Eliminated', '    0 Frozen', ' 3643)']","[' 40       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.455794'],[' 0'], ,[' 1.62404'],[' 0'],[' 0.103421'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.58459e+06'],[' 2.89417e+06'],[' 0'],[' 6.52819e+07'],[' 0'],[' 0'],[' 644 '],[' 1006 '],[' 1555 '],[' 1973 '],[' 2332 '],[' 2715 '],[' 3072 '],[' 0 '],[' 7 ']
Solving...,TA57, , , , , ,[' 1091'],[' 553'],"[' 188.152s (Solving', ' 186.30s 1st Model', ' 0.97s Unsat', ' 37.81s)']",[' 187.750s'], ,[' 17756193'],"[' 10591412 (Analyzed', ' 10555331)']","[' 20397    (Average', ' 517.49 Last', ' 3431)']",[' 1550.4  '],"[' 553      (Average Length', ' 338.67 Splits', ' 0)']","[' 10555331 (Deleted', ' 10407399)']","[' 22       (Ratio', '   0.00%)']","[' 1377     (Ratio', '   0.01%)']","[' 10555331 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10555331 (Average', '  1.60 Max', ' 2068 Sum', ' 16925460)']","[' 10554964 (Average', '  1.59 Max', ' 1965 Sum', ' 16801769 Ratio', '  99.27%)']","[' 367      (Average', ' 337.03 Max', ' 474 Sum', ' 123691 Ratio', '   0.73%)']", ,[' 63267   '],[' 2468    '],[' 58454   '],[' 20476   '],"[' 54228    (Atom=Atom', ' 15681 Body=Body', ' 9639 Other', ' 28908)']",[' Yes'],"[' 3525     (Eliminated', '    0 Frozen', ' 3525)']","[' 132      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.359328'],[' 0'], ,[' 117.456'],[' 0'],[' 2.24457'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70626e+07'],[' 2.07399e+07'],[' 0'],[' 8.38745e+09'],[' 0'],[' 0'],[' 713 '],[' 1213 '],[' 1610 '],[' 2178 '],[' 2584 '],[' 2969 '],[' 3246 '],[' 1 '],[' 6 ']
Solving...,TA58, , , , , ,[' 1457'],[' 736'],"[' 14.296s (Solving', ' 11.99s 1st Model', ' 1.24s Unsat', ' 3.52s)']",[' 14.250s'], ,[' 2292693 '],"[' 382188   (Analyzed', ' 351405)']","[' 1099     (Average', ' 319.75 Last', ' 339)']",[' 1592.2  '],"[' 736      (Average Length', ' 430.86 Splits', ' 0)']","[' 351405   (Deleted', ' 331576)']","[' 33       (Ratio', '   0.01%)']","[' 872      (Ratio', '   0.25%)']","[' 351405   (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 351405   (Average', '  4.37 Max', ' 2451 Sum', ' 1534850)']","[' 351047   (Average', '  4.00 Max', ' 2451 Sum', ' 1405680 Ratio', '  91.58%)']","[' 358      (Average', ' 360.81 Max', ' 637 Sum', ' 129170 Ratio', '   8.42%)']", ,[' 63779   '],[' 2476    '],[' 59050   '],[' 20874   '],"[' 54902    (Atom=Atom', ' 15896 Body=Body', ' 9663 Other', ' 29343)']",[' Yes'],"[' 3710     (Eliminated', '    0 Frozen', ' 3710)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.455037'],[' 0'], ,[' 2.57085'],[' 0'],[' 0.140031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69236e+06'],[' 3.38959e+06'],[' 0'],[' 1.08924e+08'],[' 0'],[' 0'],[' 589 '],[' 1036 '],[' 1485 '],[' 1919 '],[' 2372 '],[' 2797 '],[' 3150 '],[' 0 '],[' 7 ']
Solving...,TA59, , , , , ,[' 1491'],[' 753'],"[' 13.049s (Solving', ' 10.69s 1st Model', ' 1.45s Unsat', ' 1.74s)']",[' 12.875s'], ,[' 2172946 '],"[' 177527   (Analyzed', ' 142824)']","[' 643      (Average', ' 222.12 Last', ' 736)']",[' 1612.8  '],"[' 753      (Average Length', ' 436.46 Splits', ' 0)']","[' 142824   (Deleted', ' 127916)']","[' 27       (Ratio', '   0.02%)']","[' 823      (Ratio', '   0.58%)']","[' 142824   (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 142824   (Average', '  9.46 Max', ' 2675 Sum', ' 1350640)']","[' 142544   (Average', '  8.80 Max', ' 2043 Sum', ' 1256878 Ratio', '  93.06%)']","[' 280      (Average', ' 334.86 Max', ' 646 Sum', '  93762 Ratio', '   6.94%)']", ,[' 63461   '],[' 2408    '],[' 58671   '],[' 20649   '],"[' 53934    (Atom=Atom', ' 15641 Body=Body', ' 9459 Other', ' 28834)']",[' Yes'],"[' 3635     (Eliminated', '    0 Frozen', ' 3635)']","[' 46       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.46932'],[' 0'], ,[' 1.94187'],[' 0'],[' 0.120906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02291e+06'],[' 3.15706e+06'],[' 0'],[' 7.9958e+07'],[' 0'],[' 0'],[' 575 '],[' 987 '],[' 1415 '],[' 1704 '],[' 2164 '],[' 2573 '],[' 2915 '],[' 0 '],[' 7 ']
Solving...,TA60, , , , , ,[' 1203'],[' 609'],"[' 186.006s (Solving', ' 184.08s 1st Model', ' 1.37s Unsat', ' 35.11s)']",[' 185.563s'], ,[' 20044152'],"[' 12001998 (Analyzed', ' 11965927)']","[' 22410    (Average', ' 533.95 Last', ' 290333)']",[' 1512.1  '],"[' 609      (Average Length', ' 363.44 Splits', ' 0)']","[' 11965927 (Deleted', ' 11836937)']","[' 23       (Ratio', '   0.00%)']","[' 1369     (Ratio', '   0.01%)']","[' 11965927 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11965927 (Average', '  1.60 Max', ' 2205 Sum', ' 19162563)']","[' 11965562 (Average', '  1.59 Max', ' 1969 Sum', ' 19037386 Ratio', '  99.35%)']","[' 365      (Average', ' 342.95 Max', ' 529 Sum', ' 125177 Ratio', '   0.65%)']", ,[' 63615   '],[' 2478    '],[' 58748   '],[' 20715   '],"[' 54539    (Atom=Atom', ' 15777 Body=Body', ' 9669 Other', ' 29093)']",[' Yes'],"[' 3585     (Eliminated', '    0 Frozen', ' 3585)']","[' 205      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.374772'],[' 0'], ,[' 109.533'],[' 0'],[' 2.5044'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.27587e+07'],[' 2.39029e+07'],[' 0'],[' 7.5714e+09'],[' 0'],[' 0'],[' 683 '],[' 1130 '],[' 1529 '],[' 1966 '],[' 2423 '],[' 2799 '],[' 3129 '],[' 1 '],[' 6 ']
