Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 1019,Completion Time for Window 2 is 1857,Completion Time for Window 3 is 2443,Completion Time for Window 4 is 2979,Completion Time for Window 5 is 3703,Completion Time for Window 6 is 4705,Completion Time for Window 7 is 5724
Solving...,swv11, ,[' 1'],[' 473+'],[' 244'],"[' 396.981s (Solving', ' 395.71s 1st Model', ' 0.65s Unsat', ' 34.10s)']",[' 396.422s'], ,[' 33043251'],"[' 16928094 (Analyzed', ' 16911909)']","[' 33348    (Average', ' 507.13 Last', ' 24377)']",[' 1385.3  '],"[' 244      (Average Length', ' 118.22 Splits', ' 0)']","[' 16911909 (Deleted', ' 16706821)']","[' 33       (Ratio', '   0.00%)']","[' 5017     (Ratio', '   0.03%)']","[' 16911909 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16911909 (Average', '  1.89 Max', ' 1968 Sum', ' 32038464)']","[' 16911394 (Average', '  1.89 Max', ' 1968 Sum', ' 31991558 Ratio', '  99.85%)']","[' 515      (Average', ' 91.08 Max', ' 180 Sum', '  46906 Ratio', '   0.15%)']", ,[' 68665   '],[' 3384    '],[' 68401   '],[' 36359   '],"[' 109073   (Atom=Atom', ' 33473 Body=Body', ' 16084 Other', ' 59516)']",[' Yes'],"[' 3620     (Eliminated', '    0 Frozen', ' 3620)']","[' 550      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.285475'],[' 0'], ,[' 317.545'],[' 0'],[' 5.06521'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.40826e+07'],[' 5.38105e+07'],[' 0'],[' 5.64735e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv12, ,[' 1'],[' 531+'],[' 273'],"[' 363.496s (Solving', ' 362.09s 1st Model', ' 0.95s Unsat', ' 0.03s)']",[' 362.734s'], ,[' 32680012'],"[' 15099569 (Analyzed', ' 15078129)']","[' 28378    (Average', ' 531.33 Last', ' 69644)']",[' 1465.8  '],"[' 273      (Average Length', ' 132.26 Splits', ' 0)']","[' 15078129 (Deleted', ' 14900486)']","[' 16       (Ratio', '   0.00%)']","[' 6473     (Ratio', '   0.04%)']","[' 15078129 (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15078129 (Average', '  2.10 Max', ' 1943 Sum', ' 31657824)']","[' 15077620 (Average', '  2.10 Max', ' 1943 Sum', ' 31615380 Ratio', '  99.87%)']","[' 509      (Average', ' 83.39 Max', ' 176 Sum', '  42444 Ratio', '   0.13%)']", ,[' 69155   '],[' 3434    '],[' 68920   '],[' 36436   '],"[' 109304   (Atom=Atom', ' 33500 Body=Body', ' 16134 Other', ' 59670)']",[' Yes'],"[' 3699     (Eliminated', '    0 Frozen', ' 3699)']","[' 1088     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.32834'],[' 0'], ,[' 291.303'],[' 0'],[' 4.6163'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.78882e+07'],[' 5.02747e+07'],[' 0'],[' 5.22226e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv13, ,[' 1'],[' 385+'],[' 200'],"[' 362.676s (Solving', ' 361.43s 1st Model', ' 0.66s Unsat', ' 0.12s)']",[' 362.250s'], ,[' 33307657'],"[' 13835586 (Analyzed', ' 13823142)']","[' 26040    (Average', ' 530.84 Last', ' 18808)']",[' 1378.3  '],"[' 200      (Average Length', ' 96.37 Splits', ' 0)']","[' 13823142 (Deleted', ' 13670395)']","[' 20       (Ratio', '   0.00%)']","[' 6554     (Ratio', '   0.05%)']","[' 13823142 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13823142 (Average', '  2.34 Max', ' 1996 Sum', ' 32397964)']","[' 13822719 (Average', '  2.34 Max', ' 1996 Sum', ' 32360157 Ratio', '  99.88%)']","[' 423      (Average', ' 89.38 Max', ' 153 Sum', '  37807 Ratio', '   0.12%)']", ,[' 69565   '],[' 3492    '],[' 69257   '],[' 37865   '],"[' 113591   (Atom=Atom', ' 34871 Body=Body', ' 16192 Other', ' 62528)']",[' Yes'],"[' 3684     (Eliminated', '    0 Frozen', ' 3684)']","[' 933      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.250077'],[' 0'], ,[' 295.933'],[' 0'],[' 4.91714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.33258e+07'],[' 5.78025e+07'],[' 0'],[' 5.33441e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv14, ,[' 1'],[' 507+'],[' 261'],"[' 366.017s (Solving', ' 364.61s 1st Model', ' 0.92s Unsat', ' 2.55s)']",[' 365.313s'], ,[' 31029834'],"[' 14115305 (Analyzed', ' 14091526)']","[' 27091    (Average', ' 520.16 Last', ' 95730)']",[' 1675.0  '],"[' 261      (Average Length', ' 126.11 Splits', ' 0)']","[' 14091526 (Deleted', ' 13924068)']","[' 26       (Ratio', '   0.00%)']","[' 5999     (Ratio', '   0.04%)']","[' 14091526 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14091526 (Average', '  2.13 Max', ' 2174 Sum', ' 29946096)']","[' 14091245 (Average', '  2.12 Max', ' 2174 Sum', ' 29928226 Ratio', '  99.94%)']","[' 281      (Average', ' 63.59 Max', ' 164 Sum', '  17870 Ratio', '   0.06%)']", ,[' 69676   '],[' 3444    '],[' 69429   '],[' 38380   '],"[' 115136   (Atom=Atom', ' 35434 Body=Body', ' 16144 Other', ' 63558)']",[' Yes'],"[' 3697     (Eliminated', '    0 Frozen', ' 3697)']","[' 807      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.337738'],[' 0'], ,[' 299.339'],[' 0'],[' 4.81162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.53742e+07'],[' 4.97985e+07'],[' 0'],[' 5.42692e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv15, ,[' 1'],[' 433+'],[' 224'],"[' 423.060s (Solving', ' 421.90s 1st Model', ' 0.80s Unsat', ' 0.00s)']",[' 422.344s'], ,[' 35020997'],"[' 15672155 (Analyzed', ' 15655656)']","[' 29686    (Average', ' 527.38 Last', ' 155134)']",[' 1587.5  '],"[' 224      (Average Length', ' 107.83 Splits', ' 0)']","[' 15655656 (Deleted', ' 15467699)']","[' 5        (Ratio', '   0.00%)']","[' 6779     (Ratio', '   0.04%)']","[' 15655656 (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15655656 (Average', '  2.17 Max', ' 2083 Sum', ' 33957265)']","[' 15655297 (Average', '  2.17 Max', ' 2083 Sum', ' 33928027 Ratio', '  99.91%)']","[' 359      (Average', ' 81.44 Max', ' 152 Sum', '  29238 Ratio', '   0.09%)']", ,[' 70162   '],[' 3535    '],[' 69878   '],[' 38892   '],"[' 116672   (Atom=Atom', ' 35855 Body=Body', ' 16235 Other', ' 64582)']",[' Yes'],"[' 3751     (Eliminated', '    0 Frozen', ' 3751)']","[' 920      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.294183'],[' 0'], ,[' 347.658'],[' 0'],[' 5.57545'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.22293e+07'],[' 5.39e+07'],[' 0'],[' 6.42567e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv16, , ,[' 291'],[' 153'],"[' 363.959s (Solving', ' 363.09s 1st Model', ' 0.19s Unsat', ' 2.33s)']",[' 363.625s'], ,[' 27428945'],"[' 21044841 (Analyzed', ' 21026754)']","[' 43895    (Average', ' 479.02 Last', ' 21392)']",[' 1105.0  '],"[' 153      (Average Length', ' 71.67 Splits', ' 0)']","[' 21026754 (Deleted', ' 20725937)']","[' 7        (Ratio', '   0.00%)']","[' 2002     (Ratio', '   0.01%)']","[' 21026754 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21026754 (Average', '  1.27 Max', ' 1405 Sum', ' 26663692)']","[' 21026657 (Average', '  1.27 Max', ' 1405 Sum', ' 26658513 Ratio', '  99.98%)']","[' 97       (Average', ' 53.39 Max', ' 105 Sum', '   5179 Ratio', '   0.02%)']", ,[' 50505   '],[' 2208    '],[' 50149   '],[' 28580   '],"[' 85736    (Atom=Atom', ' 26870 Body=Body', ' 14908 Other', ' 43958)']",[' Yes'],"[' 2352     (Eliminated', '    0 Frozen', ' 2352)']","[' 95       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.169123'],[' 0'], ,[' 257.459'],[' 0'],[' 5.09959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.33395e+07'],[' 2.67668e+07'],[' 0'],[' 4.1523e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv17, , ,[' 285'],[' 150'],"[' 189.346s (Solving', ' 188.61s 1st Model', ' 0.17s Unsat', ' 7.89s)']",[' 188.922s'], ,[' 11302389'],"[' 7751523  (Analyzed', ' 7745214)']","[' 16061    (Average', ' 482.24 Last', ' 159899)']",[' 1025.4  '],"[' 150      (Average Length', ' 71.20 Splits', ' 0)']","[' 7745214  (Deleted', ' 7638234)']","[' 51       (Ratio', '   0.00%)']","[' 1838     (Ratio', '   0.02%)']","[' 7745214  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7745214  (Average', '  1.41 Max', ' 1422 Sum', ' 10903816)']","[' 7745106  (Average', '  1.41 Max', ' 1422 Sum', ' 10900811 Ratio', '  99.97%)']","[' 108      (Average', ' 27.82 Max', ' 111 Sum', '   3005 Ratio', '   0.03%)']", ,[' 50473   '],[' 2183    '],[' 50115   '],[' 28390   '],"[' 85166    (Atom=Atom', ' 26705 Body=Body', ' 14883 Other', ' 43578)']",[' Yes'],"[' 2325     (Eliminated', '    0 Frozen', ' 2325)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.157505'],[' 0'], ,[' 151.996'],[' 0'],[' 2.95393'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.0461e+07'],[' 1.30661e+07'],[' 0'],[' 2.58679e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv18, , ,[' 427'],[' 221'],"[' 251.455s (Solving', ' 250.53s 1st Model', ' 0.37s Unsat', ' 9.28s)']",[' 251.297s'], ,[' 17560190'],"[' 11491148 (Analyzed', ' 11453944)']","[' 23139    (Average', ' 495.01 Last', ' 33426)']",[' 1025.4  '],"[' 221      (Average Length', ' 107.01 Splits', ' 0)']","[' 11453944 (Deleted', ' 11289018)']","[' 45       (Ratio', '   0.00%)']","[' 2290     (Ratio', '   0.02%)']","[' 11453944 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11453944 (Average', '  1.48 Max', ' 1494 Sum', ' 16978407)']","[' 11453806 (Average', '  1.48 Max', ' 1494 Sum', ' 16965602 Ratio', '  99.92%)']","[' 138      (Average', ' 92.79 Max', ' 165 Sum', '  12805 Ratio', '   0.08%)']", ,[' 51104   '],[' 2279    '],[' 50817   '],[' 29595   '],"[' 88781    (Atom=Atom', ' 27814 Body=Body', ' 14979 Other', ' 45988)']",[' Yes'],"[' 2492     (Eliminated', '    0 Frozen', ' 2492)']","[' 235      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.19389'],[' 0'], ,[' 195.461'],[' 0'],[' 3.57528'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.74248e+07'],[' 2.09989e+07'],[' 0'],[' 3.21729e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv19, , ,[' 297'],[' 156'],"[' 397.032s (Solving', ' 396.22s 1st Model', ' 0.20s Unsat', ' 35.37s)']",[' 396.375s'], ,[' 26188559'],"[' 18669276 (Analyzed', ' 18664846)']","[' 37876    (Average', ' 492.79 Last', ' 49101)']",[' 1143.1  '],"[' 156      (Average Length', ' 73.45 Splits', ' 0)']","[' 18664846 (Deleted', ' 18434766)']","[' 26       (Ratio', '   0.00%)']","[' 2966     (Ratio', '   0.02%)']","[' 18664846 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18664846 (Average', '  1.36 Max', ' 1432 Sum', ' 25409790)']","[' 18664713 (Average', '  1.36 Max', ' 1432 Sum', ' 25404295 Ratio', '  99.98%)']","[' 133      (Average', ' 41.32 Max', ' 106 Sum', '   5495 Ratio', '   0.02%)']", ,[' 51116   '],[' 2273    '],[' 50763   '],[' 28914   '],"[' 86738    (Atom=Atom', ' 27139 Body=Body', ' 14973 Other', ' 44626)']",[' Yes'],"[' 2420     (Eliminated', '    0 Frozen', ' 2420)']","[' 241      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.182569'],[' 0'], ,[' 307.082'],[' 0'],[' 6.07295'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.0428e+07'],[' 2.85246e+07'],[' 0'],[' 4.98944e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv20, , ,[' 367'],[' 191'],"[' 226.109s (Solving', ' 225.37s 1st Model', ' 0.37s Unsat', ' 44.33s)']",[' 225.969s'], ,[' 19532865'],"[' 12947795 (Analyzed', ' 12939723)']","[' 26194    (Average', ' 494.00 Last', ' 118835)']",[' 1019.6  '],"[' 191      (Average Length', ' 91.58 Splits', ' 0)']","[' 12939723 (Deleted', ' 12766233)']","[' 59       (Ratio', '   0.00%)']","[' 2490     (Ratio', '   0.02%)']","[' 12939723 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12939723 (Average', '  1.47 Max', ' 1438 Sum', ' 18977416)']","[' 12939562 (Average', '  1.47 Max', ' 1438 Sum', ' 18972267 Ratio', '  99.97%)']","[' 161      (Average', ' 31.98 Max', '  83 Sum', '   5149 Ratio', '   0.03%)']", ,[' 50306   '],[' 2236    '],[' 49989   '],[' 28486   '],"[' 85454    (Atom=Atom', ' 26748 Body=Body', ' 14936 Other', ' 43770)']",[' Yes'],"[' 2419     (Eliminated', '    0 Frozen', ' 2419)']","[' 117      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.187795'],[' 0'], ,[' 160.935'],[' 0'],[' 3.40945'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.33073e+07'],[' 2.37956e+07'],[' 0'],[' 2.35481e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
