Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 
Solving...,TA61, ,[' 1'],[' 2595+'],[' 1303'],"[' 326.662s (Solving', ' 317.80s 1st Model', ' 6.48s Unsat', ' 0.00s)']",[' 325.453s'], ,[' 23834154'],"[' 6688248  (Analyzed', ' 6557091)']","[' 13760    (Average', ' 476.53 Last', ' 53819)']",[' 2879.0  '],"[' 1303     (Average Length', ' 616.80 Splits', ' 0)']","[' 6557091  (Deleted', ' 6455734)']","[' 20       (Ratio', '   0.00%)']","[' 4989     (Ratio', '   0.08%)']","[' 6557091  (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6557091  (Average', '  3.18 Max', ' 3669 Sum', ' 20843022)']","[' 6556430  (Average', '  3.13 Max', ' 3669 Sum', ' 20497565 Ratio', '  98.34%)']","[' 661      (Average', ' 522.63 Max', ' 937 Sum', ' 345457 Ratio', '   1.66%)']", ,[' 104771  '],[' 5824    '],[' 104975  '],[' 58740   '],"[' 176216   (Atom=Atom', ' 53914 Body=Body', ' 31274 Other', ' 91028)']",[' Yes'],"[' 7028     (Eliminated', '    0 Frozen', ' 7028)']","[' 874      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.01153'],[' 0'], ,[' 260.637'],[' 0'],[' 4.53637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.70333e+07'],[' 5.68429e+07'],[' 0'],[' 2.9446e+10'],[' 0'],[' 0'],[' 861 '],[' 1693 '],[' 2405 '],[' 3267 '],[' 4125 ']
Solving...,TA62, ,[' 1'],[' 2873+'],[' 1442'],"[' 326.883s (Solving', ' 316.45s 1st Model', ' 8.43s Unsat', ' 0.00s)']",[' 325.250s'], ,[' 30913912'],"[' 6086059  (Analyzed', ' 5958102)']","[' 12659    (Average', ' 470.66 Last', ' 70662)']",[' 2991.8  '],"[' 1442     (Average Length', ' 680.48 Splits', ' 0)']","[' 5958102  (Deleted', ' 5864498)']","[' 50       (Ratio', '   0.00%)']","[' 8670     (Ratio', '   0.15%)']","[' 5958102  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5958102  (Average', '  4.62 Max', ' 3504 Sum', ' 27535331)']","[' 5957466  (Average', '  4.56 Max', ' 3504 Sum', ' 27197985 Ratio', '  98.77%)']","[' 636      (Average', ' 530.42 Max', ' 969 Sum', ' 337346 Ratio', '   1.23%)']", ,[' 106051  '],[' 5950    '],[' 106388  '],[' 59735   '],"[' 179201   (Atom=Atom', ' 54783 Body=Body', ' 31400 Other', ' 93018)']",[' Yes'],"[' 7287     (Eliminated', '    0 Frozen', ' 7287)']","[' 1482     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38444'],[' 0'], ,[' 254.974'],[' 0'],[' 4.7529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00101e+08'],[' 7.81186e+07'],[' 0'],[' 2.72907e+10'],[' 0'],[' 0'],[' 865 '],[' 1826 '],[' 2479 '],[' 3206 '],[' 3963 ']
Solving...,TA63, ,[' 1'],[' 2455+'],[' 1233'],"[' 326.595s (Solving', ' 317.95s 1st Model', ' 6.29s Unsat', ' 0.00s)']",[' 325.109s'], ,[' 27262118'],"[' 7772664  (Analyzed', ' 7590249)']","[' 16037    (Average', ' 473.30 Last', ' 8326)']",[' 2901.1  '],"[' 1233     (Average Length', ' 582.80 Splits', ' 0)']","[' 7590249  (Deleted', ' 7481107)']","[' 17       (Ratio', '   0.00%)']","[' 5166     (Ratio', '   0.07%)']","[' 7590249  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7590249  (Average', '  3.20 Max', ' 3632 Sum', ' 24286923)']","[' 7589467  (Average', '  3.15 Max', ' 3632 Sum', ' 23898603 Ratio', '  98.40%)']","[' 782      (Average', ' 496.57 Max', ' 854 Sum', ' 388320 Ratio', '   1.60%)']", ,[' 105050  '],[' 5931    '],[' 105208  '],[' 59197   '],"[' 177587   (Atom=Atom', ' 54264 Body=Body', ' 31381 Other', ' 91942)']",[' Yes'],"[' 7089     (Eliminated', '    0 Frozen', ' 7089)']","[' 941      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.94382'],[' 0'], ,[' 256.759'],[' 0'],[' 4.65037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.34759e+07'],[' 6.19222e+07'],[' 0'],[' 2.76499e+10'],[' 0'],[' 0'],[' 913 '],[' 1675 '],[' 2330 '],[' 3304 '],[' 4256 ']
Solving...,TA64, ,[' 1'],[' 2847+'],[' 1429'],"[' 326.821s (Solving', ' 316.54s 1st Model', ' 7.78s Unsat', ' 0.00s)']",[' 325.391s'], ,[' 22802600'],"[' 6202317  (Analyzed', ' 6026597)']","[' 12837    (Average', ' 469.47 Last', ' 24922)']",[' 3181.2  '],"[' 1429     (Average Length', ' 681.14 Splits', ' 0)']","[' 6026597  (Deleted', ' 5931285)']","[' 27       (Ratio', '   0.00%)']","[' 4577     (Ratio', '   0.08%)']","[' 6026597  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6026597  (Average', '  3.18 Max', ' 3718 Sum', ' 19178831)']","[' 6025924  (Average', '  3.12 Max', ' 3718 Sum', ' 18818046 Ratio', '  98.12%)']","[' 673      (Average', ' 536.08 Max', ' 926 Sum', ' 360785 Ratio', '   1.88%)']", ,[' 105448  '],[' 5890    '],[' 105773  '],[' 59572   '],"[' 178712   (Atom=Atom', ' 54680 Body=Body', ' 31340 Other', ' 92692)']",[' Yes'],"[' 7215     (Eliminated', '    0 Frozen', ' 7215)']","[' 831      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.41955'],[' 0'], ,[' 260.816'],[' 0'],[' 4.57511'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.947e+07'],[' 6.08244e+07'],[' 0'],[' 2.85773e+10'],[' 0'],[' 0'],[' 874 '],[' 1636 '],[' 2280 '],[' 3257 '],[' 3810 ']
Solving...,TA65, ,[' 1'],[' 2701+'],[' 1356'],"[' 326.717s (Solving', ' 317.64s 1st Model', ' 7.85s Unsat', ' 0.00s)']",[' 324.375s'], ,[' 22109629'],"[' 6689694  (Analyzed', ' 6491893)']","[' 14335    (Average', ' 452.87 Last', ' 21991)']",[' 3011.0  '],"[' 1356     (Average Length', ' 640.72 Splits', ' 0)']","[' 6491893  (Deleted', ' 6376444)']","[' 19       (Ratio', '   0.00%)']","[' 3992     (Ratio', '   0.06%)']","[' 6491893  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6491893  (Average', '  2.89 Max', ' 3848 Sum', ' 18744957)']","[' 6491387  (Average', '  2.84 Max', ' 3848 Sum', ' 18457515 Ratio', '  98.47%)']","[' 506      (Average', ' 568.07 Max', ' 975 Sum', ' 287442 Ratio', '   1.53%)']", ,[' 105310  '],[' 5804    '],[' 105556  '],[' 59347   '],"[' 178037   (Atom=Atom', ' 54541 Body=Body', ' 31254 Other', ' 92242)']",[' Yes'],"[' 7050     (Eliminated', '    0 Frozen', ' 7050)']","[' 634      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.11294'],[' 0'], ,[' 260.382'],[' 0'],[' 4.57274'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.18015e+07'],[' 5.40559e+07'],[' 0'],[' 2.67786e+10'],[' 0'],[' 0'],[' 734 '],[' 1411 '],[' 2277 '],[' 3096 '],[' 3822 ']
Solving...,TA66, ,[' 1'],[' 2631+'],[' 1321'],"[' 326.451s (Solving', ' 317.57s 1st Model', ' 6.22s Unsat', ' 0.00s)']",[' 325.391s'], ,[' 25532312'],"[' 6210548  (Analyzed', ' 6085152)']","[' 12913    (Average', ' 471.24 Last', ' 7353)']",[' 2835.7  '],"[' 1321     (Average Length', ' 624.20 Splits', ' 0)']","[' 6085152  (Deleted', ' 5986552)']","[' 34       (Ratio', '   0.00%)']","[' 6254     (Ratio', '   0.10%)']","[' 6085152  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6085152  (Average', '  3.73 Max', ' 3531 Sum', ' 22702173)']","[' 6084373  (Average', '  3.65 Max', ' 3531 Sum', ' 22232827 Ratio', '  97.93%)']","[' 779      (Average', ' 602.50 Max', ' 970 Sum', ' 469346 Ratio', '   2.07%)']", ,[' 105924  '],[' 5962    '],[' 106151  '],[' 59604   '],"[' 178808   (Atom=Atom', ' 54640 Body=Body', ' 31412 Other', ' 92756)']",[' Yes'],"[' 7189     (Eliminated', '    0 Frozen', ' 7189)']","[' 1099     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06821'],[' 0'], ,[' 260.66'],[' 0'],[' 4.6131'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.1193e+07'],[' 6.19402e+07'],[' 0'],[' 2.87719e+10'],[' 0'],[' 0'],[' 822 '],[' 1604 '],[' 2365 '],[' 3052 '],[' 4047 ']
Solving...,TA67, ,[' 1'],[' 2307+'],[' 1159'],"[' 326.656s (Solving', ' 318.96s 1st Model', ' 5.73s Unsat', ' 0.00s)']",[' 325.203s'], ,[' 23439422'],"[' 6409479  (Analyzed', ' 6284817)']","[' 13276    (Average', ' 473.40 Last', ' 5489)']",[' 2894.0  '],"[' 1159     (Average Length', ' 550.37 Splits', ' 0)']","[' 6284817  (Deleted', ' 6196502)']","[' 29       (Ratio', '   0.00%)']","[' 4722     (Ratio', '   0.08%)']","[' 6284817  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6284817  (Average', '  3.27 Max', ' 3803 Sum', ' 20574188)']","[' 6284226  (Average', '  3.23 Max', ' 3803 Sum', ' 20323626 Ratio', '  98.78%)']","[' 591      (Average', ' 423.96 Max', ' 817 Sum', ' 250562 Ratio', '   1.22%)']", ,[' 105158  '],[' 5882    '],[' 105240  '],[' 59282   '],"[' 177842   (Atom=Atom', ' 54398 Body=Body', ' 31332 Other', ' 92112)']",[' Yes'],"[' 6964     (Eliminated', '    0 Frozen', ' 6964)']","[' 834      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82364'],[' 0'], ,[' 263.71'],[' 0'],[' 4.50502'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.20115e+07'],[' 5.28422e+07'],[' 0'],[' 2.91936e+10'],[' 0'],[' 0'],[' 1014 '],[' 1839 '],[' 2683 '],[' 3430 '],[' 4208 ']
Solving...,TA68, ,[' 1'],[' 2839+'],[' 1425'],"[' 326.779s (Solving', ' 317.43s 1st Model', ' 7.93s Unsat', ' 0.00s)']",[' 324.875s'], ,[' 26092742'],"[' 7799829  (Analyzed', ' 7647453)']","[' 16114    (Average', ' 474.58 Last', ' 237625)']",[' 2866.9  '],"[' 1425     (Average Length', ' 668.63 Splits', ' 0)']","[' 7647453  (Deleted', ' 7505362)']","[' 26       (Ratio', '   0.00%)']","[' 4479     (Ratio', '   0.06%)']","[' 7647453  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7647453  (Average', '  3.02 Max', ' 3390 Sum', ' 23114472)']","[' 7646542  (Average', '  2.95 Max', ' 3390 Sum', ' 22564318 Ratio', '  97.62%)']","[' 911      (Average', ' 603.90 Max', ' 1033 Sum', ' 550154 Ratio', '   2.38%)']", ,[' 104576  '],[' 5804    '],[' 104879  '],[' 58068   '],"[' 174200   (Atom=Atom', ' 53262 Body=Body', ' 31254 Other', ' 89684)']",[' Yes'],"[' 7107     (Eliminated', '    0 Frozen', ' 7107)']","[' 691      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.21421'],[' 0'], ,[' 251.897'],[' 0'],[' 4.30392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.64109e+07'],[' 6.46663e+07'],[' 0'],[' 2.76331e+10'],[' 0'],[' 0'],[' 809 '],[' 1553 '],[' 2245 '],[' 3066 '],[' 3788 ']
Solving...,TA69, ,[' 1'],[' 2721+'],[' 1366'],"[' 326.783s (Solving', ' 317.16s 1st Model', ' 7.66s Unsat', ' 0.00s)']",[' 325.219s'], ,[' 23274538'],"[' 7443941  (Analyzed', ' 7275399)']","[' 15760    (Average', ' 461.64 Last', ' 26036)']",[' 3042.4  '],"[' 1366     (Average Length', ' 650.40 Splits', ' 0)']","[' 7275399  (Deleted', ' 7166197)']","[' 18       (Ratio', '   0.00%)']","[' 3762     (Ratio', '   0.05%)']","[' 7275399  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7275399  (Average', '  2.76 Max', ' 3607 Sum', ' 20059532)']","[' 7274593  (Average', '  2.69 Max', ' 3607 Sum', ' 19565228 Ratio', '  97.54%)']","[' 806      (Average', ' 613.28 Max', ' 956 Sum', ' 494304 Ratio', '   2.46%)']", ,[' 105203  '],[' 5814    '],[' 105470  '],[' 58757   '],"[' 176267   (Atom=Atom', ' 53941 Body=Body', ' 31264 Other', ' 91062)']",[' Yes'],"[' 7081     (Eliminated', '    0 Frozen', ' 7081)']","[' 659      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.30403'],[' 0'], ,[' 256.7'],[' 0'],[' 4.4238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.8433e+07'],[' 5.83993e+07'],[' 0'],[' 2.71322e+10'],[' 0'],[' 0'],[' 905 '],[' 1666 '],[' 2462 '],[' 3125 '],[' 3976 ']
Solving...,TA70, ,[' 1'],[' 2467+'],[' 1239'],"[' 326.547s (Solving', ' 318.10s 1st Model', ' 7.47s Unsat', ' 0.00s)']",[' 325.156s'], ,[' 25631420'],"[' 6245961  (Analyzed', ' 6124118)']","[' 13256    (Average', ' 461.99 Last', ' 33045)']",[' 2793.2  '],"[' 1239     (Average Length', ' 596.47 Splits', ' 0)']","[' 6124118  (Deleted', ' 6033316)']","[' 28       (Ratio', '   0.00%)']","[' 6296     (Ratio', '   0.10%)']","[' 6124118  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6124118  (Average', '  3.74 Max', ' 3528 Sum', ' 22882240)']","[' 6123424  (Average', '  3.68 Max', ' 3528 Sum', ' 22518675 Ratio', '  98.41%)']","[' 694      (Average', ' 523.87 Max', ' 897 Sum', ' 363565 Ratio', '   1.59%)']", ,[' 105324  '],[' 5905    '],[' 105487  '],[' 58905   '],"[' 176711   (Atom=Atom', ' 53998 Body=Body', ' 31355 Other', ' 91358)']",[' Yes'],"[' 7068     (Eliminated', '    0 Frozen', ' 7068)']","[' 1186     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.96528'],[' 0'], ,[' 261.288'],[' 0'],[' 4.50233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.12868e+07'],[' 6.10881e+07'],[' 0'],[' 2.86577e+10'],[' 0'],[' 0'],[' 791 '],[' 1618 '],[' 2426 '],[' 3281 '],[' 4114 ']
