Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA31, ,[' 1'],[' 4129+'],[' 2066'],"[' 1002.529s (Solving', ' 992.11s 1st Model', ' 963.21s Unsat', ' 0.00s)']",[' 999.922s'], ,[' 442523631'],"[' 3348473  (Analyzed', ' 3140995)']","[' 9699     (Average', ' 323.85 Last', ' 435158)']",[' 7180.0  '],"[' 2066     (Average Length', ' 1032.50 Splits', ' 0)']","[' 3140995  (Deleted', ' 3093085)']","[' 571      (Ratio', '   0.02%)']","[' 40681    (Ratio', '   1.30%)']","[' 3140995  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3140995  (Average', ' 136.63 Max', ' 6460 Sum', ' 429142937)']","[' 3140995  (Average', ' 136.63 Max', ' 6460 Sum', ' 429142937 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 40090   '],[' 6975    '],[' 41704   '],[' 29035   '],"[' 87101    (Atom=Atom', ' 22508 Body=Body', ' 13920 Other', ' 50673)']",[' Yes'],"[' 9039     (Eliminated', '    0 Frozen', ' 9039)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1325'],[' 0'], ,[' 309.495'],[' 0'],[' 29.7825'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12291e+09'],[' 1.94072e+09'],[' 0'],[' 9.56552e+09'],[' 0'],[' 0'],[' 2107 '],[' 1 '],[' 0 ']
Solving...,TA32, ,[' 1'],[' 3855+'],[' 1929'],"[' 1002.735s (Solving', ' 992.82s 1st Model', ' 885.25s Unsat', ' 0.00s)']",[' 1001.063s'], ,[' 469197036'],"[' 3396687  (Analyzed', ' 3164254)']","[' 10115    (Average', ' 312.83 Last', ' 165773)']",[' 7041.0  '],"[' 1929     (Average Length', ' 964.00 Splits', ' 0)']","[' 3164254  (Deleted', ' 3112780)']","[' 639      (Ratio', '   0.02%)']","[' 42680    (Ratio', '   1.35%)']","[' 3164254  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3164254  (Average', ' 144.35 Max', ' 6469 Sum', ' 456748989)']","[' 3164254  (Average', ' 144.35 Max', ' 6469 Sum', ' 456748989 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39953   '],[' 6975    '],[' 41430   '],[' 28898   '],"[' 86690    (Atom=Atom', ' 22371 Body=Body', ' 13920 Other', ' 50399)']",[' Yes'],"[' 8902     (Eliminated', '    0 Frozen', ' 8902)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.04415'],[' 0'], ,[' 309.197'],[' 0'],[' 31.1275'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24177e+09'],[' 2.04512e+09'],[' 0'],[' 9.96484e+09'],[' 0'],[' 0'],[' 2199 '],[' 1 '],[' 0 ']
Solving...,TA33, ,[' 1'],[' 3871+'],[' 1937'],"[' 1002.179s (Solving', ' 993.93s 1st Model', ' 859.58s Unsat', ' 0.00s)']",[' 1000.984s'], ,[' 461066627'],"[' 3570797  (Analyzed', ' 3378120)']","[' 9714     (Average', ' 347.76 Last', ' 455376)']",[' 7130.6  '],"[' 1937     (Average Length', ' 968.00 Splits', ' 0)']","[' 3378120  (Deleted', ' 3329750)']","[' 697      (Ratio', '   0.02%)']","[' 41977    (Ratio', '   1.24%)']","[' 3378120  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3378120  (Average', ' 132.76 Max', ' 6464 Sum', ' 448471488)']","[' 3378119  (Average', ' 132.76 Max', ' 6464 Sum', ' 448471295 Ratio', ' 100.00%)']","[' 1        (Average', ' 193.00 Max', ' 193 Sum', '    193 Ratio', '   0.00%)']", ,[' 39961   '],[' 6975    '],[' 41446   '],[' 28906   '],"[' 86714    (Atom=Atom', ' 22379 Body=Body', ' 13920 Other', ' 50415)']",[' Yes'],"[' 8910     (Eliminated', '    0 Frozen', ' 8910)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.827'],[' 0'], ,[' 309.869'],[' 0'],[' 29.9813'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2597e+09'],[' 2.06676e+09'],[' 0'],[' 1.03608e+10'],[' 0'],[' 0'],[' 2225 '],[' 1 '],[' 0 ']
Solving...,TA34, ,[' 1'],[' 3023+'],[' 1513'],"[' 1001.252s (Solving', ' 995.05s 1st Model', ' 876.99s Unsat', ' 0.00s)']",[' 999.609s'], ,[' 443572575'],"[' 3380947  (Analyzed', ' 3192244)']","[' 8895     (Average', ' 358.88 Last', ' 474934)']",[' 6971.3  '],"[' 1513     (Average Length', ' 756.00 Splits', ' 0)']","[' 3192244  (Deleted', ' 3140312)']","[' 671      (Ratio', '   0.02%)']","[' 43147    (Ratio', '   1.35%)']","[' 3192244  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3192244  (Average', ' 135.81 Max', ' 6457 Sum', ' 433550908)']","[' 3192244  (Average', ' 135.81 Max', ' 6457 Sum', ' 433550908 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39537   '],[' 6975    '],[' 40598   '],[' 28482   '],"[' 85442    (Atom=Atom', ' 21955 Body=Body', ' 13920 Other', ' 49567)']",[' Yes'],"[' 8486     (Eliminated', '    0 Frozen', ' 8486)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42825'],[' 0'], ,[' 325.059'],[' 0'],[' 29.1905'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.22148e+09'],[' 2.04004e+09'],[' 0'],[' 9.82759e+09'],[' 0'],[' 0'],[' 2218 '],[' 1 '],[' 0 ']
Solving...,TA35, ,[' 1'],[' 3847+'],[' 1925'],"[' 1001.930s (Solving', ' 993.76s 1st Model', ' 944.99s Unsat', ' 0.00s)']",[' 999.828s'], ,[' 456232202'],"[' 3429171  (Analyzed', ' 3252993)']","[' 9675     (Average', ' 336.23 Last', ' 316295)']",[' 7123.5  '],"[' 1925     (Average Length', ' 962.00 Splits', ' 0)']","[' 3252993  (Deleted', ' 3196392)']","[' 834      (Ratio', '   0.03%)']","[' 47294    (Ratio', '   1.45%)']","[' 3252993  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3252993  (Average', ' 136.41 Max', ' 6472 Sum', ' 443749299)']","[' 3252993  (Average', ' 136.41 Max', ' 6472 Sum', ' 443749299 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39949   '],[' 6975    '],[' 41422   '],[' 28894   '],"[' 86678    (Atom=Atom', ' 22367 Body=Body', ' 13920 Other', ' 50391)']",[' Yes'],"[' 8898     (Eliminated', '    0 Frozen', ' 8898)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.81242'],[' 0'], ,[' 305.189'],[' 0'],[' 29.3387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.25977e+09'],[' 2.07885e+09'],[' 0'],[' 1.02203e+10'],[' 0'],[' 0'],[' 2207 '],[' 1 '],[' 0 ']
Solving...,TA36, ,[' 1'],[' 3411+'],[' 1707'],"[' 1002.052s (Solving', ' 994.88s 1st Model', ' 968.13s Unsat', ' 0.00s)']",[' 1000.469s'], ,[' 463539370'],"[' 3645317  (Analyzed', ' 3410376)']","[' 10189    (Average', ' 334.71 Last', ' 398396)']",[' 7010.2  '],"[' 1707     (Average Length', ' 853.00 Splits', ' 0)']","[' 3410376  (Deleted', ' 3360709)']","[' 646      (Ratio', '   0.02%)']","[' 42163    (Ratio', '   1.24%)']","[' 3410376  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3410376  (Average', ' 132.63 Max', ' 6471 Sum', ' 452305863)']","[' 3410376  (Average', ' 132.63 Max', ' 6471 Sum', ' 452305863 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39731   '],[' 6975    '],[' 40986   '],[' 28676   '],"[' 86024    (Atom=Atom', ' 22149 Body=Body', ' 13920 Other', ' 49955)']",[' Yes'],"[' 8680     (Eliminated', '    0 Frozen', ' 8680)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.64073'],[' 0'], ,[' 311.949'],[' 0'],[' 29.8801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26769e+09'],[' 2.07229e+09'],[' 0'],[' 1.04665e+10'],[' 0'],[' 0'],[' 2192 '],[' 1 '],[' 0 ']
Solving...,TA37, ,[' 1'],[' 3303+'],[' 1653'],"[' 1001.665s (Solving', ' 995.02s 1st Model', ' 940.50s Unsat', ' 0.00s)']",[' 999.516s'], ,[' 474305926'],"[' 3746975  (Analyzed', ' 3567051)']","[' 10388    (Average', ' 343.38 Last', ' 321799)']",[' 6938.9  '],"[' 1653     (Average Length', ' 826.00 Splits', ' 0)']","[' 3567051  (Deleted', ' 3519330)']","[' 595      (Ratio', '   0.02%)']","[' 38672    (Ratio', '   1.08%)']","[' 3567051  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3567051  (Average', ' 129.95 Max', ' 6472 Sum', ' 463531627)']","[' 3567051  (Average', ' 129.95 Max', ' 6472 Sum', ' 463531627 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39677   '],[' 6975    '],[' 40878   '],[' 28622   '],"[' 85862    (Atom=Atom', ' 22095 Body=Body', ' 13920 Other', ' 49847)']",[' Yes'],"[' 8626     (Eliminated', '    0 Frozen', ' 8626)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54449'],[' 0'], ,[' 319.667'],[' 0'],[' 30.7037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30538e+09'],[' 2.10465e+09'],[' 0'],[' 1.05649e+10'],[' 0'],[' 0'],[' 2117 '],[' 1 '],[' 0 ']
Solving...,TA38, ,[' 1'],[' 3355+'],[' 1679'],"[' 1002.211s (Solving', ' 994.66s 1st Model', ' 959.75s Unsat', ' 0.00s)']",[' 1000.438s'], ,[' 470807535'],"[' 3523008  (Analyzed', ' 3336591)']","[' 10130    (Average', ' 329.38 Last', ' 306101)']",[' 6994.5  '],"[' 1679     (Average Length', ' 839.00 Splits', ' 0)']","[' 3336591  (Deleted', ' 3289130)']","[' 615      (Ratio', '   0.02%)']","[' 40671    (Ratio', '   1.22%)']","[' 3336591  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3336591  (Average', ' 137.80 Max', ' 6470 Sum', ' 459785764)']","[' 3336591  (Average', ' 137.80 Max', ' 6470 Sum', ' 459785764 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39703   '],[' 6975    '],[' 40930   '],[' 28648   '],"[' 85940    (Atom=Atom', ' 22121 Body=Body', ' 13920 Other', ' 49899)']",[' Yes'],"[' 8652     (Eliminated', '    0 Frozen', ' 8652)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5665'],[' 0'], ,[' 312.608'],[' 0'],[' 30.5189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35426e+09'],[' 2.1603e+09'],[' 0'],[' 1.01148e+10'],[' 0'],[' 0'],[' 2021 '],[' 1 '],[' 0 ']
Solving...,TA39, ,[' 1'],[' 3547+'],[' 1775'],"[' 1002.138s (Solving', ' 994.20s 1st Model', ' 971.27s Unsat', ' 0.00s)']",[' 1000.422s'], ,[' 463866289'],"[' 3640872  (Analyzed', ' 3470534)']","[' 10335    (Average', ' 335.80 Last', ' 312960)']",[' 7041.8  '],"[' 1775     (Average Length', ' 887.00 Splits', ' 0)']","[' 3470534  (Deleted', ' 3417180)']","[' 744      (Ratio', '   0.02%)']","[' 44746    (Ratio', '   1.29%)']","[' 3470534  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3470534  (Average', ' 130.32 Max', ' 6479 Sum', ' 452284990)']","[' 3470533  (Average', ' 130.32 Max', ' 6479 Sum', ' 452284910 Ratio', ' 100.00%)']","[' 1        (Average', ' 80.00 Max', '  80 Sum', '     80 Ratio', '   0.00%)']", ,[' 39799   '],[' 6975    '],[' 41122   '],[' 28744   '],"[' 86228    (Atom=Atom', ' 22217 Body=Body', ' 13920 Other', ' 50091)']",[' Yes'],"[' 8748     (Eliminated', '    0 Frozen', ' 8748)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65578'],[' 0'], ,[' 308.972'],[' 0'],[' 30.0417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2435e+09'],[' 2.05758e+09'],[' 0'],[' 1.05606e+10'],[' 0'],[' 0'],[' 2120 '],[' 1 '],[' 0 ']
Solving...,TA40, ,[' 1'],[' 3775+'],[' 1889'],"[' 1001.873s (Solving', ' 993.79s 1st Model', ' 971.18s Unsat', ' 0.00s)']",[' 999.813s'], ,[' 464781933'],"[' 3627885  (Analyzed', ' 3432229)']","[' 10067    (Average', ' 340.94 Last', ' 440343)']",[' 7110.3  '],"[' 1889     (Average Length', ' 944.00 Splits', ' 0)']","[' 3432229  (Deleted', ' 3382759)']","[' 606      (Ratio', '   0.02%)']","[' 40633    (Ratio', '   1.18%)']","[' 3432229  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3432229  (Average', ' 131.82 Max', ' 6333 Sum', ' 452449366)']","[' 3432229  (Average', ' 131.82 Max', ' 6333 Sum', ' 452449366 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39913   '],[' 6975    '],[' 41350   '],[' 28858   '],"[' 86570    (Atom=Atom', ' 22331 Body=Body', ' 13920 Other', ' 50319)']",[' Yes'],"[' 8862     (Eliminated', '    0 Frozen', ' 8862)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.75658'],[' 0'], ,[' 313.807'],[' 0'],[' 30.0748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30751e+09'],[' 2.11481e+09'],[' 0'],[' 1.0337e+10'],[' 0'],[' 0'],[' 2041 '],[' 1 '],[' 0 ']
