Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , , ,[' 303'],[' 162'],"[' 321.746s (Solving', ' 320.93s 1st Model', ' 0.24s Unsat', ' 19.80s)']",[' 320.953s'], ,[' 26540895'],"[' 17928301 (Analyzed', ' 17922835)']","[' 35571    (Average', ' 503.86 Last', ' 26346)']",[' 1023.3  '],"[' 162      (Average Length', ' 129.99 Splits', ' 0)']","[' 17922835 (Deleted', ' 17699190)']","[' 33       (Ratio', '   0.00%)']","[' 1704     (Ratio', '   0.01%)']","[' 17922835 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17922835 (Average', '  1.45 Max', ' 1434 Sum', ' 25921375)']","[' 17922516 (Average', '  1.44 Max', ' 1434 Sum', ' 25883102 Ratio', '  99.85%)']","[' 319      (Average', ' 119.98 Max', ' 190 Sum', '  38273 Ratio', '   0.15%)']", ,[' 58273   '],[' 1868    '],[' 54129   '],[' 16774   '],"[' 43881    (Atom=Atom', ' 13091 Body=Body', ' 7909 Other', ' 22881)']",[' Yes'],"[' 2619     (Eliminated', '    0 Frozen', ' 2619)']","[' 273      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.123103'],[' 0'], ,[' 212.737'],[' 0'],[' 4.10634'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62195e+07'],[' 2.44498e+07'],[' 0'],[' 1.45259e+10'],[' 0'],[' 0'],[' 446 '],[' 841 '],[' 1236 '],[' 1417 '],[' 1687 '],[' 2289 '],[' 2521 '],[' 2815 '],[' 3230 '],[' 3634 '],[' 3 '],[' 7 ']
Solving...,TA52, , , , , ,[' 339'],[' 180'],"[' 106.504s (Solving', ' 105.64s 1st Model', ' 0.28s Unsat', ' 103.46s)']",[' 106.141s'], ,[' 9570675 '],"[' 7302675  (Analyzed', ' 7291809)']","[' 16423    (Average', ' 444.00 Last', ' 27924)']",[' 1168.8  '],"[' 180      (Average Length', ' 143.40 Splits', ' 0)']","[' 7291809  (Deleted', ' 7171425)']","[' 37       (Ratio', '   0.00%)']","[' 1234     (Ratio', '   0.02%)']","[' 7291809  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7291809  (Average', '  1.27 Max', ' 1386 Sum', ' 9274467)']","[' 7291485  (Average', '  1.27 Max', ' 1386 Sum', ' 9236531 Ratio', '  99.59%)']","[' 324      (Average', ' 117.09 Max', ' 186 Sum', '  37936 Ratio', '   0.41%)']", ,[' 58480   '],[' 1897    '],[' 54331   '],[' 16886   '],"[' 44405    (Atom=Atom', ' 13237 Body=Body', ' 7997 Other', ' 23171)']",[' Yes'],"[' 2664     (Eliminated', '    0 Frozen', ' 2664)']","[' 37       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.136732'],[' 0'], ,[' 63.169'],[' 0'],[' 1.25404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5182e+07'],[' 8.94045e+06'],[' 0'],[' 4.1158e+09'],[' 0'],[' 0'],[' 557 '],[' 964 '],[' 1265 '],[' 1545 '],[' 1917 '],[' 2232 '],[' 2515 '],[' 2813 '],[' 3162 '],[' 3440 '],[' 0 '],[' 10 ']
Solving...,TA53, , , , , ,[' 367'],[' 194'],"[' 170.123s (Solving', ' 169.21s 1st Model', ' 0.31s Unsat', ' 67.13s)']",[' 170.359s'], ,[' 18163506'],"[' 11085859 (Analyzed', ' 11078253)']","[' 20786    (Average', ' 532.97 Last', ' 51751)']",[' 1197.3  '],"[' 194      (Average Length', ' 143.20 Splits', ' 0)']","[' 11078253 (Deleted', ' 10933994)']","[' 20       (Ratio', '   0.00%)']","[' 961      (Ratio', '   0.01%)']","[' 11078253 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11078253 (Average', '  1.60 Max', ' 1453 Sum', ' 17699107)']","[' 11077977 (Average', '  1.59 Max', ' 1453 Sum', ' 17669001 Ratio', '  99.83%)']","[' 276      (Average', ' 109.08 Max', ' 178 Sum', '  30106 Ratio', '   0.17%)']", ,[' 57827   '],[' 1828    '],[' 53842   '],[' 16549   '],"[' 43376    (Atom=Atom', ' 12983 Body=Body', ' 7794 Other', ' 22599)']",[' Yes'],"[' 2611     (Eliminated', '    0 Frozen', ' 2611)']","[' 75       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.152689'],[' 0'], ,[' 103.444'],[' 0'],[' 2.9963'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.83109e+07'],[' 2.35034e+07'],[' 0'],[' 6.85716e+09'],[' 0'],[' 0'],[' 423 '],[' 1061 '],[' 1107 '],[' 1428 '],[' 1666 '],[' 2099 '],[' 2241 '],[' 2550 '],[' 2862 '],[' 3285 '],[' 1 '],[' 9 ']
Solving...,TA54, , , , , ,[' 379'],[' 200'],"[' 107.801s (Solving', ' 106.79s 1st Model', ' 0.27s Unsat', ' 4.81s)']",[' 107.563s'], ,[' 8420265 '],"[' 6188386  (Analyzed', ' 6180955)']","[' 12966    (Average', ' 476.70 Last', ' 7891)']",[' 1071.7  '],"[' 200      (Average Length', ' 140.47 Splits', ' 0)']","[' 6180955  (Deleted', ' 6086262)']","[' 15       (Ratio', '   0.00%)']","[' 855      (Ratio', '   0.01%)']","[' 6180955  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6180955  (Average', '  1.31 Max', ' 1420 Sum', ' 8089503)']","[' 6180674  (Average', '  1.30 Max', ' 1420 Sum', ' 8052993 Ratio', '  99.55%)']","[' 281      (Average', ' 129.93 Max', ' 209 Sum', '  36510 Ratio', '   0.45%)']", ,[' 57613   '],[' 1794    '],[' 53625   '],[' 16380   '],"[' 42936    (Atom=Atom', ' 12851 Body=Body', ' 7691 Other', ' 22394)']",[' Yes'],"[' 2579     (Eliminated', '    0 Frozen', ' 2579)']","[' 56       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.145839'],[' 0'], ,[' 70.6825'],[' 0'],[' 1.07975'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13993e+07'],[' 7.6316e+06'],[' 0'],[' 4.82575e+09'],[' 0'],[' 0'],[' 445 '],[' 857 '],[' 1205 '],[' 1427 '],[' 1816 '],[' 2035 '],[' 2202 '],[' 2725 '],[' 3132 '],[' 3286 '],[' 1 '],[' 9 ']
Solving...,TA55, , , , , ,[' 379'],[' 200'],"[' 203.622s (Solving', ' 202.79s 1st Model', ' 0.26s Unsat', ' 0.98s)']",[' 203.266s'], ,[' 21063182'],"[' 16075904 (Analyzed', ' 16066695)']","[' 30063    (Average', ' 534.43 Last', ' 5221)']",[' 990.8   '],"[' 200      (Average Length', ' 152.11 Splits', ' 0)']","[' 16066695 (Deleted', ' 15846477)']","[' 7        (Ratio', '   0.00%)']","[' 1070     (Ratio', '   0.01%)']","[' 16066695 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16066695 (Average', '  1.28 Max', ' 1512 Sum', ' 20512191)']","[' 16066324 (Average', '  1.27 Max', ' 1401 Sum', ' 20456263 Ratio', '  99.73%)']","[' 371      (Average', ' 150.75 Max', ' 216 Sum', '  55928 Ratio', '   0.27%)']", ,[' 57950   '],[' 1873    '],[' 53974   '],[' 16608   '],"[' 44056    (Atom=Atom', ' 13167 Body=Body', ' 7928 Other', ' 22961)']",[' Yes'],"[' 2660     (Eliminated', '    0 Frozen', ' 2660)']","[' 116      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.126017'],[' 0'], ,[' 112.76'],[' 0'],[' 2.2962'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.26348e+07'],[' 1.71792e+07'],[' 0'],[' 7.24433e+09'],[' 0'],[' 0'],[' 643 '],[' 774 '],[' 1177 '],[' 1531 '],[' 1912 '],[' 2344 '],[' 2508 '],[' 2860 '],[' 3283 '],[' 3473 '],[' 2 '],[' 8 ']
Solving...,TA56, , , , ,[' 1'],[' 363+'],[' 192'],"[' 211.044s (Solving', ' 210.17s 1st Model', ' 0.30s Unsat', ' 8.80s)']",[' 210.547s'], ,[' 13134534'],"[' 9876247  (Analyzed', ' 9863644)']","[' 20738    (Average', ' 475.63 Last', ' 6068)']",[' 1044.0  '],"[' 192      (Average Length', ' 144.81 Splits', ' 0)']","[' 9863644  (Deleted', ' 9711899)']","[' 20       (Ratio', '   0.00%)']","[' 1101     (Ratio', '   0.01%)']","[' 9863644  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9863644  (Average', '  1.29 Max', ' 1485 Sum', ' 12745809)']","[' 9863282  (Average', '  1.29 Max', ' 1407 Sum', ' 12700362 Ratio', '  99.64%)']","[' 362      (Average', ' 125.54 Max', ' 208 Sum', '  45447 Ratio', '   0.36%)']", ,[' 57602   '],[' 1821    '],[' 53646   '],[' 16402   '],"[' 43242    (Atom=Atom', ' 12949 Body=Body', ' 7771 Other', ' 22522)']",[' Yes'],"[' 2600     (Eliminated', '    0 Frozen', ' 2600)']","[' 32       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.134385'],[' 0'], ,[' 144.383'],[' 0'],[' 4.1414'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38408e+07'],[' 1.1321e+07'],[' 0'],[' 1.02556e+10'],[' 0'],[' 0'],[' 586 '],[' 1056 '],[' 1323 '],[' 1509 '],[' 2022 '],[' 2248 '],[' 2452 '],[' 2787 '],[' 3041 '],[' 3451 '],[' 2 '],[' 8 ']
Solving...,TA57, , , , , ,[' 275'],[' 148'],"[' 116.438s (Solving', ' 115.60s 1st Model', ' 0.21s Unsat', ' 13.39s)']",[' 116.297s'], ,[' 9258290 '],"[' 6234064  (Analyzed', ' 6174799)']","[' 12606    (Average', ' 489.83 Last', ' 60913)']",[' 1133.8  '],"[' 148      (Average Length', ' 118.98 Splits', ' 0)']","[' 6174799  (Deleted', ' 6079075)']","[' 27       (Ratio', '   0.00%)']","[' 1050     (Ratio', '   0.02%)']","[' 6174799  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6174799  (Average', '  1.45 Max', ' 1429 Sum', ' 8951057)']","[' 6174467  (Average', '  1.44 Max', ' 1429 Sum', ' 8920155 Ratio', '  99.65%)']","[' 332      (Average', ' 93.08 Max', ' 170 Sum', '  30902 Ratio', '   0.35%)']", ,[' 57858   '],[' 1795    '],[' 53679   '],[' 16508   '],"[' 42776    (Atom=Atom', ' 12805 Body=Body', ' 7695 Other', ' 22276)']",[' Yes'],"[' 2532     (Eliminated', '    0 Frozen', ' 2532)']","[' 89       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.123744'],[' 0'], ,[' 74.77'],[' 0'],[' 1.06592'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.31192e+07'],[' 8.3104e+06'],[' 0'],[' 4.99542e+09'],[' 0'],[' 0'],[' 445 '],[' 966 '],[' 1249 '],[' 1612 '],[' 1981 '],[' 2233 '],[' 2491 '],[' 2782 '],[' 3287 '],[' 3575 '],[' 1 '],[' 9 ']
Solving...,TA58, , , , , ,[' 329'],[' 175'],"[' 28.934s (Solving', ' 28.14s 1st Model', ' 0.24s Unsat', ' 26.25s)']",[' 28.766s'], ,[' 3745348 '],"[' 2676957  (Analyzed', ' 2668308)']","[' 6474     (Average', ' 412.16 Last', ' 1737)']",[' 1024.9  '],"[' 175      (Average Length', ' 138.99 Splits', ' 0)']","[' 2668308  (Deleted', ' 2618196)']","[' 30       (Ratio', '   0.00%)']","[' 876      (Ratio', '   0.03%)']","[' 2668308  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2668308  (Average', '  1.34 Max', ' 1509 Sum', ' 3575472)']","[' 2667991  (Average', '  1.33 Max', ' 1509 Sum', ' 3537285 Ratio', '  98.93%)']","[' 317      (Average', ' 120.46 Max', ' 197 Sum', '  38187 Ratio', '   1.07%)']", ,[' 58160   '],[' 1869    '],[' 54062   '],[' 16749   '],"[' 43900    (Atom=Atom', ' 13112 Body=Body', ' 7913 Other', ' 22875)']",[' Yes'],"[' 2626     (Eliminated', '    0 Frozen', ' 2626)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.116796'],[' 0'], ,[' 11.7298'],[' 0'],[' 0.363312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.88406e+06'],[' 3.65289e+06'],[' 0'],[' 6.7595e+08'],[' 0'],[' 0'],[' 555 '],[' 843 '],[' 1237 '],[' 1481 '],[' 1839 '],[' 2006 '],[' 2539 '],[' 3044 '],[' 3273 '],[' 3588 '],[' 0 '],[' 10 ']
Solving...,TA59, , , , ,[' 1'],[' 423+'],[' 222'],"[' 275.539s (Solving', ' 274.61s 1st Model', ' 0.30s Unsat', ' 73.08s)']",[' 273.672s'], ,[' 20226095'],"[' 14466766 (Analyzed', ' 14426885)']","[' 28558    (Average', ' 505.18 Last', ' 1665)']",[' 1017.2  '],"[' 222      (Average Length', ' 162.88 Splits', ' 0)']","[' 14426885 (Deleted', ' 14244999)']","[' 23       (Ratio', '   0.00%)']","[' 1675     (Ratio', '   0.01%)']","[' 14426885 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14426885 (Average', '  1.37 Max', ' 1536 Sum', ' 19706785)']","[' 14426596 (Average', '  1.36 Max', ' 1451 Sum', ' 19664467 Ratio', '  99.79%)']","[' 289      (Average', ' 146.43 Max', ' 241 Sum', '  42318 Ratio', '   0.21%)']", ,[' 57747   '],[' 1825    '],[' 53823   '],[' 16481   '],"[' 43431    (Atom=Atom', ' 12997 Body=Body', ' 7784 Other', ' 22650)']",[' Yes'],"[' 2636     (Eliminated', '    0 Frozen', ' 2636)']","[' 109      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.14727'],[' 0'], ,[' 183.324'],[' 0'],[' 5.31973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.26827e+07'],[' 2.03601e+07'],[' 0'],[' 1.31896e+10'],[' 0'],[' 0'],[' 417 '],[' 816 '],[' 1031 '],[' 1338 '],[' 1702 '],[' 2042 '],[' 2214 '],[' 2646 '],[' 2934 '],[' 3424 '],[' 2 '],[' 8 ']
Solving...,TA60, , , , , ,[' 563'],[' 292'],"[' 38.064s (Solving', ' 36.90s 1st Model', ' 0.41s Unsat', ' 33.34s)']",[' 37.734s'], ,[' 3973800 '],"[' 2769568  (Analyzed', ' 2755946)']","[' 6631     (Average', ' 415.62 Last', ' 28790)']",[' 1139.9  '],"[' 292      (Average Length', ' 201.71 Splits', ' 0)']","[' 2755946  (Deleted', ' 2701641)']","[' 16       (Ratio', '   0.00%)']","[' 932      (Ratio', '   0.03%)']","[' 2755946  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2755946  (Average', '  1.34 Max', ' 1477 Sum', ' 3682871)']","[' 2755688  (Average', '  1.32 Max', ' 1477 Sum', ' 3641613 Ratio', '  98.88%)']","[' 258      (Average', ' 159.91 Max', ' 299 Sum', '  41258 Ratio', '   1.12%)']", ,[' 58259   '],[' 1819    '],[' 54206   '],[' 16777   '],"[' 43536    (Atom=Atom', ' 13037 Body=Body', ' 7765 Other', ' 22734)']",[' Yes'],"[' 2696     (Eliminated', '    0 Frozen', ' 2696)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.202939'],[' 0'], ,[' 17.652'],[' 0'],[' 0.453071'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05618e+07'],[' 4.14691e+06'],[' 0'],[' 1.08809e+09'],[' 0'],[' 0'],[' 452 '],[' 669 '],[' 1065 '],[' 1421 '],[' 1733 '],[' 2002 '],[' 2205 '],[' 2599 '],[' 2901 '],[' 3208 '],[' 0 '],[' 10 ']
