Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 1489+'],[' 750'],"[' 1000.966s (Solving', ' 998.29s 1st Model', ' 2.06s Unsat', ' 0.00s)']",[' 999.875s'], ,[' 100535449'],"[' 43032176 (Analyzed', ' 42960244)']","[' 72599    (Average', ' 591.75 Last', ' 81471)']",[' 1929.1  '],"[' 750      (Average Length', ' 449.20 Splits', ' 0)']","[' 42960244 (Deleted', ' 42549223)']","[' 15       (Ratio', '   0.00%)']","[' 6020     (Ratio', '   0.01%)']","[' 42960244 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 42960244 (Average', '  2.29 Max', ' 2648 Sum', ' 98229135)']","[' 42959722 (Average', '  2.28 Max', ' 2644 Sum', ' 97957106 Ratio', '  99.72%)']","[' 522      (Average', ' 521.13 Max', ' 637 Sum', ' 272029 Ratio', '   0.28%)']", ,[' 73628   '],[' 3669    '],[' 67487   '],[' 27162   '],"[' 73645    (Atom=Atom', ' 20383 Body=Body', ' 13167 Other', ' 40095)']",[' Yes'],"[' 4819     (Eliminated', '    0 Frozen', ' 4819)']","[' 907      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.539332'],[' 0'], ,[' 682.968'],[' 0'],[' 19.3475'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.40309e+08'],[' 1.30915e+08'],[' 0'],[' 4.41868e+10'],[' 0'],[' 0'],[' 888 '],[' 1568 '],[' 2438 '],[' 2804 '],[' 3701 '],[' 5 '],[' 0 ']
Solving...,TA52, , , , ,[' 1'],[' 1463+'],[' 737'],"[' 1001.007s (Solving', ' 998.03s 1st Model', ' 2.13s Unsat', ' 0.00s)']",[' 999.891s'], ,[' 108610172'],"[' 42706157 (Analyzed', ' 42637667)']","[' 72304    (Average', ' 589.70 Last', ' 177491)']",[' 2035.1  '],"[' 737      (Average Length', ' 447.03 Splits', ' 0)']","[' 42637667 (Deleted', ' 42272054)']","[' 19       (Ratio', '   0.00%)']","[' 6901     (Ratio', '   0.02%)']","[' 42637667 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 42637667 (Average', '  2.49 Max', ' 2711 Sum', ' 106181029)']","[' 42636988 (Average', '  2.48 Max', ' 2711 Sum', ' 105859119 Ratio', '  99.70%)']","[' 679      (Average', ' 474.09 Max', ' 602 Sum', ' 321910 Ratio', '   0.30%)']", ,[' 73972   '],[' 3758    '],[' 67844   '],[' 27392   '],"[' 74940    (Atom=Atom', ' 20726 Body=Body', ' 13434 Other', ' 40780)']",[' Yes'],"[' 4895     (Eliminated', '    0 Frozen', ' 4895)']","[' 1251     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.605266'],[' 0'], ,[' 689.768'],[' 0'],[' 18.4307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.54614e+08'],[' 1.46097e+08'],[' 0'],[' 4.52463e+10'],[' 0'],[' 0'],[' 1064 '],[' 1810 '],[' 2253 '],[' 3139 '],[' 3618 '],[' 5 '],[' 0 ']
Solving...,TA53, , , , ,[' 1'],[' 1779+'],[' 895'],"[' 1001.151s (Solving', ' 997.61s 1st Model', ' 2.64s Unsat', ' 0.00s)']",[' 999.531s'], ,[' 87858758'],"[' 45476520 (Analyzed', ' 45400924)']","[' 81155    (Average', ' 559.43 Last', ' 101109)']",[' 2134.0  '],"[' 895      (Average Length', ' 506.18 Splits', ' 0)']","[' 45400924 (Deleted', ' 44939899)']","[' 19       (Ratio', '   0.00%)']","[' 4876     (Ratio', '   0.01%)']","[' 45400924 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45400924 (Average', '  1.88 Max', ' 2867 Sum', ' 85273875)']","[' 45400304 (Average', '  1.87 Max', ' 2572 Sum', ' 84936192 Ratio', '  99.60%)']","[' 620      (Average', ' 544.65 Max', ' 657 Sum', ' 337683 Ratio', '   0.40%)']", ,[' 72856   '],[' 3609    '],[' 67063   '],[' 26787   '],"[' 73096    (Atom=Atom', ' 20288 Body=Body', ' 12987 Other', ' 39821)']",[' Yes'],"[' 4885     (Eliminated', '    0 Frozen', ' 4885)']","[' 808      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.719866'],[' 0'], ,[' 676.498'],[' 0'],[' 17.1704'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26033e+08'],[' 1.16048e+08'],[' 0'],[' 4.45001e+10'],[' 0'],[' 0'],[' 808 '],[' 1464 '],[' 1926 '],[' 2711 '],[' 3178 '],[' 5 '],[' 0 ']
Solving...,TA54, , , , ,[' 1'],[' 1475+'],[' 743'],"[' 1000.951s (Solving', ' 997.97s 1st Model', ' 2.15s Unsat', ' 0.00s)']",[' 1000.313s'], ,[' 100865719'],"[' 44212671 (Analyzed', ' 44149537)']","[' 75842    (Average', ' 582.13 Last', ' 2064)']",[' 2101.0  '],"[' 743      (Average Length', ' 436.42 Splits', ' 0)']","[' 44149537 (Deleted', ' 43809787)']","[' 12       (Ratio', '   0.00%)']","[' 6314     (Ratio', '   0.01%)']","[' 44149537 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 44149537 (Average', '  2.23 Max', ' 2522 Sum', ' 98355400)']","[' 44148874 (Average', '  2.22 Max', ' 2522 Sum', ' 98054463 Ratio', '  99.69%)']","[' 663      (Average', ' 453.90 Max', ' 572 Sum', ' 300937 Ratio', '   0.31%)']", ,[' 73272   '],[' 3711    '],[' 67283   '],[' 27071   '],"[' 74201    (Atom=Atom', ' 20544 Body=Body', ' 13293 Other', ' 40364)']",[' Yes'],"[' 4860     (Eliminated', '    0 Frozen', ' 4860)']","[' 1129     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.634061'],[' 0'], ,[' 676.949'],[' 0'],[' 17.6663'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.62165e+08'],[' 1.48189e+08'],[' 0'],[' 4.65108e+10'],[' 0'],[' 0'],[' 988 '],[' 1704 '],[' 2206 '],[' 2936 '],[' 3386 '],[' 5 '],[' 0 ']
Solving...,TA55, , , , ,[' 1'],[' 1733+'],[' 872'],"[' 1001.049s (Solving', ' 997.82s 1st Model', ' 2.60s Unsat', ' 0.00s)']",[' 1000.719s'], ,[' 94587025'],"[' 42084688 (Analyzed', ' 42025439)']","[' 73646    (Average', ' 570.64 Last', ' 174133)']",[' 2141.6  '],"[' 872      (Average Length', ' 496.32 Splits', ' 0)']","[' 42025439 (Deleted', ' 41644284)']","[' 11       (Ratio', '   0.00%)']","[' 5532     (Ratio', '   0.01%)']","[' 42025439 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 42025439 (Average', '  2.19 Max', ' 3284 Sum', ' 92136947)']","[' 42024819 (Average', '  2.18 Max', ' 2642 Sum', ' 91794003 Ratio', '  99.63%)']","[' 620      (Average', ' 553.14 Max', ' 674 Sum', ' 342944 Ratio', '   0.37%)']", ,[' 74067   '],[' 3723    '],[' 67926   '],[' 27571   '],"[' 74885    (Atom=Atom', ' 20721 Body=Body', ' 13329 Other', ' 40835)']",[' Yes'],"[' 4982     (Eliminated', '    0 Frozen', ' 4982)']","[' 936      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.668499'],[' 0'], ,[' 688.514'],[' 0'],[' 19.7832'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43224e+08'],[' 1.37549e+08'],[' 0'],[' 4.69352e+10'],[' 0'],[' 0'],[' 814 '],[' 1707 '],[' 2229 '],[' 2825 '],[' 3399 '],[' 5 '],[' 0 ']
Solving...,TA56, , , , , ,[' 1577'],[' 794'],"[' 687.086s (Solving', ' 683.57s 1st Model', ' 2.58s Unsat', ' 77.70s)']",[' 681.484s'], ,[' 67590707'],"[' 34837957 (Analyzed', ' 34763043)']","[' 60661    (Average', ' 573.07 Last', ' 430147)']",[' 2092.5  '],"[' 794      (Average Length', ' 464.73 Splits', ' 0)']","[' 34763043 (Deleted', ' 34388159)']","[' 27       (Ratio', '   0.00%)']","[' 3432     (Ratio', '   0.01%)']","[' 34763043 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34763043 (Average', '  1.88 Max', ' 2635 Sum', ' 65435564)']","[' 34762469 (Average', '  1.87 Max', ' 2612 Sum', ' 65149232 Ratio', '  99.56%)']","[' 574      (Average', ' 498.84 Max', ' 614 Sum', ' 286332 Ratio', '   0.44%)']", ,[' 72775   '],[' 3591    '],[' 66766   '],[' 26712   '],"[' 72574    (Atom=Atom', ' 20115 Body=Body', ' 12933 Other', ' 39526)']",[' Yes'],"[' 4787     (Eliminated', '    0 Frozen', ' 4787)']","[' 670      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.656847'],[' 0'], ,[' 428.935'],[' 0'],[' 10.4529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66333e+08'],[' 8.20116e+07'],[' 0'],[' 2.5389e+10'],[' 0'],[' 0'],[' 894 '],[' 1713 '],[' 2463 '],[' 2793 '],[' 3311 '],[' 3 '],[' 2 ']
Solving...,TA57, , , , ,[' 1'],[' 1527+'],[' 769'],"[' 1000.981s (Solving', ' 997.95s 1st Model', ' 2.24s Unsat', ' 0.00s)']",[' 999.531s'], ,[' 92761119'],"[' 47123699 (Analyzed', ' 47049408)']","[' 83388    (Average', ' 564.22 Last', ' 38320)']",[' 2115.8  '],"[' 769      (Average Length', ' 451.09 Splits', ' 0)']","[' 47049408 (Deleted', ' 46573970)']","[' 16       (Ratio', '   0.00%)']","[' 4395     (Ratio', '   0.01%)']","[' 47049408 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47049408 (Average', '  1.92 Max', ' 2933 Sum', ' 90240090)']","[' 47048834 (Average', '  1.91 Max', ' 2688 Sum', ' 89952328 Ratio', '  99.68%)']","[' 574      (Average', ' 501.33 Max', ' 585 Sum', ' 287762 Ratio', '   0.32%)']", ,[' 73310   '],[' 3672    '],[' 67213   '],[' 27108   '],"[' 73718    (Atom=Atom', ' 20414 Body=Body', ' 13176 Other', ' 40128)']",[' Yes'],"[' 4852     (Eliminated', '    0 Frozen', ' 4852)']","[' 653      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.630856'],[' 0'], ,[' 666.183'],[' 0'],[' 16.3546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.25154e+08'],[' 1.0407e+08'],[' 0'],[' 4.20558e+10'],[' 0'],[' 0'],[' 891 '],[' 1701 '],[' 2358 '],[' 2995 '],[' 3614 '],[' 5 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 1605+'],[' 808'],"[' 803.228s (Solving', ' 800.09s 1st Model', ' 2.62s Unsat', ' 0.00s)']",[' 801.766s'], ,[' 84217086'],"[' 31279649 (Analyzed', ' 31267811)']","[' 55420    (Average', ' 564.20 Last', ' 81137)']",[' 2117.6  '],"[' 807      (Average Length', ' 480.52 Splits', ' 0)']","[' 31267811 (Deleted', ' 30986404)']","[' 29       (Ratio', '   0.00%)']","[' 5628     (Ratio', '   0.02%)']","[' 31267811 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31267811 (Average', '  2.63 Max', ' 3054 Sum', ' 82115667)']","[' 31267346 (Average', '  2.62 Max', ' 3054 Sum', ' 81844026 Ratio', '  99.67%)']","[' 465      (Average', ' 584.17 Max', ' 706 Sum', ' 271641 Ratio', '   0.33%)']", ,[' 73458   '],[' 3706    '],[' 67567   '],[' 27118   '],"[' 74392    (Atom=Atom', ' 20589 Body=Body', ' 13278 Other', ' 40525)']",[' Yes'],"[' 4911     (Eliminated', '    0 Frozen', ' 4911)']","[' 921      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.641199'],[' 0'], ,[' 552.534'],[' 0'],[' 13.1948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93592e+08'],[' 1.15653e+08'],[' 0'],[' 3.4742e+10'],[' 0'],[' 0'],[' 848 '],[' 1643 '],[' 2082 '],[' 3001 '],[' 3592 '],[' 5 '],[' 0 ']
Solving...,TA59, , , , ,[' 1'],[' 1493+'],[' 752'],"[' 1001.031s (Solving', ' 998.18s 1st Model', ' 2.15s Unsat', ' 0.00s)']",[' 997.266s'], ,[' 84496504'],"[' 43507219 (Analyzed', ' 43421764)']","[' 77244    (Average', ' 562.14 Last', ' 58155)']",[' 2027.6  '],"[' 752      (Average Length', ' 451.61 Splits', ' 0)']","[' 43421764 (Deleted', ' 42951263)']","[' 12       (Ratio', '   0.00%)']","[' 4480     (Ratio', '   0.01%)']","[' 43421764 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 43421764 (Average', '  1.89 Max', ' 3192 Sum', ' 82262254)']","[' 43421201 (Average', '  1.89 Max', ' 2678 Sum', ' 81979150 Ratio', '  99.66%)']","[' 563      (Average', ' 502.85 Max', ' 612 Sum', ' 283104 Ratio', '   0.34%)']", ,[' 73321   '],[' 3651    '],[' 67189   '],[' 27041   '],"[' 73430    (Atom=Atom', ' 20313 Body=Body', ' 13113 Other', ' 40004)']",[' Yes'],"[' 4800     (Eliminated', '    0 Frozen', ' 4800)']","[' 713      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.583436'],[' 0'], ,[' 670.753'],[' 0'],[' 17.3486'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09445e+08'],[' 1.04194e+08'],[' 0'],[' 4.17765e+10'],[' 0'],[' 0'],[' 784 '],[' 1429 '],[' 2069 '],[' 2681 '],[' 3525 '],[' 5 '],[' 0 ']
Solving...,TA60, , , , , ,[' 1429'],[' 720'],"[' 775.647s (Solving', ' 772.76s 1st Model', ' 2.44s Unsat', ' 168.71s)']",[' 773.266s'], ,[' 70128906'],"[' 26799576 (Analyzed', ' 26733555)']","[' 49624    (Average', ' 538.72 Last', ' 37570)']",[' 2112.7  '],"[' 720      (Average Length', ' 418.67 Splits', ' 0)']","[' 26733555 (Deleted', ' 26487465)']","[' 33       (Ratio', '   0.00%)']","[' 4911     (Ratio', '   0.02%)']","[' 26733555 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26733555 (Average', '  2.55 Max', ' 3123 Sum', ' 68093709)']","[' 26732985 (Average', '  2.54 Max', ' 2763 Sum', ' 67828869 Ratio', '  99.61%)']","[' 570      (Average', ' 464.63 Max', ' 562 Sum', ' 264840 Ratio', '   0.39%)']", ,[' 73645   '],[' 3715    '],[' 67502   '],[' 27242   '],"[' 74283    (Atom=Atom', ' 20537 Body=Body', ' 13305 Other', ' 40441)']",[' Yes'],"[' 4839     (Eliminated', '    0 Frozen', ' 4839)']","[' 804      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.580562'],[' 0'], ,[' 574.882'],[' 0'],[' 16.0049'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58219e+08'],[' 8.98176e+07'],[' 0'],[' 3.9153e+10'],[' 0'],[' 0'],[' 777 '],[' 1652 '],[' 2287 '],[' 2866 '],[' 3312 '],[' 3 '],[' 2 ']
