Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 2225+'],[' 1118'],"[' 1001.696s (Solving', ' 996.15s 1st Model', ' 4.35s Unsat', ' 0.00s)']",[' 999.531s'], ,[' 91594597'],"[' 35756158 (Analyzed', ' 35653183)']","[' 63607    (Average', ' 560.52 Last', ' 375873)']",[' 2827.9  '],"[' 1118     (Average Length', ' 644.04 Splits', ' 0)']","[' 35653183 (Deleted', ' 35315538)']","[' 39       (Ratio', '   0.00%)']","[' 6914     (Ratio', '   0.02%)']","[' 35653183 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35653183 (Average', '  2.48 Max', ' 3972 Sum', ' 88413652)']","[' 35652505 (Average', '  2.47 Max', ' 3479 Sum', ' 87953466 Ratio', '  99.48%)']","[' 678      (Average', ' 678.74 Max', ' 835 Sum', ' 460186 Ratio', '   0.52%)']", ,[' 97661   '],[' 4801    '],[' 89534   '],[' 35910   '],"[' 97176    (Atom=Atom', ' 26934 Body=Body', ' 17283 Other', ' 52959)']",[' Yes'],"[' 6416     (Eliminated', '    0 Frozen', ' 6416)']","[' 1347     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20699'],[' 0'], ,[' 709.124'],[' 0'],[' 17.8492'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29032e+08'],[' 1.3377e+08'],[' 0'],[' 4.5105e+10'],[' 0'],[' 0'],[' 932 '],[' 1774 '],[' 2383 '],[' 3104 '],[' 3642 '],[' 5 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 3155+'],[' 1583'],"[' 902.974s (Solving', ' 895.58s 1st Model', ' 8.06s Unsat', ' 94.75s)']",[' 899.188s'], ,[' 82262790'],"[' 27350052 (Analyzed', ' 27203384)']","[' 51258    (Average', ' 530.71 Last', ' 14903)']",[' 2953.4  '],"[' 1583     (Average Length', ' 848.89 Splits', ' 0)']","[' 27203384 (Deleted', ' 26884600)']","[' 63       (Ratio', '   0.00%)']","[' 7752     (Ratio', '   0.03%)']","[' 27203384 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27203384 (Average', '  2.89 Max', ' 4474 Sum', ' 78627160)']","[' 27202658 (Average', '  2.86 Max', ' 3434 Sum', ' 77936512 Ratio', '  99.12%)']","[' 726      (Average', ' 951.31 Max', ' 1168 Sum', ' 690648 Ratio', '   0.88%)']", ,[' 99199   '],[' 4883    '],[' 91305   '],[' 36989   '],"[' 99806    (Atom=Atom', ' 27727 Body=Body', ' 17529 Other', ' 54550)']",[' Yes'],"[' 6892     (Eliminated', '    0 Frozen', ' 6892)']","[' 1296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.60711'],[' 0'], ,[' 647.392'],[' 0'],[' 17.5687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95819e+08'],[' 1.20965e+08'],[' 0'],[' 3.97713e+10'],[' 0'],[' 0'],[' 805 '],[' 1661 '],[' 2316 '],[' 2905 '],[' 3660 '],[' 4 '],[' 1 ']
Solving...,TA63, , , , ,[' 1'],[' 2567+'],[' 1289'],"[' 1002.143s (Solving', ' 994.57s 1st Model', ' 6.22s Unsat', ' 0.00s)']",[' 985.766s'], ,[' 75057784'],"[' 33807263 (Analyzed', ' 33661364)']","[' 61565    (Average', ' 546.76 Last', ' 17881)']",[' 2897.7  '],"[' 1289     (Average Length', ' 723.89 Splits', ' 0)']","[' 33661364 (Deleted', ' 33273412)']","[' 38       (Ratio', '   0.00%)']","[' 5579     (Ratio', '   0.02%)']","[' 33661364 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33661364 (Average', '  2.13 Max', ' 3812 Sum', ' 71774883)']","[' 33660517 (Average', '  2.11 Max', ' 3507 Sum', ' 71116132 Ratio', '  99.08%)']","[' 847      (Average', ' 777.75 Max', ' 937 Sum', ' 658751 Ratio', '   0.92%)']", ,[' 98215   '],[' 4874    '],[' 90264   '],[' 36453   '],"[' 98744    (Atom=Atom', ' 27397 Body=Body', ' 17502 Other', ' 53845)']",[' Yes'],"[' 6661     (Eliminated', '    0 Frozen', ' 6661)']","[' 992      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65062'],[' 0'], ,[' 702.959'],[' 0'],[' 16.6608'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78896e+08'],[' 9.35534e+07'],[' 0'],[' 4.0299e+10'],[' 0'],[' 0'],[' 935 '],[' 1558 '],[' 2342 '],[' 2840 '],[' 3471 '],[' 5 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 2467+'],[' 1239'],"[' 1001.791s (Solving', ' 995.69s 1st Model', ' 4.96s Unsat', ' 0.00s)']",[' 997.813s'], ,[' 89344934'],"[' 31942796 (Analyzed', ' 31770238)']","[' 56878    (Average', ' 558.57 Last', ' 563050)']",[' 2838.1  '],"[' 1239     (Average Length', ' 697.51 Splits', ' 0)']","[' 31770238 (Deleted', ' 31440547)']","[' 36       (Ratio', '   0.00%)']","[' 6609     (Ratio', '   0.02%)']","[' 31770238 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31770238 (Average', '  2.71 Max', ' 3425 Sum', ' 86084698)']","[' 31769424 (Average', '  2.69 Max', ' 3425 Sum', ' 85507786 Ratio', '  99.33%)']","[' 814      (Average', ' 708.74 Max', ' 893 Sum', ' 576912 Ratio', '   0.67%)']", ,[' 97733   '],[' 4810    '],[' 89770   '],[' 36006   '],"[' 97617    (Atom=Atom', ' 27091 Body=Body', ' 17310 Other', ' 53216)']",[' Yes'],"[' 6510     (Eliminated', '    0 Frozen', ' 6510)']","[' 1198     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3486'],[' 0'], ,[' 721.382'],[' 0'],[' 19.3172'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17928e+08'],[' 1.30293e+08'],[' 0'],[' 4.54698e+10'],[' 0'],[' 0'],[' 1059 '],[' 1774 '],[' 2219 '],[' 2845 '],[' 3336 '],[' 5 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 2535+'],[' 1273'],"[' 840.339s (Solving', ' 834.62s 1st Model', ' 5.23s Unsat', ' 34.45s)']",[' 836.578s'], ,[' 59783241'],"[' 26686037 (Analyzed', ' 26523246)']","[' 48785    (Average', ' 543.68 Last', ' 602143)']",[' 2894.2  '],"[' 1273     (Average Length', ' 724.41 Splits', ' 0)']","[' 26523246 (Deleted', ' 26261516)']","[' 34       (Ratio', '   0.00%)']","[' 4461     (Ratio', '   0.02%)']","[' 26523246 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26523246 (Average', '  2.14 Max', ' 4326 Sum', ' 56652723)']","[' 26522596 (Average', '  2.12 Max', ' 3789 Sum', ' 56127683 Ratio', '  99.07%)']","[' 650      (Average', ' 807.75 Max', ' 1031 Sum', ' 525040 Ratio', '   0.93%)']", ,[' 98788   '],[' 4850    '],[' 90549   '],[' 36656   '],"[' 98299    (Atom=Atom', ' 27285 Body=Body', ' 17430 Other', ' 53584)']",[' Yes'],"[' 6604     (Eliminated', '    0 Frozen', ' 6604)']","[' 708      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22416'],[' 0'], ,[' 627.135'],[' 0'],[' 14.9259'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41858e+08'],[' 7.56863e+07'],[' 0'],[' 3.94649e+10'],[' 0'],[' 0'],[' 791 '],[' 1536 '],[' 2162 '],[' 2868 '],[' 3671 '],[' 4 '],[' 1 ']
Solving...,TA66, , , , ,[' 1'],[' 2643+'],[' 1327'],"[' 846.488s (Solving', ' 840.18s 1st Model', ' 5.52s Unsat', ' 37.79s)']",[' 840.484s'], ,[' 85963620'],"[' 27406739 (Analyzed', ' 27249797)']","[' 48477    (Average', ' 562.12 Last', ' 1125)']",[' 2784.0  '],"[' 1327     (Average Length', ' 744.61 Splits', ' 0)']","[' 27249797 (Deleted', ' 26952573)']","[' 55       (Ratio', '   0.00%)']","[' 8007     (Ratio', '   0.03%)']","[' 27249797 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27249797 (Average', '  3.04 Max', ' 4375 Sum', ' 82813001)']","[' 27249133 (Average', '  3.02 Max', ' 3404 Sum', ' 82275307 Ratio', '  99.35%)']","[' 664      (Average', ' 809.78 Max', ' 1021 Sum', ' 537694 Ratio', '   0.65%)']", ,[' 98352   '],[' 4883    '],[' 90397   '],[' 36495   '],"[' 98974    (Atom=Atom', ' 27471 Body=Body', ' 17529 Other', ' 53974)']",[' Yes'],"[' 6689     (Eliminated', '    0 Frozen', ' 6689)']","[' 1459     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.36217'],[' 0'], ,[' 596.375'],[' 0'],[' 16.2505'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1056e+08'],[' 1.31397e+08'],[' 0'],[' 3.55028e+10'],[' 0'],[' 0'],[' 912 '],[' 1555 '],[' 2153 '],[' 2839 '],[' 3583 '],[' 4 '],[' 1 ']
Solving...,TA67, , , , ,[' 1'],[' 2597+'],[' 1304'],"[' 1001.719s (Solving', ' 995.51s 1st Model', ' 5.17s Unsat', ' 0.00s)']",[' 999.422s'], ,[' 82194321'],"[' 36767746 (Analyzed', ' 36584868)']","[' 66825    (Average', ' 547.47 Last', ' 41325)']",[' 2929.2  '],"[' 1304     (Average Length', ' 724.77 Splits', ' 0)']","[' 36584868 (Deleted', ' 36211790)']","[' 12       (Ratio', '   0.00%)']","[' 4407     (Ratio', '   0.01%)']","[' 36584868 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36584868 (Average', '  2.15 Max', ' 4614 Sum', ' 78625812)']","[' 36584081 (Average', '  2.13 Max', ' 3643 Sum', ' 78030988 Ratio', '  99.24%)']","[' 787      (Average', ' 755.81 Max', ' 971 Sum', ' 594824 Ratio', '   0.76%)']", ,[' 98056   '],[' 4853    '],[' 90102   '],[' 36302   '],"[' 98425    (Atom=Atom', ' 27328 Body=Body', ' 17439 Other', ' 53658)']",[' Yes'],"[' 6608     (Eliminated', '    0 Frozen', ' 6608)']","[' 883      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.35629'],[' 0'], ,[' 700.585'],[' 0'],[' 16.5842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03608e+08'],[' 1.0938e+08'],[' 0'],[' 4.42794e+10'],[' 0'],[' 0'],[' 1055 '],[' 1684 '],[' 2326 '],[' 3033 '],[' 3631 '],[' 5 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 2445+'],[' 1227'],"[' 60134.064s (Solving', ' 60120.55s 1st Model', ' 59485.61s Unsat', ' 34.28s)']",[' 646.016s'], ,[' 42656249'],"[' 16216825 (Analyzed', ' 16192247)']","[' 31386    (Average', ' 515.91 Last', ' 142427)']",[' 3230.5  '],"[' 1227     (Average Length', ' 699.25 Splits', ' 0)']","[' 16192247 (Deleted', ' 15986690)']","[' 13       (Ratio', '   0.00%)']","[' 3061     (Ratio', '   0.02%)']","[' 16192247 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16192247 (Average', '  2.45 Max', ' 3998 Sum', ' 39618520)']","[' 16191522 (Average', '  2.42 Max', ' 3775 Sum', ' 39116258 Ratio', '  98.73%)']","[' 725      (Average', ' 692.78 Max', ' 867 Sum', ' 502262 Ratio', '   1.27%)']", ,[' 96808   '],[' 4751    '],[' 89023   '],[' 35524   '],"[' 96659    (Atom=Atom', ' 26844 Body=Body', ' 17133 Other', ' 52682)']",[' Yes'],"[' 6440     (Eliminated', '    0 Frozen', ' 6440)']","[' 330      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9032'],[' 0'], ,[' 467.295'],[' 0'],[' 10.928'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.71368e+07'],[' 5.58999e+07'],[' 0'],[' 2.84098e+10'],[' 0'],[' 0'],[' 1176 '],[' 1627 '],[' 2173 '],[' 2713 '],[' 3384 '],[' 4 '],[' 1 ']
Solving...,TA69, , , , ,[' 1'],[' 2201+'],[' 1106'],"[' 1002.056s (Solving', ' 995.38s 1st Model', ' 6.02s Unsat', ' 0.00s)']",[' 994.688s'], ,[' 73314518'],"[' 30621111 (Analyzed', ' 30478314)']","[' 57105    (Average', ' 533.72 Last', ' 153959)']",[' 2855.1  '],"[' 1106     (Average Length', ' 630.04 Splits', ' 0)']","[' 30478314 (Deleted', ' 30144806)']","[' 24       (Ratio', '   0.00%)']","[' 5030     (Ratio', '   0.02%)']","[' 30478314 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30478314 (Average', '  2.31 Max', ' 4242 Sum', ' 70273468)']","[' 30477512 (Average', '  2.29 Max', ' 3642 Sum', ' 69722608 Ratio', '  99.22%)']","[' 802      (Average', ' 686.86 Max', ' 799 Sum', ' 550860 Ratio', '   0.78%)']", ,[' 97136   '],[' 4916    '],[' 89534   '],[' 35812   '],"[' 98764    (Atom=Atom', ' 27382 Body=Body', ' 17628 Other', ' 53754)']",[' Yes'],"[' 6519     (Eliminated', '    0 Frozen', ' 6519)']","[' 943      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.47137'],[' 0'], ,[' 711.353'],[' 0'],[' 17.4869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78543e+08'],[' 9.94355e+07'],[' 0'],[' 3.96281e+10'],[' 0'],[' 0'],[' 1135 '],[' 1828 '],[' 2655 '],[' 3031 '],[' 3737 '],[' 5 '],[' 0 ']
Solving...,TA70, , , , , ,[' 2577'],[' 1294'],"[' 797.765s (Solving', ' 791.19s 1st Model', ' 7.14s Unsat', ' 179.37s)']",[' 792.109s'], ,[' 78287985'],"[' 27830846 (Analyzed', ' 27690748)']","[' 49849    (Average', ' 555.49 Last', ' 218642)']",[' 2896.8  '],"[' 1294     (Average Length', ' 716.95 Splits', ' 0)']","[' 27690748 (Deleted', ' 27390066)']","[' 50       (Ratio', '   0.00%)']","[' 6144     (Ratio', '   0.02%)']","[' 27690748 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27690748 (Average', '  2.71 Max', ' 4444 Sum', ' 75087069)']","[' 27689960 (Average', '  2.69 Max', ' 3635 Sum', ' 74445956 Ratio', '  99.15%)']","[' 788      (Average', ' 813.60 Max', ' 974 Sum', ' 641113 Ratio', '   0.85%)']", ,[' 98967   '],[' 4994    '],[' 90827   '],[' 37046   '],"[' 100762   (Atom=Atom', ' 27882 Body=Body', ' 17862 Other', ' 55018)']",[' Yes'],"[' 6798     (Eliminated', '    0 Frozen', ' 6798)']","[' 1223     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.41164'],[' 0'], ,[' 535.298'],[' 0'],[' 13.4695'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74173e+08'],[' 1.0205e+08'],[' 0'],[' 3.00183e+10'],[' 0'],[' 0'],[' 766 '],[' 1759 '],[' 2644 '],[' 3328 '],[' 3819 '],[' 3 '],[' 2 ']
