Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 10447+'],[' 5228'],"[' 629.436s (Solving', ' 544.89s 1st Model', ' 193.97s Unsat', ' 0.00s)']",[' 627.578s'], ,[' 246700277'],"[' 4719755  (Analyzed', ' 3962325)']","[' 9717     (Average', ' 407.77 Last', ' 65817)']",[' 12592.6 '],"[' 5229     (Average Length', ' 2714.73 Splits', ' 0)']","[' 3962325  (Deleted', ' 3878643)']","[' 723      (Ratio', '   0.02%)']","[' 27344    (Ratio', '   0.69%)']","[' 3962325  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3962325  (Average', ' 50.67 Max', ' 17758 Sum', ' 200780868)']","[' 3959219  (Average', ' 48.97 Max', ' 17758 Sum', ' 194023492 Ratio', '  96.63%)']","[' 3106     (Average', ' 2175.59 Max', ' 4033 Sum', ' 6757376 Ratio', '   3.37%)']", ,[' 402397  '],[' 24923   '],[' 369214  '],[' 189367  '],"[' 462122   (Atom=Atom', ' 126407 Body=Body', ' 89857 Other', ' 245858)']",[' Yes'],"[' 30613    (Eliminated', '    0 Frozen', ' 30613)']","[' 3528     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7101'],[' 0'], ,[' 140.384'],[' 0'],[' 14.5784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.96996e+08'],[' 3.53358e+08'],[' 0'],[' 4.65639e+09'],[' 0'],[' 0'],[' 1254 '],[' 2208 '],[' 3297 '],[' 4214 '],[' 5926 '],[' 7411 '],[' 6 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 10845+'],[' 5428'],"[' 624.492s (Solving', ' 544.54s 1st Model', ' 198.17s Unsat', ' 0.00s)']",[' 622.953s'], ,[' 261843528'],"[' 1928029  (Analyzed', ' 1581664)']","[' 5516     (Average', ' 286.74 Last', ' 27117)']",[' 11526.1 '],"[' 5428     (Average Length', ' 2777.41 Splits', ' 0)']","[' 1581664  (Deleted', ' 1510071)']","[' 686      (Ratio', '   0.04%)']","[' 36770    (Ratio', '   2.32%)']","[' 1581664  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1581664  (Average', ' 140.20 Max', ' 16562 Sum', ' 221745895)']","[' 1578510  (Average', ' 135.21 Max', ' 16562 Sum', ' 213860964 Ratio', '  96.44%)']","[' 3154     (Average', ' 2499.98 Max', ' 4077 Sum', ' 7884931 Ratio', '   3.56%)']", ,[' 400699  '],[' 24564   '],[' 367384  '],[' 187865  '],"[' 459040   (Atom=Atom', ' 125657 Body=Body', ' 89106 Other', ' 244277)']",[' Yes'],"[' 30507    (Eliminated', '    0 Frozen', ' 30507)']","[' 6181     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3669'],[' 0'], ,[' 118.33'],[' 0'],[' 14.9845'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.85922e+08'],[' 4.33111e+08'],[' 0'],[' 2.58909e+09'],[' 0'],[' 0'],[' 960 '],[' 1999 '],[' 2931 '],[' 3809 '],[' 5900 '],[' 7633 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 10167+'],[' 5089'],"[' 627.475s (Solving', ' 545.81s 1st Model', ' 159.34s Unsat', ' 0.00s)']",[' 626.078s'], ,[' 242798004'],"[' 3930210  (Analyzed', ' 3293959)']","[' 8009     (Average', ' 411.28 Last', ' 17146)']",[' 12374.0 '],"[' 5090     (Average Length', ' 2665.73 Splits', ' 0)']","[' 3293959  (Deleted', ' 3214535)']","[' 800      (Ratio', '   0.02%)']","[' 29642    (Ratio', '   0.90%)']","[' 3293959  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3293959  (Average', ' 60.68 Max', ' 17593 Sum', ' 199872940)']","[' 3290602  (Average', ' 58.45 Max', ' 17593 Sum', ' 192523245 Ratio', '  96.32%)']","[' 3357     (Average', ' 2189.36 Max', ' 3991 Sum', ' 7349695 Ratio', '   3.68%)']", ,[' 402169  '],[' 24889   '],[' 368744  '],[' 189274  '],"[' 461165   (Atom=Atom', ' 126140 Body=Body', ' 89803 Other', ' 245222)']",[' Yes'],"[' 30501    (Eliminated', '    0 Frozen', ' 30501)']","[' 5444     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3498'],[' 0'], ,[' 143.036'],[' 0'],[' 14.7494'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02229e+08'],[' 3.5827e+08'],[' 0'],[' 4.53964e+09'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3333 '],[' 4227 '],[' 7596 '],[' 6815 '],[' 6 '],[' 0 ']
Solving...,TA74, , , ,[' 10773+'],[' 5392'],"[' 627.485s (Solving', ' 543.56s 1st Model', ' 179.51s Unsat', ' 0.00s)']",[' 626.344s'], ,[' 251978134'],"[' 2217646  (Analyzed', ' 1900848)']","[' 5949     (Average', ' 319.52 Last', ' 34958)']",[' 11667.1 '],"[' 5393     (Average Length', ' 2758.89 Splits', ' 0)']","[' 1900848  (Deleted', ' 1826321)']","[' 670      (Ratio', '   0.04%)']","[' 34772    (Ratio', '   1.83%)']","[' 1900848  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1900848  (Average', ' 110.58 Max', ' 16587 Sum', ' 210190861)']","[' 1897864  (Average', ' 107.04 Max', ' 16587 Sum', ' 203461743 Ratio', '  96.80%)']","[' 2984     (Average', ' 2255.07 Max', ' 4087 Sum', ' 6729118 Ratio', '   3.20%)']", ,[' 401352  '],[' 24655   '],[' 368051  '],[' 188307  '],"[' 459779   (Atom=Atom', ' 125842 Body=Body', ' 89304 Other', ' 244633)']",[' Yes'],"[' 30576    (Eliminated', '    0 Frozen', ' 30576)']","[' 6528     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6781'],[' 0'], ,[' 121.927'],[' 0'],[' 14.517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.61496e+08'],[' 4.11514e+08'],[' 0'],[' 2.98545e+09'],[' 0'],[' 0'],[' 1152 '],[' 1962 '],[' 2901 '],[' 4419 '],[' 5773 '],[' 9760 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 10479+'],[' 5245'],"[' 606.449s (Solving', ' 526.02s 1st Model', ' 184.87s Unsat', ' 0.00s)']",[' 604.719s'], ,[' 246975990'],"[' 1868222  (Analyzed', ' 1562797)']","[' 5210     (Average', ' 299.96 Last', ' 42350)']",[' 11412.4 '],"[' 5245     (Average Length', ' 2712.31 Splits', ' 0)']","[' 1562797  (Deleted', ' 1486561)']","[' 662      (Ratio', '   0.04%)']","[' 37093    (Ratio', '   2.37%)']","[' 1562797  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1562797  (Average', ' 133.35 Max', ' 16902 Sum', ' 208406136)']","[' 1559753  (Average', ' 128.55 Max', ' 16902 Sum', ' 200901142 Ratio', '  96.40%)']","[' 3044     (Average', ' 2465.50 Max', ' 4082 Sum', ' 7504994 Ratio', '   3.60%)']", ,[' 401768  '],[' 24865   '],[' 368572  '],[' 188887  '],"[' 461432   (Atom=Atom', ' 126221 Body=Body', ' 89704 Other', ' 245507)']",[' Yes'],"[' 30622    (Eliminated', '    0 Frozen', ' 30622)']","[' 6493     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8693'],[' 0'], ,[' 114.193'],[' 0'],[' 14.0529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.71296e+08'],[' 4.20066e+08'],[' 0'],[' 2.57434e+09'],[' 0'],[' 0'],[' 1205 '],[' 2082 '],[' 3042 '],[' 4231 '],[' 8394 '],[' 7224 '],[' 6 '],[' 0 ']
Solving...,TA76, , , ,[' 10613+'],[' 5312'],"[' 629.359s (Solving', ' 544.31s 1st Model', ' 182.44s Unsat', ' 0.00s)']",[' 627.750s'], ,[' 253299076'],"[' 3052077  (Analyzed', ' 2689297)']","[' 7486     (Average', ' 359.24 Last', ' 17579)']",[' 11969.9 '],"[' 5313     (Average Length', ' 2748.10 Splits', ' 0)']","[' 2689297  (Deleted', ' 2606936)']","[' 671      (Ratio', '   0.02%)']","[' 32564    (Ratio', '   1.21%)']","[' 2689297  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2689297  (Average', ' 78.28 Max', ' 17349 Sum', ' 210508934)']","[' 2686346  (Average', ' 75.76 Max', ' 17349 Sum', ' 203748771 Ratio', '  96.79%)']","[' 2951     (Average', ' 2290.80 Max', ' 4092 Sum', ' 6760163 Ratio', '   3.21%)']", ,[' 400939  '],[' 24656   '],[' 367652  '],[' 188171  '],"[' 460140   (Atom=Atom', ' 125927 Body=Body', ' 89473 Other', ' 244740)']",[' Yes'],"[' 30465    (Eliminated', '    0 Frozen', ' 30465)']","[' 5599     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4493'],[' 0'], ,[' 130.719'],[' 0'],[' 14.7455'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.45512e+08'],[' 3.9842e+08'],[' 0'],[' 3.23941e+09'],[' 0'],[' 0'],[' 1131 '],[' 2087 '],[' 3032 '],[' 3947 '],[' 6344 '],[' 6680 '],[' 6 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 11009+'],[' 5511'],"[' 622.708s (Solving', ' 540.46s 1st Model', ' 185.07s Unsat', ' 0.00s)']",[' 620.969s'], ,[' 228467926'],"[' 3874053  (Analyzed', ' 3457835)']","[' 8519     (Average', ' 405.90 Last', ' 65341)']",[' 12650.5 '],"[' 5511     (Average Length', ' 2829.72 Splits', ' 0)']","[' 3457835  (Deleted', ' 3379623)']","[' 647      (Ratio', '   0.02%)']","[' 25040    (Ratio', '   0.72%)']","[' 3457835  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3457835  (Average', ' 52.05 Max', ' 18052 Sum', ' 179989518)']","[' 3454954  (Average', ' 50.25 Max', ' 18052 Sum', ' 173739880 Ratio', '  96.53%)']","[' 2881     (Average', ' 2169.26 Max', ' 4218 Sum', ' 6249638 Ratio', '   3.47%)']", ,[' 400982  '],[' 24663   '],[' 367882  '],[' 188179  '],"[' 460084   (Atom=Atom', ' 125943 Body=Body', ' 89336 Other', ' 244805)']",[' Yes'],"[' 30599    (Eliminated', '    0 Frozen', ' 30599)']","[' 4442     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.401'],[' 0'], ,[' 139.353'],[' 0'],[' 14.0117'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.72686e+08'],[' 3.31546e+08'],[' 0'],[' 4.24345e+09'],[' 0'],[' 0'],[' 1068 '],[' 2042 '],[' 2982 '],[' 4108 '],[' 5554 '],[' 6547 '],[' 6 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 9863+'],[' 4936'],"[' 625.503s (Solving', ' 545.92s 1st Model', ' 215.34s Unsat', ' 0.00s)']",[' 623.766s'], ,[' 262135724'],"[' 3361299  (Analyzed', ' 2912371)']","[' 7451     (Average', ' 390.87 Last', ' 60284)']",[' 12131.9 '],"[' 4936     (Average Length', ' 2572.14 Splits', ' 0)']","[' 2912371  (Deleted', ' 2829457)']","[' 647      (Ratio', '   0.02%)']","[' 35081    (Ratio', '   1.20%)']","[' 2912371  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2912371  (Average', ' 75.48 Max', ' 17162 Sum', ' 219833365)']","[' 2909531  (Average', ' 73.56 Max', ' 17162 Sum', ' 214242252 Ratio', '  97.46%)']","[' 2840     (Average', ' 1968.70 Max', ' 3774 Sum', ' 5591113 Ratio', '   2.54%)']", ,[' 400679  '],[' 24709   '],[' 367162  '],[' 187665  '],"[' 459941   (Atom=Atom', ' 125759 Body=Body', ' 89629 Other', ' 244553)']",[' Yes'],"[' 30293    (Eliminated', '    0 Frozen', ' 30293)']","[' 6084     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1082'],[' 0'], ,[' 136.608'],[' 0'],[' 15.163'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.52331e+08'],[' 4.0288e+08'],[' 0'],[' 4.1882e+09'],[' 0'],[' 0'],[' 1276 '],[' 2033 '],[' 2967 '],[' 4108 '],[' 5216 '],[' 8039 '],[' 6 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 10549+'],[' 5281'],"[' 622.076s (Solving', ' 544.95s 1st Model', ' 205.52s Unsat', ' 0.00s)']",[' 620.250s'], ,[' 264043170'],"[' 2146029  (Analyzed', ' 1700821)']","[' 5362     (Average', ' 317.20 Last', ' 35966)']",[' 11875.6 '],"[' 5281     (Average Length', ' 2728.33 Splits', ' 0)']","[' 1700821  (Deleted', ' 1624795)']","[' 572      (Ratio', '   0.03%)']","[' 36023    (Ratio', '   2.12%)']","[' 1700821  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1700821  (Average', ' 130.13 Max', ' 17219 Sum', ' 221321663)']","[' 1698182  (Average', ' 126.48 Max', ' 17219 Sum', ' 215119456 Ratio', '  97.20%)']","[' 2639     (Average', ' 2350.21 Max', ' 4029 Sum', ' 6202207 Ratio', '   2.80%)']", ,[' 402003  '],[' 24749   '],[' 368396  '],[' 188767  '],"[' 461374   (Atom=Atom', ' 126198 Body=Body', ' 89729 Other', ' 245447)']",[' Yes'],"[' 30536    (Eliminated', '    0 Frozen', ' 30536)']","[' 5725     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3999'],[' 0'], ,[' 120.208'],[' 0'],[' 15.1443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.85116e+08'],[' 4.34174e+08'],[' 0'],[' 2.73698e+09'],[' 0'],[' 0'],[' 1147 '],[' 2041 '],[' 2933 '],[' 3999 '],[' 5990 '],[' 7758 '],[' 6 '],[' 0 ']
Solving...,TA80, , , ,[' 10135+'],[' 5074'],"[' 624.145s (Solving', ' 543.98s 1st Model', ' 177.83s Unsat', ' 0.00s)']",[' 622.922s'], ,[' 258134307'],"[' 2591451  (Analyzed', ' 2222679)']","[' 6827     (Average', ' 325.57 Last', ' 93359)']",[' 11790.2 '],"[' 5075     (Average Length', ' 2651.92 Splits', ' 0)']","[' 2222679  (Deleted', ' 2146024)']","[' 828      (Ratio', '   0.04%)']","[' 38437    (Ratio', '   1.73%)']","[' 2222679  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2222679  (Average', ' 98.65 Max', ' 16318 Sum', ' 219268649)']","[' 2219098  (Average', ' 95.01 Max', ' 16318 Sum', ' 211187551 Ratio', '  96.31%)']","[' 3581     (Average', ' 2256.66 Max', ' 3843 Sum', ' 8081098 Ratio', '   3.69%)']", ,[' 402053  '],[' 24899   '],[' 368616  '],[' 189072  '],"[' 462199   (Atom=Atom', ' 126367 Body=Body', ' 90014 Other', ' 245818)']",[' Yes'],"[' 30594    (Eliminated', '    0 Frozen', ' 30594)']","[' 6994     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3257'],[' 0'], ,[' 128.821'],[' 0'],[' 14.9022'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.75471e+08'],[' 4.21857e+08'],[' 0'],[' 3.30434e+09'],[' 0'],[' 0'],[' 1136 '],[' 2121 '],[' 3037 '],[' 3926 '],[' 5388 '],[' 9750 '],[' 6 '],[' 0 ']
