Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 4115+'],[' 2067'],"[' 919.739s (Solving', ' 899.41s 1st Model', ' 21.29s Unsat', ' 14.79s)']",[' 915.844s'], ,[' 87646899'],"[' 21538876 (Analyzed', ' 21314997)']","[' 42904    (Average', ' 496.81 Last', ' 20180)']",[' 5546.0  '],"[' 2067     (Average Length', ' 1117.65 Splits', ' 0)']","[' 21314997 (Deleted', ' 21066431)']","[' 16       (Ratio', '   0.00%)']","[' 9441     (Ratio', '   0.04%)']","[' 21314997 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21314997 (Average', '  3.73 Max', ' 8474 Sum', ' 79451627)']","[' 21313293 (Average', '  3.64 Max', ' 7781 Sum', ' 77537260 Ratio', '  97.59%)']","[' 1704     (Average', ' 1123.45 Max', ' 1677 Sum', ' 1914367 Ratio', '   2.41%)']", ,[' 265327  '],[' 10591   '],[' 243729  '],[' 80991   '],"[' 208524   (Atom=Atom', ' 58885 Body=Body', ' 37713 Other', ' 111926)']",[' Yes'],"[' 13984    (Eliminated', '    0 Frozen', ' 13984)']","[' 1587     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.05248'],[' 0'], ,[' 648.363'],[' 0'],[' 15.1637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69864e+08'],[' 1.09276e+08'],[' 0'],[' 3.87887e+10'],[' 0'],[' 0'],[' 1042 '],[' 1726 '],[' 2438 '],[' 3086 '],[' 3820 '],[' 4247 '],[' 4873 '],[' 5423 '],[' 5920 '],[' 8 '],[' 1 ']
Solving...,TA72, , , , ,[' 1'],[' 4591+'],[' 2305'],"[' 925.851s (Solving', ' 904.56s 1st Model', ' 23.67s Unsat', ' 22.04s)']",[' 921.234s'], ,[' 92647756'],"[' 23479786 (Analyzed', ' 23295054)']","[' 48048    (Average', ' 484.83 Last', ' 30296)']",[' 5561.2  '],"[' 2305     (Average Length', ' 1213.21 Splits', ' 0)']","[' 23295054 (Deleted', ' 22998440)']","[' 28       (Ratio', '   0.00%)']","[' 10758    (Ratio', '   0.05%)']","[' 23295054 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23295054 (Average', '  3.60 Max', ' 8069 Sum', ' 83821462)']","[' 23293370 (Average', '  3.50 Max', ' 8069 Sum', ' 81647996 Ratio', '  97.41%)']","[' 1684     (Average', ' 1290.66 Max', ' 1821 Sum', ' 2173466 Ratio', '   2.59%)']", ,[' 267021  '],[' 10445   '],[' 244526  '],[' 81977   '],"[' 206962   (Atom=Atom', ' 58539 Body=Body', ' 37275 Other', ' 111148)']",[' Yes'],"[' 14057    (Eliminated', '    0 Frozen', ' 14057)']","[' 2239     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.3317'],[' 0'], ,[' 649.217'],[' 0'],[' 15.6705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84289e+08'],[' 1.18939e+08'],[' 0'],[' 4.01987e+10'],[' 0'],[' 0'],[' 805 '],[' 1408 '],[' 2061 '],[' 2658 '],[' 3164 '],[' 3752 '],[' 4322 '],[' 4932 '],[' 5404 '],[' 8 '],[' 1 ']
Solving...,TA73, , , , ,[' 1'],[' 3955+'],[' 1987'],"[' 1005.868s (Solving', ' 987.09s 1st Model', ' 17.70s Unsat', ' 0.00s)']",[' 1003.734s'], ,[' 92867688'],"[' 28456470 (Analyzed', ' 28214226)']","[' 54744    (Average', ' 515.38 Last', ' 13287)']",[' 5490.4  '],"[' 1987     (Average Length', ' 1081.27 Splits', ' 0)']","[' 28214226 (Deleted', ' 27900161)']","[' 18       (Ratio', '   0.00%)']","[' 8307     (Ratio', '   0.03%)']","[' 28214226 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28214226 (Average', '  3.01 Max', ' 8648 Sum', ' 84980090)']","[' 28212283 (Average', '  2.94 Max', ' 8648 Sum', ' 82928860 Ratio', '  97.59%)']","[' 1943     (Average', ' 1055.70 Max', ' 1600 Sum', ' 2051230 Ratio', '   2.41%)']", ,[' 265566  '],[' 10530   '],[' 243506  '],[' 81114   '],"[' 207238   (Atom=Atom', ' 58561 Body=Body', ' 37530 Other', ' 111147)']",[' Yes'],"[' 13855    (Eliminated', '    0 Frozen', ' 13855)']","[' 1664     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78872'],[' 0'], ,[' 719.528'],[' 0'],[' 15.0372'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90411e+08'],[' 1.13916e+08'],[' 0'],[' 4.52104e+10'],[' 0'],[' 0'],[' 1118 '],[' 1709 '],[' 2384 '],[' 3000 '],[' 3624 '],[' 4285 '],[' 4835 '],[' 5354 '],[' 5892 '],[' 9 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 4281+'],[' 2150'],"[' 999.279s (Solving', ' 979.89s 1st Model', ' 19.82s Unsat', ' 86.25s)']",[' 995.844s'], ,[' 93299741'],"[' 27654627 (Analyzed', ' 27477212)']","[' 54731    (Average', ' 502.04 Last', ' 210303)']",[' 5311.8  '],"[' 2150     (Average Length', ' 1155.73 Splits', ' 0)']","[' 27477212 (Deleted', ' 27153733)']","[' 41       (Ratio', '   0.00%)']","[' 10480    (Ratio', '   0.04%)']","[' 27477212 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27477212 (Average', '  3.10 Max', ' 9235 Sum', ' 85094047)']","[' 27475658 (Average', '  3.03 Max', ' 7715 Sum', ' 83319497 Ratio', '  97.91%)']","[' 1554     (Average', ' 1141.92 Max', ' 1820 Sum', ' 1774550 Ratio', '   2.09%)']", ,[' 268138  '],[' 10498   '],[' 245140  '],[' 82486   '],"[' 207263   (Atom=Atom', ' 58596 Body=Body', ' 37434 Other', ' 111233)']",[' Yes'],"[' 13961    (Eliminated', '    0 Frozen', ' 13961)']","[' 2192     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.85336'],[' 0'], ,[' 710.773'],[' 0'],[' 15.8364'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9382e+08'],[' 1.18241e+08'],[' 0'],[' 4.61994e+10'],[' 0'],[' 0'],[' 894 '],[' 1508 '],[' 2061 '],[' 2676 '],[' 3355 '],[' 3909 '],[' 4490 '],[' 5148 '],[' 5632 '],[' 8 '],[' 1 ']
Solving...,TA75, , , , ,[' 1'],[' 5103+'],[' 2561'],"[' 1006.840s (Solving', ' 984.45s 1st Model', ' 28.02s Unsat', ' 0.00s)']",[' 1002.844s'], ,[' 116855299'],"[' 26923787 (Analyzed', ' 26674176)']","[' 53821    (Average', ' 495.61 Last', ' 28274)']",[' 4755.2  '],"[' 2561     (Average Length', ' 1310.13 Splits', ' 0)']","[' 26674176 (Deleted', ' 26351531)']","[' 60       (Ratio', '   0.00%)']","[' 17655    (Ratio', '   0.07%)']","[' 26674176 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26674176 (Average', '  4.11 Max', ' 7944 Sum', ' 109509443)']","[' 26672286 (Average', '  4.01 Max', ' 6566 Sum', ' 106906782 Ratio', '  97.62%)']","[' 1890     (Average', ' 1377.07 Max', ' 2075 Sum', ' 2602661 Ratio', '   2.38%)']", ,[' 268286  '],[' 10657   '],[' 246065  '],[' 82894   '],"[' 210916   (Atom=Atom', ' 59643 Body=Body', ' 37911 Other', ' 113362)']",[' Yes'],"[' 14403    (Eliminated', '    0 Frozen', ' 14403)']","[' 3618     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.45371'],[' 0'], ,[' 685.925'],[' 0'],[' 16.5069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.47765e+08'],[' 1.65881e+08'],[' 0'],[' 4.55572e+10'],[' 0'],[' 0'],[' 929 '],[' 1641 '],[' 2159 '],[' 2785 '],[' 3480 '],[' 4033 '],[' 4610 '],[' 5195 '],[' 5679 '],[' 9 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 4259+'],[' 2139'],"[' 1005.809s (Solving', ' 987.20s 1st Model', ' 17.65s Unsat', ' 0.00s)']",[' 1003.906s'], ,[' 97267190'],"[' 30721566 (Analyzed', ' 30455075)']","[' 62143    (Average', ' 490.08 Last', ' 85859)']",[' 5243.6  '],"[' 2139     (Average Length', ' 1143.62 Splits', ' 0)']","[' 30455075 (Deleted', ' 30083937)']","[' 14       (Ratio', '   0.00%)']","[' 8067     (Ratio', '   0.03%)']","[' 30455075 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30455075 (Average', '  2.94 Max', ' 8440 Sum', ' 89550659)']","[' 30453185 (Average', '  2.87 Max', ' 7413 Sum', ' 87271471 Ratio', '  97.45%)']","[' 1890     (Average', ' 1205.92 Max', ' 1774 Sum', ' 2279188 Ratio', '   2.55%)']", ,[' 266455  '],[' 10400   '],[' 243729  '],[' 81666   '],"[' 205777   (Atom=Atom', ' 58193 Body=Body', ' 37140 Other', ' 110444)']",[' Yes'],"[' 13858    (Eliminated', '    0 Frozen', ' 13858)']","[' 1681     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.71749'],[' 0'], ,[' 711.961'],[' 0'],[' 14.5092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92711e+08'],[' 1.13166e+08'],[' 0'],[' 4.66937e+10'],[' 0'],[' 0'],[' 917 '],[' 1562 '],[' 2182 '],[' 2754 '],[' 3385 '],[' 3935 '],[' 4594 '],[' 5222 '],[' 5748 '],[' 9 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 4177+'],[' 2098'],"[' 873.022s (Solving', ' 854.52s 1st Model', ' 20.73s Unsat', ' 64.23s)']",[' 871.266s'], ,[' 82020262'],"[' 26973363 (Analyzed', ' 26772377)']","[' 53665    (Average', ' 498.88 Last', ' 108311)']",[' 5683.1  '],"[' 2098     (Average Length', ' 1125.13 Splits', ' 0)']","[' 26772377 (Deleted', ' 26439060)']","[' 11       (Ratio', '   0.00%)']","[' 6127     (Ratio', '   0.02%)']","[' 26772377 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26772377 (Average', '  2.73 Max', ' 8875 Sum', ' 73041390)']","[' 26770951 (Average', '  2.67 Max', ' 8265 Sum', ' 71451650 Ratio', '  97.82%)']","[' 1426     (Average', ' 1114.82 Max', ' 1772 Sum', ' 1589740 Ratio', '   2.18%)']", ,[' 266254  '],[' 10434   '],[' 243926  '],[' 81380   '],"[' 206187   (Atom=Atom', ' 58288 Body=Body', ' 37242 Other', ' 110657)']",[' Yes'],"[' 13887    (Eliminated', '    0 Frozen', ' 13887)']","[' 1102     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.75845'],[' 0'], ,[' 609.022'],[' 0'],[' 12.407'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61235e+08'],[' 9.17562e+07'],[' 0'],[' 3.96435e+10'],[' 0'],[' 0'],[' 950 '],[' 1635 '],[' 2192 '],[' 2737 '],[' 3370 '],[' 3968 '],[' 4651 '],[' 5260 '],[' 5716 '],[' 7 '],[' 2 ']
Solving...,TA78, , , , ,[' 1'],[' 4205+'],[' 2112'],"[' 989.934s (Solving', ' 971.19s 1st Model', ' 15.85s Unsat', ' 83.14s)']",[' 986.500s'], ,[' 97809815'],"[' 30172496 (Analyzed', ' 30008784)']","[' 57958    (Average', ' 517.77 Last', ' 56481)']",[' 5288.5  '],"[' 2112     (Average Length', ' 1130.43 Splits', ' 0)']","[' 30008784 (Deleted', ' 29644564)']","[' 23       (Ratio', '   0.00%)']","[' 8995     (Ratio', '   0.03%)']","[' 30008784 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30008784 (Average', '  3.00 Max', ' 8380 Sum', ' 90093779)']","[' 30006865 (Average', '  2.93 Max', ' 7596 Sum', ' 87889938 Ratio', '  97.55%)']","[' 1919     (Average', ' 1148.43 Max', ' 1725 Sum', ' 2203841 Ratio', '   2.45%)']", ,[' 266089  '],[' 10536   '],[' 243908  '],[' 81501   '],"[' 207775   (Atom=Atom', ' 58710 Body=Body', ' 37548 Other', ' 111517)']",[' Yes'],"[' 13967    (Eliminated', '    0 Frozen', ' 13967)']","[' 1874     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.76184'],[' 0'], ,[' 694.683'],[' 0'],[' 14.7024'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95429e+08'],[' 1.152e+08'],[' 0'],[' 4.62496e+10'],[' 0'],[' 0'],[' 985 '],[' 1570 '],[' 2206 '],[' 2782 '],[' 3667 '],[' 4146 '],[' 4771 '],[' 5231 '],[' 5737 '],[' 8 '],[' 1 ']
Solving...,TA79, , , , ,[' 1'],[' 4117+'],[' 2068'],"[' 1005.868s (Solving', ' 986.77s 1st Model', ' 19.04s Unsat', ' 0.00s)']",[' 1003.594s'], ,[' 102313406'],"[' 29055075 (Analyzed', ' 28859857)']","[' 55161    (Average', ' 523.19 Last', ' 252532)']",[' 5273.8  '],"[' 2068     (Average Length', ' 1109.80 Splits', ' 0)']","[' 28859857 (Deleted', ' 28542641)']","[' 22       (Ratio', '   0.00%)']","[' 10147    (Ratio', '   0.04%)']","[' 28859857 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28859857 (Average', '  3.28 Max', ' 7553 Sum', ' 94757890)']","[' 28857846 (Average', '  3.21 Max', ' 7553 Sum', ' 92549542 Ratio', '  97.67%)']","[' 2011     (Average', ' 1098.13 Max', ' 6241 Sum', ' 2208348 Ratio', '   2.33%)']", ,[' 268491  '],[' 10579   '],[' 245467  '],[' 82676   '],"[' 208296   (Atom=Atom', ' 58838 Body=Body', ' 37677 Other', ' 111781)']",[' Yes'],"[' 14004    (Eliminated', '    0 Frozen', ' 14004)']","[' 2091     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78784'],[' 0'], ,[' 718.112'],[' 0'],[' 16.0265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0429e+08'],[' 1.25017e+08'],[' 0'],[' 4.69708e+10'],[' 0'],[' 0'],[' 954 '],[' 1556 '],[' 2093 '],[' 2718 '],[' 3277 '],[' 3875 '],[' 4495 '],[' 5143 '],[' 5659 '],[' 9 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 3889+'],[' 1954'],"[' 1005.703s (Solving', ' 987.40s 1st Model', ' 16.58s Unsat', ' 0.00s)']",[' 1002.469s'], ,[' 109984900'],"[' 25986745 (Analyzed', ' 25830191)']","[' 52142    (Average', ' 495.38 Last', ' 301674)']",[' 5335.5  '],"[' 1954     (Average Length', ' 1074.42 Splits', ' 0)']","[' 25830191 (Deleted', ' 25555964)']","[' 58       (Ratio', '   0.00%)']","[' 12586    (Ratio', '   0.05%)']","[' 25830191 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25830191 (Average', '  3.96 Max', ' 7726 Sum', ' 102403178)']","[' 25828485 (Average', '  3.89 Max', ' 7726 Sum', ' 100557619 Ratio', '  98.20%)']","[' 1706     (Average', ' 1081.80 Max', ' 1636 Sum', ' 1845559 Ratio', '   1.80%)']", ,[' 266086  '],[' 10540   '],[' 243918  '],[' 81301   '],"[' 207448   (Atom=Atom', ' 58568 Body=Body', ' 37560 Other', ' 111320)']",[' Yes'],"[' 13897    (Eliminated', '    0 Frozen', ' 13897)']","[' 2402     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.66073'],[' 0'], ,[' 718.199'],[' 0'],[' 16.6904'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58817e+08'],[' 1.7126e+08'],[' 0'],[' 4.64229e+10'],[' 0'],[' 0'],[' 856 '],[' 1661 '],[' 2276 '],[' 2883 '],[' 3423 '],[' 3966 '],[' 4525 '],[' 5114 '],[' 5551 '],[' 9 '],[' 0 ']
