Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 
Solving...,swv11, ,[' 1'],[' 1269+'],[' 639'],"[' 252.579s (Solving', ' 249.99s 1st Model', ' 3.45s Unsat', ' 0.00s)']",[' 252.313s'], ,[' 58319225'],"[' 5530892  (Analyzed', ' 5442569)']","[' 10461    (Average', ' 520.27 Last', ' 65927)']",[' 2244.6  '],"[' 639      (Average Length', ' 312.52 Splits', ' 0)']","[' 5442569  (Deleted', ' 5357640)']","[' 88       (Ratio', '   0.00%)']","[' 25615    (Ratio', '   0.47%)']","[' 5442569  (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5442569  (Average', ' 10.44 Max', ' 2733 Sum', ' 56801899)']","[' 5441892  (Average', ' 10.40 Max', ' 2733 Sum', ' 56583242 Ratio', '  99.62%)']","[' 677      (Average', ' 322.98 Max', ' 441 Sum', ' 218657 Ratio', '   0.38%)']", ,[' 72287   '],[' 5609    '],[' 72412   '],[' 41832   '],"[' 125492   (Atom=Atom', ' 36721 Body=Body', ' 18309 Other', ' 70462)']",[' Yes'],"[' 6234     (Eliminated', '    0 Frozen', ' 6234)']","[' 3907     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.572405'],[' 0'], ,[' 185.866'],[' 0'],[' 4.52077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.97914e+08'],[' 1.68073e+08'],[' 0'],[' 2.55958e+10'],[' 0'],[' 0'],[' 1521 '],[' 2499 '],[' 3748 '],[' 5361 ']
Solving...,swv12, ,[' 1'],[' 1027+'],[' 518'],"[' 252.453s (Solving', ' 250.33s 1st Model', ' 3.94s Unsat', ' 0.00s)']",[' 252.000s'], ,[' 67386974'],"[' 6299816  (Analyzed', ' 6258442)']","[' 12053    (Average', ' 519.24 Last', ' 132803)']",[' 2216.8  '],"[' 518      (Average Length', ' 255.11 Splits', ' 0)']","[' 6258442  (Deleted', ' 6166988)']","[' 88       (Ratio', '   0.00%)']","[' 28012    (Ratio', '   0.45%)']","[' 6258442  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6258442  (Average', ' 10.55 Max', ' 2743 Sum', ' 66005103)']","[' 6257774  (Average', ' 10.52 Max', ' 2743 Sum', ' 65844223 Ratio', '  99.76%)']","[' 668      (Average', ' 240.84 Max', ' 340 Sum', ' 160880 Ratio', '   0.24%)']", ,[' 71531   '],[' 5549    '],[' 71541   '],[' 41245   '],"[' 123731   (Atom=Atom', ' 36194 Body=Body', ' 18249 Other', ' 69288)']",[' Yes'],"[' 6059     (Eliminated', '    0 Frozen', ' 6059)']","[' 3868     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.494967'],[' 0'], ,[' 176.849'],[' 0'],[' 4.87183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41518e+08'],[' 2.07933e+08'],[' 0'],[' 2.33147e+10'],[' 0'],[' 0'],[' 1403 '],[' 2921 '],[' 3915 '],[' 5447 ']
Solving...,swv13, ,[' 1'],[' 1415+'],[' 712'],"[' 252.679s (Solving', ' 249.63s 1st Model', ' 7.25s Unsat', ' 0.00s)']",[' 252.094s'], ,[' 67403126'],"[' 6129240  (Analyzed', ' 6018078)']","[' 11978    (Average', ' 502.43 Last', ' 40560)']",[' 2585.7  '],"[' 712      (Average Length', ' 349.88 Splits', ' 0)']","[' 6018078  (Deleted', ' 5931929)']","[' 81       (Ratio', '   0.00%)']","[' 23493    (Ratio', '   0.39%)']","[' 6018078  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6018078  (Average', ' 10.87 Max', ' 3208 Sum', ' 65428647)']","[' 6017459  (Average', ' 10.84 Max', ' 3208 Sum', ' 65234955 Ratio', '  99.70%)']","[' 619      (Average', ' 312.91 Max', ' 432 Sum', ' 193692 Ratio', '   0.30%)']", ,[' 72292   '],[' 5595    '],[' 72492   '],[' 42263   '],"[' 126785   (Atom=Atom', ' 37166 Body=Body', ' 18295 Other', ' 71324)']",[' Yes'],"[' 6295     (Eliminated', '    0 Frozen', ' 6295)']","[' 3117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.65771'],[' 0'], ,[' 186.425'],[' 0'],[' 4.85339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9157e+08'],[' 1.63614e+08'],[' 0'],[' 2.44165e+10'],[' 0'],[' 0'],[' 1441 '],[' 2881 '],[' 4023 '],[' 5464 ']
Solving...,swv14, ,[' 1'],[' 1099+'],[' 554'],"[' 252.510s (Solving', ' 250.21s 1st Model', ' 4.69s Unsat', ' 0.00s)']",[' 251.969s'], ,[' 58266819'],"[' 5262366  (Analyzed', ' 5203216)']","[' 9914     (Average', ' 524.84 Last', ' 154395)']",[' 2238.0  '],"[' 554      (Average Length', ' 272.17 Splits', ' 0)']","[' 5203216  (Deleted', ' 5127752)']","[' 90       (Ratio', '   0.00%)']","[' 25855    (Ratio', '   0.50%)']","[' 5203216  (Average Length', '   26.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5203216  (Average', ' 10.93 Max', ' 2806 Sum', ' 56870452)']","[' 5202557  (Average', ' 10.90 Max', ' 2806 Sum', ' 56697711 Ratio', '  99.70%)']","[' 659      (Average', ' 262.13 Max', ' 375 Sum', ' 172741 Ratio', '   0.30%)']", ,[' 71601   '],[' 5596    '],[' 71645   '],[' 41530   '],"[' 124586   (Atom=Atom', ' 36432 Body=Body', ' 18296 Other', ' 69858)']",[' Yes'],"[' 6140     (Eliminated', '    0 Frozen', ' 6140)']","[' 4123     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.505174'],[' 0'], ,[' 188.15'],[' 0'],[' 4.68339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96205e+08'],[' 1.68238e+08'],[' 0'],[' 2.55684e+10'],[' 0'],[' 0'],[' 1465 '],[' 2882 '],[' 4096 '],[' 5592 ']
Solving...,swv15, ,[' 1'],[' 1167+'],[' 588'],"[' 252.675s (Solving', ' 250.02s 1st Model', ' 4.28s Unsat', ' 0.00s)']",[' 252.328s'], ,[' 66300813'],"[' 7357784  (Analyzed', ' 7286538)']","[' 13087    (Average', ' 556.78 Last', ' 235989)']",[' 2397.2  '],"[' 588      (Average Length', ' 291.47 Splits', ' 0)']","[' 7286538  (Deleted', ' 7198062)']","[' 60       (Ratio', '   0.00%)']","[' 22409    (Ratio', '   0.31%)']","[' 7286538  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7286538  (Average', '  8.87 Max', ' 2982 Sum', ' 64664326)']","[' 7285842  (Average', '  8.85 Max', ' 2982 Sum', ' 64481373 Ratio', '  99.72%)']","[' 696      (Average', ' 262.86 Max', ' 463 Sum', ' 182953 Ratio', '   0.28%)']", ,[' 72513   '],[' 5621    '],[' 72594   '],[' 42199   '],"[' 126593   (Atom=Atom', ' 37076 Body=Body', ' 18321 Other', ' 71196)']",[' Yes'],"[' 6202     (Eliminated', '    0 Frozen', ' 6202)']","[' 3585     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.560346'],[' 0'], ,[' 181.47'],[' 0'],[' 4.68557'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.99436e+08'],[' 1.6778e+08'],[' 0'],[' 2.29583e+10'],[' 0'],[' 0'],[' 1607 '],[' 2979 '],[' 4207 '],[' 5662 ']
Solving...,swv16, ,[' 1'],[' 871+'],[' 440'],"[' 252.514s (Solving', ' 250.86s 1st Model', ' 1.70s Unsat', ' 0.00s)']",[' 252.297s'], ,[' 29977220'],"[' 11528773 (Analyzed', ' 11489755)']","[' 21855    (Average', ' 525.73 Last', ' 159924)']",[' 1817.4  '],"[' 440      (Average Length', ' 215.59 Splits', ' 0)']","[' 11489755 (Deleted', ' 11366543)']","[' 7        (Ratio', '   0.00%)']","[' 4787     (Ratio', '   0.04%)']","[' 11489755 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11489755 (Average', '  2.50 Max', ' 2189 Sum', ' 28771803)']","[' 11489333 (Average', '  2.50 Max', ' 2189 Sum', ' 28712798 Ratio', '  99.79%)']","[' 422      (Average', ' 139.82 Max', ' 282 Sum', '  59005 Ratio', '   0.21%)']", ,[' 53993   '],[' 3511    '],[' 53918   '],[' 30553   '],"[' 91655    (Atom=Atom', ' 27540 Body=Body', ' 16211 Other', ' 47904)']",[' Yes'],"[' 3936     (Eliminated', '    0 Frozen', ' 3936)']","[' 930      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.369528'],[' 0'], ,[' 193.439'],[' 0'],[' 3.49208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.11399e+07'],[' 4.15762e+07'],[' 0'],[' 2.46037e+10'],[' 0'],[' 0'],[' 1230 '],[' 2206 '],[' 2995 '],[' 3709 ']
Solving...,swv17, ,[' 1'],[' 1035+'],[' 522'],"[' 252.416s (Solving', ' 250.81s 1st Model', ' 1.34s Unsat', ' 0.00s)']",[' 251.953s'], ,[' 26055961'],"[' 9818064  (Analyzed', ' 9742269)']","[' 18613    (Average', ' 523.41 Last', ' 1365)']",[' 1760.1  '],"[' 522      (Average Length', ' 256.50 Splits', ' 0)']","[' 9742269  (Deleted', ' 9623045)']","[' 7        (Ratio', '   0.00%)']","[' 4496     (Ratio', '   0.05%)']","[' 9742269  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9742269  (Average', '  2.55 Max', ' 2197 Sum', ' 24860672)']","[' 9741877  (Average', '  2.54 Max', ' 2197 Sum', ' 24773840 Ratio', '  99.65%)']","[' 392      (Average', ' 221.51 Max', ' 369 Sum', '  86832 Ratio', '   0.35%)']", ,[' 54358   '],[' 3514    '],[' 54364   '],[' 30768   '],"[' 92300    (Atom=Atom', ' 27752 Body=Body', ' 16214 Other', ' 48334)']",[' Yes'],"[' 4020     (Eliminated', '    0 Frozen', ' 4020)']","[' 949      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.38469'],[' 0'], ,[' 199.697'],[' 0'],[' 3.54303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.58588e+07'],[' 4.12768e+07'],[' 0'],[' 2.64897e+10'],[' 0'],[' 0'],[' 965 '],[' 1806 '],[' 2599 '],[' 3374 ']
Solving...,swv18, ,[' 1'],[' 1015+'],[' 512'],"[' 252.504s (Solving', ' 250.60s 1st Model', ' 1.64s Unsat', ' 0.00s)']",[' 252.000s'], ,[' 35963844'],"[' 13963185 (Analyzed', ' 13910283)']","[' 27081    (Average', ' 513.65 Last', ' 21282)']",[' 1814.8  '],"[' 512      (Average Length', ' 252.91 Splits', ' 0)']","[' 13910283 (Deleted', ' 13754152)']","[' 8        (Ratio', '   0.00%)']","[' 5577     (Ratio', '   0.04%)']","[' 13910283 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13910283 (Average', '  2.49 Max', ' 2125 Sum', ' 34588243)']","[' 13909810 (Average', '  2.48 Max', ' 2125 Sum', ' 34497602 Ratio', '  99.74%)']","[' 473      (Average', ' 191.63 Max', ' 972 Sum', '  90641 Ratio', '   0.26%)']", ,[' 54536   '],[' 3618    '],[' 54540   '],[' 31090   '],"[' 93266    (Atom=Atom', ' 27970 Body=Body', ' 16318 Other', ' 48978)']",[' Yes'],"[' 4122     (Eliminated', '    0 Frozen', ' 4122)']","[' 1060     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.423539'],[' 0'], ,[' 181.259'],[' 0'],[' 3.59159'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.68297e+07'],[' 5.11382e+07'],[' 0'],[' 2.0584e+10'],[' 0'],[' 0'],[' 946 '],[' 1929 '],[' 2598 '],[' 3369 ']
Solving...,swv19, ,[' 1'],[' 861+'],[' 435'],"[' 252.343s (Solving', ' 251.06s 1st Model', ' 1.31s Unsat', ' 0.00s)']",[' 252.000s'], ,[' 28660168'],"[' 9355515  (Analyzed', ' 9300579)']","[' 17169    (Average', ' 541.71 Last', ' 42110)']",[' 1633.8  '],"[' 435      (Average Length', ' 213.06 Splits', ' 0)']","[' 9300579  (Deleted', ' 9195355)']","[' 16       (Ratio', '   0.00%)']","[' 5619     (Ratio', '   0.06%)']","[' 9300579  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9300579  (Average', '  2.97 Max', ' 2117 Sum', ' 27661907)']","[' 9300118  (Average', '  2.96 Max', ' 2117 Sum', ' 27572941 Ratio', '  99.68%)']","[' 461      (Average', ' 192.98 Max', ' 312 Sum', '  88966 Ratio', '   0.32%)']", ,[' 54264   '],[' 3563    '],[' 54187   '],[' 30654   '],"[' 91958    (Atom=Atom', ' 27589 Body=Body', ' 16263 Other', ' 48106)']",[' Yes'],"[' 3986     (Eliminated', '    0 Frozen', ' 3986)']","[' 921      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.327633'],[' 0'], ,[' 199.067'],[' 0'],[' 3.76081'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.19871e+07'],[' 4.69243e+07'],[' 0'],[' 2.66809e+10'],[' 0'],[' 0'],[' 1058 '],[' 2043 '],[' 2829 '],[' 3859 ']
Solving...,swv20, ,[' 1'],[' 1051+'],[' 530'],"[' 252.307s (Solving', ' 250.59s 1st Model', ' 1.64s Unsat', ' 0.00s)']",[' 251.922s'], ,[' 22994284'],"[' 9530317  (Analyzed', ' 9471928)']","[' 18424    (Average', ' 514.11 Last', ' 27124)']",[' 1649.5  '],"[' 530      (Average Length', ' 257.45 Splits', ' 0)']","[' 9471928  (Deleted', ' 9355800)']","[' 13       (Ratio', '   0.00%)']","[' 4387     (Ratio', '   0.05%)']","[' 9471928  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9471928  (Average', '  2.31 Max', ' 2097 Sum', ' 21867562)']","[' 9471519  (Average', '  2.30 Max', ' 2097 Sum', ' 21775885 Ratio', '  99.58%)']","[' 409      (Average', ' 224.15 Max', ' 390 Sum', '  91677 Ratio', '   0.42%)']", ,[' 54082   '],[' 3512    '],[' 54095   '],[' 30472   '],"[' 91412    (Atom=Atom', ' 27458 Body=Body', ' 16212 Other', ' 47742)']",[' Yes'],"[' 4025     (Eliminated', '    0 Frozen', ' 4025)']","[' 798      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.370532'],[' 0'], ,[' 203.182'],[' 0'],[' 3.73016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.54211e+07'],[' 3.09209e+07'],[' 0'],[' 2.71688e+10'],[' 0'],[' 0'],[' 909 '],[' 1634 '],[' 2414 '],[' 3348 ']
