Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1809'],[' 913'],"[' 22.081s (Solving', ' 18.02s 1st Model', ' 2.25s Unsat', ' 0.62s)']",[' 21.438s'], ,[' 2566955 '],"[' 160261   (Analyzed', ' 37668)']","[' 533      (Average', ' 70.67 Last', ' 402)']",[' 2021.7  '],"[' 913      (Average Length', ' 527.40 Splits', ' 0)']","[' 37668    (Deleted', ' 24082)']","[' 18       (Ratio', '   0.05%)']","[' 499      (Ratio', '   1.32%)']","[' 37668    (Average Length', '    9.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37668    (Average', ' 32.29 Max', ' 3119 Sum', ' 1216126)']","[' 37391    (Average', ' 28.97 Max', ' 2822 Sum', ' 1091288 Ratio', '  89.73%)']","[' 277      (Average', ' 450.68 Max', ' 766 Sum', ' 124838 Ratio', '  10.27%)']", ,[' 81410   '],[' 2837    '],[' 75605   '],[' 25318   '],"[' 65864    (Atom=Atom', ' 19395 Body=Body', ' 11526 Other', ' 34943)']",[' Yes'],"[' 4430     (Eliminated', '    0 Frozen', ' 4430)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.887523'],[' 0'], ,[' 2.55672'],[' 0'],[' 0.167746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.02888e+06'],[' 4.10722e+06'],[' 0'],[' 9.05682e+07'],[' 0'],[' 0'],[' 524 '],[' 936 '],[' 1318 '],[' 1801 '],[' 2149 '],[' 2565 '],[' 2952 '],[' 3341 '],[' 0 '],[' 8 ']
Solving...,TA62, , , , , ,[' 1915'],[' 966'],"[' 80.709s (Solving', ' 76.30s 1st Model', ' 2.46s Unsat', ' 57.92s)']",[' 79.844s'], ,[' 10694741'],"[' 3130627  (Analyzed', ' 3014579)']","[' 6806     (Average', ' 442.93 Last', ' 95483)']",[' 1989.3  '],"[' 966      (Average Length', ' 542.52 Splits', ' 0)']","[' 3014579  (Deleted', ' 2967351)']","[' 27       (Ratio', '   0.00%)']","[' 1139     (Ratio', '   0.04%)']","[' 3014579  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3014579  (Average', '  3.08 Max', ' 3007 Sum', ' 9270982)']","[' 3014279  (Average', '  3.03 Max', ' 2681 Sum', ' 9123245 Ratio', '  98.41%)']","[' 300      (Average', ' 492.46 Max', ' 795 Sum', ' 147737 Ratio', '   1.59%)']", ,[' 81499   '],[' 2839    '],[' 75738   '],[' 25360   '],"[' 66109    (Atom=Atom', ' 19456 Body=Body', ' 11532 Other', ' 35121)']",[' Yes'],"[' 4476     (Eliminated', '    0 Frozen', ' 4476)']","[' 75       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.932265'],[' 0'], ,[' 38.9385'],[' 0'],[' 0.956819'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35588e+07'],[' 1.19976e+07'],[' 0'],[' 2.24466e+09'],[' 0'],[' 0'],[' 515 '],[' 1016 '],[' 1438 '],[' 1874 '],[' 2260 '],[' 2622 '],[' 3031 '],[' 3475 '],[' 0 '],[' 8 ']
Solving...,TA63, , , , , ,[' 1915'],[' 966'],"[' 25.086s (Solving', ' 20.34s 1st Model', ' 2.79s Unsat', ' 0.30s)']",[' 24.766s'], ,[' 2832143 '],"[' 82281    (Analyzed', ' 31936)']","[' 279      (Average', ' 114.47 Last', ' 247)']",[' 2056.0  '],"[' 966      (Average Length', ' 547.16 Splits', ' 0)']","[' 31936    (Deleted', ' 21949)']","[' 31       (Ratio', '   0.10%)']","[' 431      (Ratio', '   1.35%)']","[' 31936    (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31936    (Average', ' 45.51 Max', ' 3064 Sum', ' 1453367)']","[' 31678    (Average', ' 41.79 Max', ' 3064 Sum', ' 1334578 Ratio', '  91.83%)']","[' 258      (Average', ' 460.42 Max', ' 752 Sum', ' 118789 Ratio', '   8.17%)']", ,[' 81140   '],[' 2769    '],[' 75387   '],[' 25127   '],"[' 65008    (Atom=Atom', ' 19176 Body=Body', ' 11322 Other', ' 34510)']",[' Yes'],"[' 4416     (Eliminated', '    0 Frozen', ' 4416)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01714'],[' 0'], ,[' 2.17926'],[' 0'],[' 0.195543'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40482e+06'],[' 4.49915e+06'],[' 0'],[' 3.92287e+07'],[' 0'],[' 0'],[' 553 '],[' 943 '],[' 1304 '],[' 1708 '],[' 2025 '],[' 2442 '],[' 2767 '],[' 3154 '],[' 0 '],[' 8 ']
Solving...,TA64, , , , , ,[' 1963'],[' 990'],"[' 152.363s (Solving', ' 147.98s 1st Model', ' 2.38s Unsat', ' 6.42s)']",[' 151.094s'], ,[' 14944680'],"[' 7884612  (Analyzed', ' 7846821)']","[' 14686    (Average', ' 534.31 Last', ' 2117)']",[' 1949.2  '],"[' 990      (Average Length', ' 547.90 Splits', ' 0)']","[' 7846821  (Deleted', ' 7757267)']","[' 35       (Ratio', '   0.00%)']","[' 1240     (Ratio', '   0.02%)']","[' 7846821  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7846821  (Average', '  1.73 Max', ' 2676 Sum', ' 13571913)']","[' 7846338  (Average', '  1.70 Max', ' 2289 Sum', ' 13357673 Ratio', '  98.42%)']","[' 483      (Average', ' 443.56 Max', ' 773 Sum', ' 214240 Ratio', '   1.58%)']", ,[' 81668   '],[' 2889    '],[' 76017   '],[' 25483   '],"[' 66920    (Atom=Atom', ' 19678 Body=Body', ' 11681 Other', ' 35561)']",[' Yes'],"[' 4531     (Eliminated', '    0 Frozen', ' 4531)']","[' 148      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.926464'],[' 0'], ,[' 80.6054'],[' 0'],[' 2.20206'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.05716e+07'],[' 2.05593e+07'],[' 0'],[' 4.67896e+09'],[' 0'],[' 0'],[' 606 '],[' 1091 '],[' 1367 '],[' 1688 '],[' 2092 '],[' 2422 '],[' 2799 '],[' 3132 '],[' 1 '],[' 7 ']
Solving...,TA65, , , , , ,[' 1977'],[' 997'],"[' 27.053s (Solving', ' 22.35s 1st Model', ' 2.96s Unsat', ' 1.58s)']",[' 26.313s'], ,[' 2963876 '],"[' 126795   (Analyzed', ' 74315)']","[' 456      (Average', ' 162.97 Last', ' 2373)']",[' 2017.6  '],"[' 997      (Average Length', ' 559.71 Splits', ' 0)']","[' 74315    (Deleted', ' 58465)']","[' 29       (Ratio', '   0.04%)']","[' 731      (Ratio', '   0.98%)']","[' 74315    (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 74315    (Average', ' 21.34 Max', ' 3188 Sum', ' 1586108)']","[' 74057    (Average', ' 19.75 Max', ' 2493 Sum', ' 1467530 Ratio', '  92.52%)']","[' 258      (Average', ' 459.60 Max', ' 804 Sum', ' 118578 Ratio', '   7.48%)']", ,[' 81459   '],[' 2822    '],[' 75742   '],[' 25364   '],"[' 65929    (Atom=Atom', ' 19419 Body=Body', ' 11481 Other', ' 35029)']",[' Yes'],"[' 4498     (Eliminated', '    0 Frozen', ' 4498)']","[' 48       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04219'],[' 0'], ,[' 3.11072'],[' 0'],[' 0.220041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.6518e+06'],[' 4.61611e+06'],[' 0'],[' 7.65752e+07'],[' 0'],[' 0'],[' 522 '],[' 879 '],[' 1261 '],[' 1605 '],[' 2056 '],[' 2510 '],[' 2809 '],[' 3197 '],[' 0 '],[' 8 ']
Solving...,TA66, , , , , ,[' 1983'],[' 1000'],"[' 30.041s (Solving', ' 25.46s 1st Model', ' 2.72s Unsat', ' 7.16s)']",[' 29.359s'], ,[' 3555654 '],"[' 549208   (Analyzed', ' 503094)']","[' 1312     (Average', ' 383.46 Last', ' 162)']",[' 2003.4  '],"[' 1000     (Average Length', ' 563.14 Splits', ' 0)']","[' 503094   (Deleted', ' 480831)']","[' 29       (Ratio', '   0.01%)']","[' 703      (Ratio', '   0.14%)']","[' 503094   (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 503094   (Average', '  4.50 Max', ' 2745 Sum', ' 2264441)']","[' 502688   (Average', '  4.11 Max', ' 2366 Sum', ' 2069425 Ratio', '  91.39%)']","[' 406      (Average', ' 480.33 Max', ' 809 Sum', ' 195016 Ratio', '   8.61%)']", ,[' 81373   '],[' 2836    '],[' 75680   '],[' 25322   '],"[' 66125    (Atom=Atom', ' 19476 Body=Body', ' 11522 Other', ' 35127)']",[' Yes'],"[' 4501     (Eliminated', '    0 Frozen', ' 4501)']","[' 28       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.965054'],[' 0'], ,[' 5.54352'],[' 0'],[' 0.297315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.43027e+06'],[' 5.42691e+06'],[' 0'],[' 1.78302e+08'],[' 0'],[' 0'],[' 594 '],[' 970 '],[' 1279 '],[' 1669 '],[' 2108 '],[' 2436 '],[' 2821 '],[' 3219 '],[' 0 '],[' 8 ']
Solving...,TA67, , , , , ,[' 2099'],[' 1058'],"[' 147.000s (Solving', ' 142.40s 1st Model', ' 2.56s Unsat', ' 0.08s)']",[' 146.250s'], ,[' 16477549'],"[' 9939069  (Analyzed', ' 9891117)']","[' 16592    (Average', ' 596.14 Last', ' 300872)']",[' 1942.3  '],"[' 1058     (Average Length', ' 581.33 Splits', ' 0)']","[' 9891117  (Deleted', ' 9758278)']","[' 17       (Ratio', '   0.00%)']","[' 888      (Ratio', '   0.01%)']","[' 9891117  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9891117  (Average', '  1.52 Max', ' 2863 Sum', ' 15029194)']","[' 9890681  (Average', '  1.49 Max', ' 2368 Sum', ' 14780627 Ratio', '  98.35%)']","[' 436      (Average', ' 570.11 Max', ' 836 Sum', ' 248567 Ratio', '   1.65%)']", ,[' 81988   '],[' 2948    '],[' 76358   '],[' 25802   '],"[' 67975    (Atom=Atom', ' 19984 Body=Body', ' 11859 Other', ' 36132)']",[' Yes'],"[' 4660     (Eliminated', '    0 Frozen', ' 4660)']","[' 139      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.938275'],[' 0'], ,[' 62.3488'],[' 0'],[' 2.24195'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.45351e+07'],[' 2.10388e+07'],[' 0'],[' 3.12328e+09'],[' 0'],[' 0'],[' 542 '],[' 987 '],[' 1430 '],[' 1829 '],[' 2193 '],[' 2716 '],[' 3031 '],[' 3407 '],[' 1 '],[' 7 ']
Solving...,TA68, , , , , ,[' 1459'],[' 738'],"[' 18.557s (Solving', ' 14.89s 1st Model', ' 1.87s Unsat', ' 0.44s)']",[' 18.297s'], ,[' 2153504 '],"[' 75978    (Analyzed', ' 26699)']","[' 285      (Average', ' 93.68 Last', ' 253)']",[' 1921.2  '],"[' 737      (Average Length', ' 439.14 Splits', ' 0)']","[' 26699    (Deleted', ' 14469)']","[' 17       (Ratio', '   0.06%)']","[' 369      (Ratio', '   1.38%)']","[' 26699    (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26699    (Average', ' 43.64 Max', ' 2522 Sum', ' 1165075)']","[' 26336    (Average', ' 38.28 Max', ' 2372 Sum', ' 1022127 Ratio', '  87.73%)']","[' 363      (Average', ' 393.80 Max', ' 593 Sum', ' 142948 Ratio', '  12.27%)']", ,[' 81018   '],[' 2806    '],[' 75111   '],[' 24981   '],"[' 64869    (Atom=Atom', ' 19096 Body=Body', ' 11433 Other', ' 34340)']",[' Yes'],"[' 4250     (Eliminated', '    0 Frozen', ' 4250)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.748184'],[' 0'], ,[' 1.821'],[' 0'],[' 0.147228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.14901e+06'],[' 3.4468e+06'],[' 0'],[' 4.5525e+07'],[' 0'],[' 0'],[' 534 '],[' 931 '],[' 1325 '],[' 2233 '],[' 2235 '],[' 2548 '],[' 2912 '],[' 3353 '],[' 1 '],[' 7 ']
Solving...,TA69, , , , , ,[' 1695'],[' 856'],"[' 145.347s (Solving', ' 141.21s 1st Model', ' 2.31s Unsat', ' 0.37s)']",[' 143.922s'], ,[' 14763715'],"[' 8956306  (Analyzed', ' 8902488)']","[' 16678    (Average', ' 533.79 Last', ' 308922)']",[' 1857.1  '],"[' 856      (Average Length', ' 496.66 Splits', ' 0)']","[' 8902488  (Deleted', ' 8757314)']","[' 11       (Ratio', '   0.00%)']","[' 760      (Ratio', '   0.01%)']","[' 8902488  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8902488  (Average', '  1.52 Max', ' 2620 Sum', ' 13534236)']","[' 8902035  (Average', '  1.50 Max', ' 2338 Sum', ' 13328931 Ratio', '  98.48%)']","[' 453      (Average', ' 453.21 Max', ' 712 Sum', ' 205305 Ratio', '   1.52%)']", ,[' 80948   '],[' 2862    '],[' 75338   '],[' 25033   '],"[' 66059    (Atom=Atom', ' 19438 Body=Body', ' 11601 Other', ' 35020)']",[' Yes'],"[' 4415     (Eliminated', '    0 Frozen', ' 4415)']","[' 74       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.863635'],[' 0'], ,[' 66.0337'],[' 0'],[' 2.35239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.7865e+07'],[' 1.64859e+07'],[' 0'],[' 2.93459e+09'],[' 0'],[' 0'],[' 739 '],[' 1085 '],[' 1578 '],[' 1965 '],[' 2337 '],[' 2718 '],[' 3200 '],[' 3527 '],[' 1 '],[' 7 ']
Solving...,TA70, , , , , ,[' 2001'],[' 1009'],"[' 155.571s (Solving', ' 151.36s 1st Model', ' 2.26s Unsat', ' 12.09s)']",[' 153.313s'], ,[' 10575853'],"[' 5329019  (Analyzed', ' 5290181)']","[' 10437    (Average', ' 506.87 Last', ' 111829)']",[' 1937.3  '],"[' 1009     (Average Length', ' 569.88 Splits', ' 0)']","[' 5290181  (Deleted', ' 5208896)']","[' 36       (Ratio', '   0.00%)']","[' 1158     (Ratio', '   0.02%)']","[' 5290181  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5290181  (Average', '  1.77 Max', ' 3097 Sum', ' 9344980)']","[' 5289634  (Average', '  1.71 Max', ' 2340 Sum', ' 9044472 Ratio', '  96.78%)']","[' 547      (Average', ' 549.37 Max', ' 842 Sum', ' 300508 Ratio', '   3.22%)']", ,[' 81547   '],[' 2979    '],[' 76011   '],[' 25599   '],"[' 68328    (Atom=Atom', ' 20059 Body=Body', ' 11952 Other', ' 36317)']",[' Yes'],"[' 4654     (Eliminated', '    0 Frozen', ' 4654)']","[' 171      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.897168'],[' 0'], ,[' 97.5161'],[' 0'],[' 1.8641'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.63503e+07'],[' 1.3052e+07'],[' 0'],[' 5.34124e+09'],[' 0'],[' 0'],[' 636 '],[' 1052 '],[' 1483 '],[' 2036 '],[' 2522 '],[' 2951 '],[' 3313 '],[' 3542 '],[' 1 '],[' 7 ']
