Optimal Found Or Timeout,Instances,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1259,Completion Time for Window 2 is 2145,Completion Time for Window 3 is 3026,Completion Time for Window 4 is 3995,Completion Time for Window 5 is 5127
CPU Time     ,swv11,[' 36646541'],"[' 9121140  (Analyzed', ' 9054020)']","[' 17266    (Average', ' 524.38 Last', ' 157509)']",[' 1953.2  '],"[' 442      (Average Length', ' 215.91 Splits', ' 0)']","[' 9054020  (Deleted', ' 8947277)']","[' 18       (Ratio', '   0.00%)']","[' 9846     (Ratio', '   0.11%)']","[' 9054020  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9054020  (Average', '  3.92 Max', ' 2501 Sum', ' 35457169)']","[' 9053211  (Average', '  3.90 Max', ' 2501 Sum', ' 35317392 Ratio', '  99.61%)']","[' 809      (Average', ' 172.78 Max', ' 285 Sum', ' 139777 Ratio', '   0.39%)']", ,[' 70289   '],[' 4546    '],[' 70221   '],[' 38627   '],"[' 115877   (Atom=Atom', ' 34579 Body=Body', ' 17246 Other', ' 64052)']",[' Yes'],"[' 4978     (Eliminated', '    0 Frozen', ' 4978)']","[' 1413     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.504677'],[' 0'], ,[' 245.002'],[' 0'],[' 4.19107'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.11855e+07'],[' 6.46179e+07'],[' 0'],[' 3.57012e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv12,[' 37772075'],"[' 8186858  (Analyzed', ' 8143273)']","[' 16012    (Average', ' 508.57 Last', ' 9829)']",[' 1869.5  '],"[' 459      (Average Length', ' 223.37 Splits', ' 0)']","[' 8143273  (Deleted', ' 8045535)']","[' 27       (Ratio', '   0.00%)']","[' 12325    (Ratio', '   0.15%)']","[' 8143273  (Average Length', '   21.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8143273  (Average', '  4.50 Max', ' 2580 Sum', ' 36619311)']","[' 8142622  (Average', '  4.48 Max', ' 2580 Sum', ' 36489613 Ratio', '  99.65%)']","[' 651      (Average', ' 199.23 Max', ' 319 Sum', ' 129698 Ratio', '   0.35%)']", ,[' 70790   '],[' 4603    '],[' 70734   '],[' 38767   '],"[' 116297   (Atom=Atom', ' 34662 Body=Body', ' 17303 Other', ' 64332)']",[' Yes'],"[' 5047     (Eliminated', '    0 Frozen', ' 5047)']","[' 1841     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.479867'],[' 0'], ,[' 244.967'],[' 0'],[' 4.28597'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.67596e+07'],[' 7.14828e+07'],[' 0'],[' 3.60462e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv13,[' 43855065'],"[' 7950782  (Analyzed', ' 7918179)']","[' 15530    (Average', ' 509.86 Last', ' 4820)']",[' 1980.9  '],"[' 445      (Average Length', ' 219.64 Splits', ' 0)']","[' 7918179  (Deleted', ' 7821979)']","[' 13       (Ratio', '   0.00%)']","[' 11945    (Ratio', '   0.15%)']","[' 7918179  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7918179  (Average', '  5.39 Max', ' 2563 Sum', ' 42640573)']","[' 7917435  (Average', '  5.37 Max', ' 2563 Sum', ' 42514405 Ratio', '  99.70%)']","[' 744      (Average', ' 169.58 Max', ' 302 Sum', ' 126168 Ratio', '   0.30%)']", ,[' 70779   '],[' 4648    '],[' 70718   '],[' 39172   '],"[' 117512   (Atom=Atom', ' 35022 Body=Body', ' 17348 Other', ' 65142)']",[' Yes'],"[' 5087     (Eliminated', '    0 Frozen', ' 5087)']","[' 1862     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.528045'],[' 0'], ,[' 243.309'],[' 0'],[' 4.50897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14854e+08'],[' 9.05695e+07'],[' 0'],[' 3.4924e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv14,[' 49698564'],"[' 9742075  (Analyzed', ' 9703403)']","[' 19009    (Average', ' 510.46 Last', ' 30288)']",[' 2108.5  '],"[' 474      (Average Length', ' 234.09 Splits', ' 0)']","[' 9703403  (Deleted', ' 9593383)']","[' 35       (Ratio', '   0.00%)']","[' 12887    (Ratio', '   0.13%)']","[' 9703403  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9703403  (Average', '  4.98 Max', ' 2614 Sum', ' 48299664)']","[' 9702713  (Average', '  4.97 Max', ' 2614 Sum', ' 48180669 Ratio', '  99.75%)']","[' 690      (Average', ' 172.46 Max', ' 302 Sum', ' 118995 Ratio', '   0.25%)']", ,[' 70537   '],[' 4613    '],[' 70505   '],[' 39378   '],"[' 118130   (Atom=Atom', ' 35263 Body=Body', ' 17313 Other', ' 65554)']",[' Yes'],"[' 5081     (Eliminated', '    0 Frozen', ' 5081)']","[' 1499     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.554416'],[' 0'], ,[' 236.486'],[' 0'],[' 5.03854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26819e+08'],[' 9.61832e+07'],[' 0'],[' 3.33503e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv15,[' 39120082'],"[' 7521571  (Analyzed', ' 7495320)']","[' 14838    (Average', ' 505.14 Last', ' 33131)']",[' 1902.9  '],"[' 412      (Average Length', ' 202.57 Splits', ' 0)']","[' 7495320  (Deleted', ' 7406430)']","[' 21       (Ratio', '   0.00%)']","[' 13437    (Ratio', '   0.18%)']","[' 7495320  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7495320  (Average', '  5.07 Max', ' 2533 Sum', ' 38009618)']","[' 7494688  (Average', '  5.06 Max', ' 2533 Sum', ' 37912319 Ratio', '  99.74%)']","[' 632      (Average', ' 153.95 Max', ' 266 Sum', '  97299 Ratio', '   0.26%)']", ,[' 71493   '],[' 4715    '],[' 71398   '],[' 39888   '],"[' 119660   (Atom=Atom', ' 35671 Body=Body', ' 17415 Other', ' 66574)']",[' Yes'],"[' 5120     (Eliminated', '    0 Frozen', ' 5120)']","[' 2317     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.50458'],[' 0'], ,[' 244.096'],[' 0'],[' 4.56002'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1189e+08'],[' 8.64864e+07'],[' 0'],[' 3.36613e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv16,[' 19970639'],"[' 13140375 (Analyzed', ' 13116383)']","[' 26934    (Average', ' 486.98 Last', ' 48069)']",[' 1549.6  '],"[' 369      (Average Length', ' 180.57 Splits', ' 0)']","[' 13116383 (Deleted', ' 12931352)']","[' 8        (Ratio', '   0.00%)']","[' 2088     (Ratio', '   0.02%)']","[' 13116383 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13116383 (Average', '  1.45 Max', ' 1846 Sum', ' 19051999)']","[' 13116081 (Average', '  1.45 Max', ' 1846 Sum', ' 19013989 Ratio', '  99.80%)']","[' 302      (Average', ' 125.86 Max', ' 251 Sum', '  38010 Ratio', '   0.20%)']", ,[' 51943   '],[' 2874    '],[' 51802   '],[' 29238   '],"[' 87710    (Atom=Atom', ' 26862 Body=Body', ' 15574 Other', ' 45274)']",[' Yes'],"[' 3233     (Eliminated', '    0 Frozen', ' 3233)']","[' 306      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.396906'],[' 0'], ,[' 223.73'],[' 0'],[' 3.98142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.38424e+07'],[' 2.37473e+07'],[' 0'],[' 2.73347e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv17,[' 20578062'],"[' 11774623 (Analyzed', ' 11744468)']","[' 23474    (Average', ' 500.32 Last', ' 34412)']",[' 1433.5  '],"[' 391      (Average Length', ' 191.05 Splits', ' 0)']","[' 11744468 (Deleted', ' 11574930)']","[' 11       (Ratio', '   0.00%)']","[' 2595     (Ratio', '   0.02%)']","[' 11744468 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11744468 (Average', '  1.68 Max', ' 1893 Sum', ' 19710900)']","[' 11744249 (Average', '  1.68 Max', ' 1893 Sum', ' 19672646 Ratio', '  99.81%)']","[' 219      (Average', ' 174.68 Max', ' 298 Sum', '  38254 Ratio', '   0.19%)']", ,[' 52159   '],[' 2864    '],[' 52038   '],[' 29374   '],"[' 88118    (Atom=Atom', ' 27008 Body=Body', ' 15564 Other', ' 45546)']",[' Yes'],"[' 3243     (Eliminated', '    0 Frozen', ' 3243)']","[' 462      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.353399'],[' 0'], ,[' 233.007'],[' 0'],[' 4.26397'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.73523e+07'],[' 2.94285e+07'],[' 0'],[' 2.99291e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv18,[' 25844910'],"[' 12745651 (Analyzed', ' 12728195)']","[' 24471    (Average', ' 520.13 Last', ' 19265)']",[' 1481.8  '],"[' 371      (Average Length', ' 181.43 Splits', ' 0)']","[' 12728195 (Deleted', ' 12572124)']","[' 13       (Ratio', '   0.00%)']","[' 3989     (Ratio', '   0.03%)']","[' 12728195 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12728195 (Average', '  1.96 Max', ' 1810 Sum', ' 24888900)']","[' 12727852 (Average', '  1.95 Max', ' 1810 Sum', ' 24848162 Ratio', '  99.84%)']","[' 343      (Average', ' 118.77 Max', ' 253 Sum', '  40738 Ratio', '   0.16%)']", ,[' 52727   '],[' 3027    '],[' 52589   '],[' 29749   '],"[' 89243    (Atom=Atom', ' 27220 Body=Body', ' 15727 Other', ' 46296)']",[' Yes'],"[' 3389     (Eliminated', '    0 Frozen', ' 3389)']","[' 642      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.379928'],[' 0'], ,[' 228.401'],[' 0'],[' 4.21426'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.75339e+07'],[' 3.74569e+07'],[' 0'],[' 2.81007e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv19,[' 26723733'],"[' 14370184 (Analyzed', ' 14345825)']","[' 27396    (Average', ' 523.65 Last', ' 87484)']",[' 1492.7  '],"[' 286      (Average Length', ' 139.92 Splits', ' 0)']","[' 14345825 (Deleted', ' 14176387)']","[' 11       (Ratio', '   0.00%)']","[' 3907     (Ratio', '   0.03%)']","[' 14345825 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14345825 (Average', '  1.79 Max', ' 1898 Sum', ' 25749146)']","[' 14345586 (Average', '  1.79 Max', ' 1898 Sum', ' 25726588 Ratio', '  99.91%)']","[' 239      (Average', ' 94.38 Max', ' 203 Sum', '  22558 Ratio', '   0.09%)']", ,[' 52686   '],[' 2977    '],[' 52465   '],[' 29818   '],"[' 89450    (Atom=Atom', ' 27339 Body=Body', ' 15677 Other', ' 46434)']",[' Yes'],"[' 3256     (Eliminated', '    0 Frozen', ' 3256)']","[' 682      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.313978'],[' 0'], ,[' 222.314'],[' 0'],[' 4.33092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.80995e+07'],[' 3.28556e+07'],[' 0'],[' 2.62321e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,swv20,[' 21482327'],"[' 10934788 (Analyzed', ' 10906835)']","[' 21901    (Average', ' 498.01 Last', ' 821)']",[' 1416.4  '],"[' 399      (Average Length', ' 194.31 Splits', ' 0)']","[' 10906835 (Deleted', ' 10767054)']","[' 5        (Ratio', '   0.00%)']","[' 3229     (Ratio', '   0.03%)']","[' 10906835 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10906835 (Average', '  1.89 Max', ' 1824 Sum', ' 20604880)']","[' 10906526 (Average', '  1.88 Max', ' 1824 Sum', ' 20552433 Ratio', '  99.75%)']","[' 309      (Average', ' 169.73 Max', ' 284 Sum', '  52447 Ratio', '   0.25%)']", ,[' 52321   '],[' 2915    '],[' 52209   '],[' 29519   '],"[' 88553    (Atom=Atom', ' 27102 Body=Body', ' 15615 Other', ' 45836)']",[' Yes'],"[' 3303     (Eliminated', '    0 Frozen', ' 3303)']","[' 548      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.371637'],[' 0'], ,[' 235.64'],[' 0'],[' 4.31624'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.73044e+07'],[' 3.09009e+07'],[' 0'],[' 3.07107e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
