Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 2235'],[' 1124'],"[' 263.535s (Solving', ' 259.50s 1st Model', ' 3.44s Unsat', ' 0.66s)']",[' 262.609s'], ,[' 23008735'],"[' 4387650  (Analyzed', ' 4277347)']","[' 9816     (Average', ' 435.75 Last', ' 73448)']",[' 2319.9  '],"[' 1124     (Average Length', ' 620.80 Splits', ' 0)']","[' 12604786 (Deleted', ' 12392870)']","[' 42       (Ratio', '   0.00%)']","[' 2170     (Ratio', '   0.02%)']","[' 4277347  (Average Length', '   14.6 Ratio', '  33.93%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8327439  (Average Length', '   10.8 Ratio', '  66.07%) ']","[' 4277347  (Average', '  1.29 Max', ' 2414 Sum', ' 5529659)']","[' 4277335  (Average', '  1.29 Max', ' 2414 Sum', ' 5528219 Ratio', '  99.97%)']","[' 12       (Average', ' 120.00 Max', ' 715 Sum', '   1440 Ratio', '   0.03%)']", ,[' 73373   '],[' 3371    '],[' 68048   '],[' 28359   '],"[' 72054    (Atom=Atom', ' 20428 Body=Body', ' 13060 Other', ' 38566)']",[' Yes'],"[' 4937     (Eliminated', '    0 Frozen', ' 4937)']","[' 317      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.841776'],[' 0'], ,[' 122.584'],[' 0'],[' 3.52245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.02727e+07'],[' 3.13954e+07'],[' 0'],[' 7.48091e+09'],[' 0'],[' 0'],[' 620 '],[' 1148 '],[' 1576 '],[' 2104 '],[' 2593 '],[' 3013 '],[' 3 '],[' 3 ']
Solving...,TA52, , , , ,[' 2167'],[' 1090'],"[' 224.724s (Solving', ' 220.60s 1st Model', ' 3.52s Unsat', ' 44.36s)']",[' 224.109s'], ,[' 23782861'],"[' 3455719  (Analyzed', ' 3405103)']","[' 7789     (Average', ' 437.17 Last', ' 55453)']",[' 2350.8  '],"[' 1090     (Average Length', ' 618.76 Splits', ' 0)']","[' 10561218 (Deleted', ' 10395708)']","[' 65       (Ratio', '   0.00%)']","[' 3756     (Ratio', '   0.04%)']","[' 3405103  (Average Length', '   15.5 Ratio', '  32.24%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7156115  (Average Length', '   12.6 Ratio', '  67.76%) ']","[' 3405103  (Average', '  1.38 Max', ' 1974 Sum', ' 4711580)']","[' 3405078  (Average', '  1.38 Max', ' 1974 Sum', ' 4711555 Ratio', ' 100.00%)']","[' 25       (Average', '  1.00 Max', '   1 Sum', '     25 Ratio', '   0.00%)']", ,[' 73592   '],[' 3389    '],[' 68183   '],[' 28544   '],"[' 71938    (Atom=Atom', ' 20376 Body=Body', ' 13042 Other', ' 38520)']",[' Yes'],"[' 4917     (Eliminated', '    0 Frozen', ' 4917)']","[' 607      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.842902'],[' 0'], ,[' 112.97'],[' 0'],[' 3.20392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.86047e+07'],[' 3.30657e+07'],[' 0'],[' 7.36722e+09'],[' 0'],[' 0'],[' 669 '],[' 1238 '],[' 1640 '],[' 2090 '],[' 2569 '],[' 3004 '],[' 2 '],[' 4 ']
Solving...,TA53, , , ,[' 1'],[' 2277+'],[' 1145'],"[' 185.893s (Solving', ' 181.40s 1st Model', ' 4.64s Unsat', ' 5.27s)']",[' 185.297s'], ,[' 15100072'],"[' 2039184  (Analyzed', ' 1946269)']","[' 4914     (Average', ' 396.07 Last', ' 2865)']",[' 2365.4  '],"[' 1145     (Average Length', ' 631.12 Splits', ' 0)']","[' 5887059  (Deleted', ' 5763008)']","[' 30       (Ratio', '   0.00%)']","[' 2797     (Ratio', '   0.05%)']","[' 1946269  (Average Length', '   15.4 Ratio', '  33.06%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3940790  (Average Length', '   11.5 Ratio', '  66.94%) ']","[' 1946269  (Average', '  1.37 Max', ' 2318 Sum', ' 2673170)']","[' 1946233  (Average', '  1.37 Max', ' 2318 Sum', ' 2673134 Ratio', ' 100.00%)']","[' 36       (Average', '  1.00 Max', '   1 Sum', '     36 Ratio', '   0.00%)']", ,[' 73035   '],[' 3381    '],[' 67799   '],[' 28154   '],"[' 72202    (Atom=Atom', ' 20473 Body=Body', ' 13049 Other', ' 38680)']",[' Yes'],"[' 4964     (Eliminated', '    0 Frozen', ' 4964)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.912252'],[' 0'], ,[' 106.019'],[' 0'],[' 2.94166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.54011e+07'],[' 2.07332e+07'],[' 0'],[' 6.85228e+09'],[' 0'],[' 0'],[' 606 '],[' 1111 '],[' 1596 '],[' 2022 '],[' 2496 '],[' 2931 '],[' 2 '],[' 4 ']
Solving...,TA54, , , , ,[' 2217'],[' 1115'],"[' 44.283s (Solving', ' 39.56s 1st Model', ' 3.96s Unsat', ' 20.56s)']",[' 43.563s'], ,[' 6413954 '],"[' 405779   (Analyzed', ' 324711)']","[' 1257     (Average', ' 258.32 Last', ' 1532)']",[' 2410.3  '],"[' 1115     (Average Length', ' 619.44 Splits', ' 0)']","[' 1073876  (Deleted', ' 1007076)']","[' 65       (Ratio', '   0.01%)']","[' 1688     (Ratio', '   0.16%)']","[' 324711   (Average Length', '   11.7 Ratio', '  30.24%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 749165   (Average Length', '    9.4 Ratio', '  69.76%) ']","[' 324711   (Average', '  1.49 Max', ' 2044 Sum', ' 483181)']","[' 324667   (Average', '  1.48 Max', ' 2044 Sum', ' 479611 Ratio', '  99.26%)']","[' 44       (Average', ' 81.14 Max', ' 513 Sum', '   3570 Ratio', '   0.74%)']", ,[' 73180   '],[' 3385    '],[' 67854   '],[' 28245   '],"[' 72259    (Atom=Atom', ' 20481 Body=Body', ' 13106 Other', ' 38672)']",[' Yes'],"[' 4942     (Eliminated', '    0 Frozen', ' 4942)']","[' 110      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.987946'],[' 0'], ,[' 10.8082'],[' 0'],[' 0.597241'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19498e+07'],[' 8.48296e+06'],[' 0'],[' 4.9543e+08'],[' 0'],[' 0'],[' 697 '],[' 1134 '],[' 1586 '],[' 2046 '],[' 2491 '],[' 2957 '],[' 0 '],[' 6 ']
Solving...,TA55, , , , ,[' 2309'],[' 1161'],"[' 201.182s (Solving', ' 196.90s 1st Model', ' 4.40s Unsat', ' 18.56s)']",[' 200.531s'], ,[' 21661424'],"[' 2960391  (Analyzed', ' 2878321)']","[' 7109     (Average', ' 404.88 Last', ' 20944)']",[' 2290.0  '],"[' 1161     (Average Length', ' 644.43 Splits', ' 0)']","[' 8194515  (Deleted', ' 8023275)']","[' 68       (Ratio', '   0.00%)']","[' 3520     (Ratio', '   0.04%)']","[' 2878321  (Average Length', '   16.1 Ratio', '  35.12%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5316194  (Average Length', '   11.1 Ratio', '  64.88%) ']","[' 2878321  (Average', '  1.44 Max', ' 2080 Sum', ' 4136952)']","[' 2878298  (Average', '  1.44 Max', ' 2080 Sum', ' 4136929 Ratio', ' 100.00%)']","[' 23       (Average', '  1.00 Max', '   1 Sum', '     23 Ratio', '   0.00%)']", ,[' 73415   '],[' 3392    '],[' 68038   '],[' 28453   '],"[' 72469    (Atom=Atom', ' 20549 Body=Body', ' 13113 Other', ' 38807)']",[' Yes'],"[' 5006     (Eliminated', '    0 Frozen', ' 5006)']","[' 456      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.874009'],[' 0'], ,[' 92.403'],[' 0'],[' 3.13676'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.63639e+07'],[' 4.11112e+07'],[' 0'],[' 5.17937e+09'],[' 0'],[' 0'],[' 536 '],[' 1063 '],[' 1584 '],[' 2009 '],[' 2513 '],[' 2926 '],[' 2 '],[' 4 ']
Solving...,TA56, , , ,[' 1'],[' 1855+'],[' 934'],"[' 358.953s (Solving', ' 355.52s 1st Model', ' 2.70s Unsat', ' 20.85s)']",[' 358.391s'], ,[' 27597759'],"[' 5356942  (Analyzed', ' 5316196)']","[' 12241    (Average', ' 434.29 Last', ' 101052)']",[' 2287.1  '],"[' 934      (Average Length', ' 540.43 Splits', ' 0)']","[' 15602796 (Deleted', ' 15385210)']","[' 50       (Ratio', '   0.00%)']","[' 2721     (Ratio', '   0.02%)']","[' 5316196  (Average Length', '   15.7 Ratio', '  34.07%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10286600 (Average Length', '   11.7 Ratio', '  65.93%) ']","[' 5316196  (Average', '  1.30 Max', ' 2305 Sum', ' 6923221)']","[' 5316173  (Average', '  1.30 Max', ' 2305 Sum', ' 6923198 Ratio', ' 100.00%)']","[' 23       (Average', '  1.00 Max', '   1 Sum', '     23 Ratio', '   0.00%)']", ,[' 73166   '],[' 3369    '],[' 67674   '],[' 28234   '],"[' 71504    (Atom=Atom', ' 20243 Body=Body', ' 13069 Other', ' 38192)']",[' Yes'],"[' 4776     (Eliminated', '    0 Frozen', ' 4776)']","[' 309      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.700456'],[' 0'], ,[' 204.101'],[' 0'],[' 4.86194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.16924e+07'],[' 3.65331e+07'],[' 0'],[' 1.40295e+10'],[' 0'],[' 0'],[' 669 '],[' 1193 '],[' 1606 '],[' 2200 '],[' 2576 '],[' 3068 '],[' 4 '],[' 2 ']
Solving...,TA57, , , ,[' 1'],[' 2029+'],[' 1021'],"[' 258.736s (Solving', ' 254.95s 1st Model', ' 3.05s Unsat', ' 79.96s)']",[' 257.938s'], ,[' 23121906'],"[' 4240911  (Analyzed', ' 4160100)']","[' 9880     (Average', ' 421.06 Last', ' 28214)']",[' 2259.2  '],"[' 1021     (Average Length', ' 578.86 Splits', ' 0)']","[' 12386282 (Deleted', ' 12171093)']","[' 62       (Ratio', '   0.00%)']","[' 2959     (Ratio', '   0.02%)']","[' 4160100  (Average Length', '   14.1 Ratio', '  33.59%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8226182  (Average Length', '   11.3 Ratio', '  66.41%) ']","[' 4160100  (Average', '  1.32 Max', ' 2167 Sum', ' 5484268)']","[' 4160066  (Average', '  1.32 Max', ' 2167 Sum', ' 5482138 Ratio', '  99.96%)']","[' 34       (Average', ' 62.65 Max', ' 275 Sum', '   2130 Ratio', '   0.04%)']", ,[' 73106   '],[' 3374    '],[' 67761   '],[' 28167   '],"[' 71739    (Atom=Atom', ' 20325 Body=Body', ' 13030 Other', ' 38384)']",[' Yes'],"[' 4857     (Eliminated', '    0 Frozen', ' 4857)']","[' 255      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.798293'],[' 0'], ,[' 129.679'],[' 0'],[' 3.69981'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.10197e+07'],[' 3.27551e+07'],[' 0'],[' 8.40435e+09'],[' 0'],[' 0'],[' 751 '],[' 1284 '],[' 1760 '],[' 2287 '],[' 2723 '],[' 3216 '],[' 2 '],[' 4 ']
Solving...,TA58, , , , ,[' 2049'],[' 1031'],"[' 191.365s (Solving', ' 187.56s 1st Model', ' 3.10s Unsat', ' 7.91s)']",[' 191.047s'], ,[' 20220789'],"[' 3780920  (Analyzed', ' 3725059)']","[' 8475     (Average', ' 439.53 Last', ' 852)']",[' 2291.9  '],"[' 1031     (Average Length', ' 591.29 Splits', ' 0)']","[' 10860720 (Deleted', ' 10653315)']","[' 39       (Ratio', '   0.00%)']","[' 2602     (Ratio', '   0.02%)']","[' 3725059  (Average Length', '   15.0 Ratio', '  34.30%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7135661  (Average Length', '   11.6 Ratio', '  65.70%) ']","[' 3725059  (Average', '  1.27 Max', ' 2393 Sum', ' 4740510)']","[' 3725032  (Average', '  1.27 Max', ' 2393 Sum', ' 4740483 Ratio', ' 100.00%)']","[' 27       (Average', '  1.00 Max', '   1 Sum', '     27 Ratio', '   0.00%)']", ,[' 73575   '],[' 3387    '],[' 68012   '],[' 28515   '],"[' 71713    (Atom=Atom', ' 20321 Body=Body', ' 13044 Other', ' 38348)']",[' Yes'],"[' 4856     (Eliminated', '    0 Frozen', ' 4856)']","[' 207      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.77555'],[' 0'], ,[' 81.4994'],[' 0'],[' 2.649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.7924e+07'],[' 3.27333e+07'],[' 0'],[' 5.02428e+09'],[' 0'],[' 0'],[' 666 '],[' 1199 '],[' 1621 '],[' 2152 '],[' 2643 '],[' 3107 '],[' 2 '],[' 4 ']
Solving...,TA59, , , ,[' 1'],[' 2115+'],[' 1064'],"[' 349.324s (Solving', ' 345.43s 1st Model', ' 3.15s Unsat', ' 10.65s)']",[' 348.156s'], ,[' 24488029'],"[' 5162729  (Analyzed', ' 5087857)']","[' 11742    (Average', ' 433.30 Last', ' 558)']",[' 2337.1  '],"[' 1064     (Average Length', ' 601.50 Splits', ' 0)']","[' 14384076 (Deleted', ' 14167134)']","[' 62       (Ratio', '   0.00%)']","[' 2662     (Ratio', '   0.02%)']","[' 5087857  (Average Length', '   15.7 Ratio', '  35.37%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9296219  (Average Length', '   11.4 Ratio', '  64.63%) ']","[' 5087857  (Average', '  1.26 Max', ' 2331 Sum', ' 6414259)']","[' 5087838  (Average', '  1.26 Max', ' 2331 Sum', ' 6414240 Ratio', ' 100.00%)']","[' 19       (Average', '  1.00 Max', '   1 Sum', '     19 Ratio', '   0.00%)']", ,[' 73565   '],[' 3372    '],[' 68122   '],[' 28493   '],"[' 71758    (Atom=Atom', ' 20345 Body=Body', ' 13026 Other', ' 38387)']",[' Yes'],"[' 4905     (Eliminated', '    0 Frozen', ' 4905)']","[' 332      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.812436'],[' 0'], ,[' 203.821'],[' 0'],[' 4.77844'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.47126e+07'],[' 3.25549e+07'],[' 0'],[' 1.37342e+10'],[' 0'],[' 0'],[' 480 '],[' 1019 '],[' 1444 '],[' 1998 '],[' 2496 '],[' 2969 '],[' 4 '],[' 2 ']
Solving...,TA60, , , , ,[' 2417'],[' 1215'],"[' 237.715s (Solving', ' 233.38s 1st Model', ' 3.38s Unsat', ' 53.53s)']",[' 237.000s'], ,[' 23567957'],"[' 3981813  (Analyzed', ' 3902212)']","[' 8854     (Average', ' 440.73 Last', ' 540)']",[' 2278.1  '],"[' 1215     (Average Length', ' 665.88 Splits', ' 0)']","[' 11850246 (Deleted', ' 11653765)']","[' 55       (Ratio', '   0.00%)']","[' 3352     (Ratio', '   0.03%)']","[' 3902212  (Average Length', '   14.8 Ratio', '  32.93%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7948034  (Average Length', '   11.8 Ratio', '  67.07%) ']","[' 3902212  (Average', '  1.32 Max', ' 2253 Sum', ' 5133290)']","[' 3902196  (Average', '  1.32 Max', ' 2253 Sum', ' 5131493 Ratio', '  99.96%)']","[' 16       (Average', ' 112.31 Max', ' 758 Sum', '   1797 Ratio', '   0.04%)']", ,[' 73603   '],[' 3372    '],[' 68269   '],[' 28520   '],"[' 72296    (Atom=Atom', ' 20513 Body=Body', ' 13044 Other', ' 38739)']",[' Yes'],"[' 5017     (Eliminated', '    0 Frozen', ' 5017)']","[' 509      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.901662'],[' 0'], ,[' 108.563'],[' 0'],[' 3.512'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.13448e+07'],[' 3.40834e+07'],[' 0'],[' 6.82192e+09'],[' 0'],[' 0'],[' 607 '],[' 1044 '],[' 1568 '],[' 2029 '],[' 2497 '],[' 2914 '],[' 2 '],[' 4 ']
