Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 2899'],[' 1456'],"[' 351.520s (Solving', ' 345.03s 1st Model', ' 5.38s Unsat', ' 5.32s)']",[' 350.484s'], ,[' 28056805'],"[' 4478137  (Analyzed', ' 4310053)']","[' 9838     (Average', ' 438.10 Last', ' 41159)']",[' 3040.4  '],"[' 1456     (Average Length', ' 806.90 Splits', ' 0)']","[' 12606141 (Deleted', ' 12428871)']","[' 81       (Ratio', '   0.00%)']","[' 3600     (Ratio', '   0.03%)']","[' 4310053  (Average Length', '   16.8 Ratio', '  34.19%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8296088  (Average Length', '   11.9 Ratio', '  65.81%) ']","[' 4310053  (Average', '  1.33 Max', ' 2868 Sum', ' 5741173)']","[' 4310038  (Average', '  1.33 Max', ' 2868 Sum', ' 5740852 Ratio', '  99.99%)']","[' 15       (Average', ' 21.40 Max', ' 307 Sum', '    321 Ratio', '   0.01%)']", ,[' 97901   '],[' 4515    '],[' 90673   '],[' 37840   '],"[' 96277    (Atom=Atom', ' 27291 Body=Body', ' 17468 Other', ' 51518)']",[' Yes'],"[' 6564     (Eliminated', '    0 Frozen', ' 6564)']","[' 598      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.41542'],[' 0'], ,[' 199.176'],[' 0'],[' 4.68698'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.17092e+07'],[' 4.19342e+07'],[' 0'],[' 1.34264e+10'],[' 0'],[' 0'],[' 676 '],[' 1173 '],[' 1738 '],[' 2233 '],[' 2800 '],[' 3227 '],[' 4 '],[' 2 ']
Solving...,TA62, , , , ,[' 3691'],[' 1852'],"[' 291.324s (Solving', ' 282.48s 1st Model', ' 9.22s Unsat', ' 16.21s)']",[' 289.859s'], ,[' 25042918'],"[' 3317685  (Analyzed', ' 3177945)']","[' 7947     (Average', ' 399.89 Last', ' 31969)']",[' 3242.7  '],"[' 1852     (Average Length', ' 973.16 Splits', ' 0)']","[' 9235079  (Deleted', ' 9065538)']","[' 106      (Ratio', '   0.00%)']","[' 4046     (Ratio', '   0.04%)']","[' 3177945  (Average Length', '   16.4 Ratio', '  34.41%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6057134  (Average Length', '   11.7 Ratio', '  65.59%) ']","[' 3177945  (Average', '  1.32 Max', ' 3127 Sum', ' 4207995)']","[' 3177920  (Average', '  1.32 Max', ' 3127 Sum', ' 4202854 Ratio', '  99.88%)']","[' 25       (Average', ' 205.64 Max', ' 414 Sum', '   5141 Ratio', '   0.12%)']", ,[' 98814   '],[' 4592    '],[' 91823   '],[' 38642   '],"[' 98720    (Atom=Atom', ' 28008 Body=Body', ' 17708 Other', ' 53004)']",[' Yes'],"[' 6946     (Eliminated', '    0 Frozen', ' 6946)']","[' 682      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95686'],[' 0'], ,[' 159.865'],[' 0'],[' 4.16734'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.87096e+07'],[' 3.55829e+07'],[' 0'],[' 1.02805e+10'],[' 0'],[' 0'],[' 641 '],[' 1246 '],[' 1810 '],[' 2436 '],[' 2896 '],[' 3365 '],[' 3 '],[' 3 ']
Solving...,TA63, , , , ,[' 3801'],[' 1907'],"[' 79.905s (Solving', ' 70.97s 1st Model', ' 8.58s Unsat', ' 30.99s)']",[' 79.172s'], ,[' 13789562'],"[' 688175   (Analyzed', ' 461550)']","[' 1667     (Average', ' 276.87 Last', ' 504)']",[' 3272.2  '],"[' 1907     (Average Length', ' 990.87 Splits', ' 0)']","[' 1744651  (Deleted', ' 1668273)']","[' 76       (Ratio', '   0.00%)']","[' 2736     (Ratio', '   0.16%)']","[' 461550   (Average Length', '   11.7 Ratio', '  26.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1283101  (Average Length', '   10.2 Ratio', '  73.54%) ']","[' 461550   (Average', '  1.74 Max', ' 3440 Sum', ' 804787)']","[' 461521   (Average', '  1.73 Max', ' 3440 Sum', ' 797969 Ratio', '  99.15%)']","[' 29       (Average', ' 235.10 Max', ' 1124 Sum', '   6818 Ratio', '   0.85%)']", ,[' 98056   '],[' 4481    '],[' 91085   '],[' 38032   '],"[' 97118    (Atom=Atom', ' 27592 Body=Body', ' 17348 Other', ' 52178)']",[' Yes'],"[' 6852     (Eliminated', '    0 Frozen', ' 6852)']","[' 292      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.92665'],[' 0'], ,[' 20.4852'],[' 0'],[' 1.20914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.70773e+07'],[' 2.00276e+07'],[' 0'],[' 9.11365e+08'],[' 0'],[' 0'],[' 680 '],[' 1132 '],[' 1647 '],[' 2108 '],[' 2588 '],[' 3050 '],[' 0 '],[' 6 ']
Solving...,TA64, , , , ,[' 3305'],[' 1659'],"[' 162.909s (Solving', ' 154.95s 1st Model', ' 7.35s Unsat', ' 43.89s)']",[' 161.500s'], ,[' 17327315'],"[' 1761750  (Analyzed', ' 1596329)']","[' 4395     (Average', ' 363.21 Last', ' 2615)']",[' 3289.8  '],"[' 1659     (Average Length', ' 887.78 Splits', ' 0)']","[' 4917428  (Deleted', ' 4792452)']","[' 75       (Ratio', '   0.00%)']","[' 2726     (Ratio', '   0.06%)']","[' 1596329  (Average Length', '   15.4 Ratio', '  32.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3321099  (Average Length', '   11.6 Ratio', '  67.54%) ']","[' 1596329  (Average', '  1.35 Max', ' 3228 Sum', ' 2161953)']","[' 1596291  (Average', '  1.35 Max', ' 3228 Sum', ' 2161915 Ratio', ' 100.00%)']","[' 38       (Average', '  1.00 Max', '   1 Sum', '     38 Ratio', '   0.00%)']", ,[' 98508   '],[' 4548    '],[' 91448   '],[' 38272   '],"[' 97390    (Atom=Atom', ' 27623 Body=Body', ' 17570 Other', ' 52197)']",[' Yes'],"[' 6748     (Eliminated', '    0 Frozen', ' 6748)']","[' 270      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7261'],[' 0'], ,[' 78.4964'],[' 0'],[' 2.15425'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.74936e+07'],[' 2.41364e+07'],[' 0'],[' 5.0198e+09'],[' 0'],[' 0'],[' 686 '],[' 1248 '],[' 1641 '],[' 2072 '],[' 2652 '],[' 3090 '],[' 1 '],[' 5 ']
Solving...,TA65, , , , ,[' 3483'],[' 1748'],"[' 208.708s (Solving', ' 200.58s 1st Model', ' 13.63s Unsat', ' 5.99s)']",[' 207.594s'], ,[' 23599892'],"[' 3033459  (Analyzed', ' 2819124)']","[' 7064     (Average', ' 399.08 Last', ' 17195)']",[' 3052.1  '],"[' 1748     (Average Length', ' 935.23 Splits', ' 0)']","[' 7930538  (Deleted', ' 7818028)']","[' 145      (Ratio', '   0.00%)']","[' 5776     (Ratio', '   0.07%)']","[' 2819124  (Average Length', '   17.0 Ratio', '  35.55%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5111414  (Average Length', '   11.9 Ratio', '  64.45%) ']","[' 2819124  (Average', '  1.30 Max', ' 2833 Sum', ' 3670806)']","[' 2819091  (Average', '  1.30 Max', ' 2833 Sum', ' 3666527 Ratio', '  99.88%)']","[' 33       (Average', ' 129.67 Max', ' 395 Sum', '   4279 Ratio', '   0.12%)']", ,[' 98317   '],[' 4518    '],[' 91249   '],[' 38146   '],"[' 97250    (Atom=Atom', ' 27602 Body=Body', ' 17489 Other', ' 52159)']",[' Yes'],"[' 6776     (Eliminated', '    0 Frozen', ' 6776)']","[' 733      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78069'],[' 0'], ,[' 95.451'],[' 0'],[' 2.62672'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.21188e+07'],[' 3.07052e+07'],[' 0'],[' 6.83794e+09'],[' 0'],[' 0'],[' 608 '],[' 1102 '],[' 1547 '],[' 2067 '],[' 2500 '],[' 2991 '],[' 2 '],[' 4 ']
Solving...,TA66, , , , ,[' 3189'],[' 1601'],"[' 201.829s (Solving', ' 194.11s 1st Model', ' 6.79s Unsat', ' 2.45s)']",[' 200.875s'], ,[' 20326540'],"[' 2441951  (Analyzed', ' 2280053)']","[' 5966     (Average', ' 382.17 Last', ' 9300)']",[' 3199.8  '],"[' 1601     (Average Length', ' 865.33 Splits', ' 0)']","[' 7217929  (Deleted', ' 7069051)']","[' 60       (Ratio', '   0.00%)']","[' 2691     (Ratio', '   0.04%)']","[' 2280053  (Average Length', '   15.2 Ratio', '  31.59%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4937876  (Average Length', '   11.6 Ratio', '  68.41%) ']","[' 2280053  (Average', '  1.37 Max', ' 3376 Sum', ' 3115050)']","[' 2280029  (Average', '  1.36 Max', ' 3376 Sum', ' 3109488 Ratio', '  99.82%)']","[' 24       (Average', ' 231.75 Max', ' 670 Sum', '   5562 Ratio', '   0.18%)']", ,[' 98853   '],[' 4585    '],[' 91745   '],[' 38557   '],"[' 97557    (Atom=Atom', ' 27636 Body=Body', ' 17628 Other', ' 52293)']",[' Yes'],"[' 6721     (Eliminated', '    0 Frozen', ' 6721)']","[' 422      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67278'],[' 0'], ,[' 95.9779'],[' 0'],[' 2.96138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.75418e+07'],[' 2.92076e+07'],[' 0'],[' 5.26816e+09'],[' 0'],[' 0'],[' 740 '],[' 1248 '],[' 1751 '],[' 2283 '],[' 2760 '],[' 3247 '],[' 2 '],[' 4 ']
Solving...,TA67, , , , ,[' 3347'],[' 1680'],"[' 129.552s (Solving', ' 121.99s 1st Model', ' 7.82s Unsat', ' 7.27s)']",[' 128.766s'], ,[' 16970482'],"[' 1980621  (Analyzed', ' 1845134)']","[' 4960     (Average', ' 372.00 Last', ' 27254)']",[' 3064.3  '],"[' 1680     (Average Length', ' 898.30 Splits', ' 0)']","[' 5318620  (Deleted', ' 5159281)']","[' 89       (Ratio', '   0.00%)']","[' 3261     (Ratio', '   0.06%)']","[' 1845134  (Average Length', '   13.0 Ratio', '  34.69%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3473486  (Average Length', '   10.1 Ratio', '  65.31%) ']","[' 1845134  (Average', '  1.29 Max', ' 2739 Sum', ' 2384279)']","[' 1845111  (Average', '  1.29 Max', ' 2739 Sum', ' 2384256 Ratio', ' 100.00%)']","[' 23       (Average', '  1.00 Max', '   1 Sum', '     23 Ratio', '   0.00%)']", ,[' 98632   '],[' 4565    '],[' 91441   '],[' 38370   '],"[' 97667    (Atom=Atom', ' 27698 Body=Body', ' 17599 Other', ' 52370)']",[' Yes'],"[' 6734     (Eliminated', '    0 Frozen', ' 6734)']","[' 373      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.61926'],[' 0'], ,[' 46.0918'],[' 0'],[' 2.04003'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.73788e+07'],[' 2.31838e+07'],[' 0'],[' 2.45801e+09'],[' 0'],[' 0'],[' 712 '],[' 1190 '],[' 1700 '],[' 2258 '],[' 2700 '],[' 3157 '],[' 1 '],[' 5 ']
Solving...,TA68, , , ,[' 1'],[' 3037+'],[' 1525'],"[' 358.126s (Solving', ' 351.28s 1st Model', ' 5.80s Unsat', ' 11.05s)']",[' 356.625s'], ,[' 29629935'],"[' 5300156  (Analyzed', ' 5153422)']","[' 11669    (Average', ' 441.63 Last', ' 41558)']",[' 3026.5  '],"[' 1525     (Average Length', ' 833.60 Splits', ' 0)']","[' 14486163 (Deleted', ' 14244528)']","[' 77       (Ratio', '   0.00%)']","[' 3364     (Ratio', '   0.02%)']","[' 5153422  (Average Length', '   14.8 Ratio', '  35.57%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9332741  (Average Length', '   11.4 Ratio', '  64.43%) ']","[' 5153422  (Average', '  1.28 Max', ' 2642 Sum', ' 6572734)']","[' 5153407  (Average', '  1.28 Max', ' 2642 Sum', ' 6572719 Ratio', ' 100.00%)']","[' 15       (Average', '  1.00 Max', '   1 Sum', '     15 Ratio', '   0.00%)']", ,[' 97841   '],[' 4454    '],[' 90667   '],[' 37775   '],"[' 95492    (Atom=Atom', ' 27085 Body=Body', ' 17273 Other', ' 51134)']",[' Yes'],"[' 6522     (Eliminated', '    0 Frozen', ' 6522)']","[' 292      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5112'],[' 0'], ,[' 198.988'],[' 0'],[' 4.84834'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.19568e+07'],[' 3.7877e+07'],[' 0'],[' 1.32564e+10'],[' 0'],[' 0'],[' 601 '],[' 1079 '],[' 1693 '],[' 2154 '],[' 2666 '],[' 3097 '],[' 4 '],[' 2 ']
Solving...,TA69, , , , ,[' 3813'],[' 1913'],"[' 280.685s (Solving', ' 272.16s 1st Model', ' 12.94s Unsat', ' 3.99s)']",[' 279.359s'], ,[' 30795517'],"[' 3820741  (Analyzed', ' 3617537)']","[' 9049     (Average', ' 399.77 Last', ' 24358)']",[' 3192.7  '],"[' 1913     (Average Length', ' 972.57 Splits', ' 0)']","[' 9880326  (Deleted', ' 9674189)']","[' 97       (Ratio', '   0.00%)']","[' 5515     (Ratio', '   0.06%)']","[' 3617537  (Average Length', '   18.2 Ratio', '  36.61%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6262789  (Average Length', '   11.3 Ratio', '  63.39%) ']","[' 3617537  (Average', '  1.38 Max', ' 2998 Sum', ' 4984770)']","[' 3617519  (Average', '  1.38 Max', ' 2998 Sum', ' 4984752 Ratio', ' 100.00%)']","[' 18       (Average', '  1.00 Max', '   1 Sum', '     18 Ratio', '   0.00%)']", ,[' 98122   '],[' 4550    '],[' 91354   '],[' 38161   '],"[' 98216    (Atom=Atom', ' 27887 Body=Body', ' 17586 Other', ' 52743)']",[' Yes'],"[' 6886     (Eliminated', '    0 Frozen', ' 6886)']","[' 899      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.84218'],[' 0'], ,[' 150.303'],[' 0'],[' 4.72747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.79287e+07'],[' 4.77417e+07'],[' 0'],[' 9.26653e+09'],[' 0'],[' 0'],[' 915 '],[' 1298 '],[' 1829 '],[' 2265 '],[' 2752 '],[' 3236 '],[' 3 '],[' 3 ']
Solving...,TA70, , , ,[' 1'],[' 2755+'],[' 1384'],"[' 130.484s (Solving', ' 124.71s 1st Model', ' 5.03s Unsat', ' 18.63s)']",[' 129.703s'], ,[' 15796879'],"[' 1828094  (Analyzed', ' 1713654)']","[' 4288     (Average', ' 399.64 Last', ' 7002)']",[' 2751.5  '],"[' 1383     (Average Length', ' 790.92 Splits', ' 0)']","[' 5550172  (Deleted', ' 5424642)']","[' 79       (Ratio', '   0.00%)']","[' 2874     (Ratio', '   0.05%)']","[' 1713654  (Average Length', '   13.9 Ratio', '  30.88%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3836518  (Average Length', '   11.7 Ratio', '  69.12%) ']","[' 1713654  (Average', '  1.35 Max', ' 2495 Sum', ' 2317931)']","[' 1713634  (Average', '  1.35 Max', ' 2495 Sum', ' 2317911 Ratio', ' 100.00%)']","[' 20       (Average', '  1.00 Max', '   1 Sum', '     20 Ratio', '   0.00%)']", ,[' 98017   '],[' 4529    '],[' 90723   '],[' 37885   '],"[' 96185    (Atom=Atom', ' 27239 Body=Body', ' 17477 Other', ' 51469)']",[' Yes'],"[' 6495     (Eliminated', '    0 Frozen', ' 6495)']","[' 451      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21992'],[' 0'], ,[' 54.2196'],[' 0'],[' 1.99948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.80673e+07'],[' 2.35133e+07'],[' 0'],[' 2.962e+09'],[' 0'],[' 0'],[' 774 '],[' 1283 '],[' 1838 '],[' 2548 '],[' 2984 '],[' 5479 '],[' 2 '],[' 4 ']
