Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Total Completion Time
,TA71,[' 12451+'],[' 6229'],"[' 2735.198s (Solving', ' 2583.07s 1st Model', ' 974.73s Unsat', ' 0.00s)']",[' 2725.438s'], ,[' 1473260823'],"[' 6816192  (Analyzed', ' 1882908)']","[' 7738     (Average', ' 243.33 Last', ' 66945)']",[' 18342.2 '],"[' 6229     (Average Length', ' 2930.99 Splits', ' 0)']","[' 1882908  (Deleted', ' 1729086)']","[' 222      (Ratio', '   0.01%)']","[' 136939   (Ratio', '   7.27%)']","[' 1882908  (Average Length', '   38.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1882908  (Average', ' 732.78 Max', ' 20218 Sum', ' 1379750176)']","[' 1880032  (Average', ' 728.29 Max', ' 20218 Sum', ' 1371301278 Ratio', '  99.39%)']","[' 2876     (Average', ' 2937.73 Max', ' 3556 Sum', ' 8448898 Ratio', '   0.61%)']", ,[' 441790  '],[' 35623   '],[' 445311  '],[' 272055  '],"[' 816161   (Atom=Atom', ' 238430 Body=Body', ' 136523 Other', ' 441208)']",[' Yes'],"[' 41144    (Eliminated', '    0 Frozen', ' 41144)']","[' 21310    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.1974'],[' 0'], ,[' 1090.75'],[' 0'],[' 94.5998'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.28974e+09'],[' 4.04946e+09'],[' 0'],[' 5.04104e+10'],[' 0'],[' 0'],[' 7535']
,TA72,[' 12543+'],[' 6275'],"[' 2733.247s (Solving', ' 2582.98s 1st Model', ' 2204.77s Unsat', ' 0.00s)']",[' 2721.313s'], ,[' 1484284242'],"[' 6286833  (Analyzed', ' 1415365)']","[' 8059     (Average', ' 175.63 Last', ' 96960)']",[' 17512.8 '],"[' 6275     (Average Length', ' 2943.71 Splits', ' 0)']","[' 1415365  (Deleted', ' 1259250)']","[' 198      (Ratio', '   0.01%)']","[' 141999   (Ratio', '  10.03%)']","[' 1415365  (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1415365  (Average', ' 985.97 Max', ' 18852 Sum', ' 1395507637)']","[' 1412541  (Average', ' 979.95 Max', ' 18852 Sum', ' 1386982546 Ratio', '  99.39%)']","[' 2824     (Average', ' 3018.80 Max', ' 3869 Sum', ' 8525091 Ratio', '   0.61%)']", ,[' 439265  '],[' 35052   '],[' 442737  '],[' 270106  '],"[' 810314   (Atom=Atom', ' 237052 Body=Body', ' 135952 Other', ' 437310)']",[' Yes'],"[' 40524    (Eliminated', '    0 Frozen', ' 40524)']","[' 23611    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.5093'],[' 0'], ,[' 995.113'],[' 0'],[' 95.3533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.66649e+09'],[' 4.42442e+09'],[' 0'],[' 4.30114e+10'],[' 0'],[' 0'],[' 6510']
,TA73,[' 12381+'],[' 6194'],"[' 2734.781s (Solving', ' 2588.01s 1st Model', ' 1841.79s Unsat', ' 0.00s)']",[' 2725.016s'], ,[' 1522809034'],"[' 6857903  (Analyzed', ' 1537660)']","[' 7545     (Average', ' 203.80 Last', ' 168263)']",[' 17520.5 '],"[' 6194     (Average Length', ' 2881.82 Splits', ' 0)']","[' 1537660  (Deleted', ' 1378288)']","[' 268      (Ratio', '   0.02%)']","[' 143986   (Ratio', '   9.36%)']","[' 1537660  (Average Length', '   32.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1537660  (Average', ' 932.44 Max', ' 18743 Sum', ' 1433781019)']","[' 1534896  (Average', ' 927.16 Max', ' 18743 Sum', ' 1425649449 Ratio', '  99.43%)']","[' 2764     (Average', ' 2941.96 Max', ' 3860 Sum', ' 8131570 Ratio', '   0.57%)']", ,[' 440569  '],[' 35228   '],[' 443946  '],[' 270333  '],"[' 810995   (Atom=Atom', ' 237103 Body=Body', ' 136128 Other', ' 437764)']",[' Yes'],"[' 40605    (Eliminated', '    0 Frozen', ' 40605)']","[' 23348    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.7112'],[' 0'], ,[' 1007.38'],[' 0'],[' 95.3748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70121e+09'],[' 4.44748e+09'],[' 0'],[' 4.49871e+10'],[' 0'],[' 0'],[' 6976']
,TA74,[' 12425+'],[' 6216'],"[' 2733.737s (Solving', ' 2591.42s 1st Model', ' 2012.78s Unsat', ' 0.00s)']",[' 2693.969s'], ,[' 1436357565'],"[' 5940730  (Analyzed', ' 1361813)']","[' 7390     (Average', ' 184.28 Last', ' 215068)']",[' 17237.9 '],"[' 6216     (Average Length', ' 2919.52 Splits', ' 0)']","[' 1361813  (Deleted', ' 1214940)']","[' 182      (Ratio', '   0.01%)']","[' 133497   (Ratio', '   9.80%)']","[' 1361813  (Average Length', '   29.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1361813  (Average', ' 991.54 Max', ' 18809 Sum', ' 1350296701)']","[' 1359085  (Average', ' 985.35 Max', ' 18809 Sum', ' 1341857757 Ratio', '  99.38%)']","[' 2728     (Average', ' 3093.45 Max', ' 3877 Sum', ' 8438944 Ratio', '   0.62%)']", ,[' 438153  '],[' 34859   '],[' 441616  '],[' 268762  '],"[' 806282   (Atom=Atom', ' 235901 Body=Body', ' 135759 Other', ' 434622)']",[' Yes'],"[' 40322    (Eliminated', '    0 Frozen', ' 40322)']","[' 21233    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.412'],[' 0'], ,[' 1003.38'],[' 0'],[' 95.073'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.3609e+09'],[' 4.13409e+09'],[' 0'],[' 4.24444e+10'],[' 0'],[' 0'],[' 6468']
,TA75,[' 11597+'],[' 5802'],"[' 2728.862s (Solving', ' 2603.02s 1st Model', ' 2261.78s Unsat', ' 0.00s)']",[' 2720.859s'], ,[' 1510882986'],"[' 6537378  (Analyzed', ' 1396267)']","[' 7425     (Average', ' 188.05 Last', ' 295602)']",[' 16832.7 '],"[' 5802     (Average Length', ' 2762.35 Splits', ' 0)']","[' 1396267  (Deleted', ' 1237093)']","[' 202      (Ratio', '   0.01%)']","[' 143749   (Ratio', '  10.30%)']","[' 1396267  (Average Length', '   31.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1396267  (Average', ' 1025.63 Max', ' 18868 Sum', ' 1432049772)']","[' 1393493  (Average', ' 1019.37 Max', ' 18868 Sum', ' 1423310944 Ratio', '  99.39%)']","[' 2774     (Average', ' 3150.26 Max', ' 3844 Sum', ' 8738828 Ratio', '   0.61%)']", ,[' 441395  '],[' 35518   '],[' 444626  '],[' 271557  '],"[' 814667   (Atom=Atom', ' 238037 Body=Body', ' 136418 Other', ' 440212)']",[' Yes'],"[' 40749    (Eliminated', '    0 Frozen', ' 40749)']","[' 22909    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.9242'],[' 0'], ,[' 999.907'],[' 0'],[' 95.7628'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69917e+09'],[' 4.46325e+09'],[' 0'],[' 4.36131e+10'],[' 0'],[' 0'],[' 6765']
,TA76,[' 12503+'],[' 6255'],"[' 2733.008s (Solving', ' 2588.14s 1st Model', ' 1865.17s Unsat', ' 0.00s)']",[' 2724.203s'], ,[' 1497179130'],"[' 6304050  (Analyzed', ' 1428712)']","[' 7661     (Average', ' 186.49 Last', ' 144948)']",[' 17499.4 '],"[' 6255     (Average Length', ' 2945.53 Splits', ' 0)']","[' 1428712  (Deleted', ' 1271915)']","[' 203      (Ratio', '   0.01%)']","[' 142176   (Ratio', '   9.95%)']","[' 1428712  (Average Length', '   32.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1428712  (Average', ' 986.76 Max', ' 19133 Sum', ' 1409796540)']","[' 1425809  (Average', ' 980.26 Max', ' 19133 Sum', ' 1400516063 Ratio', '  99.34%)']","[' 2903     (Average', ' 3196.86 Max', ' 3929 Sum', ' 9280477 Ratio', '   0.66%)']", ,[' 440428  '],[' 35296   '],[' 443935  '],[' 271754  '],"[' 815258   (Atom=Atom', ' 238456 Body=Body', ' 136196 Other', ' 440606)']",[' Yes'],"[' 40803    (Eliminated', '    0 Frozen', ' 40803)']","[' 22474    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.4534'],[' 0'], ,[' 997.528'],[' 0'],[' 94.7733'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69222e+09'],[' 4.45222e+09'],[' 0'],[' 4.24271e+10'],[' 0'],[' 0'],[' 6908']
,TA77,[' 12831+'],[' 6419'],"[' 2734.113s (Solving', ' 2586.55s 1st Model', ' 1528.92s Unsat', ' 0.00s)']",[' 2724.344s'], ,[' 1476648357'],"[' 7707937  (Analyzed', ' 1992291)']","[' 8125     (Average', ' 245.21 Last', ' 121660)']",[' 17447.6 '],"[' 6419     (Average Length', ' 3014.50 Splits', ' 0)']","[' 1992291  (Deleted', ' 1839752)']","[' 200      (Ratio', '   0.01%)']","[' 137540   (Ratio', '   6.90%)']","[' 1992291  (Average Length', '   33.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1992291  (Average', ' 695.11 Max', ' 18697 Sum', ' 1384860293)']","[' 1989478  (Average', ' 690.43 Max', ' 18697 Sum', ' 1375542580 Ratio', '  99.33%)']","[' 2813     (Average', ' 3312.38 Max', ' 4118 Sum', ' 9317713 Ratio', '   0.67%)']", ,[' 438115  '],[' 34870   '],[' 441738  '],[' 268136  '],"[' 804404   (Atom=Atom', ' 235264 Body=Body', ' 135770 Other', ' 433370)']",[' Yes'],"[' 40493    (Eliminated', '    0 Frozen', ' 40493)']","[' 21983    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.9529'],[' 0'], ,[' 1050.75'],[' 0'],[' 94.4962'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.36116e+09'],[' 4.10676e+09'],[' 0'],[' 4.78423e+10'],[' 0'],[' 0'],[' 6678']
,TA78,[' 12147+'],[' 6077'],"[' 2731.999s (Solving', ' 2592.92s 1st Model', ' 1882.71s Unsat', ' 0.00s)']",[' 2724.156s'], ,[' 1477901348'],"[' 5941376  (Analyzed', ' 1475584)']","[' 7886     (Average', ' 187.11 Last', ' 95608)']",[' 17162.5 '],"[' 6077     (Average Length', ' 2853.69 Splits', ' 0)']","[' 1475584  (Deleted', ' 1321513)']","[' 204      (Ratio', '   0.01%)']","[' 142344   (Ratio', '   9.65%)']","[' 1475584  (Average Length', '   30.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1475584  (Average', ' 944.96 Max', ' 19252 Sum', ' 1394371243)']","[' 1472943  (Average', ' 939.02 Max', ' 19252 Sum', ' 1385606538 Ratio', '  99.37%)']","[' 2641     (Average', ' 3318.71 Max', ' 3883 Sum', ' 8764705 Ratio', '   0.63%)']", ,[' 440184  '],[' 35033   '],[' 443519  '],[' 271465  '],"[' 814391   (Atom=Atom', ' 238430 Body=Body', ' 135933 Other', ' 440028)']",[' Yes'],"[' 40368    (Eliminated', '    0 Frozen', ' 40368)']","[' 19551    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.2333'],[' 0'], ,[' 1003.1'],[' 0'],[' 94.2616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.64191e+09'],[' 4.39961e+09'],[' 0'],[' 4.36318e+10'],[' 0'],[' 0'],[' 6596']
,TA79,[' 13785+'],[' 6896'],"[' 2739.971s (Solving', ' 2566.42s 1st Model', ' 1610.12s Unsat', ' 0.00s)']",[' 2718.859s'], ,[' 1397398497'],"[' 7145027  (Analyzed', ' 1160395)']","[' 7529     (Average', ' 154.12 Last', ' 96990)']",[' 17666.3 '],"[' 6896     (Average Length', ' 3186.04 Splits', ' 0)']","[' 1160395  (Deleted', ' 1022091)']","[' 155      (Ratio', '   0.01%)']","[' 125739   (Ratio', '  10.84%)']","[' 1160395  (Average Length', '   30.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1160395  (Average', ' 1121.49 Max', ' 19290 Sum', ' 1301372542)']","[' 1157281  (Average', ' 1112.25 Max', ' 19290 Sum', ' 1290654310 Ratio', '  99.18%)']","[' 3114     (Average', ' 3441.95 Max', ' 4223 Sum', ' 10718232 Ratio', '   0.82%)']", ,[' 439953  '],[' 35133   '],[' 443848  '],[' 270474  '],"[' 811418   (Atom=Atom', ' 237339 Body=Body', ' 136033 Other', ' 438046)']",[' Yes'],"[' 41028    (Eliminated', '    0 Frozen', ' 41028)']","[' 19770    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 30.4235'],[' 0'], ,[' 1028.8'],[' 0'],[' 94.6824'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.07995e+09'],[' 3.87361e+09'],[' 0'],[' 4.17926e+10'],[' 0'],[' 0'],[' 6446']
,TA80,[' 12213+'],[' 6110'],"[' 2734.128s (Solving', ' 2583.79s 1st Model', ' 1759.85s Unsat', ' 0.00s)']",[' 2736.938s'], ,[' 1483625754'],"[' 6235101  (Analyzed', ' 1478629)']","[' 7670     (Average', ' 192.78 Last', ' 147142)']",[' 17573.6 '],"[' 6110     (Average Length', ' 2851.24 Splits', ' 0)']","[' 1478629  (Deleted', ' 1320759)']","[' 230      (Ratio', '   0.02%)']","[' 142914   (Ratio', '   9.67%)']","[' 1478629  (Average Length', '   32.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1478629  (Average', ' 944.67 Max', ' 19296 Sum', ' 1396821200)']","[' 1475682  (Average', ' 938.77 Max', ' 19296 Sum', ' 1388098253 Ratio', '  99.38%)']","[' 2947     (Average', ' 2959.94 Max', ' 3761 Sum', ' 8722947 Ratio', '   0.62%)']", ,[' 440748  '],[' 35448   '],[' 444043  '],[' 271605  '],"[' 814811   (Atom=Atom', ' 238155 Body=Body', ' 136348 Other', ' 440308)']",[' Yes'],"[' 40743    (Eliminated', '    0 Frozen', ' 40743)']","[' 23041    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.4729'],[' 0'], ,[' 997.646'],[' 0'],[' 97.4345'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.63325e+09'],[' 4.38836e+09'],[' 0'],[' 4.01258e+10'],[' 0'],[' 0'],[' 6687']
