Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 10855+'],[' 5433'],"[' 628.985s (Solving', ' 542.64s 1st Model', ' 136.40s Unsat', ' 0.00s)']",[' 627.313s'], ,[' 248543263'],"[' 2560092  (Analyzed', ' 2054820)']","[' 6080     (Average', ' 337.96 Last', ' 6181)']",[' 12765.3 '],"[' 5434     (Average Length', ' 2786.80 Splits', ' 0)']","[' 2054820  (Deleted', ' 1980567)']","[' 815      (Ratio', '   0.04%)']","[' 31662    (Ratio', '   1.54%)']","[' 2054820  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2054820  (Average', ' 97.42 Max', ' 18556 Sum', ' 200185767)']","[' 2051784  (Average', ' 94.23 Max', ' 18556 Sum', ' 193632774 Ratio', '  96.73%)']","[' 3036     (Average', ' 2158.43 Max', ' 4092 Sum', ' 6552993 Ratio', '   3.27%)']", ,[' 407024  '],[' 25591   '],[' 373815  '],[' 193028  '],"[' 472349   (Atom=Atom', ' 129029 Body=Body', ' 91753 Other', ' 251567)']",[' Yes'],"[' 31193    (Eliminated', '    0 Frozen', ' 31193)']","[' 5634     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6827'],[' 0'], ,[' 132.723'],[' 0'],[' 14.6476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.37057e+08'],[' 3.91031e+08'],[' 0'],[' 3.80607e+09'],[' 0'],[' 0'],[' 1559 '],[' 2763 '],[' 3644 '],[' 4715 '],[' 5877 '],[' 7627 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 10541+'],[' 5276'],"[' 625.192s (Solving', ' 545.15s 1st Model', ' 161.79s Unsat', ' 0.00s)']",[' 622.953s'], ,[' 257506577'],"[' 2295330  (Analyzed', ' 1498165)']","[' 5864     (Average', ' 255.49 Last', ' 135143)']",[' 12191.6 '],"[' 5276     (Average Length', ' 2717.33 Splits', ' 0)']","[' 1498165  (Deleted', ' 1422943)']","[' 578      (Ratio', '   0.04%)']","[' 34855    (Ratio', '   2.33%)']","[' 1498165  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1498165  (Average', ' 142.59 Max', ' 17599 Sum', ' 213624393)']","[' 1495245  (Average', ' 137.86 Max', ' 17599 Sum', ' 206531955 Ratio', '  96.68%)']","[' 2920     (Average', ' 2428.92 Max', ' 4047 Sum', ' 7092438 Ratio', '   3.32%)']", ,[' 402670  '],[' 24987   '],[' 369252  '],[' 189186  '],"[' 465427   (Atom=Atom', ' 127253 Body=Body', ' 90487 Other', ' 247687)']",[' Yes'],"[' 30786    (Eliminated', '    0 Frozen', ' 30786)']","[' 6074     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1689'],[' 0'], ,[' 132.463'],[' 0'],[' 14.8763'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.93047e+08'],[' 4.4046e+08'],[' 0'],[' 3.84154e+09'],[' 0'],[' 0'],[' 1144 '],[' 2219 '],[' 3188 '],[' 4279 '],[' 6341 '],[' 7120 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 8397+'],[' 4204'],"[' 547.494s (Solving', ' 476.20s 1st Model', ' 111.46s Unsat', ' 0.00s)']",[' 545.906s'], ,[' 214573629'],"[' 4216262  (Analyzed', ' 3677355)']","[' 9230     (Average', ' 398.41 Last', ' 1931)']",[' 13690.8 '],"[' 4203     (Average Length', ' 2305.41 Splits', ' 0)']","[' 3677355  (Deleted', ' 3602956)']","[' 906      (Ratio', '   0.02%)']","[' 20656    (Ratio', '   0.56%)']","[' 3677355  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3677355  (Average', ' 46.87 Max', ' 18761 Sum', ' 172357406)']","[' 3673608  (Average', ' 45.12 Max', ' 18761 Sum', ' 165927591 Ratio', '  96.27%)']","[' 3747     (Average', ' 1715.99 Max', ' 3236 Sum', ' 6429815 Ratio', '   3.73%)']", ,[' 405087  '],[' 25661   '],[' 371607  '],[' 191582  '],"[' 466115   (Atom=Atom', ' 127180 Body=Body', ' 91256 Other', ' 247679)']",[' Yes'],"[' 30276    (Eliminated', '    0 Frozen', ' 30276)']","[' 3548     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5885'],[' 0'], ,[' 139.342'],[' 0'],[' 12.9227'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.30516e+08'],[' 2.9353e+08'],[' 0'],[' 5.27925e+09'],[' 0'],[' 0'],[' 1749 '],[' 2631 '],[' 7828 '],[' 4638 '],[' 5566 '],[' 7058 '],[' 6 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 10095+'],[' 5052'],"[' 626.649s (Solving', ' 545.78s 1st Model', ' 150.90s Unsat', ' 0.00s)']",[' 624.781s'], ,[' 242064758'],"[' 3563162  (Analyzed', ' 3133043)']","[' 8309     (Average', ' 377.07 Last', ' 40585)']",[' 12289.7 '],"[' 5052     (Average Length', ' 2651.45 Splits', ' 0)']","[' 3133043  (Deleted', ' 3044403)']","[' 744      (Ratio', '   0.02%)']","[' 30821    (Ratio', '   0.98%)']","[' 3133043  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3133043  (Average', ' 63.97 Max', ' 17685 Sum', ' 200408739)']","[' 3129630  (Average', ' 61.52 Max', ' 17685 Sum', ' 192742950 Ratio', '  96.17%)']","[' 3413     (Average', ' 2246.06 Max', ' 3884 Sum', ' 7665789 Ratio', '   3.83%)']", ,[' 404952  '],[' 25327   '],[' 371323  '],[' 191437  '],"[' 467543   (Atom=Atom', ' 127739 Body=Body', ' 90967 Other', ' 248837)']",[' Yes'],"[' 30889    (Eliminated', '    0 Frozen', ' 30889)']","[' 5789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.0188'],[' 0'], ,[' 136.896'],[' 0'],[' 14.3356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.28771e+08'],[' 3.81441e+08'],[' 0'],[' 4.14397e+09'],[' 0'],[' 0'],[' 1264 '],[' 2209 '],[' 3450 '],[' 4835 '],[' 5744 '],[' 7618 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 9765+'],[' 4888'],"[' 622.579s (Solving', ' 549.57s 1st Model', ' 137.59s Unsat', ' 0.00s)']",[' 620.578s'], ,[' 257018417'],"[' 3619705  (Analyzed', ' 3027404)']","[' 7696     (Average', ' 393.37 Last', ' 9807)']",[' 12287.8 '],"[' 4888     (Average Length', ' 2525.47 Splits', ' 0)']","[' 3027404  (Deleted', ' 2947645)']","[' 974      (Ratio', '   0.03%)']","[' 29661    (Ratio', '   0.98%)']","[' 3027404  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3027404  (Average', ' 71.36 Max', ' 17504 Sum', ' 216049212)']","[' 3023682  (Average', ' 68.86 Max', ' 17504 Sum', ' 208479522 Ratio', '  96.50%)']","[' 3722     (Average', ' 2033.77 Max', ' 3661 Sum', ' 7569690 Ratio', '   3.50%)']", ,[' 402956  '],[' 25331   '],[' 370167  '],[' 189643  '],"[' 467308   (Atom=Atom', ' 127636 Body=Body', ' 91029 Other', ' 248643)']",[' Yes'],"[' 30636    (Eliminated', '    0 Frozen', ' 30636)']","[' 5291     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1956'],[' 0'], ,[' 149.171'],[' 0'],[' 15.1649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08245e+08'],[' 3.65735e+08'],[' 0'],[' 5.02919e+09'],[' 0'],[' 0'],[' 1576 '],[' 2681 '],[' 3546 '],[' 4271 '],[' 6038 '],[' 7457 '],[' 6 '],[' 0 ']
Solving...,TA76, , , , ,[' 10051+'],[' 5031'],"[' 626.591s (Solving', ' 547.31s 1st Model', ' 152.97s Unsat', ' 0.00s)']",[' 625.250s'], ,[' 237000688'],"[' 3856246  (Analyzed', ' 3338715)']","[' 8762     (Average', ' 381.04 Last', ' 39821)']",[' 12286.6 '],"[' 5032     (Average Length', ' 2613.00 Splits', ' 0)']","[' 3338715  (Deleted', ' 3254112)']","[' 635      (Ratio', '   0.02%)']","[' 29698    (Ratio', '   0.89%)']","[' 3338715  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3338715  (Average', ' 58.45 Max', ' 17635 Sum', ' 195137003)']","[' 3335441  (Average', ' 56.18 Max', ' 17635 Sum', ' 187585280 Ratio', '  96.13%)']","[' 3274     (Average', ' 2306.57 Max', ' 3847 Sum', ' 7551723 Ratio', '   3.87%)']", ,[' 403998  '],[' 25235   '],[' 370553  '],[' 190663  '],"[' 464981   (Atom=Atom', ' 127066 Body=Body', ' 90537 Other', ' 247378)']",[' Yes'],"[' 30663    (Eliminated', '    0 Frozen', ' 30663)']","[' 5157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5053'],[' 0'], ,[' 149.322'],[' 0'],[' 14.2044'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.06576e+08'],[' 3.6097e+08'],[' 0'],[' 5.17619e+09'],[' 0'],[' 0'],[' 1286 '],[' 2309 '],[' 3445 '],[' 5215 '],[' 5243 '],[' 8085 '],[' 6 '],[' 0 ']
Solving...,TA77, , , , ,[' 10207+'],[' 5109'],"[' 627.237s (Solving', ' 546.13s 1st Model', ' 136.38s Unsat', ' 0.00s)']",[' 625.297s'], ,[' 250254722'],"[' 4155515  (Analyzed', ' 3378469)']","[' 8602     (Average', ' 392.75 Last', ' 6650)']",[' 12804.3 '],"[' 5110     (Average Length', ' 2648.71 Splits', ' 0)']","[' 3378469  (Deleted', ' 3297618)']","[' 699      (Ratio', '   0.02%)']","[' 26676    (Ratio', '   0.79%)']","[' 3378469  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3378469  (Average', ' 60.30 Max', ' 18050 Sum', ' 203709957)']","[' 3375417  (Average', ' 58.42 Max', ' 18050 Sum', ' 197371876 Ratio', '  96.89%)']","[' 3052     (Average', ' 2076.70 Max', ' 3941 Sum', ' 6338081 Ratio', '   3.11%)']", ,[' 401413  '],[' 24873   '],[' 368344  '],[' 188088  '],"[' 462916   (Atom=Atom', ' 126531 Body=Body', ' 89998 Other', ' 246387)']",[' Yes'],"[' 30639    (Eliminated', '    0 Frozen', ' 30639)']","[' 4748     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7684'],[' 0'], ,[' 141.286'],[' 0'],[' 14.5189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.99868e+08'],[' 3.56341e+08'],[' 0'],[' 4.56853e+09'],[' 0'],[' 0'],[' 1575 '],[' 2221 '],[' 3275 '],[' 4279 '],[' 6113 '],[' 7718 '],[' 6 '],[' 0 ']
Solving...,TA78, , , , ,[' 10403+'],[' 5207'],"[' 626.455s (Solving', ' 546.24s 1st Model', ' 126.79s Unsat', ' 0.00s)']",[' 624.734s'], ,[' 251599663'],"[' 3211986  (Analyzed', ' 2873842)']","[' 7352     (Average', ' 390.89 Last', ' 20592)']",[' 12223.4 '],"[' 5208     (Average Length', ' 2695.55 Splits', ' 0)']","[' 2873842  (Deleted', ' 2794695)']","[' 718      (Ratio', '   0.02%)']","[' 29829    (Ratio', '   1.04%)']","[' 2873842  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2873842  (Average', ' 72.73 Max', ' 17354 Sum', ' 209000425)']","[' 2870590  (Average', ' 70.10 Max', ' 17354 Sum', ' 201464106 Ratio', '  96.39%)']","[' 3252     (Average', ' 2317.44 Max', ' 4005 Sum', ' 7536319 Ratio', '   3.61%)']", ,[' 401438  '],[' 24953   '],[' 368445  '],[' 188469  '],"[' 464836   (Atom=Atom', ' 127058 Body=Body', ' 90369 Other', ' 247409)']",[' Yes'],"[' 30763    (Eliminated', '    0 Frozen', ' 30763)']","[' 5302     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7653'],[' 0'], ,[' 133.883'],[' 0'],[' 14.6189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.24246e+08'],[' 3.77795e+08'],[' 0'],[' 3.99264e+09'],[' 0'],[' 0'],[' 1294 '],[' 2404 '],[' 3404 '],[' 4406 '],[' 5562 '],[' 8299 '],[' 6 '],[' 0 ']
Solving...,TA79, , , , ,[' 10373+'],[' 5192'],"[' 627.415s (Solving', ' 544.29s 1st Model', ' 145.51s Unsat', ' 0.00s)']",[' 625.188s'], ,[' 232651429'],"[' 3116813  (Analyzed', ' 2610556)']","[' 7234     (Average', ' 360.87 Last', ' 14714)']",[' 12191.2 '],"[' 5193     (Average Length', ' 2725.96 Splits', ' 0)']","[' 2610556  (Deleted', ' 2526765)']","[' 628      (Ratio', '   0.02%)']","[' 30874    (Ratio', '   1.18%)']","[' 2610556  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2610556  (Average', ' 72.71 Max', ' 17857 Sum', ' 189825405)']","[' 2607591  (Average', ' 70.04 Max', ' 17857 Sum', ' 182832274 Ratio', '  96.32%)']","[' 2965     (Average', ' 2358.56 Max', ' 4130 Sum', ' 6993131 Ratio', '   3.68%)']", ,[' 403927  '],[' 25107   '],[' 370428  '],[' 190175  '],"[' 467028   (Atom=Atom', ' 127614 Body=Body', ' 90849 Other', ' 248565)']",[' Yes'],"[' 30930    (Eliminated', '    0 Frozen', ' 30930)']","[' 5792     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.135'],[' 0'], ,[' 128.025'],[' 0'],[' 13.9979'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.10338e+08'],[' 3.66302e+08'],[' 0'],[' 3.66959e+09'],[' 0'],[' 0'],[' 1252 '],[' 2254 '],[' 3160 '],[' 4476 '],[' 7441 '],[' 7238 '],[' 6 '],[' 0 ']
Solving...,TA80, , , , ,[' 9585+'],[' 4797'],"[' 628.958s (Solving', ' 548.49s 1st Model', ' 169.74s Unsat', ' 0.00s)']",[' 626.813s'], ,[' 261892901'],"[' 2704982  (Analyzed', ' 2232418)']","[' 6471     (Average', ' 344.99 Last', ' 16624)']",[' 12649.2 '],"[' 4798     (Average Length', ' 2499.35 Splits', ' 0)']","[' 2232418  (Deleted', ' 2157242)']","[' 585      (Ratio', '   0.03%)']","[' 33301    (Ratio', '   1.49%)']","[' 2232418  (Average Length', '   26.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2232418  (Average', ' 97.41 Max', ' 18600 Sum', ' 217456819)']","[' 2229932  (Average', ' 95.19 Max', ' 18600 Sum', ' 212508327 Ratio', '  97.72%)']","[' 2486     (Average', ' 1990.54 Max', ' 3651 Sum', ' 4948492 Ratio', '   2.28%)']", ,[' 403289  '],[' 25413   '],[' 370303  '],[' 190258  '],"[' 469016   (Atom=Atom', ' 128124 Body=Body', ' 91586 Other', ' 249306)']",[' Yes'],"[' 30704    (Eliminated', '    0 Frozen', ' 30704)']","[' 5536     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1648'],[' 0'], ,[' 136.36'],[' 0'],[' 15.3558'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.34789e+08'],[' 3.89134e+08'],[' 0'],[' 3.88089e+09'],[' 0'],[' 0'],[' 1597 '],[' 2383 '],[' 3158 '],[' 4194 '],[' 5113 '],[' 6546 '],[' 6 '],[' 0 ']
