Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 8851+'],[' 4430'],"[' 623.354s (Solving', ' 549.05s 1st Model', ' 226.82s Unsat', ' 0.00s)']",[' 621.719s'], ,[' 327471047'],"[' 3451601  (Analyzed', ' 452150)']","[' 3277     (Average', ' 137.98 Last', ' 97273)']",[' 13571.8 '],"[' 4431     (Average Length', ' 2296.80 Splits', ' 0)']","[' 452150   (Deleted', ' 400182)']","[' 72       (Ratio', '   0.02%)']","[' 35689    (Ratio', '   7.89%)']","[' 452150   (Average Length', '   29.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 452150   (Average', ' 624.53 Max', ' 17327 Sum', ' 282380104)']","[' 448719   (Average', ' 606.79 Max', ' 17327 Sum', ' 274361147 Ratio', '  97.16%)']","[' 3431     (Average', ' 2337.21 Max', ' 3050 Sum', ' 8018957 Ratio', '   2.84%)']", ,[' 394090  '],[' 25222   '],[' 357773  '],[' 161917  '],"[' 450446   (Atom=Atom', ' 117830 Body=Body', ' 81226 Other', ' 251390)']",[' Yes'],"[' 29946    (Eliminated', '    0 Frozen', ' 29946)']","[' 7166     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3609'],[' 0'], ,[' 149.043'],[' 0'],[' 17.4308'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.15088e+08'],[' 4.68886e+08'],[' 0'],[' 5.40464e+09'],[' 0'],[' 0'],[' 2286 '],[' 3812 '],[' 4967 '],[' 6422 '],[' 4 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 8301+'],[' 4155'],"[' 618.078s (Solving', ' 552.66s 1st Model', ' 174.27s Unsat', ' 0.00s)']",[' 614.688s'], ,[' 326549970'],"[' 3136513  (Analyzed', ' 851282)']","[' 3761     (Average', ' 226.34 Last', ' 13435)']",[' 13134.2 '],"[' 4155     (Average Length', ' 2143.30 Splits', ' 0)']","[' 851282   (Deleted', ' 790690)']","[' 70       (Ratio', '   0.01%)']","[' 37860    (Ratio', '   4.45%)']","[' 851282   (Average Length', '   27.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 851282   (Average', ' 335.95 Max', ' 17251 Sum', ' 285986886)']","[' 847957   (Average', ' 326.99 Max', ' 16535 Sum', ' 278356482 Ratio', '  97.33%)']","[' 3325     (Average', ' 2294.86 Max', ' 2774 Sum', ' 7630404 Ratio', '   2.67%)']", ,[' 393582  '],[' 24814   '],[' 356061  '],[' 161034  '],"[' 443465   (Atom=Atom', ' 115924 Body=Body', ' 80002 Other', ' 247539)']",[' Yes'],"[' 29401    (Eliminated', '    0 Frozen', ' 29401)']","[' 7849     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3975'],[' 0'], ,[' 158.646'],[' 0'],[' 18.6794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.09195e+08'],[' 4.59746e+08'],[' 0'],[' 5.12162e+09'],[' 0'],[' 0'],[' 1934 '],[' 3447 '],[' 4715 '],[' 6075 '],[' 4 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 7705+'],[' 3857'],"[' 617.021s (Solving', ' 555.34s 1st Model', ' 182.93s Unsat', ' 0.00s)']",[' 614.297s'], ,[' 331379318'],"[' 4498388  (Analyzed', ' 1100322)']","[' 4438     (Average', ' 247.93 Last', ' 13710)']",[' 13623.9 '],"[' 3857     (Average Length', ' 2062.73 Splits', ' 0)']","[' 1100322  (Deleted', ' 1047427)']","[' 63       (Ratio', '   0.01%)']","[' 33519    (Ratio', '   3.05%)']","[' 1100322  (Average Length', '   30.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1100322  (Average', ' 264.25 Max', ' 16916 Sum', ' 290760822)']","[' 1096569  (Average', ' 256.99 Max', ' 16791 Sum', ' 282768455 Ratio', '  97.25%)']","[' 3753     (Average', ' 2129.59 Max', ' 2617 Sum', ' 7992367 Ratio', '   2.75%)']", ,[' 391123  '],[' 24790   '],[' 354261  '],[' 159669  '],"[' 442425   (Atom=Atom', ' 115530 Body=Body', ' 79930 Other', ' 246965)']",[' Yes'],"[' 29177    (Eliminated', '    0 Frozen', ' 29177)']","[' 6764     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.7011'],[' 0'], ,[' 177.051'],[' 0'],[' 18.8146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.87197e+08'],[' 4.37835e+08'],[' 0'],[' 7.03693e+09'],[' 0'],[' 0'],[' 2247 '],[' 3603 '],[' 4977 '],[' 6451 '],[' 4 '],[' 0 ']
Solving...,TA74, , , , ,[' 8223+'],[' 4116'],"[' 623.321s (Solving', ' 553.58s 1st Model', ' 243.80s Unsat', ' 0.00s)']",[' 621.359s'], ,[' 333133363'],"[' 2533316  (Analyzed', ' 540360)']","[' 3414     (Average', ' 158.28 Last', ' 26419)']",[' 13021.2 '],"[' 4117     (Average Length', ' 2144.39 Splits', ' 0)']","[' 540360   (Deleted', ' 478013)']","[' 55       (Ratio', '   0.01%)']","[' 36454    (Ratio', '   6.75%)']","[' 540360   (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 540360   (Average', ' 543.23 Max', ' 17574 Sum', ' 293538742)']","[' 537203   (Average', ' 529.70 Max', ' 16566 Sum', ' 286229600 Ratio', '  97.51%)']","[' 3157     (Average', ' 2315.22 Max', ' 2790 Sum', ' 7309142 Ratio', '   2.49%)']", ,[' 393326  '],[' 24765   '],[' 355201  '],[' 161308  '],"[' 442775   (Atom=Atom', ' 115688 Body=Body', ' 79855 Other', ' 247232)']",[' Yes'],"[' 29345    (Eliminated', '    0 Frozen', ' 29345)']","[' 7314     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2961'],[' 0'], ,[' 150.329'],[' 0'],[' 18.8974'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40074e+08'],[' 4.93399e+08'],[' 0'],[' 4.70541e+09'],[' 0'],[' 0'],[' 1691 '],[' 3541 '],[' 5049 '],[' 6145 '],[' 4 '],[' 0 ']
Solving...,TA75, , , , ,[' 8305+'],[' 4157'],"[' 621.981s (Solving', ' 552.79s 1st Model', ' 158.79s Unsat', ' 0.00s)']",[' 620.922s'], ,[' 321008040'],"[' 2917476  (Analyzed', ' 605289)']","[' 3412     (Average', ' 177.40 Last', ' 15587)']",[' 13143.3 '],"[' 4158     (Average Length', ' 2170.60 Splits', ' 0)']","[' 605289   (Deleted', ' 544883)']","[' 73       (Ratio', '   0.01%)']","[' 35525    (Ratio', '   5.87%)']","[' 605289   (Average Length', '   28.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 605289   (Average', ' 464.41 Max', ' 16820 Sum', ' 281099904)']","[' 601802   (Average', ' 450.63 Max', ' 16820 Sum', ' 272762694 Ratio', '  97.03%)']","[' 3487     (Average', ' 2390.94 Max', ' 2802 Sum', ' 8337210 Ratio', '   2.97%)']", ,[' 394679  '],[' 24917   '],[' 357011  '],[' 161676  '],"[' 445006   (Atom=Atom', ' 116337 Body=Body', ' 80311 Other', ' 248358)']",[' Yes'],"[' 29511    (Eliminated', '    0 Frozen', ' 29511)']","[' 7303     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4606'],[' 0'], ,[' 155.691'],[' 0'],[' 18.4908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.23567e+08'],[' 4.79218e+08'],[' 0'],[' 5.19382e+09'],[' 0'],[' 0'],[' 1920 '],[' 3546 '],[' 5233 '],[' 6456 '],[' 4 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 8873+'],[' 4441'],"[' 618.901s (Solving', ' 550.88s 1st Model', ' 229.15s Unsat', ' 0.00s)']",[' 616.219s'], ,[' 317759251'],"[' 2991727  (Analyzed', ' 354813)']","[' 3043     (Average', ' 116.60 Last', ' 38913)']",[' 13026.9 '],"[' 4441     (Average Length', ' 2272.25 Splits', ' 0)']","[' 354813   (Deleted', ' 299276)']","[' 44       (Ratio', '   0.01%)']","[' 35125    (Ratio', '   9.90%)']","[' 354813   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 354813   (Average', ' 777.61 Max', ' 16526 Sum', ' 275905249)']","[' 351358   (Average', ' 753.17 Max', ' 16526 Sum', ' 267233824 Ratio', '  96.86%)']","[' 3455     (Average', ' 2509.82 Max', ' 2975 Sum', ' 8671425 Ratio', '   3.14%)']", ,[' 395329  '],[' 24907   '],[' 357606  '],[' 162189  '],"[' 445597   (Atom=Atom', ' 116582 Body=Body', ' 80281 Other', ' 248734)']",[' Yes'],"[' 29740    (Eliminated', '    0 Frozen', ' 29740)']","[' 7452     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9345'],[' 0'], ,[' 144.252'],[' 0'],[' 17.72'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.0593e+08'],[' 4.623e+08'],[' 0'],[' 4.7901e+09'],[' 0'],[' 0'],[' 1804 '],[' 3377 '],[' 4809 '],[' 6393 '],[' 4 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 9225+'],[' 4617'],"[' 619.205s (Solving', ' 548.68s 1st Model', ' 149.46s Unsat', ' 0.00s)']",[' 616.281s'], ,[' 292669551'],"[' 4241119  (Analyzed', ' 820984)']","[' 3918     (Average', ' 209.54 Last', ' 6889)']",[' 13604.1 '],"[' 4617     (Average Length', ' 2326.43 Splits', ' 0)']","[' 820984   (Deleted', ' 768618)']","[' 68       (Ratio', '   0.01%)']","[' 30728    (Ratio', '   3.74%)']","[' 820984   (Average Length', '   29.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 820984   (Average', ' 299.28 Max', ' 19197 Sum', ' 245700625)']","[' 817418   (Average', ' 288.16 Max', ' 17226 Sum', ' 236574418 Ratio', '  96.29%)']","[' 3566     (Average', ' 2559.23 Max', ' 3058 Sum', ' 9126207 Ratio', '   3.71%)']", ,[' 391670  '],[' 24793   '],[' 355314  '],[' 160365  '],"[' 444534   (Atom=Atom', ' 116302 Body=Body', ' 79939 Other', ' 248293)']",[' Yes'],"[' 29646    (Eliminated', '    0 Frozen', ' 29646)']","[' 6582     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6347'],[' 0'], ,[' 164.162'],[' 0'],[' 16.7503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38432e+08'],[' 3.9311e+08'],[' 0'],[' 6.62281e+09'],[' 0'],[' 0'],[' 2052 '],[' 3643 '],[' 5187 '],[' 6604 '],[' 4 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 8653+'],[' 4331'],"[' 618.757s (Solving', ' 550.20s 1st Model', ' 200.19s Unsat', ' 0.00s)']",[' 616.688s'], ,[' 303252532'],"[' 3237518  (Analyzed', ' 462523)']","[' 3273     (Average', ' 141.31 Last', ' 40846)']",[' 13343.3 '],"[' 4331     (Average Length', ' 2264.80 Splits', ' 0)']","[' 462523   (Deleted', ' 407322)']","[' 58       (Ratio', '   0.01%)']","[' 34395    (Ratio', '   7.44%)']","[' 462523   (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 462523   (Average', ' 561.01 Max', ' 16865 Sum', ' 259481650)']","[' 459457   (Average', ' 545.47 Max', ' 16865 Sum', ' 252292893 Ratio', '  97.23%)']","[' 3066     (Average', ' 2344.67 Max', ' 2906 Sum', ' 7188757 Ratio', '   2.77%)']", ,[' 392676  '],[' 24636   '],[' 355355  '],[' 160455  '],"[' 441414   (Atom=Atom', ' 115388 Body=Body', ' 79468 Other', ' 246558)']",[' Yes'],"[' 29425    (Eliminated', '    0 Frozen', ' 29425)']","[' 7209     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1215'],[' 0'], ,[' 149.06'],[' 0'],[' 17.3775'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.91864e+08'],[' 4.46477e+08'],[' 0'],[' 5.24827e+09'],[' 0'],[' 0'],[' 1841 '],[' 3381 '],[' 4861 '],[' 6454 '],[' 4 '],[' 0 ']
Solving...,TA79, , , , ,[' 8293+'],[' 4151'],"[' 622.188s (Solving', ' 552.45s 1st Model', ' 180.13s Unsat', ' 0.00s)']",[' 619.453s'], ,[' 320555879'],"[' 2787231  (Analyzed', ' 491584)']","[' 3384     (Average', ' 145.27 Last', ' 31702)']",[' 12894.9 '],"[' 4152     (Average Length', ' 2157.74 Splits', ' 0)']","[' 491584   (Deleted', ' 433425)']","[' 51       (Ratio', '   0.01%)']","[' 35261    (Ratio', '   7.17%)']","[' 491584   (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 491584   (Average', ' 573.56 Max', ' 17204 Sum', ' 281954924)']","[' 488062   (Average', ' 556.54 Max', ' 16415 Sum', ' 273588222 Ratio', '  97.03%)']","[' 3522     (Average', ' 2375.55 Max', ' 2774 Sum', ' 8366702 Ratio', '   2.97%)']", ,[' 396396  '],[' 24820   '],[' 357849  '],[' 162288  '],"[' 443687   (Atom=Atom', ' 115943 Body=Body', ' 80020 Other', ' 247724)']",[' Yes'],"[' 29525    (Eliminated', '    0 Frozen', ' 29525)']","[' 7289     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5804'],[' 0'], ,[' 151.035'],[' 0'],[' 18.2965'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.15425e+08'],[' 4.71853e+08'],[' 0'],[' 5.01871e+09'],[' 0'],[' 0'],[' 1635 '],[' 3216 '],[' 4869 '],[' 6320 '],[' 4 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 9055+'],[' 4531'],"[' 623.130s (Solving', ' 547.89s 1st Model', ' 198.35s Unsat', ' 0.00s)']",[' 621.313s'], ,[' 290052966'],"[' 3614697  (Analyzed', ' 348924)']","[' 3178     (Average', ' 109.79 Last', ' 36237)']",[' 13548.9 '],"[' 4531     (Average Length', ' 2336.50 Splits', ' 0)']","[' 348924   (Deleted', ' 299235)']","[' 57       (Ratio', '   0.02%)']","[' 31061    (Ratio', '   8.90%)']","[' 348924   (Average Length', '   28.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 348924   (Average', ' 695.86 Max', ' 18993 Sum', ' 242800788)']","[' 345908   (Average', ' 675.80 Max', ' 17957 Sum', ' 235802391 Ratio', '  97.12%)']","[' 3016     (Average', ' 2320.42 Max', ' 3162 Sum', ' 6998397 Ratio', '   2.88%)']", ,[' 390800  '],[' 24886   '],[' 354964  '],[' 160112  '],"[' 445570   (Atom=Atom', ' 116589 Body=Body', ' 80218 Other', ' 248763)']",[' Yes'],"[' 29692    (Eliminated', '    0 Frozen', ' 29692)']","[' 5831     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7381'],[' 0'], ,[' 149.313'],[' 0'],[' 16.7998'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.63455e+08'],[' 4.21422e+08'],[' 0'],[' 5.51432e+09'],[' 0'],[' 0'],[' 2062 '],[' 3558 '],[' 4782 '],[' 6116 '],[' 4 '],[' 0 ']
