Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 5407+'],[' 2713'],"[' 1017.629s (Solving', ' 952.00s 1st Model', ' 109.13s Unsat', ' 0.00s)']",[' 1008.594s'], ,[' 82478800'],"[' 9726626  (Analyzed', ' 9499264)']","[' 19324    (Average', ' 491.58 Last', ' 54680)']",[' 5312.7  '],"[' 2713     (Average Length', ' 1232.99 Splits', ' 0)']","[' 9499264  (Deleted', ' 9358107)']","[' 51       (Ratio', '   0.00%)']","[' 14871    (Ratio', '   0.16%)']","[' 9499264  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9499264  (Average', '  7.65 Max', ' 7097 Sum', ' 72679292)']","[' 9497617  (Average', '  7.45 Max', ' 7097 Sum', ' 70770745 Ratio', '  97.37%)']","[' 1647     (Average', ' 1158.80 Max', ' 2111 Sum', ' 1908547 Ratio', '   2.63%)']", ,[' 360059  '],[' 12585   '],[' 360448  '],[' 208327  '],"[' 624977   (Atom=Atom', ' 197740 Body=Body', ' 113485 Other', ' 313752)']",[' Yes'],"[' 14974    (Eliminated', '    0 Frozen', ' 14974)']","[' 2654     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5987'],[' 0'], ,[' 806.046'],[' 0'],[' 13.2364'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87204e+08'],[' 3.45451e+08'],[' 0'],[' 7.90152e+10'],[' 0'],[' 0'],[' 1042 '],[' 1941 '],[' 2614 '],[' 3420 '],[' 4345 '],[' 5106 '],[' 5764 '],[' 6378 '],[' 6880 '],[' 9 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 4815+'],[' 2417'],"[' 1015.218s (Solving', ' 953.43s 1st Model', ' 68.51s Unsat', ' 0.00s)']",[' 1006.359s'], ,[' 63649142'],"[' 8652561  (Analyzed', ' 8478910)']","[' 18868    (Average', ' 449.38 Last', ' 28414)']",[' 5156.7  '],"[' 2417     (Average Length', ' 1112.66 Splits', ' 0)']","[' 8478910  (Deleted', ' 8324273)']","[' 34       (Ratio', '   0.00%)']","[' 12391    (Ratio', '   0.15%)']","[' 8478910  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8478910  (Average', '  6.50 Max', ' 7139 Sum', ' 55094992)']","[' 8477281  (Average', '  6.29 Max', ' 7139 Sum', ' 53370846 Ratio', '  96.87%)']","[' 1629     (Average', ' 1058.41 Max', ' 1933 Sum', ' 1724146 Ratio', '   3.13%)']", ,[' 356881  '],[' 12415   '],[' 357058  '],[' 206133  '],"[' 618395   (Atom=Atom', ' 195716 Body=Body', ' 113315 Other', ' 309364)']",[' Yes'],"[' 14592    (Eliminated', '    0 Frozen', ' 14592)']","[' 2534     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2661'],[' 0'], ,[' 807.837'],[' 0'],[' 12.5308'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.2355e+08'],[' 2.91858e+08'],[' 0'],[' 7.51639e+10'],[' 0'],[' 0'],[' 805 '],[' 1444 '],[' 2153 '],[' 2732 '],[' 3371 '],[' 4014 '],[' 4724 '],[' 5344 '],[' 5802 '],[' 9 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 5483+'],[' 2751'],"[' 1015.850s (Solving', ' 948.02s 1st Model', ' 136.05s Unsat', ' 0.00s)']",[' 1008.172s'], ,[' 77891001'],"[' 7829789  (Analyzed', ' 7420231)']","[' 16789    (Average', ' 441.97 Last', ' 62455)']",[' 5317.4  '],"[' 2751     (Average Length', ' 1230.26 Splits', ' 0)']","[' 7420231  (Deleted', ' 7291809)']","[' 56       (Ratio', '   0.00%)']","[' 16249    (Ratio', '   0.22%)']","[' 7420231  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7420231  (Average', '  9.15 Max', ' 6885 Sum', ' 67907065)']","[' 7418636  (Average', '  8.88 Max', ' 6885 Sum', ' 65926329 Ratio', '  97.08%)']","[' 1595     (Average', ' 1241.84 Max', ' 2145 Sum', ' 1980736 Ratio', '   2.92%)']", ,[' 360328  '],[' 12554   '],[' 360721  '],[' 209230  '],"[' 627686   (Atom=Atom', ' 198674 Body=Body', ' 113454 Other', ' 315558)']",[' Yes'],"[' 14947    (Eliminated', '    0 Frozen', ' 14947)']","[' 3217     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7754'],[' 0'], ,[' 786.057'],[' 0'],[' 14.2819'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.80289e+08'],[' 3.4431e+08'],[' 0'],[' 7.03036e+10'],[' 0'],[' 0'],[' 1118 '],[' 1786 '],[' 2423 '],[' 3053 '],[' 3785 '],[' 4434 '],[' 5062 '],[' 5664 '],[' 6199 '],[' 9 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 4491+'],[' 2255'],"[' 849.042s (Solving', ' 803.66s 1st Model', ' 55.22s Unsat', ' 25.02s)']",[' 850.344s'], ,[' 48755337'],"[' 4799590  (Analyzed', ' 4137073)']","[' 10757    (Average', ' 384.59 Last', ' 47688)']",[' 5785.0  '],"[' 2255     (Average Length', ' 1031.03 Splits', ' 0)']","[' 4137073  (Deleted', ' 4049839)']","[' 50       (Ratio', '   0.00%)']","[' 8441     (Ratio', '   0.20%)']","[' 4137073  (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4137073  (Average', '  9.28 Max', ' 8338 Sum', ' 38404777)']","[' 4136000  (Average', '  9.00 Max', ' 8338 Sum', ' 37223699 Ratio', '  96.92%)']","[' 1073     (Average', ' 1100.73 Max', ' 1830 Sum', ' 1181078 Ratio', '   3.08%)']", ,[' 361608  '],[' 12558   '],[' 361640  '],[' 214110  '],"[' 642326   (Atom=Atom', ' 203550 Body=Body', ' 113458 Other', ' 325318)']",[' Yes'],"[' 14590    (Eliminated', '    0 Frozen', ' 14590)']","[' 1318     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1036'],[' 0'], ,[' 715.043'],[' 0'],[' 9.83919'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64976e+08'],[' 2.47092e+08'],[' 0'],[' 9.00572e+10'],[' 0'],[' 0'],[' 1277 '],[' 1858 '],[' 2533 '],[' 3263 '],[' 3936 '],[' 4839 '],[' 5415 '],[' 6196 '],[' 6705 '],[' 8 '],[' 1 ']
Solving...,TA75, ,[' 1'],[' 5433+'],[' 2726'],"[' 1018.127s (Solving', ' 964.28s 1st Model', ' 106.96s Unsat', ' 0.00s)']",[' 1015.859s'], ,[' 86076471'],"[' 9805554  (Analyzed', ' 9564182)']","[' 20118    (Average', ' 475.40 Last', ' 43280)']",[' 4829.3  '],"[' 2726     (Average Length', ' 1249.77 Splits', ' 0)']","[' 9564182  (Deleted', ' 9411713)']","[' 90       (Ratio', '   0.00%)']","[' 21057    (Ratio', '   0.22%)']","[' 9564182  (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9564182  (Average', '  8.12 Max', ' 6620 Sum', ' 77649458)']","[' 9562587  (Average', '  7.91 Max', ' 6620 Sum', ' 75677737 Ratio', '  97.46%)']","[' 1595     (Average', ' 1236.19 Max', ' 2202 Sum', ' 1971721 Ratio', '   2.54%)']", ,[' 360514  '],[' 12754   '],[' 360913  '],[' 208183  '],"[' 624545   (Atom=Atom', ' 197427 Body=Body', ' 113654 Other', ' 313464)']",[' Yes'],"[' 15153    (Eliminated', '    0 Frozen', ' 15153)']","[' 4310     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3142'],[' 0'], ,[' 818.648'],[' 0'],[' 12.7065'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.06332e+08'],[' 3.63063e+08'],[' 0'],[' 1.02079e+11'],[' 0'],[' 0'],[' 929 '],[' 1638 '],[' 2585 '],[' 3385 '],[' 4260 '],[' 4865 '],[' 5514 '],[' 6198 '],[' 6687 '],[' 9 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5195+'],[' 2607'],"[' 1010.748s (Solving', ' 965.71s 1st Model', ' 56.83s Unsat', ' 0.00s)']",[' 1007.625s'], ,[' 68444523'],"[' 10925850 (Analyzed', ' 10646911)']","[' 22773    (Average', ' 467.52 Last', ' 33597)']",[' 5282.6  '],"[' 2607     (Average Length', ' 1180.91 Splits', ' 0)']","[' 10646911 (Deleted', ' 10470715)']","[' 38       (Ratio', '   0.00%)']","[' 11102    (Ratio', '   0.10%)']","[' 10646911 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10646911 (Average', '  5.54 Max', ' 7352 Sum', ' 58985876)']","[' 10645320 (Average', '  5.36 Max', ' 7352 Sum', ' 57110604 Ratio', '  96.82%)']","[' 1591     (Average', ' 1178.68 Max', ' 2077 Sum', ' 1875272 Ratio', '   3.18%)']", ,[' 358158  '],[' 12412   '],[' 358432  '],[' 207278  '],"[' 621830   (Atom=Atom', ' 196864 Body=Body', ' 113312 Other', ' 311654)']",[' Yes'],"[' 14686    (Eliminated', '    0 Frozen', ' 14686)']","[' 2236     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.95977'],[' 0'], ,[' 836.959'],[' 0'],[' 12.052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.26265e+08'],[' 2.90458e+08'],[' 0'],[' 1.05273e+11'],[' 0'],[' 0'],[' 917 '],[' 1641 '],[' 2417 '],[' 3152 '],[' 3862 '],[' 4495 '],[' 5141 '],[' 5749 '],[' 6294 '],[' 9 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 4861+'],[' 2440'],"[' 1011.552s (Solving', ' 965.21s 1st Model', ' 82.30s Unsat', ' 0.00s)']",[' 1007.891s'], ,[' 75131958'],"[' 10627764 (Analyzed', ' 10333193)']","[' 21991    (Average', ' 469.88 Last', ' 23747)']",[' 5664.9  '],"[' 2440     (Average Length', ' 1128.34 Splits', ' 0)']","[' 10333193 (Deleted', ' 10160842)']","[' 28       (Ratio', '   0.00%)']","[' 12430    (Ratio', '   0.12%)']","[' 10333193 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10333193 (Average', '  6.28 Max', ' 7460 Sum', ' 64896539)']","[' 10331815 (Average', '  6.14 Max', ' 7460 Sum', ' 63434079 Ratio', '  97.75%)']","[' 1378     (Average', ' 1061.29 Max', ' 1993 Sum', ' 1462460 Ratio', '   2.25%)']", ,[' 358733  '],[' 12484   '],[' 358931  '],[' 209565  '],"[' 628691   (Atom=Atom', ' 199079 Body=Body', ' 113384 Other', ' 316228)']",[' Yes'],"[' 14682    (Eliminated', '    0 Frozen', ' 14682)']","[' 2300     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3253'],[' 0'], ,[' 831.375'],[' 0'],[' 12.6645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.71853e+08'],[' 3.34715e+08'],[' 0'],[' 1.00692e+11'],[' 0'],[' 0'],[' 950 '],[' 1665 '],[' 2425 '],[' 3163 '],[' 3827 '],[' 4638 '],[' 5286 '],[' 5890 '],[' 6372 '],[' 9 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5097+'],[' 2558'],"[' 1011.297s (Solving', ' 963.31s 1st Model', ' 66.61s Unsat', ' 0.00s)']",[' 1008.203s'], ,[' 81507512'],"[' 11050602 (Analyzed', ' 10812031)']","[' 22231    (Average', ' 486.35 Last', ' 50339)']",[' 5469.5  '],"[' 2558     (Average Length', ' 1174.84 Splits', ' 0)']","[' 10812031 (Deleted', ' 10648980)']","[' 34       (Ratio', '   0.00%)']","[' 14211    (Ratio', '   0.13%)']","[' 10812031 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10812031 (Average', '  6.64 Max', ' 7015 Sum', ' 71822983)']","[' 10810294 (Average', '  6.46 Max', ' 7015 Sum', ' 69879355 Ratio', '  97.29%)']","[' 1737     (Average', ' 1118.96 Max', ' 2117 Sum', ' 1943628 Ratio', '   2.71%)']", ,[' 359850  '],[' 12585   '],[' 360135  '],[' 208240  '],"[' 624716   (Atom=Atom', ' 197653 Body=Body', ' 113485 Other', ' 313578)']",[' Yes'],"[' 14870    (Eliminated', '    0 Frozen', ' 14870)']","[' 2840     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.6173'],[' 0'], ,[' 824.221'],[' 0'],[' 12.2793'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77385e+08'],[' 3.3744e+08'],[' 0'],[' 9.91256e+10'],[' 0'],[' 0'],[' 985 '],[' 1774 '],[' 2505 '],[' 3238 '],[' 4027 '],[' 4615 '],[' 5212 '],[' 5829 '],[' 6348 '],[' 9 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 5339+'],[' 2679'],"[' 1011.894s (Solving', ' 962.44s 1st Model', ' 133.81s Unsat', ' 0.00s)']",[' 1009.438s'], ,[' 93744069'],"[' 10498931 (Analyzed', ' 10189492)']","[' 21488    (Average', ' 474.19 Last', ' 58072)']",[' 4927.8  '],"[' 2679     (Average Length', ' 1191.02 Splits', ' 0)']","[' 10189492 (Deleted', ' 10015475)']","[' 71       (Ratio', '   0.00%)']","[' 20087    (Ratio', '   0.20%)']","[' 10189492 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10189492 (Average', '  8.33 Max', ' 6592 Sum', ' 84842462)']","[' 10187875 (Average', '  8.14 Max', ' 6592 Sum', ' 82993107 Ratio', '  97.82%)']","[' 1617     (Average', ' 1143.70 Max', ' 2094 Sum', ' 1849355 Ratio', '   2.18%)']", ,[' 359470  '],[' 12606   '],[' 359817  '],[' 207408  '],"[' 622220   (Atom=Atom', ' 196800 Body=Body', ' 113506 Other', ' 311914)']",[' Yes'],"[' 14953    (Eliminated', '    0 Frozen', ' 14953)']","[' 3994     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.8586'],[' 0'], ,[' 820.138'],[' 0'],[' 12.6609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.21668e+08'],[' 3.73417e+08'],[' 0'],[' 1.06611e+11'],[' 0'],[' 0'],[' 954 '],[' 1552 '],[' 2209 '],[' 2876 '],[' 3598 '],[' 4221 '],[' 4823 '],[' 5651 '],[' 6184 '],[' 9 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 5155+'],[' 2587'],"[' 1010.763s (Solving', ' 965.78s 1st Model', ' 76.65s Unsat', ' 0.00s)']",[' 1008.391s'], ,[' 95083665'],"[' 8621697  (Analyzed', ' 8423849)']","[' 18545    (Average', ' 454.24 Last', ' 46042)']",[' 5234.9  '],"[' 2587     (Average Length', ' 1185.55 Splits', ' 0)']","[' 8423849  (Deleted', ' 8284112)']","[' 68       (Ratio', '   0.00%)']","[' 18579    (Ratio', '   0.22%)']","[' 8423849  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8423849  (Average', ' 10.22 Max', ' 6872 Sum', ' 86072198)']","[' 8422178  (Average', '  9.97 Max', ' 6872 Sum', ' 84021953 Ratio', '  97.62%)']","[' 1671     (Average', ' 1226.96 Max', ' 2062 Sum', ' 2050245 Ratio', '   2.38%)']", ,[' 361137  '],[' 12636   '],[' 361442  '],[' 209818  '],"[' 629450   (Atom=Atom', ' 199180 Body=Body', ' 113536 Other', ' 316734)']",[' Yes'],"[' 14941    (Eliminated', '    0 Frozen', ' 14941)']","[' 3663     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.97635'],[' 0'], ,[' 828.397'],[' 0'],[' 13.4576'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.51531e+08'],[' 4.00573e+08'],[' 0'],[' 1.0876e+11'],[' 0'],[' 0'],[' 856 '],[' 1756 '],[' 2534 '],[' 3219 '],[' 4009 '],[' 4736 '],[' 5351 '],[' 5982 '],[' 6441 '],[' 9 '],[' 0 ']
