Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 
Solving...,swv11, ,[' 1'],[' 817+'],[' 415'],"[' 366.619s (Solving', ' 364.38s 1st Model', ' 1.73s Unsat', ' 0.00s)']",[' 364.969s'], ,[' 32844585'],"[' 14730158 (Analyzed', ' 14686362)']","[' 28466    (Average', ' 515.93 Last', ' 37316)']",[' 1782.8  '],"[' 415      (Average Length', ' 201.72 Splits', ' 0)']","[' 14686362 (Deleted', ' 14511301)']","[' 8        (Ratio', '   0.00%)']","[' 5359     (Ratio', '   0.04%)']","[' 14686362 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14686362 (Average', '  2.15 Max', ' 2346 Sum', ' 31604336)']","[' 14685873 (Average', '  2.15 Max', ' 2346 Sum', ' 31517043 Ratio', '  99.72%)']","[' 489      (Average', ' 178.51 Max', ' 283 Sum', '  87293 Ratio', '   0.28%)']", ,[' 70591   '],[' 3891    '],[' 70495   '],[' 38656   '],"[' 115964   (Atom=Atom', ' 35263 Body=Body', ' 16591 Other', ' 64110)']",[' Yes'],"[' 4295     (Eliminated', '    0 Frozen', ' 4295)']","[' 1000     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.495792'],[' 0'], ,[' 279.409'],[' 0'],[' 4.50299'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.56582e+07'],[' 4.93799e+07'],[' 0'],[' 4.11741e+10'],[' 0'],[' 0'],[' 1104 '],[' 2053 '],[' 2640 '],[' 3282 '],[' 4312 '],[' 5351 ']
Solving...,swv12, ,[' 1'],[' 709+'],[' 361'],"[' 366.672s (Solving', ' 364.60s 1st Model', ' 1.68s Unsat', ' 0.00s)']",[' 365.078s'], ,[' 29645325'],"[' 11160464 (Analyzed', ' 11130343)']","[' 21472    (Average', ' 518.37 Last', ' 25464)']",[' 1723.1  '],"[' 361      (Average Length', ' 177.10 Splits', ' 0)']","[' 11130343 (Deleted', ' 10999198)']","[' 16       (Ratio', '   0.00%)']","[' 6701     (Ratio', '   0.06%)']","[' 11130343 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11130343 (Average', '  2.57 Max', ' 2178 Sum', ' 28602085)']","[' 11129759 (Average', '  2.56 Max', ' 2178 Sum', ' 28522748 Ratio', '  99.72%)']","[' 584      (Average', ' 135.85 Max', ' 234 Sum', '  79337 Ratio', '   0.28%)']", ,[' 70283   '],[' 3914    '],[' 70137   '],[' 38043   '],"[' 114125   (Atom=Atom', ' 34627 Body=Body', ' 16614 Other', ' 62884)']",[' Yes'],"[' 4268     (Eliminated', '    0 Frozen', ' 4268)']","[' 1084     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.460812'],[' 0'], ,[' 295.763'],[' 0'],[' 4.66623'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.07411e+07'],[' 5.24925e+07'],[' 0'],[' 4.50757e+10'],[' 0'],[' 0'],[' 1001 '],[' 2054 '],[' 3115 '],[' 3587 '],[' 4665 '],[' 5576 ']
Solving...,swv13, ,[' 1'],[' 525+'],[' 269'],"[' 366.599s (Solving', ' 364.99s 1st Model', ' 1.16s Unsat', ' 0.00s)']",[' 365.219s'], ,[' 36926024'],"[' 13306980 (Analyzed', ' 13287472)']","[' 25487    (Average', ' 521.34 Last', ' 11738)']",[' 1580.3  '],"[' 269      (Average Length', ' 131.31 Splits', ' 0)']","[' 13287472 (Deleted', ' 13134033)']","[' 12       (Ratio', '   0.00%)']","[' 8494     (Ratio', '   0.06%)']","[' 13287472 (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13287472 (Average', '  2.70 Max', ' 2167 Sum', ' 35894633)']","[' 13286847 (Average', '  2.70 Max', ' 2167 Sum', ' 35820625 Ratio', '  99.79%)']","[' 625      (Average', ' 118.41 Max', ' 198 Sum', '  74008 Ratio', '   0.21%)']", ,[' 70522   '],[' 3953    '],[' 70284   '],[' 38162   '],"[' 114482   (Atom=Atom', ' 34707 Body=Body', ' 16653 Other', ' 63122)']",[' Yes'],"[' 4215     (Eliminated', '    0 Frozen', ' 4215)']","[' 1277     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.353278'],[' 0'], ,[' 287.02'],[' 0'],[' 4.94561'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00225e+08'],[' 6.52457e+07'],[' 0'],[' 4.18694e+10'],[' 0'],[' 0'],[' 1104 '],[' 2178 '],[' 3003 '],[' 3732 '],[' 4785 '],[' 6190 ']
Solving...,swv14, ,[' 1'],[' 605+'],[' 309'],"[' 366.786s (Solving', ' 364.63s 1st Model', ' 1.64s Unsat', ' 0.00s)']",[' 365.172s'], ,[' 39124236'],"[' 15644064 (Analyzed', ' 15616246)']","[' 29527    (Average', ' 528.88 Last', ' 682)']",[' 1649.2  '],"[' 309      (Average Length', ' 151.08 Splits', ' 0)']","[' 15616246 (Deleted', ' 15431884)']","[' 12       (Ratio', '   0.00%)']","[' 7691     (Ratio', '   0.05%)']","[' 15616246 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15616246 (Average', '  2.44 Max', ' 2141 Sum', ' 38029825)']","[' 15615606 (Average', '  2.43 Max', ' 2141 Sum', ' 37956444 Ratio', '  99.81%)']","[' 640      (Average', ' 114.66 Max', ' 207 Sum', '  73381 Ratio', '   0.19%)']", ,[' 69452   '],[' 3887    '],[' 69254   '],[' 37034   '],"[' 111098   (Atom=Atom', ' 33645 Body=Body', ' 16587 Other', ' 60866)']",[' Yes'],"[' 4189     (Eliminated', '    0 Frozen', ' 4189)']","[' 1281     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.486494'],[' 0'], ,[' 269.004'],[' 0'],[' 4.67468'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05391e+08'],[' 6.58043e+07'],[' 0'],[' 3.44478e+10'],[' 0'],[' 0'],[' 864 '],[' 1941 '],[' 2817 '],[' 3410 '],[' 4311 '],[' 5260 ']
Solving...,swv15, ,[' 1'],[' 517+'],[' 265'],"[' 366.564s (Solving', ' 364.98s 1st Model', ' 1.15s Unsat', ' 0.00s)']",[' 365.359s'], ,[' 35311925'],"[' 11010857 (Analyzed', ' 10994088)']","[' 22271    (Average', ' 493.65 Last', ' 81950)']",[' 1506.8  '],"[' 265      (Average Length', ' 128.86 Splits', ' 0)']","[' 10994088 (Deleted', ' 10863666)']","[' 13       (Ratio', '   0.00%)']","[' 9578     (Ratio', '   0.09%)']","[' 10994088 (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10994088 (Average', '  3.12 Max', ' 2243 Sum', ' 34354833)']","[' 10993573 (Average', '  3.12 Max', ' 2243 Sum', ' 34293335 Ratio', '  99.82%)']","[' 515      (Average', ' 119.41 Max', ' 197 Sum', '  61498 Ratio', '   0.18%)']", ,[' 70499   '],[' 3989    '],[' 70256   '],[' 38456   '],"[' 115364   (Atom=Atom', ' 34965 Body=Body', ' 16689 Other', ' 63710)']",[' Yes'],"[' 4246     (Eliminated', '    0 Frozen', ' 4246)']","[' 1667     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.340829'],[' 0'], ,[' 292.062'],[' 0'],[' 4.99431'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.50915e+07'],[' 6.36669e+07'],[' 0'],[' 4.25594e+10'],[' 0'],[' 0'],[' 1210 '],[' 2159 '],[' 3146 '],[' 3908 '],[' 4895 '],[' 6003 ']
Solving...,swv16, , ,[' 401'],[' 207'],"[' 311.399s (Solving', ' 310.16s 1st Model', ' 0.53s Unsat', ' 4.78s)']",[' 310.313s'], ,[' 25395376'],"[' 18855631 (Analyzed', ' 18847932)']","[' 38031    (Average', ' 495.59 Last', ' 7429)']",[' 1413.7  '],"[' 207      (Average Length', ' 99.49 Splits', ' 0)']","[' 18847932 (Deleted', ' 18588282)']","[' 13       (Ratio', '   0.00%)']","[' 1858     (Ratio', '   0.01%)']","[' 18847932 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18847932 (Average', '  1.30 Max', ' 1666 Sum', ' 24572472)']","[' 18847775 (Average', '  1.30 Max', ' 1666 Sum', ' 24564095 Ratio', '  99.97%)']","[' 157      (Average', ' 53.36 Max', ' 123 Sum', '   8377 Ratio', '   0.03%)']", ,[' 51286   '],[' 2495    '],[' 50985   '],[' 29050   '],"[' 87146    (Atom=Atom', ' 27053 Body=Body', ' 15195 Other', ' 44898)']",[' Yes'],"[' 2694     (Eliminated', '    0 Frozen', ' 2694)']","[' 130      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.269804'],[' 0'], ,[' 202.138'],[' 0'],[' 3.89726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.83463e+07'],[' 2.60167e+07'],[' 0'],[' 2.53745e+10'],[' 0'],[' 0'],[' 810 '],[' 1591 '],[' 2071 '],[' 2718 '],[' 3191 '],[' 3614 ']
Solving...,swv17, , ,[' 515'],[' 264'],"[' 309.275s (Solving', ' 308.14s 1st Model', ' 0.61s Unsat', ' 2.87s)']",[' 307.922s'], ,[' 23228957'],"[' 15661590 (Analyzed', ' 15646691)']","[' 30791    (Average', ' 508.16 Last', ' 120076)']",[' 1233.7  '],"[' 264      (Average Length', ' 128.65 Splits', ' 0)']","[' 15646691 (Deleted', ' 15436580)']","[' 8        (Ratio', '   0.00%)']","[' 2734     (Ratio', '   0.02%)']","[' 15646691 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15646691 (Average', '  1.43 Max', ' 1637 Sum', ' 22441792)']","[' 15646559 (Average', '  1.43 Max', ' 1637 Sum', ' 22428356 Ratio', '  99.94%)']","[' 132      (Average', ' 101.79 Max', ' 189 Sum', '  13436 Ratio', '   0.06%)']", ,[' 51614   '],[' 2516    '],[' 51371   '],[' 29234   '],"[' 87698    (Atom=Atom', ' 27216 Body=Body', ' 15216 Other', ' 45266)']",[' Yes'],"[' 2773     (Eliminated', '    0 Frozen', ' 2773)']","[' 401      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.271579'],[' 0'], ,[' 218.454'],[' 0'],[' 4.52029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.25396e+07'],[' 2.69302e+07'],[' 0'],[' 2.77167e+10'],[' 0'],[' 0'],[' 719 '],[' 1319 '],[' 1872 '],[' 2516 '],[' 3167 '],[' 3635 ']
Solving...,swv18, , ,[' 479'],[' 246'],"[' 316.534s (Solving', ' 315.24s 1st Model', ' 0.56s Unsat', ' 9.92s)']",[' 315.031s'], ,[' 24881622'],"[' 16002450 (Analyzed', ' 15984774)']","[' 33257    (Average', ' 480.64 Last', ' 36843)']",[' 1223.2  '],"[' 246      (Average Length', ' 119.74 Splits', ' 0)']","[' 15984774 (Deleted', ' 15754906)']","[' 13       (Ratio', '   0.00%)']","[' 2827     (Ratio', '   0.02%)']","[' 15984774 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15984774 (Average', '  1.51 Max', ' 1578 Sum', ' 24081376)']","[' 15984506 (Average', '  1.50 Max', ' 1578 Sum', ' 24049325 Ratio', '  99.87%)']","[' 268      (Average', ' 119.59 Max', ' 169 Sum', '  32051 Ratio', '   0.13%)']", ,[' 52386   '],[' 2647    '],[' 52125   '],[' 30213   '],"[' 90635    (Atom=Atom', ' 28064 Body=Body', ' 15347 Other', ' 47224)']",[' Yes'],"[' 2886     (Eliminated', '    0 Frozen', ' 2886)']","[' 465      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.276411'],[' 0'], ,[' 221.782'],[' 0'],[' 4.50073'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56718e+07'],[' 2.97258e+07'],[' 0'],[' 2.51997e+10'],[' 0'],[' 0'],[' 688 '],[' 1250 '],[' 2074 '],[' 2680 '],[' 3302 '],[' 3822 ']
Solving...,swv19, ,[' 1'],[' 379+'],[' 196'],"[' 280.750s (Solving', ' 279.71s 1st Model', ' 0.58s Unsat', ' 35.54s)']",[' 279.953s'], ,[' 19273660'],"[' 10634961 (Analyzed', ' 10624966)']","[' 21227    (Average', ' 500.54 Last', ' 63214)']",[' 1231.1  '],"[' 196      (Average Length', ' 94.72 Splits', ' 0)']","[' 10624966 (Deleted', ' 10485625)']","[' 36       (Ratio', '   0.00%)']","[' 3259     (Ratio', '   0.03%)']","[' 10624966 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10624966 (Average', '  1.76 Max', ' 1635 Sum', ' 18653551)']","[' 10624788 (Average', '  1.75 Max', ' 1635 Sum', ' 18638114 Ratio', '  99.92%)']","[' 178      (Average', ' 86.72 Max', ' 163 Sum', '  15437 Ratio', '   0.08%)']", ,[' 52392   '],[' 2592    '],[' 52081   '],[' 29760   '],"[' 89276    (Atom=Atom', ' 27666 Body=Body', ' 15292 Other', ' 46318)']",[' Yes'],"[' 2781     (Eliminated', '    0 Frozen', ' 2781)']","[' 469      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.219596'],[' 0'], ,[' 219.019'],[' 0'],[' 4.02479'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.27518e+07'],[' 2.71209e+07'],[' 0'],[' 3.30648e+10'],[' 0'],[' 0'],[' 831 '],[' 1332 '],[' 2142 '],[' 2606 '],[' 3386 '],[' 3929 ']
Solving...,swv20, ,[' 1'],[' 421+'],[' 217'],"[' 349.375s (Solving', ' 348.53s 1st Model', ' 0.49s Unsat', ' 43.41s)']",[' 348.297s'], ,[' 20732566'],"[' 13330230 (Analyzed', ' 13321309)']","[' 27213    (Average', ' 489.52 Last', ' 21308)']",[' 1257.8  '],"[' 217      (Average Length', ' 104.82 Splits', ' 0)']","[' 13321309 (Deleted', ' 13145358)']","[' 15       (Ratio', '   0.00%)']","[' 2785     (Ratio', '   0.02%)']","[' 13321309 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13321309 (Average', '  1.50 Max', ' 1582 Sum', ' 20014679)']","[' 13321150 (Average', '  1.50 Max', ' 1582 Sum', ' 20008141 Ratio', '  99.97%)']","[' 159      (Average', ' 41.12 Max', ' 159 Sum', '   6538 Ratio', '   0.03%)']", ,[' 51204   '],[' 2498    '],[' 50914   '],[' 28661   '],"[' 85979    (Atom=Atom', ' 26661 Body=Body', ' 15198 Other', ' 44120)']",[' Yes'],"[' 2708     (Eliminated', '    0 Frozen', ' 2708)']","[' 389      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.219366'],[' 0'], ,[' 276.257'],[' 0'],[' 5.23151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.58024e+07'],[' 2.47742e+07'],[' 0'],[' 4.15631e+10'],[' 0'],[' 0'],[' 775 '],[' 1433 '],[' 1939 '],[' 2584 '],[' 3051 '],[' 3747 ']
